"","spatiotemporal_gamma","spatiotemporal_beta","fourfactor_gamma"
"1",3108.37035797009,3107.79311758186,3112.37174687436
"2",2403.36840736514,2405.84456343101,2407.53825302048
"3",2803.46045544528,2806.31041564088,2806.46504917577
"4",1362.73448816321,1367.91286088185,1366.02311822343
"5",2761.38323587571,2757.17491308134,2763.61428733423
"6",931.750916354221,929.596346093326,936.07798729259
"7",2528.03657964647,2521.81431907417,2530.45893132968
"8",1629.18365581925,1628.02931161152,1633.19982900508
"9",2794.61658374032,2791.13672480847,2798.4730553302
"10",2142.11147405321,2144.24504589581,2146.13417539584
"11",22465.0161544329,22459.8576181002,22500.3564329817
"12",0.404886808690921,0.540355759998169,0.0547574313109098
"13",0.707084736405105,0.205012812923852,0.0879024506710435
"14",0.683465567644354,0.164382524871775,0.152151907483871
"15",0.78850304516341,0.0592016793596204,0.15229527547697
"16",0.104954191266372,0.86064781461933,0.0343979941142983
"17",0.246815214643195,0.724821246745471,0.0283635386113338
"18",0.0421154634756859,0.945340578276991,0.0125439582473235
"19",0.343024915837509,0.610925603150543,0.0460494810119486
"20",0.146148702351596,0.832600619288182,0.0212506783602218
"21",0.676626349617198,0.232835752115729,0.0905378982670732
"22",0.0704846629538226,0.929515335553209,1.49296850464355e-09
