"","saturated","fixed_guess","two_cond","same_decay","orth_weight","no_sem","same_weight","spatiotemporal","space_orth","temp_orth","flat_gamma1","flat_gamma2","flat_intrusion","sym_equal","sym_weight","sym_decay","sym_weight_chi"
"1",4363.57792346298,4361.29553530446,4341.39713761354,4330.24813278335,4327.55705925234,4322.11491276504,4330.51687065424,4318.46470635406,4314.89614162168,4318.44792730525,4313.10229473361,4311.16422565285,4316.2594946177,4318.26658432792,4319.54182976736,4323.51855776218,4320.75289737319
"2",2797.95274368435,2794.90125732616,2777.40381337336,2766.25085806434,2762.1504189998,2758.58176575296,2763.71032416864,2763.39627067231,2752.48026069093,2754.68686113273,2757.44329845742,2755.76325440965,2784.67891147364,2755.47661184781,2756.10525265081,2759.89708363758,2755.3065109352
"3",4013.66152009975,4013.1167104648,3994.04139253751,3981.70606809605,3979.17330397675,3977.38877198723,3978.31963124235,3974.43238072474,3981.87583852133,3973.37327076601,3976.11407706399,3978.68514793802,3998.68836284364,3986.0838093592,3987.00353869344,3985.66198611784,3986.15016856188
"4",1911.43629362178,1908.18448483411,1892.87406269959,1880.93257538038,1868.66363875941,1870.51556000965,1880.19213420002,1899.18277810856,1869.3024138155,1867.25167282501,1886.63345005437,1891.7858671214,1929.88996538994,1868.51733588329,1870.65540474997,1873.7187891009,1862.22999842686
"5",3111.27458900371,3111.41549846222,3099.55557838883,3087.10258085663,3083.45376567685,3077.60809546556,3082.34352711885,3089.80141543507,3073.3083187161,3077.74596844871,3092.38031451952,3090.38055848531,3115.70746801512,3074.58220156403,3076.26997122841,3079.6748689208,3076.88273068002
"6",2040.32716771513,2036.25531445191,2015.50898632481,2003.2923256535,1968.9028126757,1961.54737619287,1991.23137385593,1977.4403091289,1972.22591617897,1957.56528955219,1969.73262687576,1968.09261668408,2014.5191792312,1957.55429626757,1959.5218313256,1963.49589567164,1960.33915174493
"7",3906.29717844486,3910.18273103431,3899.24566493863,3887.37915256299,3883.54739084369,3877.68126548391,3881.51434306639,3876.29229753105,3870.45690949615,3876.42319211318,3867.92889313321,3871.24440218168,3883.50646630897,3873.47553797508,3875.38648610486,3879.39703787433,3877.40574146595
"8",4102.54562555401,4098.18297915842,4080.59951601299,4069.51333740318,4065.83274985023,4060.71042179349,4064.91203480645,4060.03417994231,4052.74541264498,4056.72577535493,4052.58885636946,4051.19149676265,4062.93942289992,4056.84371781871,4058.7959655838,4062.44929844513,4059.94056414001
"9",3907.68121285746,3904.01492363972,3884.38800158403,3872.85164473676,3871.50461971706,3865.96685041334,3876.14353194865,3862.0508680206,3854.27754859508,3863.46493816405,3857.56286735906,3856.37652069285,3861.31466052515,3862.00208572704,3860.30601126527,3862.17930765147,3861.5254848941
"10",3763.82908805682,3764.14552086448,3749.21983345493,3737.18011515692,3733.72757300596,3728.15730706233,3732.44364402146,3723.97974332009,3721.44963658147,3724.24002227543,3717.9518252955,3716.10496604408,3717.39458275139,3725.90832382437,3727.61723492704,3731.11258306338,3729.74767641252
"11",33918.5833425009,33901.6949555406,33734.2339869282,33616.4567906941,33544.5133327578,33500.2723269264,33581.327415083,33545.0749492377,33463.0183968622,33469.9249179375,33491.4385038619,33490.7890559726,33684.8985140567,33478.710504595,33491.2035262966,33521.1054082453,33490.2809246347
"12",2.41051045971764e-12,7.54611312900791e-12,1.5798122230944e-07,4.16467492328675e-05,0.000159933816285153,0.00243045393906896,3.64103975376371e-05,0.0150771635531589,0.0897891027561751,0.0152041858681468,0.220167156874734,0.580228274134731,0.0454124873858669,0.0166472038380428,0.00879883692337388,0.0012047300868526,0.00480225568561404
"13",5.73851773783011e-11,2.63889172863537e-10,1.66319530333172e-06,0.000439315699636751,0.00341331015871354,0.0203282016320742,0.00156475608725874,0.00183080672898506,0.429560114660608,0.142517026248123,0.0359181526545069,0.083201455074718,4.37699217095603e-08,0.0960228436142186,0.0701240429497681,0.0105312836477912,0.104546983557099
"14",8.02679912851321e-10,1.05401381668493e-09,1.46217368009684e-05,0.00697558493090343,0.0247493257174113,0.0604045383076083,0.0379259135054263,0.264875491163231,0.00640789595315685,0.449805312503798,0.114252590248803,0.0315911261861961,1.43193129700962e-06,0.00078156696397433,0.000493457218694004,0.000965081403109976,0.000756060372896012
"15",1.68236321514145e-11,8.5514757849984e-11,1.80574738495571e-07,7.07486274533043e-05,0.0326500428421558,0.0129343368024177,0.000102447833397529,7.70436499934419e-09,0.0237233225913277,0.0661436660786726,4.09061693849025e-06,3.11139867203713e-07,1.65483940612907e-15,0.0351279674253837,0.0120608319432362,0.00260718474427486,0.814574860973431
"16",2.57926330113198e-09,2.40379583702863e-09,9.04162520368582e-07,0.000457488894690381,0.00283602924713006,0.0527329252005054,0.00494078487633206,0.000118668669671773,0.452654165250034,0.0492201718043877,3.26840038420608e-05,8.88334968973526e-05,2.81130672866794e-10,0.239412253934492,0.102956044595843,0.0187623705859609,0.0757866700135036
"17",3.77175180852782e-19,2.8889152997083e-18,9.24150539964208e-14,4.15486464388538e-11,0.00121939592910522,0.0482344664677644,1.72806186439783e-08,1.7070684719036e-05,0.000231495196393082,0.353229206986934,0.00080529105815368,0.00182842253402871,1.5159211109474e-13,0.35517612745143,0.132800270122021,0.0182071449747317,0.088251091272308
"18",2.89336744585844e-09,4.14635580108691e-10,9.83151153708706e-08,3.71022899686296e-05,0.000252032879090516,0.00473445657558435,0.000696510898228286,0.0094815796195276,0.175395767023053,0.0088809065241965,0.620827414495238,0.118308853030347,0.000257243168618506,0.0387732550806196,0.0149133478681557,0.00200768186854365,0.00543374705571099
