,spatiotemporal,four_factor,three_factor,spatiotemporal_ortho_gamma,fourfactor_gamma,spatiotemporal_ortho_weight,semantic_beta
1,3112.550266,3108.064689,3104.064057,3108.370445,3112.374353,3108.571865,3105.898947
2,2414.793671,2403.520105,2399.540549,2403.405751,2407.579693,2402.230335,2401.249287
3,2811.769995,2801.856135,2799.6443,2803.597443,2806.689069,2803.952691,2801.713279
4,1401.543937,1364.509277,1365.057775,1362.730514,1366.087203,1351.132755,1366.971824
5,2775.626251,2760.701423,2759.677539,2761.390142,2763.583123,2759.258993,2759.165845
6,976.372506,932.5211883,928.4886836,931.7349871,935.9627498,931.8824569,928.8994093
7,2540.524424,2534.478192,2530.39997,2528.047643,2530.488156,2526.446161,2528.902981
8,1630.25059,1633.085781,1629.106659,1629.221878,1633.296966,1626.60937,1630.495586
9,2789.505336,2795.977,2791.975746,2794.62786,2798.487171,2792.436556,2792.541347
10,2142.06299,2147.289752,2143.276854,2142.114522,2146.142004,2143.46821,2139.35838
11,22594.99997,22482.00354,22451.23213,22465.24119,22500.69049,22445.98939,22455.19688
12,0.00804205,0.075752601,0.559917091,0.065013474,0.008781443,0.058784879,0.223708462
13,0.000245377,0.068842579,0.503508379,0.072893495,0.009043337,0.131197991,0.214268841
14,0.001179982,0.167742316,0.506916445,0.070229958,0.014968704,0.058800534,0.180162061
15,1.12E-11,0.001237831,0.000940928,0.003012415,0.000562366,0.993885112,0.000361348
16,7.34E-05,0.12777214,0.213191433,0.090548831,0.030247054,0.262818566,0.275348601
17,1.70E-11,0.056616292,0.425195531,0.083880855,0.010130149,0.07791843,0.346258743
18,0.000431608,0.008871807,0.068168991,0.220997883,0.065228513,0.492204545,0.144096652
19,0.083577463,0.020250476,0.148078004,0.13978838,0.018221196,0.516142857,0.073941624
20,0.535158319,0.021046426,0.155610742,0.041318106,0.005999315,0.123587927,0.117279167
21,0.14115159,0.010344487,0.076930525,0.137561138,0.018362814,0.069911123,0.545738322
22,4.06E-33,1.40E-08,0.067144654,6.10E-05,1.22E-12,0.923545764,0.009248617
