"","spatiotemporal","four_factor","three_factor","spatiotemporal_ortho_gamma","fourfactor_gamma","spatiotemporal_ortho_weight"
"1",3112.55024381605,3108.06432897907,3104.06339916677,3108.37285561634,3112.37121253115,3108.58933888958
"2",2414.79324146789,2403.50194495624,2399.53605953455,2403.35149412139,2407.85257501207,2402.26493205323
"3",2811.76999481582,2801.84368772531,2799.65697194031,2803.46748942741,2806.51011508451,2803.96896139226
"4",1401.54392557372,1364.51441371168,1365.06607380896,1362.73161171614,1366.08133441808,1351.17407863645
"5",2775.6259578498,2760.70200700793,2759.68057650529,2761.38829638283,2763.5634630756,2759.09800826791
"6",976.372506036346,932.572812681925,928.489275746929,931.762576395281,935.825454568631,931.839016342341
"7",2540.52092933827,2534.4452275342,2530.41753401848,2528.03481659826,2530.47309226781,2526.51490622222
"8",1630.25043901056,1633.10543880508,1629.09696741233,1629.24265061056,1633.3849321331,1626.58738460347
"9",2789.50533648955,2795.97530411369,2791.97332170597,2794.61666049791,2798.49111334003,2792.44420293355
"10",2142.06299795812,2147.27716021958,2143.27835064614,2142.11752116188,2146.14995201498,2143.05112364522
"11",22594.9955723561,22482.0023257347,22451.2585304857,22465.085972528,22500.7032444459,22445.5319529862
"12",0.0103647375403304,0.0976477721420425,0.721860385624535,0.0836886632850054,0.0113353375877955,0.0751031038202917
"13",0.000312214719037076,0.0883745586365655,0.641960542062871,0.0952790112247857,0.0100369080338719,0.164036765322869
"14",0.00143319401268819,0.205010064716972,0.611807057090182,0.0910271872663348,0.0198826082936362,0.0708398886201862
"15",1.14754786719331e-11,0.00126074468154426,0.000956831967822092,0.00307438094180347,0.000575936544751777,0.994132105852603
"16",9.82804298763059e-05,0.171065250157963,0.285077283849188,0.121376875201103,0.0409076476532732,0.381474662708597
"17",2.60335593761203e-11,0.0844337574334018,0.650496396741308,0.126606700461715,0.0166040451244432,0.121859100213099
"18",0.000514264988281008,0.0107277548796753,0.080373221511235,0.264552512096542,0.0781712497941526,0.565660996730114
"19",0.0898689532747007,0.0215602779360232,0.159986323525453,0.148746978929583,0.0187483542125308,0.561089112121709
"20",0.606290749411513,0.0238641144576119,0.176508149357799,0.047072908823939,0.00678335101789002,0.139480726931247
"21",0.300192947052366,0.0221390782590934,0.163489551116433,0.292119750567278,0.0388982163089475,0.183160456695882
"22",3.31326337945732e-33,1.13874821810472e-08,0.0539955569415365,5.36743923171671e-05,9.89862357015236e-13,0.945950757277674
