"","spatiotemporal","four_factor","three_factor","spatiotemporal_ortho_gamma","fourfactor_gamma","spatiotemporal_ortho_weight","semantic_beta"
"1",3112.55025352874,3108.06476134907,3104.06317747708,3108.37116481575,3112.37307389804,3108.65037283699,3105.89892572623
"2",2414.79367866829,2403.46700629211,2399.52874127745,2403.32085270694,2407.41188057432,2402.3881408738,2401.32021736058
"3",2811.76999481684,2801.83243503581,2799.68592902599,2803.58951380631,2806.62696642059,2803.93749841755,2801.74165979006
"4",1401.54395257086,1364.51991111257,1365.05872910155,1362.735265963,1366.04443138427,1351.36392850567,1366.96790190364
"5",2775.62587020424,2760.69999799264,2759.69033860974,2761.38528089282,2763.60817821007,2759.11133572116,2759.16018759205
"6",976.372506037631,932.53555425945,928.48877060408,931.742872620405,936.061628885604,932.124963524472,928.901416857925
"7",2540.52085591427,2534.47455189035,2530.40196858164,2528.04621903914,2530.51299739776,2526.51170459881,2528.88501965049
"8",1630.25050234187,1633.10791953484,1629.09658152817,1629.23136674929,1633.21684940175,1626.68983070811,1630.57129466167
"9",2789.50533648955,2795.97591011359,2791.975866915,2794.63383641163,2798.48384436264,2792.45375046449,2792.52124040185
"10",2142.06298982907,2147.27965673564,2143.27644550312,2142.11794698028,2146.18137960876,2143.09597120599,2139.34962492214
"11",22594.9959404014,22481.9577043161,22451.2665486238,22465.1743199856,22500.5212301438,22446.327496857,22455.3174888666
"12",0.0080584976910389,0.0759042925614927,0.561305417882968,0.0651225907371319,0.00880497553850246,0.0566372838908165,0.224166941698049
"13",0.000247512787658407,0.0713104697241251,0.510900913533522,0.07671674093457,0.00992052671328613,0.122299856120368,0.20860398018647
"14",0.00119163785444469,0.171418613928153,0.501378650241634,0.0712054395991401,0.015593324518948,0.0598341703767435,0.179378163480937
"15",1.26054327034757e-11,0.00138110344870595,0.0010549293371482,0.00337098624198545,0.000644437551572196,0.993142425852337,0.000406117555645684
"16",7.19862698258567e-05,0.125418510730104,0.207781266338437,0.0890336849486483,0.0292993731638741,0.277546189095312,0.270848989453799
"17",1.71920404732847e-11,0.0568068300396245,0.429683286103123,0.0844362984187407,0.00974368373077489,0.0697524072857565,0.349577494404788
"18",0.000439082731629684,0.00902577689473561,0.0691567894302249,0.224584270988834,0.0654222117055885,0.483720968352826,0.147650899896162
"19",0.0855038602068999,0.0204882781912484,0.152249699124301,0.142327297855021,0.0194022297222674,0.507195910613269,0.0728327242869927
"20",0.535149826180478,0.0210575664027883,0.155598900247589,0.0411941722284474,0.0060092071622087,0.122528023753489,0.118462304024999
"21",0.138905469812537,0.0102313872333443,0.0757217767998857,0.135140510121793,0.0177183130205141,0.0828724716482512,0.539410071363675
"22",4.75661960633624e-33,1.67201246037916e-08,0.0772216878419888,7.37403357737397e-05,1.55675795556127e-12,0.912516558466232,0.0101879966343238
