"","participant","nLL","aic","kappa1","kappa2","beta","gamma","tau","lambda_b","lambda_f","zeta","rho","chi1","chi2","iota1","iota2","upsilon1","upsilon2","psi1","psi2"
"result.1",1,2151.1460754639,4336.2921509278,3.83607748302298,1.06955008601831,0.599456074166588,0.275952897133923,0.696421595721138,0.76206366611769,0.552860829525357,0.495378113789878,0.589777637483321,0.558835913838304,0.63616326979059,2.14316137437709,1.31712703666892,1.50390037229587,3.37708223983408,0.271058927706867,0.904976313244898
"result.2",2,1381.94141061905,2797.8828212381,19.991710507692,14.8903427059825,0.200312767972963,0.210003346670419,0.686587505016891,0.555715646608582,0.620688271005588,0.32740899280604,0.537316335527979,0.568303413670826,0.620794395753182,2.19815552118234,2.43768808373274,1.56548820761219,4.10147392175929,0.172688475900784,0.582312980665749
"result.3",3,1970.90564754458,3975.81129508917,10.4590843050077,13.388864659465,0.524786184653947,0.395280869864525,0.510950520382599,0.555265766387924,2.13364361816358,0.406937216070276,0.581237025051115,0.574455363092879,0.683196577889206,4.19278959349306,0.916291221510619,3.81016054120846,2.71214309580326,0.483153731096536,0.948298726168812
"result.4",4,946.116707546154,1926.23341509231,19.9981684453276,14.9373844792289,0.200605638248041,0.206963968649482,0.687100416018226,0.873827111692408,0.501993267814168,0.218205119664895,0.594116997923658,0.598425584276772,0.680945054244076,4.96733999519315,4.99737093872061,4.77781789562232,0.0767957386362157,0.0953102310117385,0.358692355569526
"result.5",5,1531.70690224103,3097.41380448206,19.9973747030697,14.9214849361072,0.31046444352013,0.33943628268573,0.343412784498043,1.85020563812215,1.43126062207219,0.569436429801568,0.590311704857342,0.598374209748888,0.603162472820066,3.48042336141183,4.94777825423225,1.17148196942481,4.86265139128835,0.0248944636030525,0.83712743432261
"result.6",6,995.537076473939,2025.07415294788,12.3619745760829,14.9124420919575,0.200055100148503,0.201036337183057,0.419999377735824,0.520682465632873,0.501968423069931,0.569860709990911,0.200373167875865,0.598585513842141,0.665909234145777,4.99505761373603,4.91110672914757,4.87862856321432,4.50272621111187,4.41459096297458e-06,0.117592236356257
"result.7",7,1922.19576629732,3878.39153259463,7.33043341037243,3.9075240246355,0.343338152005683,0.309389576219224,0.209267760795119,0.922658651755009,0.545275632634033,0.598100321896758,0.556425924918863,0.510473959939554,0.669259193562902,3.5830584633266,4.47248633376519,0.324518876862978,4.93917401337508,0.421845818302934,0.650546586809221
"result.8",8,2016.66124165439,4067.32248330877,7.35021919247304,6.59436268327069,0.596554525802441,0.286890201317146,0.570021900613394,0.549729557801537,0.862466907621669,0.228652299013176,0.573116374725292,0.520977553278655,0.648185855075485,2.87019673196171,2.24720536614768,0.792137038518609,2.83784892054535,0.490790045082188,0.588637970965842
"result.9",9,1923.24975941809,3880.49951883619,8.97635483958092,1.00829572206762,0.596895106700522,0.312307931169338,0.528809577074884,0.509734232486692,0.542181267703376,0.36822698459382,0.592262728979779,0.591476818322519,0.599373047946412,3.18257919265466,0.914528914050519,1.8740813324742,3.80886039694717,0.785572412653783,0.995421187878525
"result.10",10,1852.21844351291,3738.43688702581,14.789368342161,14.8957357177723,0.599488722280174,0.222009133738313,0.213924866303889,0.519732579470299,0.541996515387887,0.48756021539916,0.54364090738818,0.48186805704782,0.507111121097323,1.14688439061865,0.269430375957654,2.71254411124713,4.56498681402049,0.290735781998783,0.881142374826595
