,participant,nLL,aic,kappa1,kappa2,beta,gamma,tau,lambda_b,lambda_f,zeta,rho,chi,iota,upsilon,psi
result.1,1,1544.28306,3114.566119,3.254090669,8.002263713,0.599147081,0.309006883,0.859108642,1.288602107,0.155208004,0.220787638,0.616021541,0.809506042,3.048145822,0.136315801,0.00810197
result.2,2,1211.890165,2449.78033,19.88148435,14.96553243,0.200974864,0.318066641,0.959704474,0.719205712,1.443061893,1.479589382,0.425372908,0.789730549,2.441330441,3.138262669,0.334738864
result.3,3,1386.800499,2799.600998,8.264994621,10.75081223,0.399802513,0.692744134,0.516226803,1.220448961,3.948517898,0.109179487,0.537026306,0.848712422,3.82024324,4.107410569,0.49094532
result.4,4,689.8329791,1405.665958,19.99111517,14.9808473,0.200133583,0.342781157,0.972704866,4.845681622,0.112535703,1.501299332,0.100569636,0.979181978,4.988275575,4.767317797,0.15258378
result.5,5,1375.488995,2776.97799,19.957508,14.98622638,0.297159818,0.513804815,0.51730961,4.250877949,3.649441143,4.449910313,0.556005904,0.843181576,3.916984389,3.155578796,0.381905465
result.6,6,486.3265496,998.6530992,12.90523057,14.99932404,0.20007686,0.300208152,0.989479545,4.785607752,4.957340347,4.940729188,0.424921526,0.905504853,4.998723411,4.949251586,0.002657778
result.7,7,1253.753791,2533.507582,9.006875301,12.69988993,0.376528599,0.35564609,0.584434013,1.850485119,1.736926801,3.959457427,0.656848313,0.742229956,2.665915722,1.753304782,0.00469233
result.8,8,804.5202843,1635.040569,7.603309282,8.973261802,0.422364285,0.340002468,0.593735975,0.97881597,1.332176541,3.450119134,0.315838231,0.678951552,1.786894546,0.210936633,0.173129056
result.9,9,1389.392424,2804.784848,10.00304259,1.102473457,0.59805796,0.317096987,0.612501293,0.506698797,0.287827355,1.314637823,0.27973894,0.661186176,2.263504656,1.792610174,0.41313624
result.10,10,1063.172296,2152.344593,15.22210523,14.73417314,0.565965064,0.301695263,0.514778074,0.649707585,0.763738603,1.60506038,0.337854542,0.525546831,2.719672283,1.948886229,0.030431741
,,,22670.92209,12.60897558,11.61948044,0.386021063,0.379105259,0.71199833,2.109613157,1.838677429,2.30307701,0.425019785,0.778373193,3.264969008,2.595987504,0.199232254
