word,list,list_type
excuse,1,semantic
choice,1,semantic
decide,1,semantic
choose,1,semantic
prefer,1,semantic
switch,1,semantic
proper,1,semantic
direct,1,semantic
object,1,semantic
chosen,1,semantic
favour,1,semantic
option,1,semantic
design,1,semantic
appeal,1,semantic
method,1,semantic
select,1,semantic
honest,2,semantic
simple,2,semantic
strong,2,semantic
supple,2,semantic
earthy,2,semantic
common,2,semantic
decent,2,semantic
boring,2,semantic
clever,2,semantic
humble,2,semantic
quaint,2,semantic
flashy,2,semantic
robust,2,semantic
rustic,2,semantic
clumsy,2,semantic
useful,2,semantic
subtle,2,semantic
modest,2,semantic
quirky,2,semantic
follow,3,semantic
notice,3,semantic
remind,3,semantic
assume,3,semantic
repeat,3,semantic
remove,3,semantic
recall,3,semantic
review,3,semantic
inform,3,semantic
advise,3,semantic
reveal,3,semantic
posted,3,semantic
notify,3,semantic
update,3,semantic
submit,3,semantic
remark,3,semantic
noting,3,semantic
accept,4,semantic
refuse,4,semantic
ignore,4,semantic
insist,4,semantic
commit,4,semantic
demand,4,semantic
resist,4,semantic
pursue,4,semantic
agrees,4,semantic
uphold,4,semantic
oppose,4,semantic
assert,4,semantic
refute,4,semantic
recant,4,semantic
disown,4,semantic
affirm,4,semantic
renege,4,semantic
relent,4,semantic
bottle,5,semantic
drinks,5,semantic
scotch,5,semantic
liquid,5,semantic
refill,5,semantic
whisky,5,semantic
squirt,5,semantic
carton,5,semantic
gargle,5,semantic
beaker,5,semantic
goblet,5,semantic
rotgut,5,semantic
claret,5,semantic
corked,5,semantic
spritz,5,semantic
flagon,5,semantic
nature,6,semantic
beauty,6,semantic
spirit,6,semantic
animal,6,semantic
social,6,semantic
actual,6,semantic
divine,6,semantic
senses,6,semantic
belief,6,semantic
intent,6,semantic
savage,6,semantic
virtue,6,semantic
extent,6,semantic
aspect,6,semantic
origin,6,semantic
poetic,6,semantic
benign,6,semantic
physic,6,semantic
insane,7,semantic
bloody,7,semantic
damned,7,semantic
filthy,7,semantic
creepy,7,semantic
absurd,7,semantic
maniac,7,semantic
freaky,7,semantic
madman,7,semantic
raging,7,semantic
raving,7,semantic
weirdo,7,semantic
morbid,7,semantic
horrid,7,semantic
senile,7,semantic
antics,7,semantic
lunacy,7,semantic
idiocy,7,semantic
hungry,8,semantic
lonely,8,semantic
silent,8,semantic
bitter,8,semantic
chilly,8,semantic
gloomy,8,semantic
uneasy,8,semantic
grumpy,8,semantic
unkind,8,semantic
moping,8,semantic
uncool,8,semantic
waited,8,semantic
crabby,8,semantic
pining,8,semantic
sickly,8,semantic
longed,8,semantic
sullen,8,semantic
morose,8,semantic
grouch,8,semantic
fellow,9,semantic
member,9,semantic
player,9,semantic
leader,9,semantic
expert,9,semantic
senior,9,semantic
parent,9,semantic
worker,9,semantic
deputy,9,semantic
mentor,9,semantic
patron,9,semantic
backer,9,semantic
joiner,9,semantic
guests,9,semantic
humans,9,semantic
adults,9,semantic
groups,9,semantic
owners,9,semantic
renter,9,semantic
pocket,10,semantic
jacket,10,semantic
outfit,10,semantic
gloves,10,semantic
collar,10,semantic
shirts,10,semantic
helmet,10,semantic
sleeve,10,semantic
blouse,10,semantic
zipper,10,semantic
duffel,10,semantic
toupee,10,semantic
blazer,10,semantic
beanie,10,semantic
poncho,10,semantic
jerkin,10,semantic
duffle,10,semantic
fedora,10,semantic
crying,11,semantic
scream,11,semantic
holler,11,semantic
groans,11,semantic
rattle,11,semantic
shouts,11,semantic
loudly,11,semantic
rumble,11,semantic
squeal,11,semantic
giggle,11,semantic
growls,11,semantic
squeak,11,semantic
squawk,11,semantic
whoosh,11,semantic
mumble,11,semantic
shriek,11,semantic
hisses,11,semantic
hoarse,11,semantic
bellow,11,semantic
shrill,11,semantic
mutter,11,semantic
cackle,11,semantic
finish,12,semantic
settle,12,semantic
escape,12,semantic
travel,12,semantic
arrive,12,semantic
begins,12,semantic
attend,12,semantic
safely,12,semantic
retire,12,semantic
depart,12,semantic
emerge,12,semantic
embark,12,semantic
rejoin,12,semantic
reside,12,semantic
ascend,12,semantic
trudge,12,semantic
mellow,13,semantic
hearty,13,semantic
dreamy,13,semantic
peachy,13,semantic
bubbly,13,semantic
sedate,13,semantic
serene,13,semantic
cheery,13,semantic
upbeat,13,semantic
bouncy,13,semantic
punchy,13,semantic
breezy,13,semantic
smooth,13,semantic
lovely,13,semantic
demure,13,semantic
placid,13,semantic
docile,13,semantic
papers,14,semantic
photos,14,semantic
plates,14,semantic
prints,14,semantic
sheets,14,semantic
copies,14,semantic
images,14,semantic
videos,14,semantic
stamps,14,semantic
slides,14,semantic
paints,14,semantic
shapes,14,semantic
strips,14,semantic
proofs,14,semantic
stuffs,14,semantic
stills,14,semantic
skinny,15,semantic
chubby,15,semantic
fluffy,15,semantic
chunky,15,semantic
petite,15,semantic
dainty,15,semantic
crusty,15,semantic
shaggy,15,semantic
slinky,15,semantic
tanned,15,semantic
stubby,15,semantic
frilly,15,semantic
gangly,15,semantic
scruff,15,semantic
frizzy,15,semantic
haired,15,semantic
sinewy,15,semantic
monkey,16,semantic
rabbit,16,semantic
pigeon,16,semantic
donkey,16,semantic
kitten,16,semantic
beaver,16,semantic
doggie,16,semantic
coyote,16,semantic
poodle,16,semantic
rodent,16,semantic
badger,16,semantic
ferret,16,semantic
kibble,16,semantic
beagle,16,semantic
petted,16,semantic
magpie,16,semantic
bodies,17,semantic
powers,17,semantic
angels,17,semantic
beings,17,semantic
heroes,17,semantic
demons,17,semantic
ghosts,17,semantic
aliens,17,semantic
devils,17,semantic
beasts,17,semantic
selves,17,semantic
brutes,17,semantic
doings,17,semantic
fabled,17,semantic
magics,17,semantic
genies,17,semantic
slowly,18,semantic
shrink,18,semantic
loosen,18,semantic
vanish,18,semantic
absorb,18,semantic
soften,18,semantic
wither,18,semantic
subdue,18,semantic
squish,18,semantic
lessen,18,semantic
darken,18,semantic
worsen,18,semantic
shrank,18,semantic
falter,18,semantic
deepen,18,semantic
weaken,18,semantic
tragic,19,semantic
severe,19,semantic
deadly,19,semantic
brutal,19,semantic
ironic,19,semantic
sloppy,19,semantic
lethal,19,semantic
fierce,19,semantic
sordid,19,semantic
futile,19,semantic
joyous,19,semantic
brazen,19,semantic
dismal,19,semantic
grisly,19,semantic
odious,19,semantic
abject,19,semantic
wicked,20,semantic
greedy,20,semantic
sneaky,20,semantic
rascal,20,semantic
sleazy,20,semantic
shrewd,20,semantic
fickle,20,semantic
stingy,20,semantic
crafty,20,semantic
grubby,20,semantic
shifty,20,semantic
snooty,20,semantic
spoilt,20,semantic
craven,20,semantic
grabby,20,semantic
amoral,20,semantic
sticky,21,semantic
greasy,21,semantic
smelly,21,semantic
stinky,21,semantic
catchy,21,semantic
crispy,21,semantic
wobbly,21,semantic
toasty,21,semantic
clammy,21,semantic
fleshy,21,semantic
wiggly,21,semantic
gritty,21,semantic
thorny,21,semantic
twisty,21,semantic
frothy,21,semantic
blanky,21,semantic
clunky,21,semantic
spongy,21,semantic
swirly,21,semantic
floaty,21,semantic
places,22,semantic
middle,22,semantic
across,22,semantic
entire,22,semantic
within,22,semantic
center,22,semantic
market,22,semantic
county,22,semantic
island,22,semantic
nation,22,semantic
valley,22,semantic
cities,22,semantic
native,22,semantic
region,22,semantic
sector,22,semantic
inland,22,semantic
coasts,22,semantic
fights,23,semantic
scares,23,semantic
cracks,23,semantic
shakes,23,semantic
knocks,23,semantic
swings,23,semantic
spikes,23,semantic
chases,23,semantic
blasts,23,semantic
tosses,23,semantic
chokes,23,semantic
shoves,23,semantic
whacks,23,semantic
grinds,23,semantic
flings,23,semantic
chucks,23,semantic
butter,24,semantic
recipe,24,semantic
muffin,24,semantic
baking,24,semantic
bakery,24,semantic
noodle,24,semantic
pastry,24,semantic
bagels,24,semantic
sundae,24,semantic
scones,24,semantic
quiche,24,semantic
toffee,24,semantic
bisque,24,semantic
crepes,24,semantic
bonbon,24,semantic
brulee,24,semantic
nougat,24,semantic
danger,25,semantic
threat,25,semantic
crisis,25,semantic
misery,25,semantic
plague,25,semantic
menace,25,semantic
mayhem,25,semantic
frenzy,25,semantic
mutiny,25,semantic
strife,25,semantic
revolt,25,semantic
unrest,25,semantic
uproar,25,semantic
exodus,25,semantic
crises,25,semantic
bedlam,25,semantic
apathy,25,semantic
outcry,25,semantic
muscle,26,semantic
tissue,26,semantic
kidney,26,semantic
artery,26,semantic
spinal,26,semantic
cavity,26,semantic
neural,26,semantic
pelvic,26,semantic
distal,26,semantic
radial,26,semantic
aortic,26,semantic
medial,26,semantic
septum,26,semantic
cystic,26,semantic
venous,26,semantic
pineal,26,semantic
