word,list,list_type
passed,1,orthographic
packed,1,orthographic
passes,1,orthographic
parked,1,orthographic
parted,1,orthographic
parcel,1,orthographic
padded,1,orthographic
pawned,1,orthographic
paired,1,orthographic
pamper,1,orthographic
patter,1,orthographic
pasted,1,orthographic
pauper,1,orthographic
patted,1,orthographic
panzer,1,orthographic
panned,1,orthographic
pallet,1,orthographic
pauses,1,orthographic
starts,2,orthographic
states,2,orthographic
stands,2,orthographic
stairs,2,orthographic
status,2,orthographic
stores,2,orthographic
stakes,2,orthographic
stains,2,orthographic
stamps,2,orthographic
stages,2,orthographic
storms,2,orthographic
straws,2,orthographic
stares,2,orthographic
stacks,2,orthographic
straps,2,orthographic
strays,2,orthographic
stalls,2,orthographic
stalks,2,orthographic
stilts,2,orthographic
stasis,2,orthographic
sudden,3,orthographic
suffer,3,orthographic
supper,3,orthographic
sucker,3,orthographic
sucked,3,orthographic
sunset,3,orthographic
survey,3,orthographic
suited,3,orthographic
surfer,3,orthographic
suites,3,orthographic
sunken,3,orthographic
sullen,3,orthographic
sublet,3,orthographic
summed,3,orthographic
surges,3,orthographic
surfed,3,orthographic
shared,4,orthographic
shakes,4,orthographic
shaved,4,orthographic
shares,4,orthographic
sharks,4,orthographic
shaped,4,orthographic
shaken,4,orthographic
shines,4,orthographic
shades,4,orthographic
shapes,4,orthographic
shores,4,orthographic
shaker,4,orthographic
shamed,4,orthographic
shafts,4,orthographic
shoves,4,orthographic
shacks,4,orthographic
shaves,4,orthographic
shanks,4,orthographic
shards,4,orthographic
rotten,5,orthographic
robbed,5,orthographic
rocket,5,orthographic
roller,5,orthographic
robber,5,orthographic
rocked,5,orthographic
roster,5,orthographic
routes,5,orthographic
rocker,5,orthographic
rooted,5,orthographic
routed,5,orthographic
rotted,5,orthographic
roamed,5,orthographic
rogues,5,orthographic
roared,5,orthographic
roofer,5,orthographic
router,5,orthographic
butter,6,orthographic
burger,6,orthographic
bushes,6,orthographic
bummer,6,orthographic
bugger,6,orthographic
buzzer,6,orthographic
bumper,6,orthographic
bunker,6,orthographic
bummed,6,orthographic
burner,6,orthographic
buffer,6,orthographic
buzzed,6,orthographic
buzzes,6,orthographic
buries,6,orthographic
bushed,6,orthographic
busier,6,orthographic
bungee,6,orthographic
bushel,6,orthographic
butted,6,orthographic
bugler,6,orthographic
bucked,6,orthographic
barrel,7,orthographic
banker,7,orthographic
barber,7,orthographic
banner,7,orthographic
batter,7,orthographic
barren,7,orthographic
banter,7,orthographic
badger,7,orthographic
barred,7,orthographic
barbed,7,orthographic
barter,7,orthographic
barley,7,orthographic
barged,7,orthographic
banger,7,orthographic
backer,7,orthographic
baller,7,orthographic
badder,7,orthographic
barked,7,orthographic
backed,8,orthographic
banker,8,orthographic
banged,8,orthographic
banner,8,orthographic
bailed,8,orthographic
banned,8,orthographic
bagged,8,orthographic
badges,8,orthographic
banter,8,orthographic
bathed,8,orthographic
badger,8,orthographic
barred,8,orthographic
barbed,8,orthographic
bashed,8,orthographic
barter,8,orthographic
barley,8,orthographic
barged,8,orthographic
banger,8,orthographic
backer,8,orthographic
batted,8,orthographic
balled,8,orthographic
banked,8,orthographic
baited,8,orthographic
baller,8,orthographic
badder,8,orthographic
barked,8,orthographic
bother,9,orthographic
bodies,9,orthographic
border,9,orthographic
booked,9,orthographic
bosses,9,orthographic
bombed,9,orthographic
bomber,9,orthographic
boiler,9,orthographic
bolted,9,orthographic
bonded,9,orthographic
bonnet,9,orthographic
booger,9,orthographic
booted,9,orthographic
bowler,9,orthographic
bowled,9,orthographic
bogged,9,orthographic
bolder,9,orthographic
boozer,9,orthographic
boomer,9,orthographic
