participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Cont, 931.7326, 0.026003, 0, 0.51338, 1.2851, 0, 0, -0.21486, 0.040505, 0
1, Thresh, 942.9164, 5.9971, 0, 0, 4.9354, 1.2421, 0.021047, -0.20916, 0.0018969, 0
1, Hybrid, 949.8523, 0.0072543, 0, 0.17061, 0.93095, 1.2414, 1.6231e-05, -0.20798, 0.027693, 0
2, Cont, 2214.4747, 1.12, 0, 0.16385, 1.9361, 0, 0, 0.049414, 0.17811, 0
2, Thresh, 1974.0909, 3.098, 0, 0, 4.4296, 2.0481, 0.64878, -0.21546, 0.00019827, 0
2, Hybrid, 1978.5901, 3.1836, 0, 0.37363, 4.1514, 1.9299, 0.66419, -0.088639, 3.731e-05, 0
3, Cont, 1929.105, 1.1646, 0, 1.1226, 1.7506, 0, 0, -0.173, 0.15194, 0
3, Thresh, 1768.8134, 2.947, 0, 0, 2.5239, 1.3919, 0.52712, -0.16434, 0.011483, 0
3, Hybrid, 1774.1889, 3.0579, 0, 0.29736, 2.5981, 1.3897, 0.52739, -0.16398, 0.029698, 0
4, Cont, 3804.5396, 1.8474, 0, 1.5561, 2.1493, 0, 0, -0.009196, 0.16098, 0
4, Thresh, 3164.9043, 5.5218, 0, 0, 4.208, 1.5095, 0.49461, -0.044172, 0.043036, 0
4, Hybrid, 3170.2529, 5.5871, 0, 0.007794, 4.2532, 1.5094, 0.49408, -0.060866, 0.078133, 0
5, Cont, 2220.0887, 1.2219, 0, 0.7123, 1.8106, 0, 0, 0.0010268, 0.10995, 0
5, Thresh, 2016.1828, 2.878, 0, 0, 2.9945, 1.6796, 0.61334, -0.1016, 0.027927, 0
5, Hybrid, 1993.1049, 2.9802, 0, 0.14521, 3.2483, 1.7164, 0.60526, -0.15406, 0.013889, 0
6, Cont, 1699.63, 0.9011, 0, 2.9993, 2.2595, 0, 0, 0.022422, 0.17144, 0
6, Thresh, 1676.0275, 4.5766, 0, 0, 2.3794, 1.1458, 0.27143, 0.017397, 0.19178, 0
6, Hybrid, 1682.1851, 4.5894, 0, 0.1187, 2.3853, 1.1455, 0.27194, 0.017368, 0.19003, 0
7, Cont, 1884.4794, 2.5035, 0, 1.775, 2.3181, 0, 0, -0.13941, 0.009181, 0
7, Thresh, 1292.23, 3.857, 0, 0, 2.4122, 1.3565, 0.66094, -0.22641, 0.16537, 0
7, Hybrid, 1302.6257, 3.7212, 0, 0.029178, 2.5573, 1.395, 0.6647, -0.20178, 0.015252, 0
8, Cont, 1223.2666, 2.3448, 0, 0.41756, 2.1153, 0, 0, -0.14622, 0.3846, 0
8, Thresh, 606.2496, 4.5207, 0, 0, 4.9997, 1.7524, 0.84986, -0.29891, 0.0064892, 0
8, Hybrid, 612.5974, 4.5223, 0, 0.048781, 5, 1.7409, 0.84885, -0.29878, 0.015771, 0
9, Cont, 2135.075, 0.14141, 0, 1.4294, 1.5511, 0, 0, -0.21017, 0.033891, 0
9, Thresh, 2201.0342, 3.0608, 0, 0, 3.3754, 1.2128, 0.011078, -0.20552, 0.0019927, 0
9, Hybrid, 2207.9115, 5.0484, 0, 0.020001, 2.1578, 1.2157, 0.0050646, -0.20543, 0.024276, 0
10, Cont, 1975.5806, 1.5052, 0, 0.25061, 3.7335, 0, 0, -0.34999, 0.0749, 0
10, Thresh, 1765.6693, 1.8697, 0, 0, 4.5563, 2.222, 0.93307, -0.42959, 6.2589e-07, 0
10, Hybrid, 1899.1984, 2.1476, 0, 0.44269, 4.3959, 2.265, 0.91574, -0.14607, 1.3267e-05, 0
11, Cont, 2776.3381, 0.88089, 0, 0.88402, 1.4036, 0, 0, -0.12877, 0.0021913, 0
11, Thresh, 1770.1841, 4.129, 0, 0, 2.9133, 1.2391, 0.38677, -0.19889, 0.011414, 0
11, Hybrid, 1748.5516, 4.3235, 0, 0.0972, 2.6519, 1.1801, 0.38856, -0.26099, 0.2796, 0
12, Cont, 1604.5832, 1.5818, 0, 0.40714, 1.6613, 0, 0, 0.010959, 0.14403, 0
12, Thresh, 1019.1813, 4.999, 0, 0, 4.1486, 1.3872, 0.68836, -0.074752, 0.13338, 0
12, Hybrid, 1027.0319, 4.9888, 0, 0.14721, 3.9863, 1.3507, 0.68516, -0.035397, 0.11022, 0
13, Cont, 1649.2065, 0.058633, 0, 2.7042, 1.8775, 0, 0, -0.22076, 1.7933e-05, 0
13, Thresh, 1755.5769, 5.4132, 0, 0, 0.52984, 1.1029, 1.7385e-06, -0.22074, 0.0041044, 0
13, Hybrid, 1761.7075, 5.6783, 0, 0.054873, 4.6204, 1.1047, 1.2305e-05, -0.22075, 0.013883, 0
15, Cont, 1981.8194, 0.25155, 0, 2.9552, 2.4092, 0, 0, -0.20516, 0.086062, 0
15, Thresh, 2059.0956, 3.5603, 0, 0, 2.4824, 1.223, 0.11723, -0.18893, 0.02255, 0
15, Hybrid, 2100.5525, 0.7808, 0, 0.22694, 2.3709, 1.1977, 1.4853e-06, -0.20516, 0.10793, 0
16, Cont, 1983.8466, 0.99957, 0, 0.099074, 1.6078, 0, 0, 0.013718, 0.093008, 0
16, Thresh, 1824.1268, 2.5494, 0, 0, 2.6884, 1.4912, 0.61774, -0.016022, 0.01362, 0
16, Hybrid, 1822.9111, 3.2032, 0, 0.7021, 3.3448, 1.4886, 0.6266, -0.066895, 0.06192, 0
17, Cont, 2038.4863, 0.20464, 0, 1.7559, 2.3377, 0, 0, -0.13985, 0.16116, 0
17, Thresh, 2087.9845, 4.6399, 0, 0, 4.5303, 1.5276, 0.045995, -0.12637, 0.07635, 0
17, Hybrid, 2116.3159, 5.2272, 0, 0.1806, 4.9996, 1.5017, 0.038251, -0.11262, 0.11016, 0
18, Cont, 2091.6754, 1.1391, 0, 0.0011203, 1.5748, 0, 0, 0.009907, 0.47537, 0
18, Thresh, 1835.0519, 2.899, 0, 0, 3.1592, 1.5182, 0.65037, 0.037619, 0.060364, 0
18, Hybrid, 1832.2633, 3.7076, 0, 0.70354, 4.0271, 1.5341, 0.65025, 0.0060112, 0.071467, 0
19, Cont, 1787.2085, 0.49646, 0, 0.16956, 1.1757, 0, 0, -0.19764, 0.023967, 0
19, Thresh, 1700.9598, 3.3253, 0, 0, 2.3896, 1.1206, 0.27183, -0.2008, 0.0045268, 0
19, Hybrid, 1707.7075, 3.5395, 0, 0.12631, 2.5771, 1.1189, 0.2589, -0.2023, 0.0022886, 0
