word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
RESULT, STIM, LOW, 3, 11.7387, 2.0665, 2.0414, 0.0251, 7.3222
SPREE, FOIL, LOW, 6, 3.9429, NA, NA, NA, NA
WIRE, STIM, HIGH, 6, 5.1322, 1.9722, 2.0344, -0.0622, 11.0084
LEAN, FOIL, LOW, 3, 6.5302, NA, NA, NA, NA
RAID, STIM, LOW, 6, 1.1220, 1.9714, 2.1459, -0.1745, 1.1676
REGION, STIM, LOW, 6, 2.2470, 1.0834, 2.0507, -0.9673, 1.0675
LOSS, FOIL, LOW, 3, 4.2242, NA, NA, NA, NA
LIKE, FOIL, LOW, 3, 2.9481, NA, NA, NA, NA
HEDGE, STIM, HIGH, 6, 0.9321, -0.1411, 0.0157, -0.1568, 0.5504
BEAU, FOIL, LOW, 1, 2.8500, NA, NA, NA, NA
GIRDLE, STIM, HIGH, 6, 0.9894, 2.0539, 2.1139, -0.0600, 3.9697
HAND, STIM, HIGH, 4, 7.5264, 1.8976, 2.0631, -0.1655, 12.4928
MULE, FOIL, HIGH, 1, 2.9645, NA, NA, NA, NA
MONKEY, FOIL, HIGH, 1, 1.0282, NA, NA, NA, NA
USUAL, FOIL, LOW, 1, 0.8596, NA, NA, NA, NA
MIMIC, STIM, LOW, 6, 7.8049, 2.6371, 3.0632, -0.4262, 3.5861
WAX, FOIL, HIGH, 1, 1.2674, NA, NA, NA, NA
GROWN, FOIL, LOW, 1, 1.5556, NA, NA, NA, NA
SIGHT, STIM, LOW, 3, 3.8581, -1.9714, 2.1294, 2.1824, 1.6012
CORK, STIM, HIGH, 4, 4.0489, -2.9002, 2.0672, 1.3158, 5.4208
PUT, STIM, LOW, 6, 4.0946, -0.0488, 0.0156, -0.0644, 7.5057
GOOF, STIM, LOW, 6, 0.9224, 0.9017, 0.2690, 0.6327, 7.0554
FLAIR, FOIL, LOW, 1, 0.9503, NA, NA, NA, NA
TWIG, FOIL, HIGH, 1, 0.7658, NA, NA, NA, NA
MOTHER, STIM, HIGH, 6, 2.1859, 1.4937, 1.5915, -0.0979, 1.5011
CELLAR, FOIL, HIGH, 1, 0.7117, NA, NA, NA, NA
RHUMB, FOIL, LOW, 1, 0.5723, NA, NA, NA, NA
SOLD, FOIL, LOW, 1, 0.8444, NA, NA, NA, NA
COUNT, FOIL, LOW, 1, 0.6346, NA, NA, NA, NA
LINKS, FOIL, LOW, 1, 0.5733, NA, NA, NA, NA
KEPT, STIM, LOW, 6, 6.6118, -2.3697, -2.5449, 0.1753, 2.7187
MELEE, STIM, LOW, 6, 0.8387, -2.2914, -2.4970, 0.2057, 4.0531
LADY, STIM, HIGH, 6, 0.9678, 0.3779, 0.3020, 0.0759, 1.1842
SAID, FOIL, LOW, 1, 1.4459, NA, NA, NA, NA
ROBIN, STIM, HIGH, 6, 1.3257, -0.4954, -0.9325, 0.4370, 2.9356
CRYPT, FOIL, HIGH, 3, 6.5058, NA, NA, NA, NA
TROUT, STIM, HIGH, 6, 5.8487, -1.1788, -1.2688, 0.0900, 1.3844
SANDAL, STIM, HIGH, 6, 8.3222, -2.0098, -1.9290, -0.0808, 1.4011
ALSO, FOIL, LOW, 1, 0.7471, NA, NA, NA, NA
DUAL, STIM, LOW, 6, 6.3715, 2.7225, 2.0043, 0.7182, 17.1797
BRAVE, STIM, LOW, 6, 2.3589, 2.5718, 3.0327, -0.4609, 6.8052
WASTE, FOIL, LOW, 1, 3.1096, NA, NA, NA, NA
TAPER, STIM, LOW, 6, 2.8487, 1.6362, 1.7068, -0.0706, 3.7695
CRY, FOIL, LOW, 1, 0.7961, NA, NA, NA, NA
TRUISM, STIM, LOW, 6, 12.2895, 0.9266, 1.0068, -0.0802, 9.8408
TEETH, FOIL, HIGH, 1, 0.7655, NA, NA, NA, NA
NEUTER, FOIL, LOW, 1, 0.7423, NA, NA, NA, NA
BORDER, STIM, LOW, 6, 6.2655, 0.0886, 0.0784, 0.0102, 2.0516
HEAR, FOIL, LOW, 1, 0.9167, NA, NA, NA, NA
HARSH, FOIL, LOW, 1, 0.6942, NA, NA, NA, NA
BALLOT, STIM, LOW, 6, 0.8520, -2.1955, -2.6779, 0.4824, 11.9091
TRASH, STIM, HIGH, 6, 1.7571, -1.3980, -1.3794, -0.0185, 2.1850
ANIMAL, FOIL, HIGH, 1, 0.9232, NA, NA, NA, NA
HEART, FOIL, HIGH, 3, 4.1180, NA, NA, NA, NA
AVOWAL, STIM, LOW, 6, 0.8347, 1.0589, 0.7854, 0.2735, 10.8916
ASHEN, FOIL, LOW, 1, 3.7739, NA, NA, NA, NA
PITY, STIM, LOW, 6, 4.8527, -2.9197, 3.0997, 0.2637, 2.8355
FORK, FOIL, HIGH, 1, 0.6722, NA, NA, NA, NA
POLYP, STIM, LOW, 6, 2.3536, 1.7479, 1.7054, 0.0425, 4.0531
CYLIX, STIM, LOW, 6, 5.3366, -1.7493, -1.7662, 0.0169, 2.8021
TURTLE, STIM, HIGH, 6, 2.9474, -1.1860, -1.2738, 0.0878, 4.9871
GRAVEL, STIM, HIGH, 6, 5.4423, 2.6226, 2.5536, 0.0690, 3.7862
POOL, FOIL, HIGH, 1, 1.4843, NA, NA, NA, NA
ORIGIN, STIM, LOW, 6, 5.4343, 1.5628, 1.5656, -0.0027, 1.4678
TENNIS, STIM, HIGH, 1, 1.9562, 0.7087, -2.6340, -2.9405, 2.0182
PROOF, STIM, LOW, 6, 9.3569, -2.5252, 1.8247, 1.9333, 7.6058
BRA, FOIL, HIGH, 1, 0.8284, NA, NA, NA, NA
CLOUD, FOIL, HIGH, 1, 0.7130, NA, NA, NA, NA
GONE, FOIL, LOW, 1, 0.7875, NA, NA, NA, NA
JARGON, FOIL, LOW, 1, 0.6283, NA, NA, NA, NA
PEACH, STIM, HIGH, 6, 7.2363, -2.7143, -2.6101, -0.1042, 5.6543
NATION, FOIL, LOW, 1, 1.5900, NA, NA, NA, NA
ROD, FOIL, HIGH, 3, 3.2909, NA, NA, NA, NA
DREARY, FOIL, LOW, 1, 1.2548, NA, NA, NA, NA
REPAIR, FOIL, LOW, 3, 1.9182, NA, NA, NA, NA
FRANK, STIM, LOW, 6, 0.8370, -0.7662, -0.9034, 0.1372, 3.4359
KNOB, FOIL, HIGH, 3, 2.7505, NA, NA, NA, NA
DRAB, STIM, LOW, 3, 1.1100, 2.6578, -2.6593, -0.9661, 6.8886
PHONE, STIM, HIGH, 6, 8.9588, 1.6762, 1.6855, -0.0093, 1.9848
BLEAK, STIM, LOW, 6, 10.0472, 3.0376, -3.0997, -0.1459, 6.9720
AT, FOIL, LOW, 1, 4.4667, NA, NA, NA, NA
HALVE, FOIL, LOW, 1, 0.8027, NA, NA, NA, NA
DEFEAT, STIM, LOW, 6, 7.7309, 1.8713, 2.0087, -0.1374, 3.1190
POOR, FOIL, LOW, 4, 6.6705, NA, NA, NA, NA
RANCID, STIM, LOW, 6, 1.1225, 1.1106, 0.9927, 0.1179, 2.1516
ONE, FOIL, LOW, 1, 3.7168, NA, NA, NA, NA
OTTER, FOIL, HIGH, 1, 0.6939, NA, NA, NA, NA
EMPIRE, STIM, LOW, 6, 0.8745, -1.1019, -1.1446, 0.0427, 3.9196
DITCH, FOIL, HIGH, 1, 1.5698, NA, NA, NA, NA
LEAF, STIM, HIGH, 6, 0.6980, -0.6848, -0.5667, -0.1181, 5.8378
SELL, STIM, LOW, 6, 0.8444, -1.1892, -1.3233, 0.1341, 4.0030
JUPON, STIM, LOW, 6, 1.0287, 2.7003, 2.6180, 0.0823, 3.8196
MELT, FOIL, LOW, 1, 2.0015, NA, NA, NA, NA
TULIP, FOIL, HIGH, 1, 0.9988, NA, NA, NA, NA
RUSH, STIM, LOW, 6, 0.8183, 1.3872, 1.5499, -0.1626, 1.4678
SNUB, FOIL, LOW, 1, 1.9736, NA, NA, NA, NA
WHIP, STIM, HIGH, 6, 4.6294, -0.7305, -0.7227, -0.0077, 1.4678
POT, STIM, HIGH, 6, 9.2833, 0.6078, 0.5980, 0.0098, 4.0030
WENT, STIM, LOW, 6, 4.5471, -1.5365, -1.6174, 0.0809, 0.8840
ZIPPER, FOIL, HIGH, 1, 0.6658, NA, NA, NA, NA
RIB, FOIL, HIGH, 1, 1.5072, NA, NA, NA, NA
UNREST, STIM, LOW, 6, 10.2790, -2.3421, -2.0531, -0.2890, 2.9022
ALWAYS, STIM, LOW, 6, 6.8213, 0.5329, 0.5262, 0.0067, 5.8211
PLUM, STIM, HIGH, 6, 0.5471, 0.7001, 0.3960, 0.3041, 2.8522
TUBE, STIM, HIGH, 6, 2.5219, 2.0461, 2.2195, -0.1734, 2.6187
DUCK, FOIL, HIGH, 1, 0.5352, NA, NA, NA, NA
GUESS, STIM, LOW, 6, 0.7946, 0.1560, 0.0888, 0.0672, 1.7180
CHILD, STIM, HIGH, 6, 0.6711, -0.1004, 1.6855, -1.7859, 7.2889
ELSE, FOIL, LOW, 1, 0.7814, NA, NA, NA, NA
HILL, STIM, HIGH, 6, 3.8215, 1.7490, 2.1139, -0.3649, 4.2699
TOY, STIM, HIGH, 6, 0.8010, 1.6969, 1.7223, -0.0254, 1.3343
BYRE, FOIL, LOW, 1, 2.8756, NA, NA, NA, NA
STRIPE, FOIL, HIGH, 1, 0.7445, NA, NA, NA, NA
BUTYL, STIM, LOW, 6, 1.0734, -0.5289, -0.5315, 0.0025, 6.9886
NADIR, FOIL, LOW, 1, 1.0407, NA, NA, NA, NA
BOLT, FOIL, HIGH, 1, 0.7962, NA, NA, NA, NA
PLEDGE, FOIL, LOW, 1, 0.6309, NA, NA, NA, NA
PICKLE, FOIL, HIGH, 1, 0.5895, NA, NA, NA, NA
CANE, STIM, HIGH, 6, 0.7394, 1.8682, 1.7479, 0.1204, 1.0675
OX, FOIL, HIGH, 1, 0.7059, NA, NA, NA, NA
RIBBON, STIM, HIGH, 6, 10.4393, 3.0976, 3.1311, -0.0335, 1.1676
CREAM, FOIL, HIGH, 1, 0.9118, NA, NA, NA, NA
CHEST, FOIL, HIGH, 1, 0.5601, NA, NA, NA, NA
TALK, FOIL, LOW, 1, 0.5776, NA, NA, NA, NA
FETISH, STIM, LOW, 6, 0.9100, -1.8565, -1.7068, -0.1497, 2.0349
LIMB, STIM, HIGH, 6, 5.1263, -1.7500, -2.0087, 0.2587, 9.5406
RELIEF, FOIL, LOW, 1, 1.4494, NA, NA, NA, NA
EASE, FOIL, LOW, 1, 0.6209, NA, NA, NA, NA
MIGHT, STIM, LOW, 6, 4.0450, -2.7932, -2.7572, -0.0360, 5.4375
BELLE, STIM, LOW, 6, 4.7858, 2.6520, 2.6180, 0.0340, 2.9189
WEED, STIM, HIGH, 6, 0.8536, 1.4101, 1.4142, -0.0041, 1.4344
TOE, FOIL, HIGH, 3, 4.4526, NA, NA, NA, NA
MAIN, FOIL, LOW, 1, 1.2087, NA, NA, NA, NA
DAISY, STIM, HIGH, 6, 0.7523, -0.6658, -0.5735, -0.0922, 5.7377
THE, STIM, LOW, 6, 12.0068, 0.5744, 0.2805, 0.2939, 4.8036
MINNOW, STIM, HIGH, 6, 0.7534, -1.1151, -1.0401, -0.0750, 2.6020
THERE, FOIL, LOW, 1, 1.2130, NA, NA, NA, NA
BREAST, FOIL, HIGH, 1, 0.7526, NA, NA, NA, NA
FOG, STIM, HIGH, 6, 2.4645, -0.4522, -0.4893, 0.0372, 3.7529
CAVE, FOIL, HIGH, 1, 2.9730, NA, NA, NA, NA
BOOK, STIM, HIGH, 6, 8.8669, 2.7444, 2.4774, 0.2671, 1.2009
SPOOL, STIM, HIGH, 6, 5.6821, 0.8083, 0.7670, 0.0413, 2.8355
FAR, STIM, LOW, 6, 7.6830, 2.3929, 2.7889, -0.3960, 2.8688
EVERY, FOIL, LOW, 1, 0.9729, NA, NA, NA, NA
WAMUS, FOIL, LOW, 1, 0.4463, NA, NA, NA, NA
KEVEL, STIM, LOW, 6, 3.8759, 1.7915, 1.7230, 0.0684, 1.7847
GLOVE, STIM, HIGH, 6, 1.1967, 1.6834, 1.5452, 0.1382, 0.8340
OCEAN, STIM, HIGH, 6, 0.9007, -2.7378, -2.6406, -0.0972, 2.9356
ROPE, STIM, HIGH, 6, 0.6182, 0.1334, 0.1404, -0.0071, 1.9515
DOVE, STIM, HIGH, 6, 1.7909, -0.0736, 0.0627, -0.1363, 2.1016
ROCK, FOIL, HIGH, 3, 2.1181, NA, NA, NA, NA
COFFEE, FOIL, HIGH, 1, 1.1198, NA, NA, NA, NA
RATE, FOIL, LOW, 1, 0.7476, NA, NA, NA, NA
ARRAY, FOIL, LOW, 1, 0.6540, NA, NA, NA, NA
SOON, FOIL, LOW, 1, 0.6747, NA, NA, NA, NA
CEMENT, FOIL, HIGH, 1, 0.5353, NA, NA, NA, NA
OLIVE, FOIL, HIGH, 1, 0.8180, NA, NA, NA, NA
CAMP, FOIL, HIGH, 1, 0.6337, NA, NA, NA, NA
BANNER, STIM, HIGH, 6, 10.5064, -2.7729, -2.6687, -0.1042, 3.0690
LOSE, STIM, LOW, 6, 0.7034, -3.0275, -3.0585, 0.0310, 1.6346
AWEIGH, FOIL, LOW, 1, 1.2037, NA, NA, NA, NA
