word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
RAID, STIM, LOW, 6, 6.5830, 1.8378, -2.7539, -1.6915, 0.3336
BOOT, FOIL, HIGH, 1, 1.9601, NA, NA, NA, NA
COOKIE, STIM, HIGH, 6, 0.8023, 1.3927, 2.2236, -0.8309, 3.2358
BRANCH, STIM, HIGH, 6, 1.4688, -2.1838, -2.8344, 0.6506, 0.8340
PEACE, FOIL, LOW, 1, 0.8191, NA, NA, NA, NA
THINK, FOIL, LOW, 1, 1.3604, NA, NA, NA, NA
CAVE, STIM, HIGH, 6, 1.5466, -0.3242, -1.0535, 0.7293, 0.6171
FOAL, FOIL, LOW, 1, 0.8038, NA, NA, NA, NA
POLE, FOIL, HIGH, 1, 2.2355, NA, NA, NA, NA
ICE, FOIL, HIGH, 1, 0.6860, NA, NA, NA, NA
WAX, FOIL, HIGH, 1, 0.9868, NA, NA, NA, NA
HAS, STIM, LOW, 6, 0.8786, -0.7931, -0.6651, -0.1280, 0.9340
TAPE, STIM, HIGH, 6, 1.0639, -2.7267, 2.3230, 1.2335, 0.4170
ADORN, FOIL, LOW, 1, 0.5345, NA, NA, NA, NA
THUMB, FOIL, HIGH, 1, 0.5755, NA, NA, NA, NA
YUCCA, STIM, LOW, 6, 0.6095, -3.0190, -0.8254, -2.1937, 1.5679
TOAD, STIM, HIGH, 6, 0.6518, -2.9303, -2.6547, -0.2756, 0.5171
SLOE, FOIL, LOW, 1, 0.8796, NA, NA, NA, NA
LATTER, STIM, LOW, 6, 0.6286, 0.9694, 0.6425, 0.3269, 0.5838
EVEN, STIM, LOW, 3, 4.1703, -2.9591, 0.7926, 2.5314, 0.3336
HOOF, STIM, HIGH, 6, 1.4181, -3.0661, -0.8814, -2.1847, 2.4685
SCOUT, STIM, HIGH, 6, 0.7650, -1.6550, -0.6780, -0.9770, 1.5178
GREED, STIM, LOW, 6, 0.6195, 0.5089, -0.8108, 1.3197, 0.5838
WOE, STIM, LOW, 6, 0.8749, 2.0510, 2.2872, -0.2362, 0.7172
SLAY, STIM, LOW, 6, 0.5751, -1.8832, -2.2823, 0.3991, 1.0008
HEALTH, FOIL, LOW, 1, 0.8102, NA, NA, NA, NA
CLOUD, STIM, HIGH, 3, 3.4791, 1.9021, 1.2055, 0.6966, 0.4337
WINDOW, FOIL, HIGH, 1, 1.3157, NA, NA, NA, NA
GRAPE, FOIL, HIGH, 1, 1.0306, NA, NA, NA, NA
QUICK, STIM, LOW, 4, 2.9321, -0.9283, -2.5420, 1.6137, 2.6353
CHAIR, FOIL, HIGH, 1, 1.7533, NA, NA, NA, NA
GENIUS, FOIL, LOW, 1, 1.0073, NA, NA, NA, NA
DEBATE, FOIL, LOW, 1, 0.9833, NA, NA, NA, NA
TIGER, STIM, HIGH, 6, 0.7347, -1.0723, 1.0815, -2.1537, 5.0372
CLASH, FOIL, LOW, 1, 0.7635, NA, NA, NA, NA
CHEAT, FOIL, LOW, 3, 1.0631, NA, NA, NA, NA
UP, STIM, LOW, 6, 0.9077, -2.2850, 0.6330, -2.9180, 2.7521
OWL, FOIL, HIGH, 1, 1.0190, NA, NA, NA, NA
BEETLE, STIM, HIGH, 6, 0.7976, 1.2952, 0.7854, 0.5098, 0.7339
JERSEY, FOIL, HIGH, 1, 0.6761, NA, NA, NA, NA
SKIRT, STIM, HIGH, 6, 4.3875, 0.7191, 0.8172, -0.0980, 0.5671
LESS, STIM, LOW, 6, 3.4118, 1.2619, 1.7171, -0.4552, 1.2009
ANNEAL, STIM, LOW, 6, 0.8783, -0.9834, 2.7715, 2.5283, 0.3669
PONY, FOIL, HIGH, 1, 0.9052, NA, NA, NA, NA
SALE, STIM, LOW, 6, 0.6327, -2.6985, -0.1390, -2.5595, 3.3025
ROD, FOIL, HIGH, 1, 0.7517, NA, NA, NA, NA
THUD, FOIL, LOW, 1, 1.2741, NA, NA, NA, NA
GLOOM, STIM, LOW, 6, 0.6346, 1.3847, -0.7891, 2.1737, 0.8340
