word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
HAVE, FOIL, LOW, 4, 1.0155, NA, NA, NA, NA
STAY, FOIL, LOW, 5, 0.7720, NA, NA, NA, NA
EAR, STIM, HIGH, 6, 0.6428, 0.1602, -1.6809, 1.8410, 3.6861
TYPE, FOIL, LOW, 6, 1.9932, NA, NA, NA, NA
ANCHOR, FOIL, HIGH, 3, 1.0473, NA, NA, NA, NA
MAIN, STIM, LOW, 4, 0.6824, 1.1526, 1.9811, -0.8285, 0.6171
HATRED, STIM, LOW, 6, 0.5158, -1.3144, -1.6274, 0.3130, 1.1509
SHRUB, FOIL, HIGH, 6, 1.1130, NA, NA, NA, NA
TOMATO, FOIL, HIGH, 4, 0.5262, NA, NA, NA, NA
ROE, FOIL, LOW, 3, 0.5855, NA, NA, NA, NA
ORANGE, STIM, HIGH, 6, 0.6508, 2.2294, -1.6643, -2.3895, 1.0341
SHIP, STIM, HIGH, 4, 0.3372, -0.9562, 2.7524, 2.5746, 5.9545
GIN, FOIL, HIGH, 3, 0.4834, NA, NA, NA, NA
TUNNEL, STIM, HIGH, 6, 0.4370, 0.7456, 2.9627, -2.2171, 0.7005
WILL, FOIL, LOW, 5, 0.5735, NA, NA, NA, NA
WARE, FOIL, LOW, 6, 0.8525, NA, NA, NA, NA
WHEEL, FOIL, HIGH, 4, 0.5153, NA, NA, NA, NA
SKATE, STIM, HIGH, 3, 0.6001, -3.0289, 0.9814, 2.2729, 1.1842
TAKE, STIM, LOW, 6, 0.6179, -1.4576, -0.7854, -0.6722, 0.6672
FIORD, STIM, HIGH, 4, 0.0166, 1.7266, 0.0992, 1.6275, 1.0174
SHEEP, STIM, HIGH, 6, 0.8515, 3.0492, -0.7596, -2.4744, 1.0842
PORCH, STIM, HIGH, 6, 0.6573, -3.0962, -2.5334, -0.5627, 1.1676
PEON, FOIL, LOW, 3, 0.7795, NA, NA, NA, NA
THEY, FOIL, LOW, 5, 1.5592, NA, NA, NA, NA
FARE, STIM, LOW, 6, 1.0975, -1.4892, -0.0052, -1.4840, 1.5679
LIE, STIM, LOW, 3, 1.0417, -0.6936, 2.3525, -3.0462, 0.8340
KNIFE, STIM, HIGH, 4, 0.7275, 2.2257, -0.2107, 2.4364, 0.7839
CRADLE, FOIL, HIGH, 5, 0.9812, NA, NA, NA, NA
NAVEL, STIM, HIGH, 6, 0.9712, -0.8262, 2.1862, -3.0124, 0.7172
TONGUE, FOIL, HIGH, 3, 0.8699, NA, NA, NA, NA
RIVER, FOIL, HIGH, 6, 0.5856, NA, NA, NA, NA
SKIN, STIM, HIGH, 6, 0.7052, 0.6475, -0.7336, 1.3810, 0.9340
SEVER, FOIL, LOW, 6, 1.0610, NA, NA, NA, NA
SHOE, STIM, HIGH, 4, 0.9616, 0.0081, 0.5476, -0.5395, 1.1509
NICETY, FOIL, LOW, 3, 0.8588, NA, NA, NA, NA
PIOUS, STIM, LOW, 3, 0.9943, 1.2685, 1.2077, 0.0608, 0.5838
WEAR, STIM, LOW, 6, 0.8122, -1.4464, -2.4402, 0.9939, 0.7839
MEN, FOIL, HIGH, 4, 0.5565, NA, NA, NA, NA
PICKLE, STIM, HIGH, 2, 0.6593, 2.1582, -1.7209, -2.4041, 0.1835
SHIELD, FOIL, HIGH, 3, 0.6680, NA, NA, NA, NA
SEARCH, FOIL, LOW, 6, 0.6877, NA, NA, NA, NA
DONE, FOIL, LOW, 6, 0.7783, NA, NA, NA, NA
BLAME, STIM, LOW, 6, 0.8422, 1.9134, -1.4607, -2.9090, 3.2525
CAN, FOIL, LOW, 5, 1.9819, NA, NA, NA, NA
MONK, FOIL, HIGH, 1, 1.3589, NA, NA, NA, NA
COCK, FOIL, HIGH, 5, 1.6275, NA, NA, NA, NA
RUG, STIM, HIGH, 6, 1.4040, -0.9902, -0.5033, -0.4869, 0.1334
HOTEL, STIM, HIGH, 6, 0.8982, -0.9641, -2.7834, 1.8193, 7.2889
RHYME, FOIL, LOW, 3, 0.9645, NA, NA, NA, NA
WALNUT, FOIL, HIGH, 1, 1.2571, NA, NA, NA, NA
PIECE, STIM, LOW, 6, 1.6072, -2.1805, -0.9221, -1.2584, 1.1342
HEAL, STIM, LOW, 6, 0.8953, 0.5396, -0.1153, 0.6549, 1.5679
BE, FOIL, LOW, 3, 0.8102, NA, NA, NA, NA
SCORN, STIM, LOW, 6, 1.0710, 2.6235, 0.7965, 1.8271, 3.0857
VASE, FOIL, HIGH, 3, 0.7577, NA, NA, NA, NA
LIAR, STIM, LOW, 6, 1.1374, 0.3010, 0.0416, 0.2594, 1.3677
OX, STIM, HIGH, 6, 0.6435, -1.8079, 0.2154, -2.0233, 0.7506
SLEEVE, FOIL, HIGH, 3, 0.9053, NA, NA, NA, NA
COOKIE, STIM, HIGH, 6, 1.0872, -1.0267, 0.3497, -1.3764, 6.0713
TOY, FOIL, HIGH, 4, 1.4225, NA, NA, NA, NA
SWAYED, FOIL, LOW, 3, 1.1679, NA, NA, NA, NA
NAIL, STIM, HIGH, 6, 0.9726, -0.2617, 1.4768, -1.7385, 0.8340
HAWK, STIM, HIGH, 6, 0.6724, -0.8191, 2.8827, 2.5815, 0.3169
SOLD, STIM, LOW, 6, 1.4682, -1.1431, -0.8224, -0.3207, 2.9689
DID, STIM, LOW, 5, 1.1132, 1.7451, 0.6780, 1.0671, 1.5011
SEER, STIM, LOW, 4, 0.8222, 0.6442, 1.5865, -0.9423, 0.9841
SHARK, STIM, HIGH, 6, 1.0148, 0.8383, 2.4072, -1.5689, 0.5171
LOGIC, STIM, LOW, 2, 0.9888, -0.2215, -2.9524, 2.7309, 0.6505
KISS, FOIL, HIGH, 4, 1.7744, NA, NA, NA, NA
BRA, FOIL, HIGH, 1, 1.3157, NA, NA, NA, NA
SNEEZE, FOIL, HIGH, 1, 1.5205, NA, NA, NA, NA
SHIRT, STIM, HIGH, 1, 0.9569, 2.6842, 0.2260, 2.4582, 0.9007
THROAT, FOIL, HIGH, 6, 1.0590, NA, NA, NA, NA
VINE, FOIL, HIGH, 3, 1.0832, NA, NA, NA, NA
INK, FOIL, HIGH, 6, 0.7214, NA, NA, NA, NA
RENT, STIM, LOW, 6, 0.7650, 3.0186, 1.4451, 1.5735, 1.3010
IRIS, FOIL, HIGH, 6, 0.7730, NA, NA, NA, NA
PAVIS, STIM, LOW, 6, 0.5510, -2.2060, -0.2374, -1.9686, 1.3177
ASPECT, FOIL, LOW, 1, 1.9892, NA, NA, NA, NA
ABYSS, STIM, LOW, 6, 0.9497, 2.4685, 3.1207, -0.6521, 0.5838
PALACE, STIM, HIGH, 6, 0.7247, -2.7838, -1.4932, -1.2906, 0.8673
MYTH, FOIL, LOW, 1, 1.1651, NA, NA, NA, NA
HALE, FOIL, LOW, 6, 0.7409, NA, NA, NA, NA
REFUSE, STIM, LOW, 5, 1.4414, 0.9202, -2.7621, -2.6010, 1.1175
