word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
MORAL, FOIL, LOW, 3, 1.1405, NA, NA, NA, NA
FRIEZE, STIM, LOW, 6, 0.6454, 2.8862, -1.3346, -2.0623, 1.2009
COIN, FOIL, HIGH, 2, 0.9534, NA, NA, NA, NA
ON, FOIL, LOW, 1, 2.1114, NA, NA, NA, NA
CORN, FOIL, HIGH, 2, 0.8838, NA, NA, NA, NA
LABOUR, STIM, LOW, 6, 1.0609, -1.5639, -1.3499, -0.2140, 1.9515
MOUSER, STIM, LOW, 6, 0.5392, -0.8380, -2.7379, 1.8999, 0.2168
BIBLE, FOIL, HIGH, 2, 0.8598, NA, NA, NA, NA
AWAY, FOIL, LOW, 3, 0.8331, NA, NA, NA, NA
LEVEL, STIM, LOW, 5, 1.0962, -0.6774, -1.6826, 1.0052, 0.3169
WING, STIM, HIGH, 6, 0.6244, 1.8109, 0.7854, 1.0255, 0.2168
FOOL, FOIL, LOW, 1, 0.7592, NA, NA, NA, NA
GRASS, STIM, HIGH, 6, 0.5724, -1.5495, -1.8583, 0.3088, 1.3177
SHIP, FOIL, HIGH, 2, 0.7941, NA, NA, NA, NA
DAMAGE, STIM, LOW, 6, 0.5957, 2.2801, 0.5867, 1.6935, 0.2835
CRYPT, FOIL, HIGH, 2, 0.7200, NA, NA, NA, NA
STUNT, STIM, LOW, 6, 0.6242, -0.7020, -2.0548, 1.3528, 0.3669
LIZARD, STIM, HIGH, 6, 0.5102, -1.8363, -1.1095, -0.7268, 0.6005
IDEA, STIM, LOW, 6, 0.4799, 0.3440, -0.6915, 1.0354, 0.4503
SPOOL, FOIL, HIGH, 1, 0.6424, NA, NA, NA, NA
SIZE, FOIL, LOW, 5, 1.0367, NA, NA, NA, NA
VULGAR, FOIL, LOW, 1, 0.9154, NA, NA, NA, NA
GILT, STIM, LOW, 6, 0.4997, -2.0793, 2.6999, 1.5040, 0.2835
BANANA, FOIL, HIGH, 1, 1.2561, NA, NA, NA, NA
FIND, FOIL, LOW, 1, 1.0248, NA, NA, NA, NA
CULT, FOIL, LOW, 2, 1.2759, NA, NA, NA, NA
MIGHT, STIM, LOW, 6, 0.6801, -0.6669, -1.5156, 0.8486, 0.2502
TRUCK, STIM, HIGH, 6, 0.6800, 2.6522, -2.4514, -1.1796, 0.2835
DAGGER, FOIL, HIGH, 2, 0.6682, NA, NA, NA, NA
HONEY, STIM, HIGH, 6, 0.4741, -2.8041, -0.3634, -2.4407, 0.3503
STOIC, STIM, LOW, 6, 0.3825, -2.7407, 1.6167, 1.9258, 0.1168
GOOD, STIM, LOW, 6, 0.4710, -2.6982, 2.9942, 0.5909, 0.1835
DECEIT, STIM, LOW, 6, 0.5563, 1.6722, 2.1015, -0.4293, 0.2335
RUBBER, STIM, HIGH, 6, 0.5666, -0.1942, 2.4940, -2.6882, 0.1835
WRACK, FOIL, LOW, 1, 0.8743, NA, NA, NA, NA
BITTER, STIM, LOW, 6, 0.5271, -1.5578, -0.8476, -0.7102, 0.4337
BOOT, STIM, HIGH, 6, 0.7908, 0.5318, 0.0959, 0.4360, 0.1501
MUG, FOIL, HIGH, 6, 0.8381, NA, NA, NA, NA
GOAT, FOIL, HIGH, 2, 0.7127, NA, NA, NA, NA
EERIE, FOIL, LOW, 1, 0.4970, NA, NA, NA, NA
ALLEY, STIM, HIGH, 6, 0.6617, 0.1632, 1.0130, -0.8498, 0.2835
CATTLE, FOIL, HIGH, 1, 0.9079, NA, NA, NA, NA
BUSY, FOIL, LOW, 3, 1.8809, NA, NA, NA, NA
INFANT, FOIL, HIGH, 1, 0.9161, NA, NA, NA, NA
SILVER, STIM, HIGH, 6, 0.5539, 0.6053, -2.5006, 3.1059, 0.4170
POOL, FOIL, HIGH, 1, 0.9250, NA, NA, NA, NA
SOP, STIM, LOW, 6, 0.7417, -0.5736, 0.5659, -1.1395, 0.2835
PIECE, FOIL, LOW, 6, 1.1994, NA, NA, NA, NA
PINE, STIM, HIGH, 6, 0.5491, -2.2961, 2.3217, 1.6653, 0.3336
ENVY, STIM, LOW, 6, 0.5214, -2.1063, -1.0779, -1.0284, 0.4003
NUN, STIM, HIGH, 6, 0.5314, -1.7748, -1.5136, -0.2612, 0.3336
A, STIM, LOW, 6, 0.5369, 2.6752, 2.1059, 0.5692, 0.7672
GRAVY, STIM, HIGH, 6, 0.4183, 2.2679, -0.5980, 2.8659, 0.2835
IN, FOIL, LOW, 1, 0.8543, NA, NA, NA, NA
ANSWER, FOIL, LOW, 2, 0.7112, NA, NA, NA, NA
CARROT, FOIL, HIGH, 1, 0.6915, NA, NA, NA, NA
VEIN, STIM, HIGH, 6, 0.4915, -1.4455, -2.6958, 1.2503, 0.2168
CLAMOR, FOIL, LOW, 1, 0.9181, NA, NA, NA, NA
FOURTH, STIM, LOW, 4, 2.7916, -2.4348, 2.4246, 1.4238, 0.2002
TRUCE, FOIL, LOW, 1, 0.9124, NA, NA, NA, NA
HINT, FOIL, LOW, 1, 0.9039, NA, NA, NA, NA
WIFE, STIM, HIGH, 6, 0.5422, 2.6360, 0.9534, 1.6826, 0.1001
COOKIE, FOIL, HIGH, 1, 0.9714, NA, NA, NA, NA
WEIGH, FOIL, LOW, 1, 1.3453, NA, NA, NA, NA
