word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
GOWN, FOIL, HIGH, 1, 1.3152, NA, NA, NA, NA
CORPSE, STIM, HIGH, 6, 0.4432, 1.4472, -1.3684, 2.8156, 0.4003
STATUE, STIM, HIGH, 6, 0.5214, -3.0320, -3.0190, -0.0131, 0.4503
COAST, FOIL, HIGH, 6, 0.5183, NA, NA, NA, NA
FINITE, FOIL, LOW, 6, 0.6987, NA, NA, NA, NA
PLAIN, FOIL, LOW, 1, 0.6326, NA, NA, NA, NA
MARBLE, FOIL, HIGH, 1, 0.6517, NA, NA, NA, NA
SOCIAL, STIM, LOW, 6, 0.5061, -1.9824, 1.8029, 2.4979, 0.0167
COPPER, STIM, HIGH, 6, 0.5072, -0.7588, 2.8853, 2.6391, 0.3336
BEAST, STIM, HIGH, 1, 0.6925, 1.7384, -1.7344, -2.8104, 0.0834
EMPIRE, STIM, LOW, 6, 0.6701, 1.7219, -0.8050, 2.5269, 0.2335
THESE, STIM, LOW, 6, 0.9242, 1.7317, 1.0446, 0.6871, 0.1334
WHALE, STIM, HIGH, 6, 0.6236, -1.6765, -2.6741, 0.9977, 0.0667
UNCLE, FOIL, HIGH, 1, 0.5779, NA, NA, NA, NA
THERE, FOIL, LOW, 1, 2.8352, NA, NA, NA, NA
REPAIR, STIM, LOW, 6, 0.6574, 0.8347, 2.5756, -1.7410, 0.0834
PAT, FOIL, LOW, 1, 0.5543, NA, NA, NA, NA
MEADOW, FOIL, HIGH, 1, 0.6811, NA, NA, NA, NA
HIGHER, FOIL, LOW, 1, 0.7252, NA, NA, NA, NA
TENURE, STIM, LOW, 6, 0.5815, 0.1723, -0.1636, 0.3359, 0.0500
RAT, STIM, HIGH, 6, 1.6385, -1.5443, -2.5432, 0.9989, 0.0334
GREAT, STIM, LOW, 1, 0.5242, 0.4325, 2.9756, -2.5431, 0.2168
RAZE, STIM, LOW, 6, 0.5753, -1.6288, -2.6118, 0.9830, 0.0834
REFLEX, FOIL, LOW, 1, 0.5194, NA, NA, NA, NA
ORANGE, FOIL, HIGH, 1, 0.5851, NA, NA, NA, NA
SICK, STIM, LOW, 6, 0.4705, -1.8456, 1.8140, 2.6236, 0.0500
BRA, STIM, HIGH, 6, 0.5722, -0.8652, -0.5353, -0.3300, 0.3503
VAULT, FOIL, HIGH, 1, 0.5487, NA, NA, NA, NA
BYRE, FOIL, LOW, 1, 0.5804, NA, NA, NA, NA
SALAD, FOIL, HIGH, 1, 0.7043, NA, NA, NA, NA
ZEAL, FOIL, LOW, 1, 0.6598, NA, NA, NA, NA
MUCUS, FOIL, HIGH, 3, 0.7957, NA, NA, NA, NA
SWAGE, STIM, LOW, 6, 0.6904, 1.6225, -2.7170, -1.9437, 0.7005
SPOOL, FOIL, HIGH, 1, 0.8997, NA, NA, NA, NA
SPLIT, FOIL, LOW, 6, 0.6249, NA, NA, NA, NA
PLIERS, STIM, HIGH, 6, 0.5439, 0.9620, 0.7395, 0.2225, 0.1501
JAW, STIM, HIGH, 6, 0.9383, -2.4752, -1.9693, -0.5059, 0.0334
SHIP, STIM, HIGH, 3, 1.0289, 2.9066, 1.6286, 1.2780, 0.0500
RAKE, FOIL, HIGH, 5, 1.0844, NA, NA, NA, NA
DAD, STIM, HIGH, 6, 0.6885, -0.2545, -1.3918, 1.1372, 0.2669
ZENITH, STIM, LOW, 6, 1.7211, 1.8061, 0.1493, 1.6569, 0.0334
PROOF, STIM, LOW, 1, 0.7864, 1.1288, -1.2956, 2.4244, 0.2669
DUMMY, FOIL, HIGH, 1, 0.6611, NA, NA, NA, NA
HARP, FOIL, HIGH, 2, 0.8744, NA, NA, NA, NA
HEIR, STIM, LOW, 6, 0.6147, 1.3567, 1.4980, -0.1413, 0.0667
MARKET, FOIL, HIGH, 3, 0.6360, NA, NA, NA, NA
PIGEON, FOIL, HIGH, 2, 0.7807, NA, NA, NA, NA
JUNIOR, FOIL, LOW, 1, 0.5383, NA, NA, NA, NA
BAT, FOIL, HIGH, 4, 0.8244, NA, NA, NA, NA
CHOW, STIM, LOW, 2, 0.7161, -3.0681, -3.0750, 0.0069, 0.5171
TRUST, STIM, LOW, 6, 0.6516, -2.3379, 1.5708, 2.3745, 0.0667
GRASS, STIM, HIGH, 1, 0.5582, -1.5032, 2.1078, 2.6722, 0.0834
CLOTH, STIM, HIGH, 6, 0.4907, 0.4162, -1.4910, 1.9072, 0.0667
SYMBOL, FOIL, LOW, 3, 0.5819, NA, NA, NA, NA
CORAL, STIM, HIGH, 2, 0.5755, -2.5324, -1.8521, -0.6803, 0.2002
ROBIN, FOIL, HIGH, 3, 0.6333, NA, NA, NA, NA
SCARE, STIM, LOW, 2, 0.6886, 0.3798, -2.8264, -3.0770, 0.0667
SKIN, FOIL, HIGH, 2, 0.7407, NA, NA, NA, NA
APPLE, STIM, HIGH, 6, 0.5814, 2.6906, 1.4442, 1.2464, 0.0667
AWAY, FOIL, LOW, 1, 0.5902, NA, NA, NA, NA
TIDY, STIM, LOW, 6, 1.3126, -0.4931, 1.2545, -1.7476, 0.3503
JUPON, STIM, LOW, 1, 0.5894, -2.3319, 0.0706, -2.4025, 1.0341
MISTER, FOIL, LOW, 1, 0.6057, NA, NA, NA, NA
MIGHT, FOIL, LOW, 1, 0.5839, NA, NA, NA, NA
COOKIE, STIM, HIGH, 6, 0.5402, 0.7943, -1.6146, 2.4088, 0.0334
HORSE, FOIL, HIGH, 3, 1.0035, NA, NA, NA, NA
FEET, STIM, HIGH, 6, 0.9468, -3.0345, 1.3959, 1.8528, 0.0834
VIGIL, FOIL, LOW, 2, 0.9614, NA, NA, NA, NA
BECAME, STIM, LOW, 6, 0.6032, 2.6442, 0.0000, 2.6442, 0.0667
SALOL, STIM, LOW, 6, 0.5026, -0.1711, -1.3193, 1.1482, 0.0667
MORASS, FOIL, LOW, 3, 0.6973, NA, NA, NA, NA
GLOVE, FOIL, HIGH, 2, 0.9335, NA, NA, NA, NA
CHEST, FOIL, HIGH, 6, 0.7036, NA, NA, NA, NA
CLOWN, STIM, HIGH, 6, 0.6052, 2.8677, -1.4245, -1.9910, 0.0167
SAGA, FOIL, LOW, 5, 0.7393, NA, NA, NA, NA
WE, FOIL, LOW, 1, 1.0106, NA, NA, NA, NA
LESSEN, FOIL, LOW, 1, 0.8551, NA, NA, NA, NA
TILL, STIM, LOW, 5, 0.4951, 0.7021, -0.4456, 1.1477, 0.2002
MORE, STIM, LOW, 5, 1.6249, 1.1719, 2.0835, -0.9116, 0.0834
SNOW, STIM, HIGH, 2, 0.7829, -2.8092, 0.1407, -2.9499, 0.0334
CLAW, FOIL, HIGH, 5, 3.1549, NA, NA, NA, NA
SEQUEL, STIM, LOW, 6, 0.5785, -2.4551, -0.5976, -1.8575, 0.4503
DRESS, FOIL, HIGH, 1, 0.4915, NA, NA, NA, NA
DIVING, FOIL, HIGH, 1, 1.4514, NA, NA, NA, NA
LOSS, FOIL, LOW, 1, 0.5510, NA, NA, NA, NA
SIGIL, STIM, LOW, 6, 0.6416, 1.8224, 3.1377, -1.3153, 0.0834
TURTLE, STIM, HIGH, 6, 0.8634, -0.3712, 1.8568, -2.2281, 0.0334
JEWEL, STIM, HIGH, 6, 0.6542, 3.1262, -1.4314, -1.7256, 0.0167
DUAL, FOIL, LOW, 4, 0.8004, NA, NA, NA, NA
HATE, STIM, LOW, 3, 0.7792, 1.7656, -0.9106, 2.6762, 0.4503
MORAL, STIM, LOW, 5, 0.6383, 2.0500, 0.5636, 1.4864, 0.0500
EARTH, STIM, HIGH, 6, 0.4486, -1.7577, -2.1910, 0.4334, 0.0500
THROE, FOIL, LOW, 2, 0.8080, NA, NA, NA, NA
WANT, FOIL, LOW, 6, 0.5600, NA, NA, NA, NA
FROG, STIM, HIGH, 6, 0.6177, -0.4957, -1.4801, 0.9844, 0.1668
JAR, FOIL, HIGH, 2, 0.6819, NA, NA, NA, NA
WENT, STIM, LOW, 6, 0.7028, 2.0795, 1.1651, 0.9144, 0.0334
SHAME, STIM, LOW, 6, 0.6697, 0.8964, -0.1699, 1.0663, 0.2168
TALUK, FOIL, LOW, 3, 0.7251, NA, NA, NA, NA
OUTSET, FOIL, LOW, 1, 0.7802, NA, NA, NA, NA
WHIFF, STIM, LOW, 6, 1.4188, 2.0161, 1.0821, 0.9340, 0.0500
USURP, FOIL, LOW, 1, 0.8607, NA, NA, NA, NA
GARLIC, FOIL, HIGH, 2, 0.8032, NA, NA, NA, NA
SHOCK, FOIL, LOW, 6, 0.4897, NA, NA, NA, NA
WALL, FOIL, HIGH, 6, 0.5209, NA, NA, NA, NA
MIEN, STIM, LOW, 6, 0.5445, -1.1391, -0.6357, -0.5034, 0.2335
SEINE, STIM, LOW, 6, 0.5384, 2.9568, 1.5991, 1.3577, 0.0500
FAIR, STIM, LOW, 6, 0.6056, -0.4377, 0.9916, -1.4293, 0.5004
BREAD, STIM, HIGH, 6, 0.5599, -0.0931, 1.5838, -1.6769, 0.3669
DOOR, FOIL, HIGH, 4, 1.0414, NA, NA, NA, NA
FOREST, FOIL, HIGH, 6, 0.7996, NA, NA, NA, NA
DUST, STIM, HIGH, 6, 0.7892, 2.8543, 0.0000, 2.8543, 0.0167
WATER, STIM, HIGH, 4, 0.9020, -2.3776, -0.7632, -1.6145, 0.0334
STEAM, FOIL, HIGH, 6, 0.5338, NA, NA, NA, NA
ARROW, STIM, HIGH, 5, 1.6136, -2.5968, 0.0000, -2.5968, 0.0334
ASSIST, FOIL, LOW, 4, 0.8358, NA, NA, NA, NA
THAT, FOIL, LOW, 2, 1.0425, NA, NA, NA, NA
ASPECT, STIM, LOW, 6, 0.6901, -0.6062, 1.2031, -1.8093, 0.0500
PEACH, STIM, HIGH, 6, 0.7319, -1.3527, 1.2774, -2.6302, 0.0834
BELLY, FOIL, HIGH, 3, 0.9694, NA, NA, NA, NA
CORPS, FOIL, LOW, 6, 12.3981, NA, NA, NA, NA
DOTAGE, FOIL, LOW, 2, 0.8772, NA, NA, NA, NA
PAGE, FOIL, HIGH, 5, 0.6605, NA, NA, NA, NA
NO, STIM, LOW, 6, 0.6183, 1.2792, 1.6009, -0.3217, 0.3169
BAR, STIM, HIGH, 6, 0.5382, -2.6651, -1.8551, -0.8100, 0.3336
WORN, STIM, LOW, 4, 0.8914, 3.1092, 0.6601, 2.4491, 0.0334
THEFT, STIM, LOW, 6, 0.4380, 1.7993, 3.1416, -1.3423, 0.0334
BORN, FOIL, LOW, 5, 0.6055, NA, NA, NA, NA
ROPE, STIM, HIGH, 6, 0.8207, -1.7556, -1.5708, -0.1848, 0.0167
HOUND, FOIL, HIGH, 4, 0.7801, NA, NA, NA, NA
TOMATO, FOIL, HIGH, 6, 1.1406, NA, NA, NA, NA
SWORD, STIM, HIGH, 6, 1.3375, 0.4429, -0.7014, 1.1443, 0.0334
GIN, STIM, HIGH, 4, 0.7873, -0.0809, -0.1200, 0.0391, 0.2669
ZIPPER, STIM, HIGH, 6, 0.9883, 3.0236, -2.9661, -0.2935, 0.0167
AIRY, FOIL, LOW, 4, 0.4841, NA, NA, NA, NA
BLADE, FOIL, HIGH, 6, 0.6973, NA, NA, NA, NA
COIN, FOIL, HIGH, 3, 0.6226, NA, NA, NA, NA
GRAVEL, STIM, HIGH, 6, 0.7247, 2.4345, -0.2692, 2.7036, 0.0334
BABY, FOIL, HIGH, 3, 0.8573, NA, NA, NA, NA
FARM, STIM, HIGH, 6, 0.7442, -1.6225, -1.0522, -0.5703, 0.0500
TOE, STIM, HIGH, 6, 1.4999, -2.9995, 0.2953, 2.9885, 0.4670
ZONE, STIM, LOW, 5, 1.0489, -2.2997, 1.6548, 2.3287, 0.3503
ANCHOR, STIM, HIGH, 6, 1.4304, 2.7234, 0.0000, 2.7234, 1.5011
WOMAN, STIM, HIGH, 6, 0.8126, -0.0946, -1.3894, 1.2948, 0.0500
MANTLE, FOIL, HIGH, 5, 1.0500, NA, NA, NA, NA
BITTER, FOIL, LOW, 4, 1.3759, NA, NA, NA, NA
AUDIT, FOIL, LOW, 3, 1.2933, NA, NA, NA, NA
CANAL, STIM, HIGH, 6, 0.9667, 0.7703, -0.1701, 0.9404, 10.4746
FOIBLE, FOIL, LOW, 2, 1.0505, NA, NA, NA, NA
PAIR, FOIL, LOW, 4, 0.7806, NA, NA, NA, NA
