word,list,list_type
excuse,1,orthographic
except,1,orthographic
expert,1,orthographic
exists,1,orthographic
exotic,1,orthographic
extent,1,orthographic
excess,1,orthographic
excite,1,orthographic
extras,1,orthographic
exceed,1,orthographic
exhale,1,orthographic
expire,1,orthographic
exiled,1,orthographic
export,1,orthographic
exited,1,orthographic
exodus,1,orthographic
extort,1,orthographic
exempt,1,orthographic
exhume,1,orthographic
unless,2,orthographic
united,2,orthographic
unlike,2,orthographic
unable,2,orthographic
unfair,2,orthographic
unlock,2,orthographic
unload,2,orthographic
unpack,2,orthographic
unreal,2,orthographic
undone,2,orthographic
uneasy,2,orthographic
unborn,2,orthographic
unseen,2,orthographic
uncles,2,orthographic
undead,2,orthographic
unsafe,2,orthographic
unkind,2,orthographic
untrue,2,orthographic
unholy,2,orthographic
unfold,2,orthographic
unwind,2,orthographic
uncool,2,orthographic
unjust,2,orthographic
unrest,2,orthographic
unsure,2,orthographic
untold,2,orthographic
untied,2,orthographic
unwise,2,orthographic
unions,2,orthographic
unpaid,2,orthographic
unplug,2,orthographic
unhook,2,orthographic
uneven,2,orthographic
unruly,2,orthographic
unused,2,orthographic
unveil,2,orthographic
unsaid,2,orthographic
unisex,2,orthographic
unites,2,orthographic
unwrap,2,orthographic
unduly,2,orthographic
unison,2,orthographic
untidy,2,orthographic
unwell,2,orthographic
follow,3,orthographic
forgot,3,orthographic
forced,3,orthographic
fought,3,orthographic
fourth,3,orthographic
former,3,orthographic
forces,3,orthographic
fooled,3,orthographic
forbid,3,orthographic
formal,3,orthographic
formed,3,orthographic
forged,3,orthographic
folded,3,orthographic
fouled,3,orthographic
folder,3,orthographic
fossil,3,orthographic
format,3,orthographic
fondly,3,orthographic
forego,3,orthographic
fondue,3,orthographic
fondle,3,orthographic
forger,3,orthographic
fodder,3,orthographic
fonder,3,orthographic
fogged,3,orthographic
forage,3,orthographic
longer,4,orthographic
lovely,4,orthographic
losing,4,orthographic
locked,4,orthographic
lonely,4,orthographic
loving,4,orthographic
loaded,4,orthographic
locker,4,orthographic
locate,4,orthographic
lovers,4,orthographic
louder,4,orthographic
losers,4,orthographic
lounge,4,orthographic
loosen,4,orthographic
losses,4,orthographic
lowest,4,orthographic
locals,4,orthographic
lotion,4,orthographic
loudly,4,orthographic
loaned,4,orthographic
lodged,4,orthographic
loathe,4,orthographic
logged,4,orthographic
lockup,4,orthographic
looker,4,orthographic
lowers,4,orthographic
lookee,4,orthographic
locket,4,orthographic
looney,4,orthographic
looser,4,orthographic
loaves,4,orthographic
looped,4,orthographic
loader,4,orthographic
lodges,4,orthographic
loofah,4,orthographic
loaner,4,orthographic
locale,4,orthographic
finish,5,orthographic
finger,5,orthographic
filled,5,orthographic
finest,5,orthographic
firing,5,orthographic
fights,5,orthographic
fixing,5,orthographic
fields,5,orthographic
filing,5,orthographic
fierce,5,orthographic
finals,5,orthographic
filter,5,orthographic
firmly,5,orthographic
fiddle,5,orthographic
fiance,5,orthographic
finale,5,orthographic
filmed,5,orthographic
fishes,5,orthographic
fitted,5,orthographic
fiasco,5,orthographic
fibers,5,orthographic
finder,5,orthographic
fished,5,orthographic
fickle,5,orthographic
finely,5,orthographic
fiscal,5,orthographic
fiends,5,orthographic
fiesta,5,orthographic
finite,5,orthographic
filler,5,orthographic
fillet,5,orthographic
fibres,5,orthographic
firsts,5,orthographic
ladies,6,orthographic
lately,6,orthographic
latest,6,orthographic
landed,6,orthographic
laying,6,orthographic
launch,6,orthographic
larger,6,orthographic
ladder,6,orthographic
lasted,6,orthographic
layout,6,orthographic
laptop,6,orthographic
labour,6,orthographic
layers,6,orthographic
labels,6,orthographic
lawful,6,orthographic
latter,6,orthographic
lacked,6,orthographic
lasers,6,orthographic
larynx,6,orthographic
layman,6,orthographic
lashes,6,orthographic
lagoon,6,orthographic
latent,6,orthographic
lavish,6,orthographic
lavage,6,orthographic
lawman,6,orthographic
lastly,6,orthographic
lather,6,orthographic
lackey,6,orthographic
lament,6,orthographic
larvae,6,orthographic
lattes,6,orthographic
lapsed,6,orthographic
lamest,6,orthographic
lances,6,orthographic
labors,6,orthographic
lapdog,6,orthographic
lashed,6,orthographic
lapels,6,orthographic
needed,7,orthographic
nearly,7,orthographic
