cue,word,count
knife,wound,1
fight,argue,7
fight,brawl,7
fight,punch,6
fight,fists,3
fight,prize,2
fight,tears,2
fight,boxer,1
fight,cuffs,1
fight,drama,1
fight,gangs,1
fight,match,1
fight,melee,1
fight,pride,1
fight,rebel,1
fight,score,1
fight,scrap,1
fight,smack,1
fight,tough,1
fight,knock,1
fight,beats,1
realm,world,15
realm,place,4
realm,space,4
realm,dream,3
realm,ruler,3
realm,crown,2
realm,power,2
realm,queen,2
realm,duchy,1
realm,fairy,1
realm,fence,1
realm,games,1
realm,walls,1
realm,hills,1
realm,kings,1
realm,lands,1
realm,outer,1
realm,range,1
realm,reach,1
realm,scope,1
realm,sight,1
realm,taxes,1
realm,unity,1
wheat,bread,55
wheat,grain,19
wheat,field,15
wheat,flour,10
wheat,whole,8
wheat,chaff,6
wheat,grass,5
wheat,farms,4
wheat,brown,3
wheat,sheaf,3
wheat,thins,2
wheat,amber,1
wheat,color,1
wheat,crops,1
wheat,dough,1
wheat,fiber,1
wheat,horse,1
wheat,knead,1
wheat,sprig,1
wheat,toast,1
