word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
hello,29857,6405,3228,2089,585.43,4.4751,76.36,3.8066,5
close,11191,5181,9558,4849,219.43,4.0489,61.77,3.7145,5
yours,10441,5069,9763,4920,204.73,4.0188,60.43,3.705,5
cause,15812,4946,9988,4274,310.04,4.199,58.97,3.6943,5
stand,11536,4917,9252,4508,226.2,4.0621,58.62,3.6918,5
tried,9529,4867,9353,4819,186.84,3.9791,58.02,3.6874,5
front,9259,4589,8995,4530,181.55,3.9666,54.71,3.6618,5
seems,8545,4557,7320,4146,167.55,3.9318,54.33,3.6588,5
needs,8198,4390,8048,4363,160.75,3.9138,52.34,3.6426,5
along,9330,4314,9089,4242,182.94,3.9699,51.43,3.635,5
speak,9546,4289,8646,4067,187.18,3.9799,51.13,3.6325,5
quite,10332,4287,9119,4044,202.59,4.0142,51.11,3.6323,5
death,11051,4278,9811,4118,216.69,4.0434,51,3.6313,5
trust,9087,4242,7040,3577,178.18,3.9585,50.57,3.6277,5
truth,9801,4193,9350,4095,192.18,3.9913,49.99,3.6226,5
honey,15325,4185,9954,3549,300.49,4.1854,49.89,3.6218,5
clear,8763,4184,7369,3974,171.82,3.9427,49.88,3.6217,5
sound,7313,4069,6839,3922,143.39,3.8642,48.51,3.6096,5
lives,7124,4028,6917,3955,139.69,3.8528,48.02,3.6052,5
taken,7071,4027,6935,3985,138.65,3.8495,48.01,3.6051,5
touch,7534,4000,7145,3913,147.73,3.8771,47.69,3.6022,5
light,8425,3924,7737,3767,165.2,3.9256,46.78,3.5938,5
lucky,7316,3874,6089,3550,143.45,3.8643,46.19,3.5883,5
weren,6237,3867,5840,3723,122.29,3.795,46.1,3.5875,5
sense,6722,3839,6671,3825,131.8,3.8276,45.77,3.5843,5
women,9978,3827,8801,3599,195.65,3.9991,45.62,3.583,5
order,7985,3825,7264,3695,156.57,3.9023,45.6,3.5827,5
catch,6911,3765,6227,3542,135.51,3.8396,44.89,3.5759,5
alive,7878,3735,7714,3704,154.47,3.8965,44.53,3.5724,5
known,6300,3732,6222,3710,123.53,3.7994,44.49,3.5721,5
drive,7810,3714,7009,3479,153.14,3.8927,44.28,3.57,5
fight,10255,3703,9638,3647,201.08,4.011,44.15,3.5687,5
throw,6570,3674,5436,3305,128.82,3.8176,43.8,3.5653,5
hurry,8856,3638,4188,2554,173.65,3.9473,43.37,3.561,5
girls,10626,3635,9458,3480,208.35,4.0264,43.34,3.5606,5
takes,5986,3622,5684,3522,117.37,3.7772,43.18,3.5591,5
sweet,7405,3578,6006,3208,145.2,3.8696,42.66,3.5538,5
small,6373,3533,5893,3393,124.96,3.8044,42.12,3.5483,5
blood,9492,3526,8698,3393,186.12,3.9774,42.04,3.5474,5
piece,6349,3510,6090,3426,124.49,3.8028,41.85,3.5454,5
weeks,6637,3474,6569,3458,130.14,3.822,41.42,3.541,5
clean,6183,3455,5587,3307,121.24,3.7913,41.19,3.5386,5
learn,6047,3414,5767,3322,118.57,3.7816,40.7,3.5334,5
works,5357,3406,5128,3306,105.04,3.729,40.61,3.5324,5
white,8744,3355,6335,2804,171.45,3.9418,40,3.5258,5
meant,5316,3348,5283,3333,104.24,3.7257,39.91,3.5249,5
words,6223,3315,6052,3263,122.02,3.7941,39.52,3.5206,5
worth,5569,3301,5387,3248,109.2,3.7459,39.35,3.5188,5
early,5510,3284,5221,3192,108.04,3.7412,39.15,3.5165,5
shoot,8412,3264,6828,2894,164.94,3.925,38.91,3.5139,5
worse,5002,3252,4724,3130,98.08,3.6992,38.77,3.5123,5
black,8565,3190,6530,2787,167.94,3.9328,38.03,3.5039,5
broke,5355,3149,5171,3093,105,3.7288,37.54,3.4983,5
tired,5745,3148,5544,3097,112.65,3.7594,37.53,3.4982,5
quiet,5978,3135,4377,2683,117.22,3.7766,37.37,3.4964,5
fault,5310,3101,5291,3091,104.12,3.7252,36.97,3.4916,5
quick,5542,3097,4067,2650,108.67,3.7437,36.92,3.4911,5
given,4851,3071,4579,2962,95.12,3.6859,36.61,3.4874,5
child,8040,3067,7673,2995,157.65,3.9053,36.56,3.4869,5
shall,9441,3061,7220,2422,185.12,3.9751,36.49,3.486,5
spend,4757,3031,4617,2964,93.27,3.6774,36.13,3.4817,5
mouth,5325,3022,5133,2979,104.41,3.7264,36.03,3.4804,5
stick,4953,2995,4136,2677,97.12,3.695,35.71,3.4765,5
power,7600,2980,7049,2854,149.02,3.8809,35.53,3.4744,5
loved,5627,2957,5516,2937,110.33,3.7504,35.25,3.471,5
write,6467,2942,5943,2777,126.8,3.8108,35.07,3.4688,5
human,6363,2931,5908,2827,124.76,3.8037,34.94,3.4672,5
month,4854,2895,4782,2866,95.18,3.6862,34.51,3.4618,5
table,5387,2889,5136,2826,105.63,3.7314,34.44,3.4609,5
bitch,8609,2849,7973,2775,168.8,3.935,33.97,3.4548,5
short,4367,2823,4033,2707,85.63,3.6403,33.66,3.4509,5
dream,6798,2809,6418,2729,133.29,3.8324,33.49,3.4487,5
relax,4936,2807,2806,1884,96.78,3.6935,33.46,3.4484,5
smart,4909,2793,4489,2612,96.25,3.6911,33.3,3.4462,5
cover,4808,2782,4247,2569,94.27,3.6821,33.17,3.4445,5
seven,5327,2780,3853,2305,104.45,3.7266,33.14,3.4442,5
enjoy,4222,2769,3149,2236,82.78,3.6256,33.01,3.4425,5
tough,4616,2746,4068,2513,90.51,3.6644,32.74,3.4389,5
lying,4472,2733,4319,2687,87.69,3.6506,32.58,3.4368,5
floor,5132,2732,5030,2699,100.63,3.7104,32.57,3.4366,5
music,7734,2699,6912,2508,151.65,3.8885,32.18,3.4314,5
eight,5010,2682,3743,2256,98.24,3.6999,31.97,3.4286,5
state,5500,2669,3976,2195,107.84,3.7404,31.82,3.4265,5
count,4588,2655,3618,2421,89.96,3.6617,31.65,3.4242,5
daddy,9439,2645,2455,1238,185.08,3.975,31.53,3.4226,5
lunch,5310,2637,4997,2561,104.12,3.7252,31.44,3.4213,5
calls,4097,2636,4018,2605,80.33,3.6126,31.43,3.4211,5
paper,5271,2626,4995,2557,103.35,3.722,31.31,3.4195,5
proud,4265,2621,4141,2576,83.63,3.63,31.25,3.4186,5
weird,5156,2597,4836,2513,101.1,3.7124,30.96,3.4146,5
swear,4496,2581,4315,2538,88.16,3.6529,30.77,3.412,5
likes,3889,2561,3844,2545,76.25,3.5899,30.53,3.4086,5
spent,3574,2529,3472,2479,70.08,3.5533,30.15,3.4031,5
liked,4017,2522,3997,2519,78.76,3.604,30.07,3.4019,5
using,3520,2513,3301,2398,69.02,3.5467,29.96,3.4004,5
feels,3569,2468,3220,2278,69.98,3.5527,29.42,3.3925,5
dance,7550,2465,6993,2378,148.04,3.878,29.39,3.392,5
class,5985,2445,5569,2353,117.35,3.7771,29.15,3.3885,5
smell,4240,2396,3961,2308,83.14,3.6275,28.56,3.3797,5
voice,4394,2396,4207,2340,86.16,3.643,28.56,3.3797,5
moved,3536,2394,3474,2366,69.33,3.5486,28.54,3.3793,5
offer,3810,2371,3740,2342,74.71,3.581,28.27,3.3751,5
favor,3609,2370,3569,2366,70.76,3.5575,28.25,3.3749,5
gives,3290,2368,3118,2281,64.51,3.5173,28.23,3.3746,5
named,3564,2359,3492,2327,69.88,3.5521,28.12,3.3729,5
upset,3800,2354,3768,2352,74.51,3.5799,28.06,3.372,5
third,3801,2351,3109,2038,74.53,3.58,28.03,3.3714,5
share,3545,2346,3399,2296,69.51,3.5497,27.97,3.3705,5
earth,5074,2339,2773,1703,99.49,3.7054,27.89,3.3692,5
saved,3558,2339,3427,2268,69.76,3.5513,27.89,3.3692,5
