participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Cont, 899.2436, 0.085359, 0, 1.5689, 1.5541, 0, 0, -0.18073, 0.059288, 0
1, Thresh, 915.4209, 1.8538, 0, 0, 1.6116, 1.1734, 0.12863, -0.15795, 0.023639, 0
1, Hybrid, 923.3402, 3.9123, 0, 0.70262, 2.6705, 1.176, 0.059257, -0.15744, 0.014948, 0
2, Cont, 2210.9429, 1.1772, 0, 0.30902, 1.9615, 0, 0, 0.067462, 0.16917, 0
2, Thresh, 1974.0081, 3.0987, 0, 0, 4.4407, 2.0461, 0.65414, -0.21785, 0.018508, 0
2, Hybrid, 1980.4571, 3.1047, 0, 0.016063, 4.4192, 2.041, 0.65311, -0.25208, 0.093467, 0
3, Cont, 1907.4607, 0.99735, 0, 0.68124, 1.4766, 0, 0, -0.11447, 0.11834, 0
3, Thresh, 1754.0147, 2.9038, 0, 0, 2.3483, 1.3359, 0.52607, -0.11626, 0.010787, 0
3, Hybrid, 1759.5268, 3.0152, 0, 0.30618, 2.4217, 1.3305, 0.52467, -0.11592, 0.014326, 0
4, Cont, 3752.0845, 2.0464, 0, 1.7558, 2.0184, 0, 0, 0.015374, 0.28117, 0
4, Thresh, 3153.2654, 5.7396, 0, 0, 4.1201, 1.465, 0.48769, -0.044407, 0.14076, 0
4, Hybrid, 3166.5526, 5.6034, 0, 0.00010051, 4.1869, 1.4957, 0.49364, -0.05578, 0.10309, 0
5, Cont, 2209.0088, 1.0858, 0, 0.45484, 1.5729, 0, 0, 0.10011, 0.043542, 0
5, Thresh, 1985.5634, 2.9092, 0, 0, 3.0546, 1.6754, 0.60544, -0.1117, 0.022907, 0
5, Hybrid, 1991.8666, 2.9536, 0, 0.22511, 3.0693, 1.6656, 0.60938, -0.10404, 0.030629, 0
6, Cont, 1644.7521, 1.0201, 0, 2.9999, 2.0387, 0, 0, 0.075225, 0.1515, 0
6, Thresh, 1620.0689, 4.6459, 0, 0, 2.1574, 1.0802, 0.26481, 0.060886, 0.20522, 0
6, Hybrid, 1627.4121, 4.4582, 0, 0.15334, 2.1461, 1.0936, 0.26949, 0.074668, 0.14878, 0
7, Cont, 1422.445, 2.5056, 0, 1.6881, 1.7757, 0, 0, -0.17551, 0.33039, 0
7, Thresh, 1280.8591, 3.7767, 0, 0, 2.2041, 1.3073, 0.66373, -0.17637, 0.15059, 0
7, Hybrid, 1270.3298, 4.4886, 0, 0.70375, 2.308, 1.2577, 0.66223, -0.19289, 0.28657, 0
8, Cont, 1245.6578, 2.1384, 0, 0.25177, 2.2533, 0, 0, -0.092631, 0.044809, 0
8, Thresh, 606.2402, 4.5207, 0, 0, 4.9999, 1.7447, 0.84792, -0.29905, 0.0057147, 0
8, Hybrid, 613.0297, 4.5814, 0, 0.056024, 5, 1.739, 0.84724, -0.28391, 0.02933, 0
9, Cont, 2091.1831, 0.18474, 0, 2.9638, 2.1081, 0, 0, -0.15659, 0.0080388, 0
9, Thresh, 2143.1076, 3.4244, 0, 0, 4.9982, 1.1479, 0.0097248, -0.15485, 0.00065884, 0
9, Hybrid, 2142.4143, 1.5336, 0, 0.18495, 1.4673, 1.146, 0.11148, -0.15485, 0.0017661, 0
10, Cont, 1976.0861, 1.5645, 0, 0.3324, 3.7931, 0, 0, -0.34949, 0.11215, 0
10, Thresh, 1765.6556, 1.935, 0, 0, 4.7928, 2.2205, 0.92967, -0.47391, 2.0125e-06, 0
10, Hybrid, 1903.4046, 1.7536, 0, 2.0521e-07, 3.7508, 2.4439, 0.92492, -0.14597, 0.042582, 0
11, Cont, 1868.0724, 0.74256, 0, 0.68389, 1.3187, 0, 0, -0.17653, 0.093191, 0
11, Thresh, 1702.136, 4.2008, 0, 0, 2.7335, 1.1679, 0.3758, -0.17627, 0.082, 0
11, Hybrid, 1736.9365, 4.1974, 0, 0.099582, 2.7601, 1.1763, 0.37733, -0.14843, 0.0011634, 0
12, Cont, 1538.4703, 1.6265, 0, 0.32171, 1.4456, 0, 0, 0.059112, 0.27963, 0
12, Thresh, 1019.3287, 4.9746, 0, 0, 3.8488, 1.324, 0.6828, -0.018755, 0.13998, 0
12, Hybrid, 1024.0223, 5.0449, 0, 0.19431, 4.1643, 1.3808, 0.68761, -0.062236, 0.11377, 0
13, Cont, 1674.8383, 0.050386, 0, 0.31668, 1.0497, 0, 0, -0.16993, 0.024834, 0
13, Thresh, 1684.2577, 2.2934, 0, 0, 4.0917, 1.0296, 0.0074038, -0.16992, 0.024967, 0
13, Hybrid, 1701.2098, 3.3185, 0, 0.00053354, 4.8086, 1.0323, 0.006898, -0.18144, 0.042355, 0
15, Cont, 1928.7018, 0.24845, 0, 2.9984, 2.0054, 0, 0, -0.1733, 0.21358, 0
15, Thresh, 1997.65, 3.6329, 0, 0, 2.2906, 1.1416, 0.10488, -0.14573, 0.07408, 0
15, Hybrid, 2004.9742, 3.6557, 0, 0.097686, 2.3449, 1.1546, 0.10613, -0.14009, 0.034285, 0
16, Cont, 1971.4096, 0.99084, 0, 0.0017579, 1.5377, 0, 0, 0.057559, 0.089693, 0
16, Thresh, 1824.1253, 2.5498, 0, 0, 2.6954, 1.4943, 0.61798, -0.02735, 0.041368, 0
16, Hybrid, 1825.123, 2.756, 0, 0.42658, 2.872, 1.4657, 0.62459, -0.028988, 0.049917, 0
17, Cont, 2022.5723, 0.12551, 0, 0.64558, 1.4253, 0, 0, -0.092493, 0.449, 0
17, Thresh, 2047.9301, 1.4337, 0, 0, 1.771, 1.4129, 0.10172, -0.07724, 0.21182, 0
17, Hybrid, 2058.0249, 1.9288, 0, 0.081147, 2.0116, 1.4416, 0.10734, -0.078965, 0.16766, 0
18, Cont, 2064.8783, 1.1887, 0, 0.24317, 1.5005, 0, 0, 0.089352, 0.46589, 0
18, Thresh, 1832.4227, 2.873, 0, 0, 3.0354, 1.4799, 0.64798, 0.081807, 0.059297, 0
18, Hybrid, 1828.9576, 3.4628, 0, 0.61725, 3.5139, 1.4472, 0.64924, 0.085536, 0.065219, 0
19, Cont, 1698.8505, 0.61202, 0, 1.7585, 1.4934, 0, 0, -0.1533, 0.033846, 0
19, Thresh, 1647.5252, 3.8843, 0, 0, 2.6961, 1.0492, 0.22568, -0.14888, 0.022293, 0
19, Hybrid, 1653.6766, 3.8738, 0, 0.00048816, 2.689, 1.0492, 0.22622, -0.1489, 0.0046002, 0
20, Cont, 1697.1398, 0.44955, 0, 0.12748, 1.0445, 0, 0, -0.18662, 0.020979, 0
20, Thresh, 1684.7293, 1.8679, 0, 0, 1.3884, 0.99286, 0.34908, -0.19527, 0.038142, 0
20, Hybrid, 1692.2729, 2.1064, 0, 0.099369, 1.4702, 0.9776, 0.28419, -0.18764, 0.042332, 0
