model_name, participant, is_model, quantile_idx, rt, theta
Thresh, 1, true, 0.1, 0.1075, -3.1416
Thresh, 1, true, 0.1, 0.1075, -3.0159
Thresh, 1, true, 0.1, 0.1075, -2.8903
Thresh, 1, true, 0.1, 0.10751, -2.7646
Thresh, 1, true, 0.1, 0.10752, -2.6389
Thresh, 1, true, 0.1, 0.10754, -2.5133
Thresh, 1, true, 0.1, 0.10756, -2.3876
Thresh, 1, true, 0.1, 0.1076, -2.2619
Thresh, 1, true, 0.1, 0.10766, -2.1363
Thresh, 1, true, 0.1, 0.10774, -2.0106
Thresh, 1, true, 0.1, 0.10786, -1.885
Thresh, 1, true, 0.1, 0.10805, -1.7593
Thresh, 1, true, 0.1, 0.10832, -1.6336
Thresh, 1, true, 0.1, 0.10872, -1.508
Thresh, 1, true, 0.1, 0.10929, -1.3823
Thresh, 1, true, 0.1, 0.11008, -1.2566
Thresh, 1, true, 0.1, 0.11113, -1.131
Thresh, 1, true, 0.1, 0.11246, -1.0053
Thresh, 1, true, 0.1, 0.11403, -0.87965
Thresh, 1, true, 0.1, 0.11576, -0.75398
Thresh, 1, true, 0.1, 0.11756, -0.62832
Thresh, 1, true, 0.1, 0.11928, -0.50265
Thresh, 1, true, 0.1, 0.12078, -0.37699
Thresh, 1, true, 0.1, 0.12194, -0.25133
Thresh, 1, true, 0.1, 0.12267, -0.12566
Thresh, 1, true, 0.1, 0.12292, 1.1102e-15
Thresh, 1, true, 0.1, 0.12267, 0.12566
Thresh, 1, true, 0.1, 0.12194, 0.25133
Thresh, 1, true, 0.1, 0.12078, 0.37699
Thresh, 1, true, 0.1, 0.11928, 0.50265
Thresh, 1, true, 0.1, 0.11756, 0.62832
Thresh, 1, true, 0.1, 0.11576, 0.75398
Thresh, 1, true, 0.1, 0.11403, 0.87965
Thresh, 1, true, 0.1, 0.11246, 1.0053
Thresh, 1, true, 0.1, 0.11113, 1.131
Thresh, 1, true, 0.1, 0.11008, 1.2566
Thresh, 1, true, 0.1, 0.10929, 1.3823
Thresh, 1, true, 0.1, 0.10872, 1.508
Thresh, 1, true, 0.1, 0.10832, 1.6336
Thresh, 1, true, 0.1, 0.10805, 1.7593
Thresh, 1, true, 0.1, 0.10786, 1.885
Thresh, 1, true, 0.1, 0.10774, 2.0106
Thresh, 1, true, 0.1, 0.10766, 2.1363
Thresh, 1, true, 0.1, 0.1076, 2.2619
Thresh, 1, true, 0.1, 0.10756, 2.3876
Thresh, 1, true, 0.1, 0.10754, 2.5133
Thresh, 1, true, 0.1, 0.10752, 2.6389
Thresh, 1, true, 0.1, 0.10751, 2.7646
Thresh, 1, true, 0.1, 0.1075, 2.8903
Thresh, 1, true, 0.1, 0.1075, 3.0159
Thresh, 1, true, 0.5, 0.42305, -3.1416
Thresh, 1, true, 0.5, 0.42306, -3.0159
Thresh, 1, true, 0.5, 0.42306, -2.8903
Thresh, 1, true, 0.5, 0.42306, -2.7646
Thresh, 1, true, 0.5, 0.42307, -2.6389
Thresh, 1, true, 0.5, 0.42309, -2.5133
Thresh, 1, true, 0.5, 0.4231, -2.3876
Thresh, 1, true, 0.5, 0.42313, -2.2619
Thresh, 1, true, 0.5, 0.42318, -2.1363
Thresh, 1, true, 0.5, 0.42324, -2.0106
Thresh, 1, true, 0.5, 0.42333, -1.885
Thresh, 1, true, 0.5, 0.42347, -1.7593
Thresh, 1, true, 0.5, 0.42368, -1.6336
Thresh, 1, true, 0.5, 0.42397, -1.508
Thresh, 1, true, 0.5, 0.42438, -1.3823
Thresh, 1, true, 0.5, 0.42494, -1.2566
Thresh, 1, true, 0.5, 0.42566, -1.131
Thresh, 1, true, 0.5, 0.42653, -1.0053
Thresh, 1, true, 0.5, 0.42753, -0.87965
Thresh, 1, true, 0.5, 0.42859, -0.75398
Thresh, 1, true, 0.5, 0.42965, -0.62832
Thresh, 1, true, 0.5, 0.4306, -0.50265
Thresh, 1, true, 0.5, 0.43141, -0.37699
Thresh, 1, true, 0.5, 0.43201, -0.25133
Thresh, 1, true, 0.5, 0.43237, -0.12566
Thresh, 1, true, 0.5, 0.4325, 1.1102e-15
Thresh, 1, true, 0.5, 0.43237, 0.12566
Thresh, 1, true, 0.5, 0.43201, 0.25133
Thresh, 1, true, 0.5, 0.43141, 0.37699
Thresh, 1, true, 0.5, 0.4306, 0.50265
Thresh, 1, true, 0.5, 0.42965, 0.62832
Thresh, 1, true, 0.5, 0.42859, 0.75398
Thresh, 1, true, 0.5, 0.42753, 0.87965
Thresh, 1, true, 0.5, 0.42653, 1.0053
Thresh, 1, true, 0.5, 0.42566, 1.131
Thresh, 1, true, 0.5, 0.42494, 1.2566
Thresh, 1, true, 0.5, 0.42438, 1.3823
Thresh, 1, true, 0.5, 0.42397, 1.508
Thresh, 1, true, 0.5, 0.42368, 1.6336
Thresh, 1, true, 0.5, 0.42347, 1.7593
Thresh, 1, true, 0.5, 0.42333, 1.885
Thresh, 1, true, 0.5, 0.42324, 2.0106
Thresh, 1, true, 0.5, 0.42318, 2.1363
Thresh, 1, true, 0.5, 0.42313, 2.2619
Thresh, 1, true, 0.5, 0.4231, 2.3876
Thresh, 1, true, 0.5, 0.42309, 2.5133
Thresh, 1, true, 0.5, 0.42307, 2.6389
Thresh, 1, true, 0.5, 0.42306, 2.7646
Thresh, 1, true, 0.5, 0.42306, 2.8903
Thresh, 1, true, 0.5, 0.42306, 3.0159
Thresh, 1, true, 0.9, 1.2188, -3.1416
Thresh, 1, true, 0.9, 1.2187, -3.0159
Thresh, 1, true, 0.9, 1.2187, -2.8903
Thresh, 1, true, 0.9, 1.2187, -2.7646
Thresh, 1, true, 0.9, 1.2186, -2.6389
Thresh, 1, true, 0.9, 1.2185, -2.5133
Thresh, 1, true, 0.9, 1.2184, -2.3876
Thresh, 1, true, 0.9, 1.2182, -2.2619
Thresh, 1, true, 0.9, 1.2179, -2.1363
Thresh, 1, true, 0.9, 1.2174, -2.0106
Thresh, 1, true, 0.9, 1.2167, -1.885
Thresh, 1, true, 0.9, 1.2157, -1.7593
Thresh, 1, true, 0.9, 1.2142, -1.6336
Thresh, 1, true, 0.9, 1.212, -1.508
Thresh, 1, true, 0.9, 1.209, -1.3823
Thresh, 1, true, 0.9, 1.2048, -1.2566
Thresh, 1, true, 0.9, 1.1993, -1.131
Thresh, 1, true, 0.9, 1.1926, -1.0053
Thresh, 1, true, 0.9, 1.1847, -0.87965
Thresh, 1, true, 0.9, 1.1762, -0.75398
Thresh, 1, true, 0.9, 1.1677, -0.62832
Thresh, 1, true, 0.9, 1.1598, -0.50265
Thresh, 1, true, 0.9, 1.1531, -0.37699
Thresh, 1, true, 0.9, 1.148, -0.25133
Thresh, 1, true, 0.9, 1.1449, -0.12566
Thresh, 1, true, 0.9, 1.1438, 1.1102e-15
Thresh, 1, true, 0.9, 1.1449, 0.12566
Thresh, 1, true, 0.9, 1.148, 0.25133
Thresh, 1, true, 0.9, 1.1531, 0.37699
Thresh, 1, true, 0.9, 1.1598, 0.50265
Thresh, 1, true, 0.9, 1.1677, 0.62832
Thresh, 1, true, 0.9, 1.1762, 0.75398
Thresh, 1, true, 0.9, 1.1847, 0.87965
Thresh, 1, true, 0.9, 1.1926, 1.0053
Thresh, 1, true, 0.9, 1.1993, 1.131
Thresh, 1, true, 0.9, 1.2048, 1.2566
Thresh, 1, true, 0.9, 1.209, 1.3823
Thresh, 1, true, 0.9, 1.212, 1.508
Thresh, 1, true, 0.9, 1.2142, 1.6336
Thresh, 1, true, 0.9, 1.2157, 1.7593
Thresh, 1, true, 0.9, 1.2167, 1.885
Thresh, 1, true, 0.9, 1.2174, 2.0106
Thresh, 1, true, 0.9, 1.2179, 2.1363
Thresh, 1, true, 0.9, 1.2182, 2.2619
Thresh, 1, true, 0.9, 1.2184, 2.3876
Thresh, 1, true, 0.9, 1.2185, 2.5133
Thresh, 1, true, 0.9, 1.2186, 2.6389
Thresh, 1, true, 0.9, 1.2187, 2.7646
Thresh, 1, true, 0.9, 1.2187, 2.8903
Thresh, 1, true, 0.9, 1.2187, 3.0159
Thresh, 2, true, 0.1, 0.52026, -3.1416
Thresh, 2, true, 0.1, 0.52026, -3.0159
Thresh, 2, true, 0.1, 0.52026, -2.8903
Thresh, 2, true, 0.1, 0.52026, -2.7646
Thresh, 2, true, 0.1, 0.52026, -2.6389
Thresh, 2, true, 0.1, 0.52026, -2.5133
Thresh, 2, true, 0.1, 0.52026, -2.3876
Thresh, 2, true, 0.1, 0.52026, -2.2619
Thresh, 2, true, 0.1, 0.52026, -2.1363
Thresh, 2, true, 0.1, 0.52026, -2.0106
Thresh, 2, true, 0.1, 0.52026, -1.885
Thresh, 2, true, 0.1, 0.52026, -1.7593
Thresh, 2, true, 0.1, 0.52027, -1.6336
Thresh, 2, true, 0.1, 0.52028, -1.508
Thresh, 2, true, 0.1, 0.52037, -1.3823
Thresh, 2, true, 0.1, 0.52076, -1.2566
Thresh, 2, true, 0.1, 0.52247, -1.131
Thresh, 2, true, 0.1, 0.52916, -1.0053
Thresh, 2, true, 0.1, 0.55073, -0.87965
Thresh, 2, true, 0.1, 0.60018, -0.75398
Thresh, 2, true, 0.1, 0.65894, -0.62832
Thresh, 2, true, 0.1, 0.69478, -0.50265
Thresh, 2, true, 0.1, 0.71104, -0.37699
Thresh, 2, true, 0.1, 0.71815, -0.25133
Thresh, 2, true, 0.1, 0.72103, -0.12566
Thresh, 2, true, 0.1, 0.72183, 1.1102e-15
Thresh, 2, true, 0.1, 0.72103, 0.12566
Thresh, 2, true, 0.1, 0.71815, 0.25133
Thresh, 2, true, 0.1, 0.71104, 0.37699
Thresh, 2, true, 0.1, 0.69478, 0.50265
Thresh, 2, true, 0.1, 0.65894, 0.62832
Thresh, 2, true, 0.1, 0.60018, 0.75398
Thresh, 2, true, 0.1, 0.55073, 0.87965
Thresh, 2, true, 0.1, 0.52916, 1.0053
Thresh, 2, true, 0.1, 0.52247, 1.131
Thresh, 2, true, 0.1, 0.52076, 1.2566
Thresh, 2, true, 0.1, 0.52037, 1.3823
Thresh, 2, true, 0.1, 0.52028, 1.508
Thresh, 2, true, 0.1, 0.52027, 1.6336
Thresh, 2, true, 0.1, 0.52026, 1.7593
Thresh, 2, true, 0.1, 0.52026, 1.885
Thresh, 2, true, 0.1, 0.52026, 2.0106
Thresh, 2, true, 0.1, 0.52026, 2.1363
Thresh, 2, true, 0.1, 0.52026, 2.2619
Thresh, 2, true, 0.1, 0.52026, 2.3876
Thresh, 2, true, 0.1, 0.52026, 2.5133
Thresh, 2, true, 0.1, 0.52026, 2.6389
Thresh, 2, true, 0.1, 0.52026, 2.7646
Thresh, 2, true, 0.1, 0.52026, 2.8903
Thresh, 2, true, 0.1, 0.52026, 3.0159
Thresh, 2, true, 0.5, 1.3783, -3.1416
Thresh, 2, true, 0.5, 1.3783, -3.0159
Thresh, 2, true, 0.5, 1.3783, -2.8903
Thresh, 2, true, 0.5, 1.3783, -2.7646
Thresh, 2, true, 0.5, 1.3783, -2.6389
Thresh, 2, true, 0.5, 1.3783, -2.5133
Thresh, 2, true, 0.5, 1.3783, -2.3876
Thresh, 2, true, 0.5, 1.3783, -2.2619
Thresh, 2, true, 0.5, 1.3783, -2.1363
Thresh, 2, true, 0.5, 1.3783, -2.0106
Thresh, 2, true, 0.5, 1.3783, -1.885
Thresh, 2, true, 0.5, 1.3783, -1.7593
Thresh, 2, true, 0.5, 1.3783, -1.6336
Thresh, 2, true, 0.5, 1.3782, -1.508
Thresh, 2, true, 0.5, 1.3779, -1.3823
Thresh, 2, true, 0.5, 1.3766, -1.2566
Thresh, 2, true, 0.5, 1.3709, -1.131
Thresh, 2, true, 0.5, 1.3499, -1.0053
Thresh, 2, true, 0.5, 1.2945, -0.87965
Thresh, 2, true, 0.5, 1.2131, -0.75398
Thresh, 2, true, 0.5, 1.1521, -0.62832
Thresh, 2, true, 0.5, 1.1223, -0.50265
Thresh, 2, true, 0.5, 1.1095, -0.37699
Thresh, 2, true, 0.5, 1.104, -0.25133
Thresh, 2, true, 0.5, 1.1018, -0.12566
Thresh, 2, true, 0.5, 1.1012, 1.1102e-15
Thresh, 2, true, 0.5, 1.1018, 0.12566
Thresh, 2, true, 0.5, 1.104, 0.25133
Thresh, 2, true, 0.5, 1.1095, 0.37699
Thresh, 2, true, 0.5, 1.1223, 0.50265
Thresh, 2, true, 0.5, 1.1521, 0.62832
Thresh, 2, true, 0.5, 1.2131, 0.75398
Thresh, 2, true, 0.5, 1.2945, 0.87965
Thresh, 2, true, 0.5, 1.3499, 1.0053
Thresh, 2, true, 0.5, 1.3709, 1.131
Thresh, 2, true, 0.5, 1.3766, 1.2566
Thresh, 2, true, 0.5, 1.3779, 1.3823
Thresh, 2, true, 0.5, 1.3782, 1.508
Thresh, 2, true, 0.5, 1.3783, 1.6336
Thresh, 2, true, 0.5, 1.3783, 1.7593
Thresh, 2, true, 0.5, 1.3783, 1.885
Thresh, 2, true, 0.5, 1.3783, 2.0106
Thresh, 2, true, 0.5, 1.3783, 2.1363
Thresh, 2, true, 0.5, 1.3783, 2.2619
Thresh, 2, true, 0.5, 1.3783, 2.3876
Thresh, 2, true, 0.5, 1.3783, 2.5133
Thresh, 2, true, 0.5, 1.3783, 2.6389
Thresh, 2, true, 0.5, 1.3783, 2.7646
Thresh, 2, true, 0.5, 1.3783, 2.8903
Thresh, 2, true, 0.5, 1.3783, 3.0159
Thresh, 2, true, 0.9, 3.2214, -3.1416
Thresh, 2, true, 0.9, 3.2214, -3.0159
Thresh, 2, true, 0.9, 3.2214, -2.8903
Thresh, 2, true, 0.9, 3.2214, -2.7646
Thresh, 2, true, 0.9, 3.2214, -2.6389
Thresh, 2, true, 0.9, 3.2214, -2.5133
Thresh, 2, true, 0.9, 3.2214, -2.3876
Thresh, 2, true, 0.9, 3.2214, -2.2619
Thresh, 2, true, 0.9, 3.2214, -2.1363
Thresh, 2, true, 0.9, 3.2214, -2.0106
Thresh, 2, true, 0.9, 3.2214, -1.885
Thresh, 2, true, 0.9, 3.2214, -1.7593
Thresh, 2, true, 0.9, 3.2214, -1.6336
Thresh, 2, true, 0.9, 3.2213, -1.508
Thresh, 2, true, 0.9, 3.2209, -1.3823
Thresh, 2, true, 0.9, 3.2191, -1.2566
Thresh, 2, true, 0.9, 3.2109, -1.131
Thresh, 2, true, 0.9, 3.1788, -1.0053
Thresh, 2, true, 0.9, 3.0715, -0.87965
Thresh, 2, true, 0.9, 2.7903, -0.75398
Thresh, 2, true, 0.9, 2.2954, -0.62832
Thresh, 2, true, 0.9, 1.9033, -0.50265
Thresh, 2, true, 0.9, 1.7548, -0.37699
Thresh, 2, true, 0.9, 1.6997, -0.25133
Thresh, 2, true, 0.9, 1.6782, -0.12566
Thresh, 2, true, 0.9, 1.6724, 1.1102e-15
Thresh, 2, true, 0.9, 1.6782, 0.12566
Thresh, 2, true, 0.9, 1.6997, 0.25133
Thresh, 2, true, 0.9, 1.7548, 0.37699
Thresh, 2, true, 0.9, 1.9033, 0.50265
Thresh, 2, true, 0.9, 2.2954, 0.62832
Thresh, 2, true, 0.9, 2.7903, 0.75398
Thresh, 2, true, 0.9, 3.0715, 0.87965
Thresh, 2, true, 0.9, 3.1788, 1.0053
Thresh, 2, true, 0.9, 3.2109, 1.131
Thresh, 2, true, 0.9, 3.2191, 1.2566
Thresh, 2, true, 0.9, 3.2209, 1.3823
Thresh, 2, true, 0.9, 3.2213, 1.508
Thresh, 2, true, 0.9, 3.2214, 1.6336
Thresh, 2, true, 0.9, 3.2214, 1.7593
Thresh, 2, true, 0.9, 3.2214, 1.885
Thresh, 2, true, 0.9, 3.2214, 2.0106
Thresh, 2, true, 0.9, 3.2214, 2.1363
Thresh, 2, true, 0.9, 3.2214, 2.2619
Thresh, 2, true, 0.9, 3.2214, 2.3876
Thresh, 2, true, 0.9, 3.2214, 2.5133
Thresh, 2, true, 0.9, 3.2214, 2.6389
Thresh, 2, true, 0.9, 3.2214, 2.7646
Thresh, 2, true, 0.9, 3.2214, 2.8903
Thresh, 2, true, 0.9, 3.2214, 3.0159
Thresh, 3, true, 0.1, 0.20581, -3.1416
Thresh, 3, true, 0.1, 0.20581, -3.0159
Thresh, 3, true, 0.1, 0.20581, -2.8903
Thresh, 3, true, 0.1, 0.20581, -2.7646
Thresh, 3, true, 0.1, 0.20581, -2.6389
Thresh, 3, true, 0.1, 0.20581, -2.5133
Thresh, 3, true, 0.1, 0.20582, -2.3876
Thresh, 3, true, 0.1, 0.20582, -2.2619
Thresh, 3, true, 0.1, 0.20583, -2.1363
Thresh, 3, true, 0.1, 0.20585, -2.0106
Thresh, 3, true, 0.1, 0.20589, -1.885
Thresh, 3, true, 0.1, 0.20598, -1.7593
Thresh, 3, true, 0.1, 0.20621, -1.6336
Thresh, 3, true, 0.1, 0.20676, -1.508
Thresh, 3, true, 0.1, 0.20802, -1.3823
Thresh, 3, true, 0.1, 0.21081, -1.2566
Thresh, 3, true, 0.1, 0.21643, -1.131
Thresh, 3, true, 0.1, 0.22658, -1.0053
Thresh, 3, true, 0.1, 0.24159, -0.87965
Thresh, 3, true, 0.1, 0.25871, -0.75398
Thresh, 3, true, 0.1, 0.27357, -0.62832
Thresh, 3, true, 0.1, 0.28419, -0.50265
Thresh, 3, true, 0.1, 0.2908, -0.37699
Thresh, 3, true, 0.1, 0.29477, -0.25133
Thresh, 3, true, 0.1, 0.29686, -0.12566
Thresh, 3, true, 0.1, 0.2975, 1.1102e-15
Thresh, 3, true, 0.1, 0.29686, 0.12566
Thresh, 3, true, 0.1, 0.29477, 0.25133
Thresh, 3, true, 0.1, 0.2908, 0.37699
Thresh, 3, true, 0.1, 0.28419, 0.50265
Thresh, 3, true, 0.1, 0.27357, 0.62832
Thresh, 3, true, 0.1, 0.25871, 0.75398
Thresh, 3, true, 0.1, 0.24159, 0.87965
Thresh, 3, true, 0.1, 0.22658, 1.0053
Thresh, 3, true, 0.1, 0.21643, 1.131
Thresh, 3, true, 0.1, 0.21081, 1.2566
Thresh, 3, true, 0.1, 0.20802, 1.3823
Thresh, 3, true, 0.1, 0.20676, 1.508
Thresh, 3, true, 0.1, 0.20621, 1.6336
Thresh, 3, true, 0.1, 0.20598, 1.7593
Thresh, 3, true, 0.1, 0.20589, 1.885
Thresh, 3, true, 0.1, 0.20585, 2.0106
Thresh, 3, true, 0.1, 0.20583, 2.1363
Thresh, 3, true, 0.1, 0.20582, 2.2619
Thresh, 3, true, 0.1, 0.20582, 2.3876
Thresh, 3, true, 0.1, 0.20581, 2.5133
Thresh, 3, true, 0.1, 0.20581, 2.6389
Thresh, 3, true, 0.1, 0.20581, 2.7646
Thresh, 3, true, 0.1, 0.20581, 2.8903
Thresh, 3, true, 0.1, 0.20581, 3.0159
Thresh, 3, true, 0.5, 0.61128, -3.1416
Thresh, 3, true, 0.5, 0.61128, -3.0159
Thresh, 3, true, 0.5, 0.61128, -2.8903
Thresh, 3, true, 0.5, 0.61128, -2.7646
Thresh, 3, true, 0.5, 0.61128, -2.6389
Thresh, 3, true, 0.5, 0.61127, -2.5133
Thresh, 3, true, 0.5, 0.61127, -2.3876
Thresh, 3, true, 0.5, 0.61127, -2.2619
Thresh, 3, true, 0.5, 0.61126, -2.1363
Thresh, 3, true, 0.5, 0.61125, -2.0106
Thresh, 3, true, 0.5, 0.61121, -1.885
Thresh, 3, true, 0.5, 0.61112, -1.7593
Thresh, 3, true, 0.5, 0.6109, -1.6336
Thresh, 3, true, 0.5, 0.6104, -1.508
Thresh, 3, true, 0.5, 0.60928, -1.3823
Thresh, 3, true, 0.5, 0.60695, -1.2566
Thresh, 3, true, 0.5, 0.60276, -1.131
Thresh, 3, true, 0.5, 0.59676, -1.0053
Thresh, 3, true, 0.5, 0.58998, -0.87965
Thresh, 3, true, 0.5, 0.58408, -0.75398
Thresh, 3, true, 0.5, 0.57993, -0.62832
Thresh, 3, true, 0.5, 0.57728, -0.50265
Thresh, 3, true, 0.5, 0.5757, -0.37699
Thresh, 3, true, 0.5, 0.57481, -0.25133
Thresh, 3, true, 0.5, 0.57435, -0.12566
Thresh, 3, true, 0.5, 0.57421, 1.1102e-15
Thresh, 3, true, 0.5, 0.57435, 0.12566
Thresh, 3, true, 0.5, 0.57481, 0.25133
Thresh, 3, true, 0.5, 0.5757, 0.37699
Thresh, 3, true, 0.5, 0.57728, 0.50265
Thresh, 3, true, 0.5, 0.57993, 0.62832
Thresh, 3, true, 0.5, 0.58408, 0.75398
Thresh, 3, true, 0.5, 0.58998, 0.87965
Thresh, 3, true, 0.5, 0.59676, 1.0053
Thresh, 3, true, 0.5, 0.60276, 1.131
Thresh, 3, true, 0.5, 0.60695, 1.2566
Thresh, 3, true, 0.5, 0.60928, 1.3823
Thresh, 3, true, 0.5, 0.6104, 1.508
Thresh, 3, true, 0.5, 0.6109, 1.6336
Thresh, 3, true, 0.5, 0.61112, 1.7593
Thresh, 3, true, 0.5, 0.61121, 1.885
Thresh, 3, true, 0.5, 0.61125, 2.0106
Thresh, 3, true, 0.5, 0.61126, 2.1363
Thresh, 3, true, 0.5, 0.61127, 2.2619
Thresh, 3, true, 0.5, 0.61127, 2.3876
Thresh, 3, true, 0.5, 0.61127, 2.5133
Thresh, 3, true, 0.5, 0.61128, 2.6389
Thresh, 3, true, 0.5, 0.61128, 2.7646
Thresh, 3, true, 0.5, 0.61128, 2.8903
Thresh, 3, true, 0.5, 0.61128, 3.0159
Thresh, 3, true, 0.9, 1.6104, -3.1416
Thresh, 3, true, 0.9, 1.6104, -3.0159
Thresh, 3, true, 0.9, 1.6104, -2.8903
Thresh, 3, true, 0.9, 1.6104, -2.7646
Thresh, 3, true, 0.9, 1.6104, -2.6389
Thresh, 3, true, 0.9, 1.6104, -2.5133
Thresh, 3, true, 0.9, 1.6103, -2.3876
Thresh, 3, true, 0.9, 1.6103, -2.2619
Thresh, 3, true, 0.9, 1.6103, -2.1363
Thresh, 3, true, 0.9, 1.6101, -2.0106
Thresh, 3, true, 0.9, 1.6098, -1.885
Thresh, 3, true, 0.9, 1.6091, -1.7593
Thresh, 3, true, 0.9, 1.6074, -1.6336
Thresh, 3, true, 0.9, 1.6034, -1.508
Thresh, 3, true, 0.9, 1.5943, -1.3823
Thresh, 3, true, 0.9, 1.5744, -1.2566
Thresh, 3, true, 0.9, 1.5343, -1.131
Thresh, 3, true, 0.9, 1.4639, -1.0053
Thresh, 3, true, 0.9, 1.3636, -0.87965
Thresh, 3, true, 0.9, 1.2559, -0.75398
Thresh, 3, true, 0.9, 1.1699, -0.62832
Thresh, 3, true, 0.9, 1.114, -0.50265
Thresh, 3, true, 0.9, 1.0812, -0.37699
Thresh, 3, true, 0.9, 1.0629, -0.25133
Thresh, 3, true, 0.9, 1.0537, -0.12566
Thresh, 3, true, 0.9, 1.051, 1.1102e-15
Thresh, 3, true, 0.9, 1.0537, 0.12566
Thresh, 3, true, 0.9, 1.0629, 0.25133
