word, stimulus, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT, too_fast
SULK, STIM, SEQUENTIAL, 6, 1.1646, 1.2868, 1.1165, 0.1703, 2.5992, 0
SPEW, FOIL, NA, 2, 2.2556, NA, NA, NA, NA, NA
BOWS, FOIL, NA, 2, 1.9734, NA, NA, NA, NA, NA
FUZZ, FOIL, NA, 1, 0.8435, NA, NA, NA, NA, NA
BROS, STIM, SEQUENTIAL, 6, 1.1208, -1.3188, -1.1326, -0.1862, 1.3329, 0
MAST, STIM, SEQUENTIAL, 6, 1.0764, -1.2928, -1.9668, 0.6740, 1.4329, 0
BLOG, STIM, SEQUENTIAL, 6, 0.9941, 0.6521, 0.7707, -0.1186, 1.5162, 0
HOGS, STIM, SEQUENTIAL, 6, 1.1521, 2.5774, 2.0414, 0.5360, 2.0993, 0
HEIR, FOIL, NA, 1, 2.3878, NA, NA, NA, NA, NA
FOLD, FOIL, NA, 2, 1.4106, NA, NA, NA, NA, NA
MINX, FOIL, NA, 1, 1.1060, NA, NA, NA, NA, NA
EDIT, STIM, SEQUENTIAL, 6, 1.1382, 0.1646, 0.4357, -0.2710, 1.2163, 0
ITCH, FOIL, NA, 1, 1.3154, NA, NA, NA, NA, NA
PACK, STIM, SEQUENTIAL, 6, 1.1912, -2.3992, -2.1631, -0.2361, 1.3829, 0
COPA, STIM, SEQUENTIAL, 6, 1.3327, 2.8854, 2.7408, 0.1446, 1.1163, 0
AREN, STIM, SEQUENTIAL, 6, 1.1436, -2.1193, -1.1845, -0.9349, 3.4489, 0
TENT, FOIL, NA, 1, 1.3137, NA, NA, NA, NA, NA
APPS, FOIL, NA, 1, 1.9579, NA, NA, NA, NA, NA
DOLI, FOIL, NA, 2, 1.9908, NA, NA, NA, NA, NA
KAZI, STIM, SIMULTANEOUS, 6, 1.1404, -1.8880, -2.1255, 0.2375, 1.2163, 0
LOMA, STIM, SIMULTANEOUS, 6, 1.1452, 1.0522, -0.1308, 1.1831, 0.9497, 0
HEEL, STIM, SIMULTANEOUS, 6, 1.2113, -1.5551, -1.2408, -0.3143, 1.9827, 0
MILL, STIM, SIMULTANEOUS, 6, 1.2547, 2.3904, 2.3230, 0.0674, 1.2663, 0
FRAG, FOIL, NA, 1, 1.7229, NA, NA, NA, NA, NA
IDLY, FOIL, NA, 1, 1.8092, NA, NA, NA, NA, NA
KYLE, FOIL, NA, 1, 2.2652, NA, NA, NA, NA, NA
BLAH, FOIL, NA, 1, 1.0740, NA, NA, NA, NA, NA
TARA, FOIL, NA, 1, 1.8184, NA, NA, NA, NA, NA
TORI, STIM, SIMULTANEOUS, 5, 1.3671, -1.1400, 1.0497, -2.1898, 4.1487, 0
RSVP, STIM, SIMULTANEOUS, 6, 1.0274, 2.8683, 2.7785, 0.0897, 1.5328, 0
DIBS, STIM, SIMULTANEOUS, 6, 2.1178, 2.3016, 2.2019, 0.0997, 1.1330, 0
TINY, STIM, SIMULTANEOUS, 6, 1.3865, -3.1291, -3.1364, 0.0073, 1.6162, 0
JUGS, STIM, SIMULTANEOUS, 6, 0.6751, 3.1193, -3.1364, -0.0275, 0.9997, 0
DINK, FOIL, NA, 2, 1.4989, NA, NA, NA, NA, NA
NEWT, FOIL, NA, 1, 1.2868, NA, NA, NA, NA, NA
LIPS, FOIL, NA, 1, 1.2359, NA, NA, NA, NA, NA
HUFF, STIM, SIMULTANEOUS, 6, 1.1401, -0.9193, -1.0322, 0.1129, 1.1163, 0
SING, FOIL, NA, 1, 1.2414, NA, NA, NA, NA, NA
VILA, STIM, SEQUENTIAL, 6, 1.7609, 0.4646, 0.3085, 0.1561, 1.6995, 0
HIKE, STIM, SEQUENTIAL, 5, 1.0675, -0.7455, -0.8887, 0.1432, 1.1996, 0
CLAN, STIM, SEQUENTIAL, 6, 1.5782, 0.1491, -0.5520, 0.7011, 3.1823, 0
ROCK, STIM, SEQUENTIAL, 6, 1.8711, -1.3760, -2.1041, 0.7281, 2.9990, 0
SANE, STIM, SEQUENTIAL, 6, 0.8855, -2.1132, -0.9263, -1.1870, 2.6325, 0
NAME, FOIL, NA, 1, 1.3627, NA, NA, NA, NA, NA
UNUM, FOIL, NA, 1, 1.2229, NA, NA, NA, NA, NA
DIVE, FOIL, NA, 2, 1.5896, NA, NA, NA, NA, NA
PEAS, FOIL, NA, 1, 1.1761, NA, NA, NA, NA, NA
TONS, FOIL, NA, 1, 1.2750, NA, NA, NA, NA, NA
ADDS, STIM, SEQUENTIAL, 5, 2.7538, 2.6064, 2.6941, -0.0877, 2.6825, 0
RIPS, FOIL, NA, 2, 1.9419, NA, NA, NA, NA, NA
ARMY, STIM, SEQUENTIAL, 6, 1.0614, -0.8516, -0.9741, 0.1225, 1.4662, 0
HOSE, FOIL, NA, 1, 1.5485, NA, NA, NA, NA, NA
MOWS, STIM, SEQUENTIAL, 6, 1.3463, 1.1234, 2.3048, -1.1813, 1.6495, 0
BONG, FOIL, NA, 1, 1.5432, NA, NA, NA, NA, NA
ALLY, FOIL, NA, 1, 1.5709, NA, NA, NA, NA, NA
HAHA, STIM, SEQUENTIAL, 6, 1.0923, 0.4719, 0.5198, -0.0478, 1.3496, 0
LEWD, STIM, SEQUENTIAL, 6, 1.4184, 0.4692, -0.3514, 0.8206, 1.3162, 0
BURR, FOIL, NA, 1, 1.3512, NA, NA, NA, NA, NA
WOES, STIM, SIMULTANEOUS, 6, 2.4626, -0.3905, -0.5564, 0.1659, 1.9160, 0
MIST, STIM, SIMULTANEOUS, 6, 1.1490, 1.9555, 2.2268, -0.2713, 1.5495, 0
JOSH, FOIL, NA, 1, 1.3992, NA, NA, NA, NA, NA
PAPA, STIM, SIMULTANEOUS, 6, 1.2813, -0.2794, -0.0361, -0.2433, 1.1996, 0
AWRY, FOIL, NA, 2, 2.0094, NA, NA, NA, NA, NA
MUTE, FOIL, NA, 1, 1.2558, NA, NA, NA, NA, NA
WAND, FOIL, NA, 1, 0.8628, NA, NA, NA, NA, NA
MILT, FOIL, NA, 2, 2.1640, NA, NA, NA, NA, NA
SLID, FOIL, NA, 1, 1.1068, NA, NA, NA, NA, NA
TING, STIM, SIMULTANEOUS, 6, 1.1361, 1.4487, 1.3663, 0.0825, 1.3829, 0
DARK, FOIL, NA, 2, 1.7532, NA, NA, NA, NA, NA
CUTE, STIM, SIMULTANEOUS, 6, 1.0764, 1.5903, 1.5090, 0.0813, 1.5495, 0
PINO, FOIL, NA, 1, 1.0261, NA, NA, NA, NA, NA
VIAL, FOIL, NA, 1, 1.0516, NA, NA, NA, NA, NA
ANEW, STIM, SIMULTANEOUS, 6, 1.1412, 1.2006, 1.2408, -0.0401, 1.7994, 0
FLIP, STIM, SIMULTANEOUS, 6, 1.4878, -2.5514, -2.3673, -0.1842, 1.8161, 0
OMIT, STIM, SIMULTANEOUS, 6, 1.4934, -2.6350, -2.6340, -0.0010, 1.0996, 0
TILE, STIM, SIMULTANEOUS, 6, 1.3238, -0.2026, 0.2035, -0.4061, 1.8827, 0
RICH, STIM, SIMULTANEOUS, 6, 1.1673, 2.3333, 2.2974, 0.0358, 1.5662, 0
OKIE, FOIL, NA, 1, 1.1225, NA, NA, NA, NA, NA
