word, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
POLL, FOIL, 4, 2.2514, NA, NA, NA, NA
MARE, FOIL, 2, 0.4870, NA, NA, NA, NA
TOLL, STIM, 3, 0.1028, -1.8708, 10000000.0000, 10000000.0000, 10000000.0000
WANT, STIM, 4, 0.1702, 2.2822, 10000000.0000, 10000000.0000, 10000000.0000
LOAN, FOIL, 5, 2.6130, NA, NA, NA, NA
SAIL, STIM, 3, 0.2583, -0.7397, 3.0864, 2.4571, 0.6831
BLUE, FOIL, 4, 0.2652, NA, NA, NA, NA
DAIS, STIM, 2, 0.2481, 2.9508, 10000000.0000, 10000000.0000, 10000000.0000
