participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Temporal-Orthographic-Weight, 2404.9356, 3.2495, 0, 2.5443, 0, 0.00029154, 0, 0.00053483, 0, 1.2003, 0.88457, 0.33352, 0.46419, 0.16262, 0.7502, 0.63533, 5.5803e-05, 0, 0, 0, 0, 0.48987, NaN, 3.4942, NaN, NaN, NaN, 0, NaN, 0.02321, NaN, 0, NaN, 0.28282, 0
2, Temporal-Orthographic-Weight, 5215.3534, 2.8496, 0, 2.7193, 0, 1.5079, 0, 0.99995, 0, 3.5095, 0.78405, 0.034021, 0.092793, 0.29153, 0.15417, 0.30973, 0.60475, 0, 0, 0, 0, 0.77012, NaN, 1.5407, NaN, NaN, NaN, 0, NaN, 2.4613, NaN, 0, NaN, 0.14959, 0
3, Temporal-Orthographic-Weight, 2680.0587, 2.9051, 0, 2.9049, 0, 1.4031, 0, 3.789e-05, 0, 1.4617, 0.77122, 0.37198, 0.40164, 0.17086, 0.44358, 0.78036, 0.50746, 0, 0, 0, 0, 0.67478, NaN, 1.8789, NaN, NaN, NaN, 0, NaN, 3.0543, NaN, 0, NaN, 0.25898, 0
4, Temporal-Orthographic-Weight, 4915.0951, 2.2363, 0, 0.95775, 0, 0.85924, 0, 1.0032e-05, 0, 3.5268, 0.91839, 0.49519, 0.32892, 0.31736, 0.17416, 0.69323, 0.85312, 0, 0, 0, 0, 0.4518, NaN, 1.8234, NaN, NaN, NaN, 0, NaN, 6.035, NaN, 0, NaN, 0.27666, 0
5, Temporal-Orthographic-Weight, 6493.6672, 2.9713, 0, 1.1785, 0, 1.3373, 0, 0.99996, 0, 3.1908, 0.26087, 0.017392, 0.57545, 0.078724, 0.19429, 0.81896, 0.26146, 0, 0, 0, 0, 0.63519, NaN, 2.0897, NaN, NaN, NaN, 0, NaN, 0.0015268, NaN, 0, NaN, 0.24544, 0
6, Temporal-Orthographic-Weight, 2434.9346, 3.1766, 0, 2.9041, 0, 1.5215, 0, 0.97641, 0, 2.7786, 1.0857, 0.14719, 0.37711, 0.00059769, 0.37732, 0.70474, 0.81, 0, 0, 0, 0, 0.54141, NaN, 0.11071, NaN, NaN, NaN, 0, NaN, 8.9737, NaN, 0, NaN, 0.12417, 0
7, Temporal-Orthographic-Weight, 4187.9524, 1.3064, 0, 0.82488, 0, 1.0339, 0, 0.99972, 0, 1.7118, 0.54194, 0.036535, 0.18253, 0.38612, 0.094535, 0.75815, 0.7012, 0, 0, 0, 0, 0.78994, NaN, 1.7489, NaN, NaN, NaN, 0, NaN, 4.3863, NaN, 0, NaN, 0.28562, 0
8, Temporal-Orthographic-Weight, 1038.4967, 5.6684, 0, 0.49826, 0, 0.55831, 0, 0.00065737, 0, 1.0234, 0.54641, 0.48814, 0.5504, 0.26563, 0.52277, 0.80144, 0.80562, 0, 0, 0, 0, 0.72334, NaN, 2.4085, NaN, NaN, NaN, 0, NaN, 2.2312, NaN, 0, NaN, 0.27645, 0
9, Temporal-Orthographic-Weight, 2786.3434, 4.3017, 0, 2.1945, 0, 1.5029, 0, 9.3838e-06, 0, 1.4345, 0.97372, 0.31738, 0.31709, 0.27274, 0.34769, 0.56408, 0.80563, 0, 0, 0, 0, 0.7562, NaN, 0.45269, NaN, NaN, NaN, 0, NaN, 0.00053493, NaN, 0, NaN, 0.27517, 0
10, Temporal-Orthographic-Weight, 2309.9018, 3.423, 0, 3.423, 0, 1.5076, 0, 0.99972, 0, 1.777, 0.97397, 0.44677, 0.48728, 0.12476, 0.26318, 0.2468, 0.3696, 0, 0, 0, 0, 0.72342, NaN, 0.46761, NaN, NaN, NaN, 0, NaN, 4.0172, NaN, 0, NaN, 0.2398, 0
