participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Temporal-Orthographic-Decay, 2306.9787, 3.782, 0, 3.7809, 0, 0.95124, 0, 0.87445, 0, 1.3218, 0.73659, 0.59079, 0.48377, 0.36862, 0.43733, 0.46373, 0.028142, 0, 0, 0, 0, 0.46259, 0.49025, 0.49586, NaN, 0.52899, NaN, 0, NaN, 5.9062, 0.083252, 0, NaN, 0.32686, 0
2, Temporal-Orthographic-Decay, 5654.0873, 1.8809, 0, 0.91171, 0, 1.1071, 0, 0.99997, 0, 2.4206, 5.2141e-07, 0.098662, 0.14994, 0.84526, 0.54799, 0.81209, 0.047628, 0, 0, 0, 0, 0.66683, 0.50829, 0.99324, NaN, 3.0062, NaN, 0, NaN, 4.548, 9.5009, 0, NaN, 0.093013, 0
3, Temporal-Orthographic-Decay, 2683.5071, 3.3283, 0, 3.1253, 0, 1.5111, 0, 0.80129, 0, 1.5872, 0.78015, 0.47247, 0.42378, 0.25749, 0.29565, 0.44672, 0.80848, 0, 0, 0, 0, 0.55634, 0.53773, 0.1254, NaN, 1.8438, NaN, 0, NaN, 9.5008, 1.0361, 0, NaN, 0.26251, 0
4, Temporal-Orthographic-Decay, 4924.7858, 2.367, 0, 1.4293, 0, 1.5301, 0, 0.97637, 0, 2.8502, 0.0030442, 0.15229, 0.00074675, 0.16218, 0.96896, 0.85877, 0.85251, 0, 0, 0, 0, 0.52442, 0.64829, 2.161, NaN, 1.3911, NaN, 0, NaN, 4.0958, 9.4896, 0, NaN, 0.12096, 0
5, Temporal-Orthographic-Decay, 5790.0557, 2.9524, 0, 1.4662, 0, 1.5215, 0, 0.87454, 0, 3.5691, 0.9803, 0.024189, 0.030089, 0.13669, 0.72369, 0.59516, 0.41539, 0, 0, 0, 0, 0.49313, 0.53896, 0.093856, NaN, 3.0045, NaN, 0, NaN, 2.1437, 8.6612, 0, NaN, 0.18926, 0
6, Temporal-Orthographic-Decay, 2537.8653, 3.1763, 0, 1.0786, 0, 1.5133, 0, 0.82793, 0, 2.4256, 0.69568, 0.28814, 0.13713, 1.0479e-06, 0.70668, 0.32671, 0.80777, 0, 0, 0, 0, 0.48722, 0.589, 0.18977, NaN, 2.8074, NaN, 0, NaN, 5.9028, 9.5007, 0, NaN, 0.26125, 0
7, Temporal-Orthographic-Decay, 4300.143, 2.1026, 0, 2.1002, 0, 0.79614, 0, 0.97081, 0, 1.9506, 0.71025, 0.15521, 0.20296, 0.15511, 0.71371, 0.79847, 0.17239, 0, 0, 0, 0, 0.51513, 0.47279, 1.9793, NaN, 1.3137, NaN, 0, NaN, 1.4708, 9.5036, 0, NaN, 0.3681, 0
8, Temporal-Orthographic-Decay, 1049.2625, 5.9636, 0, 0.97224, 0, 1.2108, 0, 0.99999, 0, 1.0481, 0.54115, 0.48703, 0.42848, 0.49803, 0.16104, 0.5977, 0.81162, 0, 0, 0, 0, 0.74128, 0.66842, 1.4587, NaN, 1.2631, NaN, 0, NaN, 3.8718, 0.00011078, 0, NaN, 0.27555, 0
9, Temporal-Orthographic-Decay, 2699.087, 3.4657, 0, 2.1385, 0, 0.69393, 0, 0.87239, 0, 1.5599, 0.97252, 0.66446, 0.62125, 0.25401, 0.22226, 0.5831, 4.6971e-06, 0, 0, 0, 0, 0.58422, 0.50701, 1.6345, NaN, 1.5613, NaN, 0, NaN, 7.4708, 1.4617e-05, 0, NaN, 0.27679, 0
10, Temporal-Orthographic-Decay, 2320.2586, 2.8247, 0, 2.6795, 0, 1.5043, 0, 0.97607, 0, 1.6173, 0.88447, 0.43447, 0.29941, 0.35407, 0.42495, 0.44582, 0.48974, 0, 0, 0, 0, 0.49695, 0.55217, 0.94867, NaN, 0.19977, NaN, 0, NaN, 9.5, 3.8647, 0, NaN, 0.25228, 0
