participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Spatiotemporal-Orthographic-Decay, 2634.5495, 8.5591, 0, 2.8794, 0, 1.1836, 0, 0.99988, 0, 2.3331, 0.81994, 0.59662, 0.49549, 0.22232, 0.10634, 0.25876, 0.0017394, 0.26727, 0.13186, 0, 0, 0.5314, 0.47699, 3.5052, NaN, 2.1391, NaN, 0.72874, 0.0029719, 4.0635, 5.6995, 0, NaN, 0.2847, 0
2, Spatiotemporal-Orthographic-Decay, 5174.0545, 2.8507, 0, 2.0139, 0, 1.2992, 0, 0.39973, 0, 3.4341, 1.1404, 0.13561, 0.083703, 0.44523, 0.10088, 0.71011, 0.73512, 0.11515, 0.25414, 0, 0, 0.4921, 0.66801, 2.1352, NaN, 0.18942, NaN, 0.42494, 0.7894, 4.5538, 0.0038828, 0, NaN, 0.16693, 0
3, Spatiotemporal-Orthographic-Decay, 2694.4249, 3.3207, 0, 2.9985, 0, 1.3436, 0, 0.80943, 0, 1.5639, 0.74502, 0.45979, 0.46661, 0.25074, 0.17707, 0.43388, 0.49921, 0.633, 0.45812, 0, 0, 0.50797, 0.52107, 3.4594, NaN, 1.3969, NaN, 0.70855, 0.030357, 9.5001, 0.14467, 0, NaN, 0.27372, 0
4, Spatiotemporal-Orthographic-Decay, 4578.6734, 2.2763, 0, 1.3748, 0, 0.9916, 0, 0.076462, 0, 3.4731, 0.98132, 0.12637, 0.019568, 0.22872, 0.30418, 0.16347, 0.37167, 0.29833, 0.21785, 0, 0, 0.52827, 0.5193, 2.2787, NaN, 0.3638, NaN, 0.057593, 1.9728, 9.3349, 8.7516, 0, NaN, 6.1118e-05, 0
5, Spatiotemporal-Orthographic-Decay, 5848.9922, 4.3987, 0, 2.1534, 0, 1.569, 0, 0.98296, 0, 4.8909, 1.334, 0.058666, 0.18295, 0.15737, 0.3433, 0.36406, 0.1544, 0.42031, 0.31716, 0, 0, 0.47909, 0.51164, 0.66117, NaN, 1.4856, NaN, 1.591, 0.024173, 2.4221, 7.7883, 0, NaN, 0.16542, 0
6, Spatiotemporal-Orthographic-Decay, 2484.8684, 2.6711, 0, 1.9099, 0, 1.5457, 0, 0.99999, 0, 2.4295, 0.21103, 2.8406e-06, 0.096043, 0.28372, 0.29857, 0.72875, 0.8708, 0.8299, 0.59554, 0, 0, 0.64833, 0.67977, 0.13689, NaN, 1.4766, NaN, 0.71327, 0.58657, 9.4955, 8.7317, 0, NaN, 0.10243, 0
7, Spatiotemporal-Orthographic-Decay, 4139.7992, 1.9414, 0, 0.62066, 0, 0.51726, 0, 1, 0, 2.1898, 1.2503, 0.21414, 0.15836, 0.35642, 0.38641, 0.80741, 0.30616, 0.46926, 0.77269, 0, 0, 0.76794, 0.46147, 3.1579, NaN, 2.2808, NaN, 1.7822e-05, 0.5704, 3.1711, 4.525, 0, NaN, 0.12205, 0
8, Spatiotemporal-Orthographic-Decay, 1063.3419, 7.4576, 0, 2.6169, 0, 1.266, 0, 0.97652, 0, 1.2585, 0.55845, 0.51868, 0.60203, 0.30483, 0.40386, 0.24967, 8.394e-05, 0.19024, 0.67763, 0, 0, 0.49647, 0.58216, 2.1632, NaN, 3.0036, NaN, 0.51379, 0.084745, 6.5094, 0.0018706, 0, NaN, 0.27284, 0
9, Spatiotemporal-Orthographic-Decay, 2716.7392, 3.7064, 0, 2.5913, 0, 0.99358, 0, 0.82312, 0, 1.6257, 0.98465, 0.54533, 0.59582, 0.31495, 0.18798, 0.33522, 0.81043, 0.060281, 0.23521, 0, 0, 0.48193, 0.68098, 0.44876, NaN, 2.1358, NaN, 1.2013, 5.7392e-05, 7.4674, 0.37156, 0, NaN, 0.26478, 0
10, Spatiotemporal-Orthographic-Decay, 2338.8272, 3.6559, 0, 1.5276, 0, 0.6238, 0, 0.99788, 0, 1.6691, 0.92583, 0.45931, 0.46612, 0.43184, 0.1474, 0.74023, 0.62118, 0.056083, 0.48499, 0, 0, 0.68513, 0.49352, 2.095, NaN, 2.6048, NaN, 0.55831, 0.051449, 4.1879, 0.00056235, 0, NaN, 0.24628, 0
