participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Orthographic, 2304.0643, 3.9518, 0, 3.9517, 0, 1.2839, 0, 0.0010585, 0, 1.3892, 0.74084, 0.72763, 0.75757, 0.022822, 0.23536, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 6.3908, NaN, 0, NaN, 0.33223, 0
2, Orthographic, 5168.4464, 2.5717, 0, 2.4169, 0, 1.5094, 0, 0.92695, 0, 3.2498, 1.0063, 0.077143, 0.048329, 0.099014, 0.12586, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 1.486, NaN, 0, NaN, 0.19247, 0
3, Orthographic, 2684.5194, 3.354, 0, 3.354, 0, 1.5079, 0, 0.43559, 0, 1.5812, 0.77318, 0.38504, 0.52146, 0.085917, 0.0817, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 1.4968, NaN, 0, NaN, 0.26302, 0
4, Orthographic, 4584.9799, 2.1853, 0, 1.694, 0, 1.5108, 0, 1, 0, 3.5081, 1.0257, 0.089808, 0.081358, 0.053671, 0.096596, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 6.1499, NaN, 0, NaN, 0.12883, 0
5, Orthographic, 5641.6491, 3.9206, 0, 1.4564, 0, 1.5177, 0, 0.16491, 0, 4.6132, 1.9543, 0.11417, 0.29716, 0.13297, 0.10036, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 1.5004, NaN, 0, NaN, 0.10914, 0
6, Orthographic, 2365.4155, 2.8432, 0, 2.8431, 0, 1.3907, 0, 0.99996, 0, 2.6777, 0.87385, 0.063481, 0.067582, 0.10778, 0.10516, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 9.2765, NaN, 0, NaN, 0.11361, 0
7, Orthographic, 4085.8872, 1.7531, 0, 1.7171, 0, 1.2808, 0, 0.74206, 0, 2.2563, 1.4017, 0.25134, 0.41649, 0.12822, 0.11994, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 5.1695, NaN, 0, NaN, 0.15653, 0
8, Orthographic, 1052.3902, 5.0552, 0, 0.49715, 0, 1.1708, 0, 0.67158, 0, 1.0543, 0.55889, 0.49451, 0.55045, 0.079942, 0.10071, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 1.4966, NaN, 0, NaN, 0.27351, 0
9, Orthographic, 2709.1006, 3.0625, 0, 3.0624, 0, 0.82261, 0, 0.17288, 0, 1.4524, 0.99315, 0.39256, 0.75459, 0.19655, 0.031312, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 1.498, NaN, 0, NaN, 0.27612, 0
10, Orthographic, 2326.2206, 4.1932, 0, 0.49916, 0, 1.5059, 0, 0.68583, 0, 1.9946, 1.0087, 0.58867, 0.73691, 0.071577, 0.021614, 1, NaN, 0, NaN, 0, NaN, 0.5, NaN, 0, NaN, NaN, NaN, 0, NaN, 4.7732, NaN, 0, NaN, 0.23901, 0
