"word","filename","subject.num","session.num","target_angle","condition","rt","response_angle","test.error","encode.error"
"AGILE","subj-1--2017-06-19--09-12-56.mat","1",1,2.71944447883975,"LONG",0.567085607210174,2.21326437810444,0.506180100735314,0.0160419722246283
"ALIEN","subj-1--2017-06-19--09-12-56.mat","1",1,1.52849317402842,"LONG",0.883974925149232,0.622670788757067,0.905822385271355,0.0451024455969582
"ALSO","subj-1--2017-06-19--09-12-56.mat","1",1,-1.92596206965642,"SHORT",0.366903886431828,-2.86188850112616,0.935926431469741,-0.0482411202038957
"ALTER","subj-1--2017-06-19--09-12-56.mat","1",1,1.83926634640614,"SHORT",0.400293592829257,1.81703285089358,0.0222334955125618,-0.031937306604725
"ALWAYS","subj-1--2017-06-19--09-12-56.mat","1",1,1.26148332255401,"SHORT",0.517018866026774,-0.795998473053255,2.05748179560726,0.11048282744959
"ARE","subj-1--2017-06-19--09-12-56.mat","1",1,2.74130619497024,"SHORT",1.05074156587943,-2.77070136477713,-0.771177747432216,0.14631125077355
"AURAL","subj-1--2017-06-19--09-12-56.mat","1",1,2.63702336569561,"SHORT",0.733863651985303,2.38201900612478,0.255004359570827,-0.0636450397350226
"AVOWAL","subj-1--2017-06-19--09-12-56.mat","1",1,-1.84330064529026,"SHORT",0.817261084448546,-1.81950631588842,-0.0237943294018428,-0.037562959431573
"AWAY","subj-1--2017-06-19--09-12-56.mat","1",1,-0.291685056217911,"SHORT",0.483680477133021,2.62244653934327,-2.91413159556118,0.167508239257929
"AYE","subj-1--2017-06-19--09-12-56.mat","1",1,2.8435320550479,"LONG",0.61711471574381,2.5879113313828,0.255620723665107,0.14012954843278
"BE","subj-1--2017-06-19--09-12-56.mat","1",1,2.00172902552179,"LONG",0.316902147373185,2.89303405348913,-0.891305027967343,0.101052242150308
"BEAU","subj-1--2017-06-19--09-12-56.mat","1",1,2.18012288857593,"SHORT",0.750533273909241,2.26487410110614,-0.0847512125302137,0.252334194318784
"BECAME","subj-1--2017-06-19--09-12-56.mat","1",1,2.45265780873058,"SHORT",3.48582611698657,0.350963021116464,2.10169478761412,0.173799543833886
"BERTH","subj-1--2017-06-19--09-12-56.mat","1",1,2.02457878321797,"LONG",0.3836114264559,2.15879893034246,-0.13422014712449,-0.180363415949082
"BITTER","subj-1--2017-06-19--09-12-56.mat","1",1,-2.9017028344722,"LONG",0.350288432557136,-3.12108270945035,0.21937987497815,0.104595749987657
"BLEAK","subj-1--2017-06-19--09-12-56.mat","1",1,-2.54109965310185,"LONG",0.41697347862646,0.671502087152232,3.0705835669255,-0.0179349938845781
"BLOW","subj-1--2017-06-19--09-12-56.mat","1",1,-2.33624572440851,"SHORT",0.567080760607496,-2.10225549339765,-0.233990231010859,-0.119010001487844
"BORNE","subj-1--2017-06-19--09-12-56.mat","1",1,1.32406407235358,"LONG",0.683804323198274,2.1760138723219,-0.851949799968323,-0.0563576424158776
"BRUT","subj-1--2017-06-19--09-12-56.mat","1",1,-0.163884543491674,"LONG",0.350250514689833,0.238997873194515,-0.402882416686189,0.00897606329547068
"BUDGET","subj-1--2017-06-19--09-12-56.mat","1",1,-1.51026008452749,"LONG",1.5010922064539,-1.53472949947872,0.0244694149512237,0.0657445285064753
"CALL","subj-1--2017-06-19--09-12-56.mat","1",1,0.207997885563846,"LONG",0.483691595727578,0.955383562466387,-0.747385676902542,0.0647080742000584
"CAREER","subj-1--2017-06-19--09-12-56.mat","1",1,1.43681555843601,"LONG",0.73388702981174,0.0939633202055048,1.3428522382305,0.0935867190516972
"CAUL","subj-1--2017-06-19--09-12-56.mat","1",1,-1.62222893708326,"SHORT",1.0841415359173,-0.0669102780286414,-1.55531865905461,0.0948826777166714
"CITE","subj-1--2017-06-19--09-12-56.mat","1",1,-0.606276734257008,"LONG",0.416966921417043,0.121464829183621,-0.72774156344063,0.0194438217574234
"CLAMMY","subj-1--2017-06-19--09-12-56.mat","1",1,3.06078275517114,"SHORT",0.51704395445995,-3.10277720750833,-0.119625344500117,-0.0232818221701456
"CLASH","subj-1--2017-06-19--09-12-56.mat","1",1,2.91577397564696,"SHORT",0.567024596501142,-0.249978621460822,-3.11743271007181,0.0631567320497282
"COURSE","subj-1--2017-06-19--09-12-56.mat","1",1,0.053418510459613,"SHORT",0.366930970689282,-2.80834835247812,2.86176686293773,0.053418510459613
"CRAVEN","subj-1--2017-06-19--09-12-56.mat","1",1,-0.966409592882581,"SHORT",1.05070649902336,-0.923205261256915,-0.043204331625666,0.0833310102747096
"CRIME","subj-1--2017-06-19--09-12-56.mat","1",1,0.437601987874526,"LONG",0.433693848084658,-0.634822445301225,1.07242443317575,0.0173061956962696
"CURFEW","subj-1--2017-06-19--09-12-56.mat","1",1,1.10432719081949,"SHORT",0.483712407760322,2.54241733060349,-1.438090139784,0.234622294895831
"DAIS","subj-1--2017-06-19--09-12-56.mat","1",1,-1.82605354968993,"LONG",0.450322416145355,0.310294427123321,-2.13634797681325,0.0826209653452425
"DAMAN","subj-1--2017-06-19--09-12-56.mat","1",1,-2.31108456299068,"SHORT",0.533722414635122,-0.945075770780465,-1.36600879221022,-0.0997751663184561
"DEBUT","subj-1--2017-06-19--09-12-56.mat","1",1,-2.18784137579069,"LONG",0.70050359540619,-2.44420186372009,0.256360487929395,-0.102397619053617
"DECEIT","subj-1--2017-06-19--09-12-56.mat","1",1,-2.75233225596125,"LONG",1.10078350361437,-2.74525892038169,-0.00707333557955359,0.0262110248622989
"DEITY","subj-1--2017-06-19--09-12-56.mat","1",1,0.50527059948168,"SHORT",0.400265368400142,0.588002603547568,-0.0827320040658878,-0.0870735107971405
"DELUGE","subj-1--2017-06-19--09-12-56.mat","1",1,-2.91396254524328,"SHORT",0.283549788640812,2.46685171136624,0.902371050570068,0.0389468159584299
"DEVICE","subj-1--2017-06-19--09-12-56.mat","1",1,-2.28020992707602,"SHORT",0.583760075969622,0.27901343475827,-2.55922336183429,-0.0411241814505368
"DID","subj-1--2017-06-19--09-12-56.mat","1",1,-2.50994493655698,"SHORT",0.867291618371382,0.937766039506309,2.8354743311163,0.0938901448138139
"DIRGE","subj-1--2017-06-19--09-12-56.mat","1",1,0.66786406912255,"LONG",0.500318168429658,0.231090667195897,0.436773401926653,-0.0407622030051206
"DOLT","subj-1--2017-06-19--09-12-56.mat","1",1,-0.228467807421005,"LONG",0.517040533479303,-0.230521839043369,0.00205403162236337,0.049831851584106
"DONE","subj-1--2017-06-19--09-12-56.mat","1",1,0.0609082011877633,"SHORT",0.483655673684552,-0.341292040524316,0.402200241712079,0.0609082011877633
"DRYAD","subj-1--2017-06-19--09-12-56.mat","1",1,-0.0106692663030667,"SHORT",0.467007148545235,0.662827288277935,-0.673496554581001,0.0197781742661045
"ELSE","subj-1--2017-06-19--09-12-56.mat","1",1,-0.640433605065643,"LONG",0.667134130839258,2.55497317502469,3.08777852708925,0.0857745194036846
"EMPTY","subj-1--2017-06-19--09-12-56.mat","1",1,-0.104221128647542,"SHORT",0.300199738936499,0.0478104276649749,-0.152031556312517,-0.0787164561690468
"ENCORE","subj-1--2017-06-19--09-12-56.mat","1",1,-1.28250376653641,"SHORT",0.467006863327697,-0.391175225454726,-0.891328541081681,-0.0799733735987975
"ENIGMA","subj-1--2017-06-19--09-12-56.mat","1",1,-0.697998380355409,"SHORT",0.500366349471733,-1.10714871779409,0.409150337438681,0.157054356770607
"ENOUGH","subj-1--2017-06-19--09-12-56.mat","1",1,2.92196423220768,"LONG",0.733891020994633,0.326660498574072,2.59530373363361,0.038997037191101
"EXTENT","subj-1--2017-06-19--09-12-56.mat","1",1,0.213664761786294,"SHORT",1.90141145838425,0.111189986174102,0.102474775612192,-0.00555273038479528
"FLEE","subj-1--2017-06-19--09-12-56.mat","1",1,-0.146173106772961,"LONG",0.733898433623835,0.851966327173272,-0.998139433946233,-0.088645030524453
"FOLLY","subj-1--2017-06-19--09-12-56.mat","1",1,1.98261077183097,"SHORT",0.783899032277986,2.2327379680004,-0.250127196169439,0.0554813080244276
"FORBID","subj-1--2017-06-19--09-12-56.mat","1",1,2.87928507398212,"SHORT",0.650440560420975,2.48146106151487,0.397824012467249,0.145969434098109
"FRONT","subj-1--2017-06-19--09-12-56.mat","1",1,-1.5716602762487,"SHORT",1.26759404921904,0.623855239586824,-2.19551551583553,0.0432251079442665
"FULL","subj-1--2017-06-19--09-12-56.mat","1",1,1.77205115407138,"SHORT",1.30096779018641,-0.403534935014638,2.17558608908602,0.0335332567398872
"GENDER","subj-1--2017-06-19--09-12-56.mat","1",1,-1.99482921219094,"SHORT",0.667129284003749,-0.558079564870614,-1.43674964732033,0.113802641297384
"GENTLE","subj-1--2017-06-19--09-12-56.mat","1",1,0.23942019959189,"LONG",0.550405151210725,2.73477655922451,-2.49535635963262,0.0340248104021227
"GIST","subj-1--2017-06-19--09-12-56.mat","1",1,1.85828275722988,"SHORT",0.867316421819851,0.638319808009046,1.21996294922083,0.0537432495660779
"GLAD","subj-1--2017-06-19--09-12-56.mat","1",1,1.38282270614599,"LONG",0.733864792156965,-0.435682873030941,1.81850557917693,0.0380439775639245
"GLOOM","subj-1--2017-06-19--09-12-56.mat","1",1,-0.915547356701176,"SHORT",0.817257948452607,2.87935306618671,2.4882848842917,-0.0341489029342427
"GORAL","subj-1--2017-06-19--09-12-56.mat","1",1,-2.42039671635211,"LONG",0.567077339394018,-2.05551809879222,-0.364878617559897,-0.0458892552953007
"GRIEF","subj-1--2017-06-19--09-12-56.mat","1",1,-1.67645097225372,"SHORT",4.0029273761902,-1.58089699338022,-0.095553978873506,-0.0441936895760619
"GROW","subj-1--2017-06-19--09-12-56.mat","1",1,1.55570305982317,"LONG",0.383589188801125,-2.59685911623399,-2.13062313112242,0.0110787661295131
"GUESS","subj-1--2017-06-19--09-12-56.mat","1",1,1.4366095858579,"SHORT",0.3836114264559,1.44579700244039,-0.00918741658249855,-0.102946907506732
"HARD","subj-1--2017-06-19--09-12-56.mat","1",1,1.85816504468058,"SHORT",1.08411787264049,2.12552612026864,-0.26736107558806,2.60329195220943
"HARM","subj-1--2017-06-19--09-12-56.mat","1",1,-2.44915349968168,"LONG",0.466974932467565,-0.610314102797999,-1.83883939688368,-0.152957582186652
"HAS","subj-1--2017-06-19--09-12-56.mat","1",1,0.356014126971663,"LONG",1.05076465872116,0.754691094967386,-0.398676967995724,0.0441316732985595
"HAVE","subj-1--2017-06-19--09-12-56.mat","1",1,-3.10540364418786,"SHORT",0.767202325863764,0.0458861352089356,3.13189552778279,0.0661800142588141
"HOARSE","subj-1--2017-06-19--09-12-56.mat","1",1,1.40934908057794,"SHORT",1.90132706961595,-0.682818310979154,2.09216739155709,-0.109410931407743
"HUMANE","subj-1--2017-06-19--09-12-56.mat","1",1,1.98695758215487,"SHORT",0.333590300753713,1.91654227478341,0.0704153073714606,0.031786425591181
"HURT","subj-1--2017-06-19--09-12-56.mat","1",1,0.465014579316513,"SHORT",3.0688737356104,0.781961750807461,-0.316947171490948,-0.0806404752104791
"IT","subj-1--2017-06-19--09-12-56.mat","1",1,-3.09308294029247,"LONG",2.31835186551325,3.14159265358979,0.048509713297322,0.0745454954797096
"JEER","subj-1--2017-06-19--09-12-56.mat","1",1,3.12164326703936,"SHORT",0.817202354548499,0.900133665386471,2.22150960165289,-0.0248754550788546
"KEPT","subj-1--2017-06-19--09-12-56.mat","1",1,-2.32715088395012,"LONG",0.483699578559026,-0.522938763571172,-1.80421212037895,-0.123324269866634
"KINE","subj-1--2017-06-19--09-12-56.mat","1",1,1.32026549022424,"SHORT",1.01740545756184,1.58642005541537,-0.266154565191133,0.0563937860869732
"LACK","subj-1--2017-06-19--09-12-56.mat","1",1,2.4803225030015,"SHORT",0.416977184824646,2.424189865178,0.0561326378235032,-0.0033815454060786
"LAGAN","subj-1--2017-06-19--09-12-56.mat","1",1,-0.0235799165583117,"LONG",0.817261654650792,0.0934767811585895,-0.117056697716901,-0.00274959652209462
"LAST","subj-1--2017-06-19--09-12-56.mat","1",1,-0.211913863697395,"LONG",0.400305281858891,-0.0856485396305267,-0.126265324066869,0.0800441838713231
"LIEN","subj-1--2017-06-19--09-12-56.mat","1",1,-0.01988261261388,"SHORT",0.400289601413533,0.0416425790985884,-0.0615251917124685,-0.01988261261388
"LOGIC","subj-1--2017-06-19--09-12-56.mat","1",1,-3.05717608106509,"LONG",0.316891883965582,0.339292614454045,2.88671661166045,0.0997999743052953
"LONE","subj-1--2017-06-19--09-12-56.mat","1",1,0.463680831361583,"LONG",1.01741172955371,-0.660131592074926,1.12381242343651,-0.0220515398357476
"LUNE","subj-1--2017-06-19--09-12-56.mat","1",1,0.755102939808662,"LONG",0.450305025326088,0.818596294059457,-0.0634933542507947,-0.0839349949156014
