word,list,list_type,member
fooled,1,orthographic,1
folded,1,orthographic,2
fouled,1,orthographic,3
fueled,1,orthographic,4
flowed,1,orthographic,5
fabled,1,orthographic,6
foiled,1,orthographic,7
flayed,1,orthographic,8
fogged,1,orthographic,9
fanned,1,orthographic,10
flared,1,orthographic,11
fenced,1,orthographic,12
flaked,1,orthographic,13
forked,1,orthographic,14
felled,1,orthographic,15
farmed,1,orthographic,16
bailed,2,orthographic,1
boiled,2,orthographic,2
bagged,2,orthographic,3
bathed,2,orthographic,4
barred,2,orthographic,5
barbed,2,orthographic,6
bashed,2,orthographic,7
billed,2,orthographic,8
barged,2,orthographic,9
batted,2,orthographic,10
bowled,2,orthographic,11
balled,2,orthographic,12
banked,2,orthographic,13
baited,2,orthographic,14
barked,2,orthographic,15
bawled,2,orthographic,16
retire,3,orthographic,1
recipe,3,orthographic,2
relate,3,orthographic,3
recite,3,orthographic,4
revive,3,orthographic,5
relive,3,orthographic,6
regime,3,orthographic,7
reside,3,orthographic,8
revise,3,orthographic,9
refute,3,orthographic,10
rewire,3,orthographic,11
refine,3,orthographic,12
rebate,3,orthographic,13
recuse,3,orthographic,14
repute,3,orthographic,15
rehire,3,orthographic,16
cooked,4,orthographic,1
choked,4,orthographic,2
copied,4,orthographic,3
cooped,4,orthographic,4
conned,4,orthographic,5
cooled,4,orthographic,6
corned,4,orthographic,7
combed,4,orthographic,8
copped,4,orthographic,9
cocked,4,orthographic,10
cloned,4,orthographic,11
conked,4,orthographic,12
coined,4,orthographic,13
cooker,4,orthographic,14
coiled,4,orthographic,15
corked,4,orthographic,16
smiled,5,orthographic,1
sailed,5,orthographic,2
suited,5,orthographic,3
seized,5,orthographic,4
sliced,5,orthographic,5
swiped,5,orthographic,6
spiked,5,orthographic,7
shined,5,orthographic,8
soiled,5,orthographic,9
socked,5,orthographic,10
soared,5,orthographic,11
scaled,5,orthographic,12
soused,5,orthographic,13
spiced,5,orthographic,14
soured,5,orthographic,15
sobbed,5,orthographic,16
blamed,6,orthographic,1
bearer,6,orthographic,2
beamed,6,orthographic,3
biased,6,orthographic,4
beater,6,orthographic,5
beeped,6,orthographic,6
belted,6,orthographic,7
bested,6,orthographic,8
bedded,6,orthographic,9
beaker,6,orthographic,10
beefed,6,orthographic,11
blazed,6,orthographic,12
braced,6,orthographic,13
braved,6,orthographic,14
beaded,6,orthographic,15
bended,6,orthographic,16
rented,7,orthographic,1
rolled,7,orthographic,2
rested,7,orthographic,3
rocked,7,orthographic,4
roster,7,orthographic,5
routes,7,orthographic,6
ratted,7,orthographic,7
rooted,7,orthographic,8
routed,7,orthographic,9
rotted,7,orthographic,10
roamed,7,orthographic,11
roared,7,orthographic,12
roomed,7,orthographic,13
roused,7,orthographic,14
rooked,7,orthographic,15
router,7,orthographic,16
pegged,8,orthographic,1
peeled,8,orthographic,2
peaked,8,orthographic,3
peeked,8,orthographic,4
peewee,8,orthographic,5
premed,8,orthographic,6
penned,8,orthographic,7
pieced,8,orthographic,8
peeper,8,orthographic,9
peeved,8,orthographic,10
pecked,8,orthographic,11
peeler,8,orthographic,12
preyed,8,orthographic,13
peered,8,orthographic,14
petted,8,orthographic,15
peeped,8,orthographic,16
harmed,9,orthographic,1
hopped,9,orthographic,2
housed,9,orthographic,3
hordes,9,orthographic,4
hornet,9,orthographic,5
horsey,9,orthographic,6
hurled,9,orthographic,7
hosted,9,orthographic,8
horned,9,orthographic,9
hocked,9,orthographic,10
hotbed,9,orthographic,11
herded,9,orthographic,12
hooded,9,orthographic,13
honked,9,orthographic,14
howled,9,orthographic,15
hurted,9,orthographic,16
scares,10,orthographic,1
shares,10,orthographic,2
sharks,10,orthographic,3
shades,10,orthographic,4
shores,10,orthographic,5
smarts,10,orthographic,6
stares,10,orthographic,7
shafts,10,orthographic,8
shears,10,orthographic,9
shacks,10,orthographic,10
shaves,10,orthographic,11
spares,10,orthographic,12
swarms,10,orthographic,13
shanks,10,orthographic,14
shards,10,orthographic,15
snarls,10,orthographic,16
louder,11,orthographic,1
larger,11,orthographic,2
lodged,11,orthographic,3
logged,11,orthographic,4
linger,11,orthographic,5
longed,11,orthographic,6
looker,11,orthographic,7
ledger,11,orthographic,8
loafer,11,orthographic,9
loader,11,orthographic,10
lodges,11,orthographic,11
loaner,11,orthographic,12
loiter,11,orthographic,13
looter,11,orthographic,14
lodger,11,orthographic,15
lunger,11,orthographic,16
waiter,12,orthographic,1
waters,12,orthographic,2
writes,12,orthographic,3
wander,12,orthographic,4
walker,12,orthographic,5
warmer,12,orthographic,6
washer,12,orthographic,7
wither,12,orthographic,8
waiver,12,orthographic,9
wastes,12,orthographic,10
wetter,12,orthographic,11
wicker,12,orthographic,12
wearer,12,orthographic,13
wipers,12,orthographic,14
whaler,12,orthographic,15
whiner,12,orthographic,16
trials,13,orthographic,1
treaty,13,orthographic,2
trunks,13,orthographic,3
trails,13,orthographic,4
truths,13,orthographic,5
tribes,13,orthographic,6
trades,13,orthographic,7
tramps,13,orthographic,8
triads,13,orthographic,9
treads,13,orthographic,10
toasts,13,orthographic,11
trolls,13,orthographic,12
totals,13,orthographic,13
twerps,13,orthographic,14
teases,13,orthographic,15
tenths,13,orthographic,16
depend,14,orthographic,1
deputy,14,orthographic,2
deaths,14,orthographic,3
dental,14,orthographic,4
depths,14,orthographic,5
deploy,14,orthographic,6
depart,14,orthographic,7
debris,14,orthographic,8
denies,14,orthographic,9
delays,14,orthographic,10
detest,14,orthographic,11
deport,14,orthographic,12
depict,14,orthographic,13
decoys,14,orthographic,14
depots,14,orthographic,15
debtor,14,orthographic,16
