,word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
1248,simply,2362,1557,2166,1467,46.31,3.3735,18.56,3.1926,6
1256,orders,3130,1551,2987,1512,61.37,3.4957,18.49,3.1909,6
1258,search,2467,1549,2172,1412,48.37,3.3923,18.47,3.1903,6
1266,taught,2236,1540,2178,1513,43.84,3.3497,18.36,3.1878,6
1267,guilty,3177,1538,2895,1452,62.29,3.5022,18.34,3.1872,6
1275,prison,3368,1527,3071,1474,66.04,3.5275,18.2,3.1841,6
1276,settle,2143,1526,1855,1374,42.02,3.3312,18.19,3.1838,6
1278,fellow,2987,1525,2846,1478,58.57,3.4754,18.18,3.1836,6
1279,nature,2303,1525,2052,1416,45.16,3.3625,18.18,3.1836,6
1285,memory,2477,1514,2387,1483,48.57,3.3941,18.05,3.1804,6
1288,career,2305,1506,2250,1493,45.2,3.3629,17.95,3.1781,6
1291,beauty,2460,1504,2100,1367,48.24,3.3911,17.93,3.1775,6
1296,flying,2579,1501,2298,1401,50.57,3.4116,17.89,3.1767,6
1301,remind,1883,1498,1608,1308,36.92,3.2751,17.86,3.1758,6
1302,beyond,2200,1496,1982,1407,43.14,3.3426,17.84,3.1752,6
1303,credit,2337,1490,2244,1449,45.82,3.3688,17.76,3.1735,6
1305,brings,1791,1484,1726,1438,35.12,3.2533,17.69,3.1717,6
1316,french,3541,1471,222,118,69.43,3.5492,17.54,3.1679,6
1318,papers,2638,1469,2562,1452,51.73,3.4214,17.51,3.1673,6
1321,spirit,2517,1466,2210,1370,49.35,3.4011,17.48,3.1664,6
1335,famous,2296,1434,2204,1384,45.02,3.3612,17.1,3.1569,6
1337,agreed,1832,1432,1598,1288,35.92,3.2632,17.07,3.1562,6
1343,itself,2029,1424,2023,1424,39.78,3.3075,16.98,3.1538,6
1348,danger,2227,1415,2051,1365,43.67,3.3479,16.87,3.1511,6
1349,sooner,1888,1415,1637,1255,37.02,3.2762,16.87,3.1511,6
1356,bright,2265,1403,1692,1261,44.41,3.3553,16.73,3.1474,6
1361,driver,2416,1398,2153,1286,47.37,3.3833,16.67,3.1458,6
1366,faster,2233,1391,1678,1200,43.78,3.3491,16.58,3.1436,6
1369,camera,2907,1387,2663,1324,57,3.4636,16.54,3.1424,6
1372,escape,2258,1386,2147,1348,44.27,3.3539,16.52,3.1421,6
1380,animal,2320,1372,2086,1281,45.49,3.3657,16.36,3.1377,6
1381,insane,1973,1372,1904,1348,38.69,3.2953,16.36,3.1377,6
1386,lonely,2125,1364,1978,1313,41.67,3.3276,16.26,3.1351,6
1390,flight,3044,1358,2524,1255,59.69,3.4836,16.19,3.1332,6
1400,states,2759,1353,545,402,54.1,3.4409,16.13,3.1316,6
1407,health,2054,1341,1736,1218,40.27,3.3128,15.99,3.1278,6
1412,stayed,1668,1335,1640,1318,32.71,3.2225,15.92,3.1258,6
1415,friday,2429,1331,67,46,47.63,3.3856,15.87,3.1245,6
1426,master,4450,1322,2327,1116,87.25,3.6485,15.76,3.1216,6
1427,ticket,2324,1322,2243,1287,45.57,3.3664,15.76,3.1216,6
1428,opened,1726,1321,1707,1309,33.84,3.2373,15.75,3.1212,6
1435,prefer,1679,1311,1673,1310,32.92,3.2253,15.63,3.1179,6
1437,sudden,1707,1310,1670,1290,33.47,3.2325,15.62,3.1176,6
1439,assume,1707,1306,1648,1278,33.47,3.2325,15.57,3.1163,6
1442,signed,1839,1304,1676,1187,36.06,3.2648,15.55,3.1156,6
1448,shower,2097,1299,2040,1275,41.12,3.3218,15.49,3.1139,6
1451,weight,1850,1296,1773,1262,36.27,3.2674,15.45,3.1129,6
1458,nearly,1721,1290,1566,1210,33.75,3.236,15.38,3.1109,6
1461,finger,1870,1287,1820,1269,36.67,3.2721,15.34,3.1099,6
1464,nights,1727,1286,1670,1252,33.86,3.2375,15.33,3.1096,6
1470,pocket,1821,1282,1769,1260,35.71,3.2605,15.28,3.1082,6
1475,movies,2346,1275,2275,1254,46,3.3705,15.2,3.1059,6
1483,pieces,1783,1266,1725,1237,34.96,3.2514,15.09,3.1028,6
1487,buying,1679,1262,1607,1223,32.92,3.2253,15.05,3.1014,6
1492,center,2335,1255,1512,977,45.78,3.3685,14.96,3.099,6
1500,saving,1536,1250,1423,1185,30.12,3.1867,14.9,3.0973,6
1507,strike,2324,1240,1736,1078,45.57,3.3664,14.78,3.0938,6
1509,throat,1837,1239,1668,1182,36.02,3.2643,14.77,3.0934,6
1511,indeed,2065,1238,1499,983,40.49,3.3151,14.76,3.0931,6
1520,drinks,1744,1228,1630,1169,34.2,3.2418,14.64,3.0896,6
1521,mister,2326,1228,1496,906,45.61,3.3668,14.64,3.0896,6
1523,sunday,2206,1226,66,45,43.25,3.3438,14.62,3.0888,6
1534,barely,1482,1216,1336,1126,29.06,3.1711,14.5,3.0853,6
1548,remain,1694,1205,1601,1167,33.22,3.2292,14.37,3.0813,6
