"","participant","nLL","aic","kappa1","kappa2","beta","gamma","tau","lambda_b","lambda_f","zeta","rho","chi","iota","upsilon","psi"
"result.1",1,2156.1336331249,4330.26726624979,3.57079011781213,1.00901033220502,0.599954185747742,0.307478603110934,0.511783528703428,0.505433913536237,0.226277935138415,0.838634435976285,0.549475626111556,0,0,0,0
"result.2",2,1398.67257174458,2815.34514348917,19.9751340203486,14.8957404244454,0.201748815992938,0.307299224560295,0.50856892768335,0.501807596483674,0.318116337295812,0.666140908588054,0.313038283792407,0,0,0,0
"result.3",3,1988.85970765467,3995.71941530933,10.2306804861277,14.7793341766099,0.553549672194064,0.304778702710163,0.5413231863381,0.513038308505204,1.39403762482648,0.310985912356979,0.320516562569259,0,0,0,0
"result.4",4,977.515086440806,1973.03017288161,19.9668358705612,14.9624474252814,0.200166789112308,0.300653033966803,0.502427355464444,0.508258952225184,0.104620886114468,4.99056714421417,0.10286871216793,0,0,0,0
"result.5",5,1545.422978619,3108.845957238,19.9726585049285,14.9511485629877,0.338015158061333,0.306338318510404,0.500516395582969,0.526236348631991,0.498275190558579,2.65903699696621,0.246256607894846,0,0,0,0
"result.6",6,1034.54262187912,2087.08524375825,12.7311920424761,4.52750097369521,0.200001481243805,0.300010825219423,0.989779141155696,4.98836067278178,4.93214737750289,4.99311704690577,0.675065018139928,0,0,0,0
"result.7",7,1932.81347897113,3883.62695794226,8.2186875385817,10.700786278267,0.45287493377314,0.301857234726786,0.500289887918625,0.518703086607758,0.506080210687508,2.13971566061801,0.497977302012276,0,0,0,0
"result.8",8,2026.02373054885,4070.04746109771,8.2129611744143,6.24487693946896,0.599735831232673,0.318778550790178,0.728501401183262,0.538248658721149,1.03842687327491,0.706622546654368,0.569220956801551,0,0,0,0
"result.9",9,1928.52458288138,3875.04916576277,9.41043510127986,1.35437479193198,0.598305725334431,0.309042735126178,0.653823504795012,0.75119944911174,0.849662582552992,1.33258442492224,0.662478116299389,0,0,0,0
"result.10",10,1856.7954921199,3731.5909842398,14.0609098064062,14.5625555961039,0.598658638491913,0.311335686032473,0.503908808112362,0.517573814798824,0.685628412947349,1.27494192937892,0.496054343063931,0,0,0,0
