"","participant","nLL","aic","kappa1","kappa2","beta","gamma","tau","lambda_b","lambda_f","zeta","rho","chi1","chi2","iota1","iota2","upsilon1","upsilon2","psi1","psi2"
"result.1",1,1543.67053160073,3121.34106320146,3.39495951253662,8.09346182056984,0.59984260539032,0.227200384151848,0.664236700428429,1.06606932269433,0.541090871721286,0.204243522855099,0.548696233984083,0.331963648517843,0.678230895182371,4.62158477652291,1.38008419994304,0.158457469534551,1.99805861054098,0.000957120749760287,0.659120202208394
"result.2",2,1209.98127346808,2453.96254693617,19.9744828387513,14.9735471803083,0.200977542843326,0.210101010203934,0.690272092029668,0.686345877728629,0.587770351732737,0.312104904733032,0.572472217679024,0.578181461133441,0.632799324085288,2.18399125019924,2.66893306979174,2.28510256170899,4.74680382970495,0.0680856736513113,0.101964845410495
"result.3",3,1385.41112665846,2804.82225331691,8.53002527974631,10.5751287152927,0.40442927730821,0.360723093879967,0.245005239335464,0.663240219859084,1.81085732449916,0.234042988158762,0.571692620788439,0.550465546533282,0.695289634824338,3.83363075679693,0.328810759866273,4.95061165440299,2.19821313872289,0.367053041769522,0.534059740056165
"result.4",4,692.750293314747,1419.50058662949,19.9963957745468,14.9129640924085,0.20003673793127,0.201113169075252,0.656107425352047,1.18579342505333,0.513591257737327,0.271727510130076,0.519403444089503,0.593854027649673,0.698384794698074,4.98565875478664,4.8750744241339,2.99365885139165,0.676599112339318,0.00393585926051088,0.258225794447579
"result.5",5,1371.73004473171,2777.46008946341,19.976582317436,14.7363974526525,0.291609670434202,0.364587704905418,0.262284261055865,2.17322286888622,1.52974270024257,0.525178179022729,0.539284269503278,0.378225137477356,0.699498319204234,4.88010654010917,4.9259442506693,0.975115353940055,4.403354047349,0.0562207228005102,0.708287993119643
"result.6",6,488.967056996902,1011.9341139938,12.8441538664014,14.7823891307197,0.200207004248898,0.200716429403152,0.244336441809715,0.518407694878988,2.17186356124873,0.496689272303747,0.206471533839407,0.599648311997635,0.699293855967088,4.99138082374249,4.95448612220421,4.5722227272318,4.82835203223935,0.00231751734557266,0.0148879150822222
"result.7",7,1250.76246641495,2535.52493282989,8.01772026586531,11.0591491711094,0.340966028452525,0.270584721582901,0.478959171497263,1.02103821526976,0.718714198155134,0.57049999652515,0.598696495759604,0.581141400346746,0.69382963256096,3.88486738843041,2.86855946829806,1.85702843703227,4.9362274806419,0.558655552795293,0.731830790766565
"result.8",8,802.005631226913,1638.01126245383,8.02403357343697,8.0923399932279,0.401307485164001,0.266708692024297,0.274241704732055,0.693106543780608,0.576957811521936,0.351125851074557,0.590362183399114,0.275957972479114,0.291276130104018,2.72967654616322,0.0998130458621244,0.0322827019356822,4.32137891653089,0.0340391782948768,0.596756263847003
"result.9",9,1387.40682656477,2808.81365312954,10.5546035767374,1.06137289978265,0.599928769287684,0.20134261219469,0.660670145409807,0.786292938917886,0.522899208218134,0.517715635430716,0.589645100198686,0.110715777851879,0.667066979541751,1.60384239343337,0.234279710315862,0.911173474203201,2.81466633128002,0.731137266649446,0.993991441520841
"result.10",10,1059.45472702714,2152.90945405429,15.6804334495224,14.8967566103898,0.557739879007314,0.207558927077992,0.221859028657795,0.861925816990514,1.00351251299545,0.579857651603365,0.476634112817989,0.00140074803420314,0.691940650682349,0.18599536530764,0.599339957498109,1.12036705655642,4.08424877904051,0.83840488342471,0.973145338937462
