"","participant","nLL","aic","kappa1","kappa2","beta","gamma","tau","lambda_b","lambda_f","zeta","rho","chi","iota","upsilon","psi"
"result.1",1,2156.73881945724,4331.47763891449,2.83408091278098,1.0100626460944,0.59783150085582,0.339949218950895,0.619835757303517,0.578874380546691,0.487765938965231,0.641179765271954,0.380496605671942,0,0,0,0
"result.2",2,1398.77198817141,2815.54397634282,19.9481782614618,14.9923132107178,0.200092080852389,0.302179298365583,0.523165188367359,0.504245545468562,0.337892945661627,0.643689645087269,0.301401240160682,0,0,0,0
"result.3",3,1988.77191678842,3995.54383357684,10.5360953724429,14.4944535553234,0.563073507982524,0.300936746067198,0.535105345568646,0.506327490085085,1.41355822170306,0.406613571686032,0.319954477126366,0,0,0,0
"result.4",4,977.546821440922,1973.09364288184,19.9942662789998,14.8449749656235,0.200042446792221,0.30012147350879,0.504781912132724,0.500439171651032,0.11502176016515,4.83569515431454,0.102932280938393,0,0,0,0
"result.5",5,1545.40468298811,3108.80936597623,19.9906619526184,14.9946741530383,0.338119426965418,0.306799561253712,0.501395369837364,0.524906034766401,0.483047511303223,2.81008217634816,0.241426884688412,0,0,0,0
"result.6",6,1034.55358536819,2087.10717073639,12.7200979601107,4.53290713554683,0.200145735555189,0.300025076123736,0.989545805165837,4.9972429562638,4.93332710405144,4.99843391736561,0.674872781261158,0,0,0,0
"result.7",7,1932.87435873291,3883.74871746582,8.14005384301969,9.954355391174,0.461336746378159,0.319867859396898,0.519315828516429,0.515847512664706,0.530042788596869,2.09043020345186,0.437300090856892,0,0,0,0
"result.8",8,2025.84320957522,4069.68641915044,6.77377136059754,6.48281348165314,0.596230436985032,0.332430219516434,0.617238432724188,0.502042315523751,0.938933303469195,0.257022979438818,0.452328508846092,0,0,0,0
"result.9",9,1927.86856629183,3873.73713258365,10.2012446162918,1.22610125524206,0.596251939134396,0.35023952191961,0.505983877761755,0.512169369917374,0.419243451331596,1.2897725413499,0.563123552518985,0,0,0,0
"result.10",10,1856.99881615733,3731.99763231466,13.6180471145215,12.1863977676257,0.592726412372375,0.311875991701866,0.503120758752294,0.511345605855085,0.625314498808945,1.07627398505876,0.466988334619073,0,0,0,0
