"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3","NA","NA","NA"
"result.1",1,2149.33062119274,4310.66124238548,4.57993936490435,4.57993933134454,0.792506581779973,NA,NA,4.46158768483175e-11,0.247150768598089,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.99693787009684,NA,NA,0,NA,NA,0,NA,NA,4.57993936490435,4.57993933134454,0.792506581779973
"result.2",2,1382.9035187558,2777.80703751161,19.9999999999999,14.9999999999975,0.137494844547837,NA,NA,0.0506951036371773,0.0698231219451982,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.0165687444825095,NA,NA,0,NA,NA,0,NA,NA,19.9999999999999,14.9999999999975,0.137494844547837
"result.3",3,1984.17084922406,3980.34169844812,10.9696506378826,10.969650577961,0.521038468646122,NA,NA,0.0490962045034136,0.105412780292702,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.208781618252736,NA,NA,0,NA,NA,0,NA,NA,10.9696506378826,10.969650577961,0.521038468646122
"result.4",4,951.634105673024,1915.26821134605,20,14.9999999999996,0.117276145656955,NA,NA,0.0203808548758581,0.0414158014047754,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,2.21740446018841e-16,NA,NA,0,NA,NA,0,NA,NA,20,14.9999999999996,0.117276145656955
"result.5",5,1548.0188001908,3108.03760038161,19.999999999998,14.9999999999992,0.33481163765065,NA,NA,0.0365799752393768,0.0658531585560855,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.446431505279678,NA,NA,0,NA,NA,0,NA,NA,19.999999999998,14.9999999999992,0.33481163765065
"result.6",6,979.046308342041,1970.09261668408,11.4148144680948,11.2055112988319,0.10000000000001,NA,NA,0.00603647318349228,0.0370548026162414,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,2.10365672412467e-15,NA,NA,0,NA,NA,0,NA,NA,11.4148144680948,11.2055112988319,0.10000000000001
"result.7",7,1928.7744992684,3869.54899853679,7.98499127595935,7.98499110228338,0.427706337968874,NA,NA,0.0643618255608005,0.122267187233841,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.817963982846285,NA,NA,0,NA,NA,0,NA,NA,7.98499127595935,7.98499110228338,0.427706337968874
"result.8",8,2020.29459736293,4052.58919472587,9.42093404448198,6.77881708048066,0.634020089353387,NA,NA,0.0813878308444971,0.143631813858574,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.341125057067798,NA,NA,0,NA,NA,0,NA,NA,9.42093404448198,6.77881708048066,0.634020089353387
"result.9",9,1921.0375101191,3854.0750202382,8.93498510854757,8.9349790220577,0.773657457436042,NA,NA,0.0253729172622423,0.149996098974229,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,1.17364956160692,NA,NA,0,NA,NA,0,NA,NA,8.93498510854757,8.9349790220577,0.773657457436042
"result.10",10,1853.04698668619,3718.09397337238,15.5125885826281,14.9999999999826,0.627293673585106,NA,NA,0.0615925804822615,0.0878677112772299,NA,0,NA,NA,1,NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,NA,NA,NA,0.174669998242179,NA,NA,0,NA,NA,0,NA,NA,15.5125885826281,14.9999999999826,0.627293673585106
