"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3","NA","NA","NA"
"result.1",1,2149.7248972065,4315.449794413,4.66921325941301,4.66921212761722,0.741311873763776,NA,NA,0.0457112202587186,0.12676777233022,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.624289993106303,NA,NA,0.330852663961927,0.904416361902101,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,4.66921325941301,4.66921212761722,0.741311873763776
"result.2",2,1380.38339595208,2776.76679190416,19.9999995889329,14.9999998689775,0.136182436690227,NA,NA,0.0617411778793556,0.0888842389630513,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.527259734268535,NA,NA,0.52537566004312,0.0875982953927386,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,19.9999995889329,14.9999998689775,0.136182436690227
"result.3",3,1978.22076574049,3972.44153148099,11.0035009823933,11.0034927447553,0.5069337302338,NA,NA,0.0670120880446386,0.11561164914031,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000004604458,NA,NA,0.764438242580996,2.99999922827634,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,11.0035009823933,11.0034927447553,0.5069337302338
"result.4",4,949.576218928631,1915.15243785726,19.999999999982,14.9999999999616,0.116556384577247,NA,NA,0.0272823483262416,0.0489690931561207,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.589543910724825,NA,NA,3.886758120386e-11,1.18642872899151,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,19.999999999982,14.9999999999616,0.116556384577247
"result.5",5,1542.15134050299,3100.30268100599,19.9999999972519,14.9999999988987,0.325766488420062,NA,NA,0.0496724419402402,0.0832063106753798,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000000683552,NA,NA,2.04782776691979,2.11695548760427,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,19.9999999972519,14.9999999988987,0.325766488420062
"result.6",6,978.865909666479,1973.73181933296,11.3981058760185,11.3981058454275,0.100000000138587,NA,NA,0.00670237927696939,0.0369980303068228,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5000000000185,NA,NA,5.01155622572545e-11,1.44796423439791,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,11.3981058760185,11.3981058454275,0.100000000138587
"result.7",7,1927.79342927542,3871.58685855085,7.03952264825091,5.67607328272205,0.38379762436443,NA,NA,0.0672144359860724,0.121678861153971,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000091967089,NA,NA,1.44317382094852,0.671960046943472,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,7.03952264825091,5.67607328272205,0.38379762436443
"result.8",8,2018.27984627047,4052.55969254094,8.5331467219598,7.61843350159955,0.627481795599011,NA,NA,0.0932816318026607,0.146818139317588,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000001081521,NA,NA,0.977386148811568,1.9926619021006,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8.5331467219598,7.61843350159955,0.627481795599011
"result.9",9,1921.80079289886,3859.60158579772,8.67444238660076,8.67444002408153,0.790290320862258,NA,NA,3.8060019801434e-10,0.075659784497347,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000026099872,NA,NA,2.35909277378048e-07,0.00657166104593515,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8.67444238660076,8.67444002408153,0.790290320862258
"result.10",10,1850.1704551707,3716.3409103414,15.0000058076524,14.9999998928114,0.6206863514559,NA,NA,0.0699466208997304,0.0847051922137623,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.500000016212976,NA,NA,0.224072985546384,2.54983292670307,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,15.0000058076524,14.9999998928114,0.6206863514559
