"","participant","nLL","aic","kappa1","kappa2","beta","gamma","iota","upsilon","psi"
"result.1",1,1545.32796501092,3104.65593002183,2.91180111148228,9.41710745408198,0.599955675001853,0.300703653115543,3.11800817980229,2.62796545634046,0.166194746281347
"result.2",2,1215.53386712225,2445.0677342445,19.9913682826909,14.9937620020464,0.200048286098785,0.300272921629422,2.53463696027214,3.18548638415497,0.451469633047782
"result.3",3,1392.37745591343,2798.75491182686,8.28876311928408,11.0321017164949,0.416771658882157,0.80059079922113,4.40623014102507,4.48863012141793,0.556503828723752
"result.4",4,690.75065617982,1395.50131235964,19.9998928215237,14.9979353665168,0.200001837867941,0.308752399878955,4.99993562193229,4.99874863654258,0.168427010628393
"result.5",5,1382.5322604855,2779.064520971,19.9994719551997,14.996192880016,0.307555536636401,0.302623849012126,3.00608632495738,4.66860084381329,0.284306073265124
"result.6",6,490.050487754344,994.100975508689,13.2297347977733,14.9979349482461,0.200000265821231,0.30000136944403,4.99999864850125,4.99986957327055,0.223242097974551
"result.7",7,1256.95365974465,2527.9073194893,7.99033379876087,11.4043871244934,0.367136607290198,0.300017443248946,3.15659913514544,2.53347942109404,0.246405336008804
"result.8",8,808.482731227922,1630.96546245584,6.96664906301249,9.16072583271513,0.442483272705129,0.300862132228058,4.02053800387688,1.44487170167569,0.655714357928684
"result.9",9,1389.61814413549,2793.23628827099,9.90537483466739,1.00135288086096,0.59994230104838,0.300879201250914,2.8060594446271,2.10220482682969,0.549444198108735
"result.10",10,1065.94052093388,2145.88104186777,15.6221586827587,14.9955984749039,0.594034564984469,0.300059578453191,3.63903916652964,2.74999852084205,0.446296530560178
