"","participant","nLL","aic","kappa1","kappa2","beta","gamma","tau","lambda_b","lambda_f","zeta","rho","chi1","chi2","iota1","iota2","upsilon1","upsilon2","psi1","psi2"
"result.1",1,2151.25131211628,4336.50262423255,3.87096743207309,1.05461966953133,0.597592775868637,0.260218772764176,0.696813522673901,0.571746594385613,0.500878538251304,0.324241752392766,0.590759219453064,0.501217121770415,0.524353351811083,2.88447119468238,0.871912965804766,1.17831552604209,2.72500170159877,0.631690881546914,0.669827128010452
"result.2",2,1381.75129648806,2797.50259297612,19.9877025722049,14.981786257032,0.200207049701947,0.234650443255768,0.66703027268959,0.54457105890294,0.599823483065385,0.340174848482322,0.521579595468938,0.569250987639404,0.663051717787096,2.67442217150461,3.5945693890934,0.501530847785896,3.0776884439317,0.246386452998729,0.952857881030512
"result.3",3,1970.94897525601,3975.89795051201,10.9345913318487,11.1130538151463,0.514757826744906,0.30183118246533,0.483897935878485,0.509799884084391,1.97251856494526,0.448851309715062,0.572152101417913,0.572569941084415,0.678484586970224,3.09109072281949,0.252490531132901,4.11174162429582,0.128361079532772,0.270599310133229,0.549846751115131
"result.4",4,946.163005366758,1926.32601073352,19.9974804912062,14.8735765336507,0.200037340255105,0.212475686330253,0.659509669881497,0.927184992509556,0.517643641104474,0.221479512846449,0.583619576888727,0.599223096534197,0.696654564032682,4.98784089649395,4.98668080437199,4.96247587728476,0.284585614533167,0.0917518568308958,0.150513375633661
"result.5",5,1531.62551187811,3097.25102375621,19.9786916978513,14.9242758618928,0.319739652390568,0.359027785833149,0.254179299389943,2.07675781419966,1.40705826170873,0.550955640675884,0.597182527557015,0.592316724180813,0.60297351377634,4.09908751083022,4.99971204516179,2.88236969599581,4.85662632937052,0.265118637358067,0.523087634167446
"result.6",6,995.5659911929,2025.1319823858,12.2666685557246,14.1192847225133,0.200013458344685,0.200342920398156,0.398714387907772,0.514921980177111,0.542368486788671,0.565600692722175,0.203792744902149,0.599554754995516,0.671230613837451,4.99954895251867,4.9314573311488,3.5582570993715,4.72418107792608,0.000564052086610273,0.128597562434152
"result.7",7,1922.23851293894,3878.47702587789,7.71643683549866,4.54505303199577,0.368005287532043,0.271576702071443,0.34608478423516,0.815776369472843,0.620405417108482,0.5659451899227,0.580312061541738,0.463473303297205,0.644755079066903,4.09425643467313,4.73348420148805,0.274718932245068,4.90156126325019,0.545510515079612,0.830388161234533
"result.8",8,2016.66172777812,4067.32345555623,8.78764836834558,6.25054936065448,0.599619858975928,0.263789944578129,0.686136453810642,0.580228602746502,1.13665110260705,0.250640745262623,0.580709258867263,0.55274824812077,0.595680953720656,2.27054913295433,0.962160193609914,0.810827596485057,2.68748598903327,0.545476212767875,0.552313694486785
"result.9",9,1923.37149740573,3880.74299481146,8.68779897734029,1.01125676475082,0.598464384127879,0.362648696501692,0.692409232421778,0.54197546497746,0.588519970674026,0.439727796368406,0.554073594104854,0.593198667234357,0.629712870610427,1.75646001618704,0.886390804112737,2.63867887982975,4.77574603703406,0.658581442565895,0.723043237268177
"result.10",10,1852.12305318747,3738.24610637493,14.9221189560723,14.5366418645576,0.599462030581365,0.230034122084136,0.24651853194771,0.532488851150802,0.60478951107388,0.599021917143231,0.596656626714764,0.518511146126209,0.521271359604193,1.97094331479229,0.305771378867722,1.66681324717171,2.76133574560293,0.673815510911391,0.823522484033651
