"","participant","nLL","aic","kappa1","kappa2","beta","gamma1","gamma2","gamma3","tau","lambda_b","lambda_f","zeta","rho","chi1","chi2","iota1","iota2","upsilon1","upsilon2","psi1","psi2"
"result.1",1,1542.8318549562,3123.6637099124,3.57609237827897,8.78005752735158,0.599742251038571,0.101672537046009,0.179175858288981,0.498221325315535,0.699400883881579,0.918128589672809,0.504579974971445,0.54724463718012,0.577455811481923,0.0293262412868698,0.679117805923297,4.19034579346397,0.37184092332609,0.235199891758687,4.90968202822842,0.0245735293819634,0.246187236555507
"result.2",2,1207.69528957949,2453.39057915898,19.9966398517906,14.9836548503823,0.200020384548656,0.494962371047586,0.166307897670639,0.415499541102823,0.69914975173348,0.501941661186807,0.503699781181228,0.523548863269389,0.581254559233204,0.53000383079052,0.561370501425607,4.44074734976316,1.58827063821124,1.71223851652045,4.5385282926916,0.0801474193310987,0.388583213496587
"result.3",3,1385.39374107019,2808.78748214038,8.48738702585283,11.9312452709492,0.418244170628783,0.318075398658508,0.32052463311702,0.482017047599229,0.397952046366101,0.780463401081019,2.17068541564485,0.201535100938096,0.55168238459155,0.537041222071275,0.686845010565494,4.59718968404679,0.633823066346036,3.64538502200379,2.65602220730678,0.389147031100108,0.528911817228573
"result.4",4,690.298738933926,1418.59747786785,19.9999303863258,14.9977005734702,0.200012898428853,0.100317575638878,0.211501478417534,0.318724991562545,0.697143966781736,1.19917420386952,0.500160937024348,0.200886112931757,0.592199650762892,0.599867804283476,0.699924174309455,4.99819587336893,4.99976988370076,4.92252325795239,4.98199830297381,1.55204366388369e-07,0.10485583380796
"result.5",5,1371.19138290025,2780.38276580051,19.9954877511292,14.9900119827175,0.290484790294363,0.447421753624125,0.369409669415706,0.332958996214524,0.229870309967265,1.89330847510678,1.23321619236579,0.595209138338067,0.493230532493083,0.396780992100743,0.698985118553504,4.95392422541045,4.87803409574553,2.45329621693011,4.67959556879143,0.000304845616014057,0.806355885055373
"result.6",6,483.419277704275,1004.83855540855,12.8683951281828,14.9948037831107,0.200002767787318,0.100006654983905,0.195931308152379,0.100000842073484,0.200148514315239,0.500420626862158,0.768080356469062,0.599521430047394,0.20014487068501,0.599928172572383,0.699950913776981,4.99997415378006,4.99969410220729,4.70623403837831,4.85206744973941,8.32608325991824e-06,0.000172559054355036
"result.7",7,1250.02460470176,2538.04920940352,7.82667266161342,9.37297853256848,0.328156014999528,0.492859571763382,0.211240649622275,0.17254478452907,0.457800525957227,0.789329798259227,0.557164522652525,0.465118075930147,0.49215297664479,0.576033673187211,0.678581765198568,4.21660024195382,1.72331292680439,1.41930783631038,4.04038252477205,0.200524866931777,0.994366558349098
"result.8",8,801.755603118521,1641.51120623704,8.35650098344075,8.29426764694939,0.422439428871501,0.230070926515846,0.299137701224536,0.332103902462072,0.221459487115576,0.944746065076214,0.677985693444498,0.541509922620466,0.551661725526065,0.292504562811061,0.292578931819661,3.3535172724561,0.0294304070567636,0.150827106528052,4.72902775172888,0.526719858216183,0.581977658870376
"result.9",9,1386.81742635242,2811.63485270483,10.4394728709954,1.00985093172076,0.599835926437644,0.155112563725561,0.186126057263464,0.333515301998705,0.699636399648168,0.661813980715213,0.502860256368099,0.232265956632727,0.597153756050492,0.41305651857775,0.680132508880982,1.21317214690201,0.164824409852258,0.8791110509211,4.55483001847577,0.874635191161216,0.890278409631944
"result.10",10,1058.63694192165,2155.2738838433,15.9181641413886,14.9881582318039,0.545413591569071,0.374879977676767,0.155496634170413,0.104966593348354,0.241102196787434,0.773276581323406,0.903975705789754,0.565500202037495,0.382110224105418,0.174936906290317,0.699968452178941,4.76540483710667,0.050018729672964,1.39870499980897,1.09246222922744,0.144406188529107,0.9401657972976
