"","participant","nLL","aic","kappa1","kappa2","beta1","beta2","beta3","gamma1","gamma2","gamma3","chi1","chi2","chi3","phi1","phi2","phi3","psi1","psi2","psi3","tau1","tau2","tau3","lambda_b1","lambda_f1","lambda_b2","lambda_f2","lambda_b3","lambda_f3","zeta1","zeta2","zeta3","iota1","iota2","iota3","upsilon1","upsilon2","upsilon3","NA","NA","NA"
"result.1",1,2150.23202600816,4310.46405201633,4.50485602927688,4.50485602927144,0.751867717827767,NA,NA,0.0240394904193844,0.0894204231477012,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"result.2",2,1382.90759342132,2775.81518684264,20,15,0.137516446379827,NA,NA,0.0501993262653967,0.0691641125668214,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"result.3",3,1984.34257396901,3978.68514793802,10.734254308339,10.7342543083385,0.517129101188441,NA,NA,0.0438440240260898,0.0926606580155555,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"result.4",4,951.634105673023,1913.26821134605,20,14.9999999999999,0.117276148417557,NA,NA,0.0203808544773264,0.0414158023740334,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"result.5",5,1548.81229712623,3107.62459425246,19.9999999999999,15,0.335565588962002,NA,NA,0.0281419476147762,0.0508506091450204,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"result.6",6,979.046308342041,1968.09261668408,11.4148144687488,11.2055108860199,0.100000000000001,NA,NA,0.00603647322748965,0.0370548020319354,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"result.7",7,1930.62220109084,3871.24440218168,6.81919541058452,6.44949936248707,0.39988989395124,NA,NA,0.0406938332408627,0.0764729337147002,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"result.8",8,2020.59574838132,4051.19149676265,8.40529156732691,7.34871757791725,0.634757742861053,NA,NA,0.0645127201074649,0.115544559497595,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"result.9",9,1921.800792524,3853.60158504799,8.67528893235432,8.67528893235377,0.790298634676988,NA,NA,2.25059081584457e-14,0.0756595227165016,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"result.10",10,1853.1337206196,3716.26744123921,15.1768202637408,14.9999999999997,0.626078291619934,NA,NA,0.0556103596946212,0.0790855925588829,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
