participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Cont, 887.1211, 0.15003, 0, 1.081, 1.2418, 0, 0, -0.10453, 0.037441, 0
1, Thresh, 893.0642, 3.6442, 0, 0, 5, 1.0754, 0.025335, -0.091143, 0.026793, 0
1, Hybrid, 904.0664, 0.86439, 0, 0.23263, 2.2474, 1.0933, 2.3933e-05, -0.10249, 0.038877, 0
2, Cont, 2210.7772, 1.171, 0, 0.29877, 1.9642, 0, 0, 0.071054, 0.15428, 0
2, Thresh, 1974.0576, 3.1043, 0, 0, 4.3942, 2.0354, 0.65314, -0.20275, 0.028226, 0
2, Hybrid, 1973.7319, 3.5224, 0, 0.70425, 4.4596, 1.842, 0.68609, -0.070015, 0.067819, 0
3, Cont, 1874.9743, 0.89049, 0, 0.061678, 1.2545, 0, 0, -0.055954, 0.1482, 0
3, Thresh, 1743.8639, 2.822, 0, 0, 2.1333, 1.2556, 0.52421, -0.056595, 0.0096215, 0
3, Hybrid, 1750.0247, 2.8244, 0, 0.041244, 2.1391, 1.2558, 0.52183, -0.057104, 0.022266, 0
4, Cont, 3723.6568, 1.9326, 0, 1.571, 1.7246, 0, 0, 0.060751, 0.31742, 0
4, Thresh, 3154.4429, 5.6738, 0, 0, 4.0318, 1.4564, 0.48706, -0.028144, 0.12002, 0
4, Hybrid, 3169.9818, 5.4824, 0, 0.011386, 4.0869, 1.4922, 0.493, -0.010215, 0.031002, 0
5, Cont, 2173.6068, 1.1213, 0, 0.52527, 1.6051, 0, 0, 0.10027, 0.039463, 0
5, Thresh, 1985.5677, 2.9208, 0, 0, 3.0618, 1.6761, 0.60399, -0.11164, 0.0016802, 0
5, Hybrid, 1991.7927, 2.9101, 0, 0.050129, 3.0563, 1.6754, 0.60537, -0.11235, 0.029861, 0
6, Cont, 1577.5065, 0.88624, 0, 2.4372, 1.4089, 0, 0, 0.13763, 0.22473, 0
6, Thresh, 1547.6937, 4.543, 0, 0, 1.7962, 0.98101, 0.25365, 0.13905, 0.18982, 0
6, Hybrid, 1553.9837, 4.625, 0, 3.0371e-05, 1.7941, 0.97516, 0.25211, 0.13566, 0.2111, 0
7, Cont, 1396.4181, 2.254, 0, 1.3095, 1.5549, 0, 0, -0.12264, 0.23123, 0
7, Thresh, 1276.2369, 3.7376, 0, 0, 2.1411, 1.2794, 0.66005, -0.14615, 0.11219, 0
7, Hybrid, 1280.8658, 3.7268, 0, 0.014642, 2.0867, 1.2663, 0.65941, -0.14267, 0.13939, 0
8, Cont, 1216.4005, 2.4196, 0, 0.49692, 2.0736, 0, 0, -0.1238, 0.39903, 0
8, Thresh, 607.8651, 4.6033, 0, 0, 4.9994, 1.8055, 0.84171, -0.28361, 0.025279, 0
8, Hybrid, 612.9687, 4.5851, 0, 0.033707, 4.9997, 1.74, 0.84676, -0.28485, 0.013948, 0
9, Cont, 2072.363, 0.2156, 0, 2.1138, 1.5321, 0, 0, -0.11612, 0.033888, 0
9, Thresh, 2078.2947, 1.7744, 0, 0, 2.0628, 1.0478, 0.046875, -0.087274, 0.0080942, 0
9, Hybrid, 2091.5926, 0.53634, 0, 0.15155, 2.3606, 1.0583, 4.691e-07, -0.094344, 0.034923, 0
10, Cont, 1976.5974, 1.5368, 0, 0.32137, 3.7331, 0, 0, -0.34952, 0.14397, 0
10, Thresh, 1762.3064, 1.909, 0, 0, 4.6856, 2.4405, 0.93046, -0.45562, 0.0081973, 0
10, Hybrid, 1770.1412, 2.1267, 0, 0.37044, 4.9893, 2.3597, 0.93222, -0.42956, 0.0057059, 0
11, Cont, 1799.599, 0.97014, 0, 1.0865, 1.3224, 0, 0, -0.10706, 0.084207, 0
11, Thresh, 1656.0302, 4.28, 0, 0, 2.5208, 1.0742, 0.36162, -0.10971, 0.090244, 0
11, Hybrid, 1656.6667, 3.9712, 0, 0.01538, 2.01, 0.99708, 0.36601, -0.12387, 0.26264, 0
12, Cont, 1483.4861, 1.7866, 0, 0.44256, 1.2524, 0, 0, 0.12208, 0.39869, 0
12, Thresh, 1018.2041, 4.9672, 0, 0, 4.0226, 1.365, 0.68571, -0.045719, 0.12096, 0
12, Hybrid, 1024.3299, 4.9853, 0, 0.13696, 3.9574, 1.3441, 0.68573, -0.029748, 0.12258, 0
13, Cont, 1588.3857, 0.031452, 0, 1.5794, 1.1526, 0, 0, -0.15236, 0.093188, 0
