ST,STO,4F,STOG
2303.782944,2302.45526,2312.463817,2406.693923
5196.226934,5072.918944,5126.118745,5125.717135
2693.475384,2674.530359,2675.908054,2720.270555
4553.903997,4454.734685,4449.783076,4444.027454
5893.117958,5858.472377,5916.728059,5950.235142
2531.145014,2301.04053,2308.584812,2387.437602
4076.916549,4082.596123,4064.715355,4065.335646
1065.906612,1064.886477,1064.579204,1125.256797
2711.841938,2657.414608,2637.86202,2768.623862
2322.221451,2298.712239,2346.028976,2337.721607
