participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Spatiotemporal-Orthographic-Decay, 2333.9979, 4.9858, 0, 5.573, 0, 0.23038, 0, 0.50858, 0, 1.7267, 0.87271, 0.60349, 0.5506, 0.22585, 0.58618, 0.033339, 0.021698, 0.67825, 0.74977, 0, 0, 0.74972, 0.63145, 0.099772, NaN, 0.64607, NaN, 1.3402, 0.26885, 2.508, 6.838, 0, NaN, 0.28399, 0
2, Spatiotemporal-Orthographic-Decay, 5280.0452, 3.2107, 0, 1.8537, 0, 1.548, 0, 0.66188, 0, 3.2248, 0.91918, 0.25273, 0.10003, 0.11324, 0.60956, 0.23408, 0.34212, 0.28058, 0.49721, 0, 0, 0.57811, 0.56603, 1.7698, NaN, 0.99876, NaN, 0.70932, 1.2723, 4.0904, 7.7051, 0, NaN, 0.29623, 0
3, Spatiotemporal-Orthographic-Decay, 2693.4512, 3.5436, 0, 6.3273, 0, 1.506, 0, 0.92899, 0, 1.7235, 0.80832, 0.55745, 0.59722, 0.114, 0.25278, 0.70984, 0.19603, 0.45343, 0.33667, 0, 0, 0.49908, 0.53092, 1.2847, NaN, 1.015, NaN, 0.75096, 0.00073841, 14.9981, 12.7614, 0, NaN, 0.26577, 0
4, Spatiotemporal-Orthographic-Decay, 4640.496, 2.6602, 0, 2.5508, 0, 1.4776, 0, 0.45232, 0, 4.0308, 0.71812, 0.0023822, 0.27143, 0.24324, 0.13835, 0.86379, 6.0032e-06, 0.089737, 0.19706, 0, 0, 0.76559, 0.79028, 3.4238, NaN, 1.2926, NaN, 0.85389, 2.3366, 4.372, 12.9509, 0, NaN, 1.4742e-06, 0
5, Spatiotemporal-Orthographic-Decay, 6544.1649, 2.2617, 0, 1.7357, 0, 1.1003, 0, 0.9792, 0, 3.4265, 0.60386, 0.026578, 0.41988, 0.19939, 0.60856, 0.38784, 0.93338, 0.041642, 0.036669, 0, 0, 0.49976, 0.717, 0.083846, NaN, 3.0743, NaN, 0.35448, 1.7696, 11.6131, 13.3408, 0, NaN, 0.13506, 0
6, Spatiotemporal-Orthographic-Decay, 2296.8428, 3.2393, 0, 1.8341, 0, 1.5066, 0, 0.58223, 0, 3.1611, 1.0776, 0.046419, 0.1302, 0.39658, 0.3506, 0.69062, 0.58958, 0.077649, 0.29776, 0, 0, 0.72561, 0.48713, 2.4508, NaN, 0.29808, NaN, 1.2719, 0.60635, 10.1911, 12.7892, 0, NaN, 2.0993e-05, 0
7, Spatiotemporal-Orthographic-Decay, 4083.6467, 2.2996, 0, 5.8267, 0, 0.99688, 0, 0.95392, 0, 2.4169, 1.5817, 0.45798, 0.50995, 0.1559, 0.1207, 0.80869, 0.81245, 0.45848, 0.049041, 0, 0, 0.70132, 0.57046, 3.1108, NaN, 0.31306, NaN, 0.11208, 0.15349, 10.0806, 2.9402, 0, NaN, 0.15583, 0
8, Spatiotemporal-Orthographic-Decay, 1096.8068, 5.0082, 0, 5.4912, 0, 0.64184, 0, 0.95959, 0, 1.021, 0.78688, 0.60753, 0.58259, 0.11348, 0.38127, 0.53016, 0.39919, 0.50199, 0.37911, 0, 0, 0.68122, 0.49553, 1.4839, NaN, 1.6109, NaN, 0.85288, 1.8474e-06, 14.9995, 6.4697, 0, NaN, 0.24407, 0
9, Spatiotemporal-Orthographic-Decay, 2729.9722, 3.0828, 0, 3.0932, 0, 0.056207, 0, 0.96635, 0, 1.4523, 0.99859, 0.63131, 0.62862, 0.071472, 0.2227, 0.67773, 0.70116, 0.55405, 0.50927, 0, 0, 0.50602, 0.57464, 1.8521, NaN, 1.4379, NaN, 0.42256, 8.3818e-05, 14.9991, 14.9997, 0, NaN, 0.27648, 0
10, Spatiotemporal-Orthographic-Decay, 2307.0204, 4.0625, 0, 5.2336, 0, 1.5054, 0, 0.66823, 0, 2.1021, 1.1128, 0.44417, 0.50363, 0.35815, 0.34179, 0.26858, 0.15048, 0.047594, 0.57542, 0, 0, 0.71628, 0.71914, 1.3867, NaN, 0.74846, NaN, 0.71118, 0.20716, 7.9092, 12.4543, 0, NaN, 0.20854, 0
