"","ST","STO","X4F","STOG"
"1",2303.782944,2302.45526,2312.463817,2406.693923
"2",5196.226934,5072.918944,5126.118745,5125.717135
"3",2693.475384,2674.530359,2675.908054,2720.270555
"4",4553.903997,4454.734685,4449.783076,4444.027454
"5",5893.117958,5858.472377,5916.728059,5950.235142
"6",2531.145014,2301.04053,2308.584812,2387.437602
"7",4076.916549,4082.596123,4064.715355,4065.335646
"8",1065.906612,1064.886477,1064.579204,1125.256797
"9",2711.841938,2657.414608,2637.86202,2768.623862
"10",2322.221451,2298.712239,2346.028976,2337.721607
"11",0.338378449590339,0.657212195311764,0.00440935509789692,1.52253590362193e-23
"12",1.67498215390112e-27,0.999999999993768,2.80420651309169e-12,3.4278238573861e-12
"13",5.12157166508143e-05,0.665676403475801,0.334272380729762,7.77867811570655e-11
"14",1.30286988663959e-24,0.00445906223859788,0.0530239121009293,0.942517025660473
"15",2.997834557817e-08,0.999999970021431,2.2384086268437e-13,1.18568341504269e-20
"16",1.05577011051625e-50,0.97751446772278,0.0224855322772195,1.69526416864076e-19
"17",0.00129141708771165,7.54679763546294e-05,0.576132191242886,0.422500923693048
"18",0.217043294307687,0.36146468497543,0.421492020716855,2.81071913213584e-14
"19",8.61867017446588e-17,5.67786161004014e-05,0.9999432213839,4.03090096948001e-29
"20",7.85300845844544e-06,0.999992143556056,5.31248476488274e-11,3.38236098010719e-09
