participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta1_targ, eta2_targ, eta1_int, eta2_int, a_targ, a_guess, beta1, beta2, gamma1, gamma2, chi1, chi2, phi1, phi2, psi1, psi2, tau1, tau2,  lambda_b1, lambda_f1, lambda_b2, lambda_f2, zeta1, zeta2, iota1, iota2, uspsilon1, upsilon2,  ter, st
1, Spatiotemporal, 2338.9147, 5.4515, 0, 5.4514, 0, 1.2959, 0, 0.73623, 0, 1.77, 0.85839, 0.53265, 0.54798, 0.13942, 0.32509, 0, 0, 0.5108, 0.68547, 0, 0, 0.4961, NaN, 0.099687, NaN, NaN, NaN, 0.11024, NaN, 0, NaN, 0, NaN, 0.28439, 0
2, Spatiotemporal, 5021.9554, 3.584, 0, 3.145, 0, 1.5125, 0, 0.99689, 0, 4.6334, 1.808, 0.17786, 0.18115, 0.098487, 0.17705, 0, 0, 0.045097, 0.19732, 0, 0, 0.59413, NaN, 1.2923, NaN, NaN, NaN, 0.56979, NaN, 0, NaN, 0, NaN, 0.0097306, 0
3, Spatiotemporal, 2675.1562, 3.281, 0, 3.2377, 0, 1.4342, 0, 0.77457, 0, 1.5893, 0.78874, 0.46095, 0.52866, 0.044523, 0.26937, 0, 0, 0.62967, 0.048508, 0, 0, 0.63393, NaN, 1.5817, NaN, NaN, NaN, 0.30104, NaN, 0, NaN, 0, NaN, 0.26178, 0
4, Spatiotemporal, 4405.9247, 3.1851, 0, 2.0945, 0, 1.551, 0, 0.7787, 0, 4.6354, 1.4952, 0.082683, 0.13156, 0.034087, 0.089437, 0, 0, 0.28373, 0.75311, 0, 0, 0.47484, NaN, 2.1954, NaN, NaN, NaN, 0.45764, NaN, 0, NaN, 0, NaN, 1.2205e-06, 0
5, Spatiotemporal, 5739.4397, 3.4757, 0, 1.383, 0, 1.5245, 0, 0.2751, 0, 3.6597, 1.0727, 0.048182, 0.044683, 0.14163, 0.36991, 0, 0, 0.67037, 0.76032, 0, 0, 0.66798, NaN, 3.0837, NaN, NaN, NaN, 0.56031, NaN, 0, NaN, 0, NaN, 0.23065, 0
6, Spatiotemporal, 2420.0666, 3.3046, 0, 3.3029, 0, 1.5237, 0, 0.84159, 0, 2.8989, 1.3078, 0.06212, 0.16884, 0.081703, 1.9143e-06, 0, 0, 0.75486, 0.62849, 0, 0, 0.49262, NaN, 0.17775, NaN, NaN, NaN, 2.0181, NaN, 0, NaN, 0, NaN, 0.069744, 0
7, Spatiotemporal, 4065.5929, 2.6462, 0, 2.6461, 0, 1.1932, 0, 0.91745, 0, 2.7698, 1.6375, 0.36584, 0.50909, 0.062976, 0.19085, 0, 0, 0.04649, 0.13497, 0, 0, 0.65371, NaN, 2.2103, NaN, NaN, NaN, 0.0040551, NaN, 0, NaN, 0, NaN, 0.088028, 0
8, Spatiotemporal, 1024.1892, 7.0342, 0, 0.72569, 0, 1.5013, 0, 0.4179, 0, 1.2196, 0.56397, 0.60192, 0.73819, 0.1345, 0.2526, 0, 0, 0.15593, 0.23981, 0, 0, 0.64394, NaN, 2.4625, NaN, NaN, NaN, 0.78717, NaN, 0, NaN, 0, NaN, 0.27688, 0
9, Spatiotemporal, 2697.3735, 3.3326, 0, 2.6834, 0, 0.0015537, 0, 0.99976, 0, 1.5321, 0.99525, 0.58793, 0.32449, 0.084715, 0.43612, 0, 0, 0.04994, 0.7565, 0, 0, 0.62026, NaN, 0.10283, NaN, NaN, NaN, 0.61338, NaN, 0, NaN, 0, NaN, 0.26175, 0
10, Spatiotemporal, 2306.386, 4.1022, 0, 4.1017, 0, 0.87274, 0, 0.019491, 0, 1.9968, 1.2043, 0.44558, 0.49544, 0.14728, 0.25268, 0, 0, 0.044937, 0.098609, 0, 0, 0.49665, NaN, 2.8117, NaN, NaN, NaN, 0.3688, NaN, 0, NaN, 0, NaN, 0.18237, 0
