participant, model_name, AIC, v1t, v2t,  v1i,  v2i,   eta_t, eta_i,    at,  ag,    beta,  gamma,  tau,  l_b,   l_f,   zeta,  rho,   chi1,     chi2,      psi1,   psi2,    iota1,  iota2,  upsilon1,   upsilon2,     Ter,    st
1, Spatiotemporal, 3247.8168, 3.4274, 0, 1.0154, 0, 0.061939, 0.32346, 1.1452, 0.73382, 0.64643, 0.10078, 0.55715, 0.50811, 0.63051, 0.60232, 0.31879, 0, 0, 0, 0, 0, 0, 0, 0, 0.32615, 0
2, Spatiotemporal, 6177.2925, 2.3805, 0, 1.1981, 0, 0.14373, 0.02813, 2.8081, 1.4399, 0.10481, 0.19934, 0.59729, 0.81665, 0.41349, 0.6239, 0.43019, 0, 0, 0, 0, 0, 0, 0, 0, 0.10029, 0
3, Spatiotemporal, 5626.0483, 1.3004, 0, 0.24152, 0, 0.06893, 0.01, 1.3071, 0.13309, 0.1083, 0.050078, 0.52945, 1.0498, 0.60452, 0.34018, 0.23005, 0, 0, 0, 0, 0, 0, 0, 0, 0.10127, 0
4, Spatiotemporal, 6254.7129, 1.671, 0, 1.1179, 0, 0.047054, 0.47154, 3.2185, 1.0105, 0.20025, 0.050109, 0.4242, 0.39461, 0.38218, 0.18562, 0.6561, 0, 0, 0, 0, 0, 0, 0, 0, 0.23362, 0
5, Spatiotemporal, 6621.9281, 4.0211, 0, 0.89107, 0, 0.23426, 0.01055, 2.727, 0.79198, 0.10003, 0.22228, 0.29237, 0.60484, 0.38525, 0.60907, 0.44277, 0, 0, 0, 0, 0, 0, 0, 0, 0.38493, 0
6, Spatiotemporal, 4855.0064, 1.883, 0, 0.75022, 0, 0.12434, 0.53342, 2.1826, 1.0171, 0.11927, 0.050006, 0.78717, 0.61943, 0.3798, 0.45889, 0.2927, 0, 0, 0, 0, 0, 0, 0, 0, 0.10001, 0
7, Spatiotemporal, 6309.2911, 3.1781, 0, 0.49007, 0, 0.10292, 0.37838, 1.8473, 0.68412, 0.25886, 0.19133, 0.47684, 0.39748, 0.39575, 0.61311, 0.25773, 0, 0, 0, 0, 0, 0, 0, 0, 0.4226, 0
8, Spatiotemporal, 2692.0826, 1.085, 0, 2.1323, 0, 0.3044, 0.011366, 0.60181, 0.98337, 0.18954, 0.052706, 0.4861, 0.98721, 0.7532, 0.18495, 0.26535, 0, 0, 0, 0, 0, 0, 0, 0, 0.27798, 0
9, Spatiotemporal, 3656.2288, 2.9465, 0, 3.2632, 0, 0.010007, 0.010001, 1.4508, 1.0021, 0.49377, 0.17336, 0.2765, 0.41433, 0.48865, 0.44375, 0.58962, 0, 0, 0, 0, 0, 0, 0, 0, 0.27533, 0
10, Spatiotemporal, 3978.1574, 4.0237, 0, 0.53763, 0, 0.24517, 0.050989, 1.6937, 0.92275, 0.63082, 0.10534, 0.24698, 0.62243, 0.40576, 0.58932, 0.65184, 0, 0, 0, 0, 0, 0, 0, 0, 0.26032, 0
