participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Generating, NA,4.0579,0,0,5.5005,1.0354,0.027033,-0.066806,0.0044856,0
1, Continuous,981.7813,0.0030513,0,0.48134,1.1996,0,0,-0.088431,0.036506,0
1, Threshold,983.0112,4.2206,0,0,5.4942,1.1419,0.023174,-0.070085,0.01571,0
2, Generating, NA,3.1012,0,0,4.4428,2.048,0.65356,-0.21784,0.02531,0
2, Continuous,2379.5673,1.3653,0,0.808,2.9617,0,0,-0.21456,0.082561,0
2, Threshold,1938.6095,3.0243,0,0,4.406,2.0453,0.67948,-0.16007,1.84E-06,0
3, Generating, NA,2.8182,0,0,2.1119,1.2445,0.52021,-0.058078,0.041367,0
3, Continuous,1993.6052,0.87334,0,0.35037,1.3621,0,0,-0.048794,0.061505,0
3, Threshold,1855.8751,2.5827,0,0,2.1732,1.3041,0.53678,-0.072181,0.013387,0
4, Generating, NA,5.6302,0,0,4.2362,1.5004,0.49245,-0.060651,0.096698,0
4, Continuous,4326.1585,1.2458,0,1.0212,1.6356,0,0,0.029329,0.17362,0
4, Threshold,3563.4983,4.9517,0,0,4.3884,1.6283,0.49633,-0.15207,0.00024926,0
5, Generating, NA,2.8944,0,0,3.0014,1.6626,0.60594,-0.099161,0.0052681,0
5, Continuous,2218.7122,1.3469,0,0.85833,1.9438,0,0,0.011465,0.12747,0
5, Threshold,2001.8903,2.7789,0,0,2.9162,1.7107,0.63607,-0.079711,0.057494,0
6, Generating, NA,4.7219,0,0,1.9119,0.96466,0.21596,0.17446,0.11014,0
6, Continuous,1927.5573,0.449,0,0.59034,1.1228,0,0,0.052802,0.21181,0
6, Threshold,1873.8836,4.684,0,0,2.1444,1.0618,0.20839,0.021167,0.31562,0
7, Generating, NA,3.6815,0,0,2.2303,1.2946,0.65704,-0.13033,0.035929,0
7, Continuous,1589.8615,1.8495,0,1.1202,1.6097,0,0,-0.10174,0.076281,0
7, Threshold,1361.4969,3.6943,0,0,2.2731,1.3457,0.66801,-0.17428,0.12768,0
8, Generating, NA,4.6855,0,0,5.5049,1.8038,0.84668,-0.36789,0.00031159,0
8, Continuous,1392.6446,2.4058,0,0.68655,2.1317,0,0,0.072401,0.019791,0
8, Threshold,661.0274,4.5878,0,0,5.5028,1.8486,0.85739,-0.38909,0.04336,0
9, Generating, NA,4.5923,0,0,5.5007,1.012,0.010635,-0.06864,0.039996,0
9, Continuous,2254.4715,0.10358,0,0.30998,1.1371,0,0,-0.11806,0.11809,0
9, Threshold,2267.332,5.9546,0,0,5.2956,1.1281,6.94E-05,-0.10545,0.076365,0
10, Generating, NA,1.9088,0,0,4.6818,2.4436,0.93044,-0.4562,0.00033539,0
10, Continuous,1812.2336,1.5295,0,0.16163,3.5988,0,0,-0.17853,0.039039,0
10, Threshold,1710.6173,1.8586,0,0,3.9262,2.1435,0.93681,-0.06685,0.012694,0
11, Generating, NA,4.3074,0,0,2.4316,1.0295,0.35553,-0.081732,0.080686,0
11, Continuous,2053.4385,0.75747,0,0.7493,1.324,0,0,-0.13054,0.042669,0
11, Threshold,1871.2975,3.9314,0,0,2.4954,1.1449,0.35146,-0.16427,0.14598,0
12, Generating, NA,4.9095,0,0,4.1021,1.3892,0.68875,-0.045252,0.064895,0
12, Continuous,1766.8401,1.7417,0,0.76594,1.6854,0,0,0.031374,0.17792,0
12, Threshold,1108.7835,4.7375,0,0,4.1314,1.4444,0.70953,-0.052154,0.024538,0
13, Generating, NA,3.0682,0,0,5.1515,0.87801,0.014318,-0.084893,0.038132,0
13, Continuous,1770.209,0.023721,0,1.4279,1.2159,0,0,-0.1271,0.053795,0
13, Threshold,1786.8248,5.9962,0,0,3.5206,1.0076,5.29E-06,-0.11485,0.0557,0
15, Generating, NA,3.6422,0,0,2.0591,1.0093,0.085164,-0.045808,0.05246,0
15, Continuous,2179.6113,0.20235,0,0.49638,1.1724,0,0,-0.077979,0.072092,0
15, Threshold,2182.8553,3.173,0,0,1.7755,1.1411,0.090335,-0.080551,0.073134,0
16, Generating, NA,2.5608,0,0,2.7041,1.4952,0.61718,-0.027743,0.040851,0
16, Continuous,2014.4919,1.0626,0,0.42711,1.6373,0,0,0.03037,0.17821,0
16, Threshold,1810.9198,2.5798,0,0,2.858,1.5357,0.646,-0.069555,0.10069,0
17, Generating, NA,2.136,0,0,2.2432,1.465,0.10189,-0.057116,0.051596,0
17, Continuous,2207.6492,0.20003,0,0.53111,1.6732,0,0,-0.080902,0.01672,0
17, Threshold,2212.1637,1.5155,0,0,2.0132,1.5433,0.13858,-0.069896,0.039631,0
18, Generating, NA,2.8742,0,0,3.0393,1.4784,0.64995,0.089042,0.03951,0
18, Continuous,2171.3231,1.2776,0,0.63706,1.6095,0,0,0.009937,0.68622,0
18, Threshold,1880.4301,3.0818,0,0,3.2127,1.5145,0.63001,0.092501,0.094592,0
19, Generating, NA,4.2419,0,0,2.7022,0.89634,0.19898,-0.051654,0.0083237,0
19, Continuous,1793.1814,0.57056,0,0.46776,1.0774,0,0,-0.095712,0.12174,0
19, Threshold,1736.5497,3.3299,0,0,2.1597,0.99988,0.25933,-0.091391,0.10619,0
20, Generating, NA,2.3063,0,0,1.8208,0.79765,0.19457,-0.084962,0.028082,0
20, Continuous,1773.9051,0.3556,0,0.13453,1.0265,0,0,-0.10947,0.0039308,0
20, Threshold,1751.2535,2.4181,0,0,1.8797,0.94089,0.17422,-0.11353,0.067018,0
