participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Generating, NA, 0.14439, 0, 0.73144, 1.133, 0, 0, -0.077332, 0.033856, 0
1, Continuous, 952.4017, 0.25386, 0, 0.63535, 1.2184, 0, 0, -0.094003, 0.064868, 0
1, Threshold, 954.5415, 1.6712, 0, 0, 1.2324, 1.1451, 0.1974, -0.097409, 0.12198, 0
2, Generating, NA, 1.2088, 0, 0.35903, 1.9727, 0, 0, 0.06804, 0.17793, 0
2, Continuous, 2242.7847, 1.1618, 0, 0.2502, 2.161, 0, 0, -0.079922, 0.059796, 0
2, Threshold, 2246.1993, 1.1253, 0, 0, 2.0183, 0.88116, 0.9896, -0.051188, 0.1804, 0
3, Generating, NA, 0.95889, 0, 0.45727, 1.2949, 0, 0, -0.025596, 0.077819, 0
3, Continuous, 2024.5846, 0.97608, 0, 0.44454, 1.4688, 0, 0, -0.059885, 0.016897, 0
3, Threshold, 2031.2062, 0.88975, 0, 0, 1.3717, 2.2693, 0.99999, -0.09621, 0.15478, 0
4, Generating, NA, 1.4908, 0, 1.0142, 1.5816, 0, 0, 0.12633, 0.080572, 0
4, Continuous, 3998.5583, 1.5318, 0, 0.8376, 1.8398, 0, 0, -0.066415, 0.36379, 0
4, Threshold, 3974.0021, 1.7383, 0, 0, 1.6835, 1.6954, 0.79087, -0.011188, 0.24601, 0
5, Generating, NA, 1.057, 0, 0.39123, 1.5662, 0, 0, 0.10587, 0.00047512, 0
5, Continuous, 2182.5361, 1.0875, 0, 0.32893, 1.6478, 0, 0, 0.099808, 0.044156, 0
5, Threshold, 2186.2962, 1.205, 0, 0, 1.6539, 1.5902, 0.89748, 0.070504, 0.11009, 0
6, Generating, NA, 1.105, 0, 2.9777, 1.4317, 0, 0, 0.16053, 0.24567, 0
6, Continuous, 2434.3117, 0.74938, 0, 0.42507, 1.7245, 0, 0, -0.17923, 2.4036e-05, 0
6, Threshold, 2389.9928, 1.6366, 0, 0, 1.8686, 1.7345, 0.58681, -0.17922, 6.5008e-05, 0
7, Generating, NA, 2.4982, 0, 1.5253, 1.4146, 0, 0, -0.091002, 0.3302, 0
7, Continuous, 2653.8525, 1.4069, 0, 0.20443, 1.3383, 0, 0, -0.072706, 0.036613, 0
7, Threshold, 2639.7951, 1.6616, 0, 0, 1.3721, 1.8257, 0.91645, -0.088816, 0.021626, 0
8, Generating, NA, 2.1574, 0, 0.059456, 1.9537, 0, 0, -0.11027, 0.34788, 0
8, Continuous, 2029.7075, 1.6794, 0, 0.001122, 1.643, 0, 0, -0.088354, 0.020016, 0
8, Threshold, 1952.6336, 1.7147, 0, 0, 1.7831, 1.2336, 0.99022, -0.13896, 0.0158, 0
9, Generating, NA, 0.1303, 0, 0.41886, 1.0504, 0, 0, -0.06822, 0.031673, 0
9, Continuous, 2280.2934, 0.11965, 0, 0.45756, 1.179, 0, 0, -0.082491, 0.049842, 0
9, Threshold, 2284.2187, 2.0668, 0, 0, 1.3781, 1.1579, 0.085495, -0.070296, 0.019246, 0
10, Generating, NA, 1.3633, 0, 0.024898, 3.5451, 0, 0, -0.34938, 0.016837, 0
