word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
POOR, FOIL, LOW, 3, 12.5047, NA, NA, NA, NA
DEBT, STIM, LOW, 6, 2.7038, 2.6269, -0.7283, -2.9280, 0.4170
GADID, STIM, LOW, 6, 1.5695, 2.2145, -0.2573, 2.4719, 3.7362
PURSE, FOIL, HIGH, 2, 2.2690, NA, NA, NA, NA
ASSIST, STIM, LOW, 2, 1.1132, -0.8175, -0.5101, -0.3074, 0.8173
DOUGH, STIM, HIGH, 6, 1.3949, 3.0422, 3.1110, -0.0688, 0.4503
PUPIL, FOIL, HIGH, 2, 1.5438, NA, NA, NA, NA
SHARK, STIM, HIGH, 6, 1.3392, 2.5425, 2.1343, 0.4081, 0.9507
CHOIR, STIM, HIGH, 2, 1.4852, 2.4125, 2.3490, 0.0635, 0.7839
BUSH, FOIL, HIGH, 2, 0.6881, NA, NA, NA, NA
BRAIN, FOIL, HIGH, 2, 0.8233, NA, NA, NA, NA
TENT, FOIL, HIGH, 2, 1.1960, NA, NA, NA, NA
CHILLY, STIM, LOW, 2, 0.9898, 2.1396, -2.1892, -1.9544, 3.6861
PIT, STIM, HIGH, 6, 1.0366, 1.0422, -2.2122, -3.0288, 0.9340
VASE, FOIL, HIGH, 2, 0.6999, NA, NA, NA, NA
PALL, STIM, LOW, 2, 1.6558, -2.0359, -1.5347, -0.5012, 0.5504
STORK, FOIL, HIGH, 2, 1.2782, NA, NA, NA, NA
BOND, FOIL, LOW, 1, 0.8001, NA, NA, NA, NA
MARVEL, STIM, LOW, 1, 0.7804, -2.7690, 0.2374, -3.0064, 0.7506
LEAN, FOIL, LOW, 1, 0.6994, NA, NA, NA, NA
ENIGMA, STIM, LOW, 2, 2.7765, 1.3036, -2.3932, -2.5864, 0.8006
LIMN, FOIL, LOW, 2, 1.3942, NA, NA, NA, NA
KING, STIM, HIGH, 2, 2.6275, 2.5293, -2.9269, -0.8270, 0.8506
VACUUM, STIM, LOW, 6, 1.3923, -1.6508, -0.5691, -1.0816, 1.1008
ROLE, STIM, LOW, 6, 1.0402, -1.8801, 1.2769, 3.1262, 1.2176
TOWN, STIM, HIGH, 6, 0.7274, -0.2264, -0.0208, -0.2056, 1.1175
THREW, FOIL, LOW, 1, 1.8578, NA, NA, NA, NA
COURSE, FOIL, LOW, 6, 1.9411, NA, NA, NA, NA
DEMON, FOIL, LOW, 2, 1.4054, NA, NA, NA, NA
BRUTAL, STIM, LOW, 6, 1.2774, -0.0697, 0.2790, -0.3487, 0.5171
KEY, STIM, HIGH, 6, 1.1327, -0.6416, 2.5249, 3.1166, 0.9841
CLOCK, FOIL, HIGH, 2, 1.3554, NA, NA, NA, NA
IDEA, FOIL, LOW, 3, 1.4543, NA, NA, NA, NA
BEST, FOIL, LOW, 3, 1.1732, NA, NA, NA, NA
