"","X","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"2001",2001,"CROAK"," STIM"," LOW","6",2.1361,-1.6772,-1.76,0.0828,1.0174,2
"2003",2003,"CLASH"," STIM"," LOW","6",0.7291,0.1329,-0.1135,0.2464,0.8673,2
"2004",2004,"GIRL"," STIM"," HIGH","6",0.6859,-1.02,-0.7343,-0.2856,0.9174,2
"2006",2006,"COPPER"," STIM"," HIGH","6",1.5945,2.0787,1.6746,0.4041,4.5868,2
"2007",2007,"CHOW"," STIM"," LOW","6",0.9259,-0.4641,-0.3399,-0.1242,1.2009,2
"2008",2008,"SPONGE"," STIM"," HIGH","6",0.5671,-1.0983,-0.8372,-0.2611,0.934,2
"2010",2010,"WOOD"," STIM"," HIGH","6",0.5941,2.9652,2.9842,-0.0189,1.718,2
"2012",2012,"SOFA"," STIM"," HIGH","6",0.7572,0.1878,0.1308,0.057,0.9007,2
"2013",2013,"FROM"," STIM"," LOW","6",1.8551,1.2262,1.2309,-0.0048,1.301,2
"2015",2015,"AS"," STIM"," LOW","6",0.5926,-0.3384,0.1799,-0.5183,3.9864,2
"2024",2024,"INFANT"," STIM"," HIGH","6",0.7048,-0.1319,-0.0254,-0.1066,1.351,2
"2025",2025,"BOSS"," STIM"," HIGH","6",0.5842,0.9798,0.9093,0.0705,1.5011,2
"2027",2027,"WOE"," STIM"," LOW","6",0.7409,-0.4068,0.03,-0.4368,1.1842,2
"2028",2028,"PAINT"," STIM"," HIGH","6",1.6237,1.7391,1.4237,0.3154,1.6513,2
"2029",2029,"BEETLE"," STIM"," HIGH","6",0.8792,1.007,1.142,-0.135,1.0842,2
"2030",2030,"FRIEZE"," STIM"," LOW","6",1.4605,-1.7252,-1.6958,-0.0294,3.4359,2
"2033",2033,"ROBBER"," STIM"," HIGH","6",1.2649,-1.1695,1.0056,-2.1751,2.1016,2
"2036",2036,"YARD"," STIM"," HIGH","6",0.8419,2.0985,2.3159,-0.2174,4.6535,2
"2038",2038,"MULE"," STIM"," HIGH","6",0.9146,1.3213,1.4237,-0.1024,0.9174,2
"2040",2040,"WAY"," STIM"," LOW","5",2.7395,1.8758,0.0925,1.7832,1.4011,2
"2042",2042,"COAST"," STIM"," HIGH","6",1.3338,-2.0299,-1.7539,-0.2759,1.3177,2
"2043",2043,"CURSE"," STIM"," LOW","6",0.5508,-0.9461,-3.0378,2.0917,7.9227,2
"2044",2044,"HEAVEN"," STIM"," LOW","6",0.6034,1.2272,1.3854,-0.1582,2.7688,2
"2048",2048,"PINE"," STIM"," HIGH","6",0.9149,1.5645,1.4296,0.1349,0.834,2
"2049",2049,"WOUND"," STIM"," HIGH","6",0.9115,1.0564,0.5527,0.5037,0.9507,2
"2050",2050,"MILK"," STIM"," HIGH","6",1.1618,2.0089,3.0696,-1.0607,2.8021,2
"2053",2053,"SPEAR"," STIM"," HIGH","6",2.1369,1.7746,1.6855,0.0892,3.4193,2
"2054",2054,"JACKET"," STIM"," HIGH","6",2.8596,2.7568,-2.4871,-1.0393,0.7506,2
"2056",2056,"WEAPON"," STIM"," HIGH","6",0.733,-1.4507,-0.8644,-0.5863,0.7672,2
"2058",2058,"ANT"," STIM"," HIGH","6",1.6102,2.2398,2.3489,-0.1092,0.7339,2
"2061",2061,"MONKEY"," STIM"," HIGH","6",12.5353,-2.2276,-0.5172,-1.7104,3.1858,2
"2062",2062,"CORPS"," STIM"," LOW","6",0.6972,1.7168,1.6913,0.0255,1.5679,2
"2064",2064,"CAT"," STIM"," HIGH","6",0.7516,2.0544,3.1156,-1.0612,1.3177,2
"2066",2066,"PROOF"," STIM"," LOW","6",0.7714,1.1187,0.5121,0.6066,1.6179,2
"2067",2067,"LAND"," STIM"," HIGH","6",0.5798,-2.1986,-2.2789,0.0802,0.934,2
"2072",2072,"INN"," STIM"," HIGH","6",1.0627,-0.3333,-0.9034,0.5701,1.251,2
"2073",2073,"BRIDGE"," STIM"," HIGH","6",2.7549,-0.8795,-0.1153,-0.7642,0.4837,2
"2075",2075,"JUST"," STIM"," LOW","6",0.8808,-1.8083,-1.9484,0.1401,1.351,2
"2078",2078,"BREAD"," STIM"," HIGH","5",1.7001,-0.0971,2.1574,-2.2545,0.8673,2
"2079",2079,"PASS"," STIM"," LOW","6",1.7923,-1.9668,-1.0909,-0.8759,5.304,2
"2087",2087,"KETTLE"," STIM"," HIGH","6",1.7024,1.183,3.0546,-1.8717,1.251,2
"2088",2088,"CORN"," STIM"," HIGH","6",1.3979,-0.2237,1.712,-1.9357,4.6535,2
"2089",2089,"QUEST"," STIM"," LOW","6",2.5319,-1.6133,-1.5813,-0.0321,2.5853,2
"2091",2091,"EMPIRE"," STIM"," LOW","6",1.4845,2.2343,2.4069,-0.1725,0.7172,2
"2092",2092,"ARM"," STIM"," HIGH","6",4.8707,0.828,0.6311,0.1969,3.8196,2
"2094",2094,"BURY"," STIM"," LOW","6",3.1858,2.742,1.76,0.982,3.019,2
"2095",2095,"SIGHT"," STIM"," LOW","6",1.7454,1.5058,-1.7016,-3.0758,3.6027,2
"2096",2096,"BUBAL"," STIM"," LOW","6",2.0099,1.0515,0.8221,0.2294,0.5004,2
"2097",2097,"TAIL"," STIM"," HIGH","5",3.0774,-1.6949,-2.9781,1.2833,1.0341,2
"2099",2099,"SPIRIT"," STIM"," LOW","6",1.8692,1.4197,-0.1312,1.5509,1.0341,2
"2101",2101,"BUT"," STIM"," LOW","5",18.7525,0.4463,2.0491,-1.6028,0.3169,2
"2106",2106,"BELLY"," STIM"," HIGH","6",1.3503,2.38,2.3599,0.0201,1.9181,2
"2107",2107,"STRING"," STIM"," HIGH","6",1.1145,-0.575,-0.1943,-0.3807,0.7673,2
"2108",2108,"CLEAN"," STIM"," LOW","6",2.4698,-1.4212,-0.1635,-1.2577,3.0023,2
"2110",2110,"FANG"," STIM"," HIGH","6",1.7265,0.9251,0.8112,0.1139,4.9204,2
"2114",2114,"ACCORD"," STIM"," LOW","6",1.5751,2.0956,-2.0951,-2.0924,1.8347,2
"2116",2116,"EVENT"," STIM"," LOW","6",1.5865,-2.8004,0.6181,2.8647,0.5504,2
"2117",2117,"WIDE"," STIM"," LOW","4",2.3453,1.2141,-0.8216,2.0357,0.8173,2
"2118",2118,"ROCK"," STIM"," HIGH","5",1.6105,-2.4324,1.6564,2.1943,1.6679,2
"2119",2119,"CASH"," STIM"," HIGH","6",3.2397,-0.5845,-2.7556,2.171,0.6839,2
"2124",2124,"ENOUGH"," STIM"," LOW","6",1.8636,-2.1968,-2.4115,0.2147,0.8673,2
"2125",2125,"PYTHON"," STIM"," HIGH","6",0.7292,2.3909,-2.9847,-0.9076,4.8537,2
"2128",2128,"POTATO"," STIM"," HIGH","6",1.2769,-0.1285,1.5296,-1.6581,0.8673,2
"2130",2130,"TRAIN"," STIM"," HIGH","5",1.445,1.3661,-2.6527,-2.2643,0.4837,2
"2132",2132,"MISERY"," STIM"," LOW","6",0.8077,-3.0598,3.0997,0.1237,2.6187,2
"2133",2133,"APEX"," STIM"," LOW","6",0.6898,-1.9452,-2.5086,0.5633,2.185,2
"2134",2134,"PUPIL"," STIM"," HIGH","6",0.7111,1.4479,1.5296,-0.0817,0.6005,2
"2135",2135,"MORBID"," STIM"," LOW","6",0.6919,-1.4099,0.1511,-1.561,0.3669,2
"2138",2138,"POMMEL"," STIM"," LOW","1",1.0368,-2.8201,0.4957,2.9675,0.8673,2
"2140",2140,"MEANT"," STIM"," LOW","1",1.2943,1.7435,0,1.7435,0.467,2
"2141",2141,"GEESE"," STIM"," HIGH","6",1.4877,1.4816,1.4619,0.0198,1.0842,2
"2142",2142,"POLITE"," STIM"," LOW","6",1.372,-0.2781,-0.4793,0.2012,0.884,2
"2143",2143,"SNORT"," STIM"," LOW","6",0.7307,-0.9755,-1.0375,0.062,0.5671,2
"2146",2146,"VARY"," STIM"," LOW","6",0.5921,0.8504,-2.641,-2.7917,2.4352,2
"2147",2147,"DONOR"," STIM"," LOW","6",0.5375,-2.5014,-2.1675,-0.334,0.7506,2
"2148",2148,"THEFT"," STIM"," LOW","6",0.549,3.1097,2.4482,0.6616,6.6384,2
"2149",2149,"GROCER"," STIM"," HIGH","6",0.7339,2.5541,2.2479,0.3061,0.7339,2
"2155",2155,"SHE"," STIM"," LOW","6",1.2122,1.7,1.6684,0.0316,2.1183,2
"2156",2156,"PRAISE"," STIM"," LOW","6",0.6893,-1.0644,-1.0802,0.0159,0.7005,2
"2160",2160,"SHOE"," STIM"," HIGH","1",1.3443,-3.0709,1.7003,1.512,1.251,2
"2161",2161,"HAT"," STIM"," HIGH","6",1.5707,-1.6933,-1.7334,0.0401,2.0015,2
"2162",2162,"HERD"," STIM"," HIGH","6",0.5667,2.3103,2.4285,-0.1183,3.1691,2
"2165",2165,"HUE"," STIM"," LOW","6",0.8833,2.4363,0,2.4363,1.2343,2
"2169",2169,"WIRE"," STIM"," HIGH","6",0.8021,2.3704,2.1054,0.265,0.9174,2
"2172",2172,"AN"," STIM"," LOW","6",0.6365,-0.4153,-0.3069,-0.1084,0.3669,2
"2173",2173,"BAR"," STIM"," HIGH","6",1.6242,-2.3569,-2.2675,-0.0894,3.3692,2
"2176",2176,"SPARE"," STIM"," LOW","6",0.9616,0.1708,2.5002,-2.3294,0.4837,2
"2177",2177,"POLYP"," STIM"," LOW","6",0.6972,1.3666,1.0017,0.365,1.1342,2
"2179",2179,"TELL"," STIM"," LOW","6",2.8493,0.0272,0.0104,0.0168,2.1183,2
"2180",2180,"KNEW"," STIM"," LOW","6",0.8205,2.1814,2.6642,-0.4828,1.818,2
"2181",2181,"CURE"," STIM"," LOW","6",1.938,-1.981,-2.2133,0.2323,0.5171,2
"2183",2183,"GLASS"," STIM"," HIGH","1",0.9137,2.0302,2.7785,-0.7484,1.2009,2
"2184",2184,"DAMAGE"," STIM"," LOW","2",2.6208,1.4047,2.2488,-0.8441,1.5679,2
"2186",2186,"TIE"," STIM"," HIGH","6",0.5908,1.1871,3.1212,-1.934,3.3025,2
"2189",2189,"ARMY"," STIM"," HIGH","6",0.6512,-1.0547,-1.1922,0.1375,0.9007,2
"2190",2190,"GOT"," STIM"," LOW","6",0.6188,0.5481,0.7241,-0.176,0.6839,2
"2194",2194,"LEVEL"," STIM"," LOW","6",1.135,-0.3397,-1.1048,0.7651,0.9007,2
"2196",2196,"TENNIS"," STIM"," HIGH","6",0.6286,-1.7183,-0.9828,-0.7355,0.7005,2
"2198",2198,"NAVEL"," STIM"," HIGH","6",0.6173,-1.0036,-0.8224,-0.1811,0.5504,2
"2200",2200,"RANGE"," STIM"," LOW","6",1.0667,-2.4531,0.9458,2.8843,1.0008,2
"2201",2201,"RARE"," STIM"," LOW","6",2.168,-1.3902,-1.4722,0.082,2.0849,2
"2204",2204,"FEE"," STIM"," LOW","6",0.6242,-2.8448,-3.0618,0.217,0.9841,2
"2205",2205,"SEQUEL"," STIM"," LOW","5",2.1923,2.3172,2.3194,-0.0022,1.6346,2
"2207",2207,"PUDDLE"," STIM"," HIGH","6",0.7239,1.5833,1.6122,-0.0289,0.9174,2
"2208",2208,"ISLAND"," STIM"," HIGH","6",0.647,2.9812,2.5393,0.4419,0.8673,2
"2211",2211,"PANTS"," STIM"," HIGH","6",3.0013,0.7859,0.6685,0.1174,0.7839,2
"2213",2213,"SOUP"," STIM"," HIGH","6",1.0603,2.9412,-0.0099,2.9511,0.467,2
"2215",2215,"GRAPE"," STIM"," HIGH","6",0.8593,1.09,0.9182,0.1719,1.4845,2
"2219",2219,"WEIRD"," STIM"," LOW","6",0.6424,0.2098,0.093,0.1168,1.5178,2
"2220",2220,"STAR"," STIM"," HIGH","6",1.1276,-2.6567,-1.8662,-0.7905,1.5845,2
"2225",2225,"MAP"," STIM"," HIGH","6",0.8798,-2.025,-0.1541,-1.8709,0.3503,2
"2230",2230,"VALOR"," STIM"," LOW","6",0.8061,-2.4528,2.5225,1.3078,0.8673,2
"2232",2232,"DEED"," STIM"," LOW","6",0.6816,1.6425,1.5912,0.0513,0.834,2
"2233",2233,"VAGUE"," STIM"," LOW","6",0.5283,1.7307,1.8589,-0.1282,1.7513,2
"2234",2234,"YORE"," STIM"," LOW","6",0.6662,-2.7848,2.3741,1.1243,0.5337,2
"2235",2235,"DUMMY"," STIM"," HIGH","6",0.5864,-1.2286,-2.2232,0.9946,0.7339,2
"2236",2236,"AMPERE"," STIM"," LOW","6",0.8004,2.5904,-2.7544,-0.9384,0.834,2
"2237",2237,"JAR"," STIM"," HIGH","5",1.6522,1.9352,-0.8333,2.7686,0.8506,2
"2239",2239,"RUST"," STIM"," HIGH","6",0.7204,-0.2438,0.5591,-0.8029,0.467,2
"2240",2240,"HALL"," STIM"," HIGH","6",0.6615,1.9057,2.5879,-0.6823,0.467,2
"2241",2241,"OMEN"," STIM"," LOW","6",5.8818,1.3599,-2.4981,-2.4252,1.9849,3
"2242",2242,"QUEST"," STIM"," LOW","1",3.6316,0.25,-0.3567,0.6067,2.4352,3
"2243",2243,"SHIELD"," STIM"," HIGH","1",1.6266,-2.4778,-2.9847,0.5069,1.0341,3
"2244",2244,"AMPERE"," STIM"," LOW","6",2.0705,-0.5276,-0.3249,-0.2027,1.2676,3
"2247",2247,"TRUTH"," STIM"," LOW","6",1.455,-1.2704,2.6547,2.3581,1.0675,3
"2248",2248,"RAISE"," STIM"," LOW","6",1.2341,2.5408,0.4056,2.1352,1.4344,3
"2249",2249,"MIRROR"," STIM"," HIGH","5",3.1759,2.5236,-0.4659,2.9895,0.9007,3
"2253",2253,"GOT"," STIM"," LOW","6",1.0903,0.0935,0,0.0935,1.6012,3
"2258",2258,"ABYSS"," STIM"," LOW","6",1.234,-0.109,2.4878,-2.5967,0.884,3
"2259",2259,"TOAST"," STIM"," HIGH","6",1.0608,-3.0938,0.6232,2.5662,1.0174,3
"2261",2261,"TYPE"," STIM"," LOW","1",4.369,-0.0929,-1.7033,1.6105,0.5504,3
"2263",2263,"SANDAL"," STIM"," HIGH","6",1.3234,-1.833,-0.5808,-1.2522,0.7673,3
"2264",2264,"CEMENT"," STIM"," HIGH","6",0.7822,2.765,-2.2586,-1.2596,0.5838,3
"2265",2265,"QUAKE"," STIM"," LOW","6",0.9704,0.9745,0.7782,0.1964,1.0508,3
"2266",2266,"RADIO"," STIM"," HIGH","6",1.0036,2.9413,-0.3234,-3.0185,1.251,3
"2267",2267,"ALLEY"," STIM"," HIGH","6",1.0361,-0.8219,-0.8463,0.0244,1.0174,3
"2268",2268,"OVEN"," STIM"," HIGH","6",0.7844,2.0689,2.4868,-0.4179,0.9674,3
"2270",2270,"DRUG"," STIM"," HIGH","6",0.8753,-0.5605,-0.6642,0.1037,1.1509,3
"2273",2273,"LOAN"," STIM"," LOW","6",2.8858,1.7044,-2.7834,-1.7953,0.6839,3
"2279",2279,"MARKET"," STIM"," HIGH","6",1.2028,-2.8105,-0.3563,-2.4542,2.2851,3
"2281",2281,"NIDUS"," STIM"," LOW","6",2.5225,-0.0213,-0.5951,0.5738,0.8506,3
"2283",2283,"BOMB"," STIM"," HIGH","6",1.5822,-1.8911,2.4257,1.9664,1.0174,3
"2284",2284,"DEPICT"," STIM"," LOW","1",1.3386,2.6017,0.8368,1.7649,1.1008,3
"2285",2285,"TREAT"," STIM"," LOW","6",1.229,-1.2972,-0.7266,-0.5705,0.9841,3
"2287",2287,"LIKE"," STIM"," LOW","6",1.0345,-2.5432,0.6579,3.0821,0.834,3
"2288",2288,"ALIAS"," STIM"," LOW","6",0.9731,2.6476,-3.0469,-0.5887,1.9014,3
"2290",2290,"IDEA"," STIM"," LOW","6",1.091,3.0672,-2.5851,-0.6309,0.7506,3
"2293",2293,"DRAB"," STIM"," LOW","6",1.2183,-0.2852,-0.734,0.4488,0.7172,3
"2294",2294,"FROST"," STIM"," HIGH","1",0.9836,2.5172,-2.3818,-1.3842,0.9507,3
"2297",2297,"CANDY"," STIM"," HIGH","5",1.8314,0.3145,-0.6244,0.9389,0.8006,3
"2302",2302,"BOX"," STIM"," HIGH","6",1.1276,1.1855,1.1279,0.0576,0.7172,3
"2306",2306,"WIDE"," STIM"," LOW","6",1.446,-2.2901,-2.5074,0.2174,2.7187,3
"2307",2307,"FENCE"," STIM"," HIGH","6",0.8204,-2.894,-2.3495,-0.5445,0.884,3
"2309",2309,"DUMMY"," STIM"," HIGH","6",0.6424,0.2463,-0.4145,0.6608,2.185,3
"2310",2310,"HOTEL"," STIM"," HIGH","6",0.5719,-2.1583,-0.496,-1.6622,1.3844,3
"2313",2313,"BREAD"," STIM"," HIGH","6",1.0169,1.4589,1.0286,0.4303,1.768,3
"2314",2314,"SLOE"," STIM"," LOW","4",2.0661,-2.8284,2.7621,0.6927,0.467,3
"2317",2317,"MOUTH"," STIM"," HIGH","6",0.6316,0.358,0.8034,-0.4455,0.934,3
"2318",2318,"LEARN"," STIM"," LOW","6",0.6746,2.5359,-3.0047,-0.7426,0.6839,3
"2319",2319,"POT"," STIM"," HIGH","6",0.7082,-3.0125,-1.5286,-1.484,2.9522,3
"2324",2324,"RIDDLE"," STIM"," LOW","6",1.2147,-1.1712,-1.9522,0.781,0.3669,3
"2326",2326,"WAGE"," STIM"," LOW","6",1.1436,-0.5228,-0.628,0.1052,2.4352,3
"2327",2327,"EYE"," STIM"," HIGH","6",0.5884,3.0064,-3.0114,-0.2653,0.5004,3
"2329",2329,"WORM"," STIM"," HIGH","4",1.7365,-2.4272,-2.2305,-0.1967,0.7339,3
"2330",2330,"PLAIT"," STIM"," LOW","6",1.0866,2.7558,2.4351,0.3207,0.5171,3
"2332",2332,"SOUTH"," STIM"," LOW","6",0.9636,-0.7509,-1.704,0.9531,0.6005,3
"2333",2333,"TURN"," STIM"," LOW","5",1.2082,-0.7174,-0.4382,-0.2792,0.5337,3
"2336",2336,"PARK"," STIM"," HIGH","4",4.5114,2.1786,0.4594,1.7191,0.9507,3
"2337",2337,"FROM"," STIM"," LOW","6",2.4953,3.0532,-2.8198,-0.4101,0.5337,3
"2340",2340,"BIRD"," STIM"," HIGH","6",1.1123,1.3757,1.0979,0.2778,1.4011,3
"2341",2341,"CAUCUS"," STIM"," LOW","6",2.3727,-1.9947,-2.9848,0.99,0.4337,3
"2344",2344,"CURE"," STIM"," LOW","6",0.8928,-2.5174,-2.5977,0.0803,0.8173,3
"2348",2348,"PALACE"," STIM"," HIGH","6",0.6215,-2.0205,-2.2734,0.2528,1.9014,3
"2349",2349,"ROAD"," STIM"," HIGH","6",0.6442,-1.0991,-1.1818,0.0828,0.884,3
"2351",2351,"FARM"," STIM"," HIGH","6",0.7954,1.3311,1.842,-0.5109,1.0341,3
"2354",2354,"STANZA"," STIM"," LOW","6",0.6952,-2.6216,-2.3304,-0.2913,0.6338,3
"2355",2355,"HARDLY"," STIM"," LOW","6",0.6243,-2.6945,3.1166,0.4721,0.884,3
"2356",2356,"MONTH"," STIM"," LOW","6",0.6768,-2.9599,-2.7099,-0.25,0.834,3
"2357",2357,"CLOWN"," STIM"," HIGH","6",0.5678,2.5337,2.5284,0.0053,0.8673,3
"2360",2360,"KNOB"," STIM"," HIGH","6",0.6524,0.0665,-0.6124,0.6789,1.5679,3
"2361",2361,"TOUCH"," STIM"," LOW","2",3.0023,-2.023,-2.9394,0.9164,0.9841,3
"2365",2365,"PIANO"," STIM"," HIGH","6",1.4007,-3.0673,3.0471,0.1688,0.4003,3
"2367",2367,"DREAD"," STIM"," LOW","6",0.8092,-1.5371,-1.741,0.2039,0.5337,3
"2370",2370,"KINE"," STIM"," LOW","6",1.2877,3.0484,-0.029,3.0774,1.0842,3
"2373",2373,"PAIR"," STIM"," LOW","2",3.1082,2.9901,-2.7223,-0.5708,0.934,3
"2374",2374,"PERIOD"," STIM"," LOW","6",0.9656,1.6143,1.7003,-0.086,0.8506,3
"2375",2375,"HALF"," STIM"," LOW","6",1.0594,-0.1913,-0.6202,0.429,1.1509,3
"2377",2377,"TURTLE"," STIM"," HIGH","6",1.1315,-1.2668,-1.0677,-0.1991,0.467,3
"2378",2378,"THE"," STIM"," LOW","6",0.8386,-2.1997,-2.4462,0.2466,0.3836,3
"2380",2380,"SHARK"," STIM"," HIGH","6",0.7025,-0.8654,-1.0259,0.1606,0.5337,3
"2381",2381,"DEW"," STIM"," HIGH","6",2.6643,-2.9781,-2.979,9e-04,0.2835,3
"2383",2383,"FEAT"," STIM"," LOW","6",0.8454,0.3568,0.5933,-0.2364,0.834,3
"2384",2384,"TOWN"," STIM"," HIGH","6",0.6999,1.8364,1.9466,-0.1102,0.417,3
"2389",2389,"SERIES"," STIM"," LOW","6",0.8381,-2.869,-2.7367,-0.1323,0.5838,3
"2393",2393,"MUCUS"," STIM"," HIGH","6",0.7132,0.8529,0.4177,0.4352,0.7005,3
"2395",2395,"ANCHOR"," STIM"," HIGH","6",0.7066,-1.3009,-1.132,-0.1689,0.7506,3
"2396",2396,"GIRL"," STIM"," HIGH","6",0.7515,2.3479,2.3598,-0.0119,0.9007,3
"2398",2398,"SKATE"," STIM"," HIGH","6",0.704,-0.509,-0.4317,-0.0773,0.6005,3
"2399",2399,"SADDLE"," STIM"," HIGH","6",0.7267,2.2333,-3.0804,-0.9694,0.2835,3
"2400",2400,"LENS"," STIM"," HIGH","6",0.6632,-1.2312,-0.9842,-0.247,0.4503,3
"2401",2401,"TACET"," STIM"," LOW","6",3.2426,0.4278,-0.2694,0.6972,0.3002,3
"2407",2407,"TRUCK"," STIM"," HIGH","6",0.7556,2.8433,3.0242,-0.1808,0.6171,3
"2409",2409,"FELL"," STIM"," LOW","6",0.7781,0.4663,0.3805,0.0857,0.7005,3
"2410",2410,"ROOF"," STIM"," HIGH","6",0.9473,-2.1637,-2.2609,0.0972,0.6338,3
"2411",2411,"WAMPUM"," STIM"," LOW","6",0.6444,-2.8343,2.3217,1.1272,0.3836,3
"2415",2415,"INDIAN"," STIM"," HIGH","6",0.7666,-2.5463,-2.5622,0.0159,0.5171,3
"2416",2416,"WEAPON"," STIM"," HIGH","1",0.86,0.481,0.2323,0.2487,0.5671,3
"2417",2417,"BIBLE"," STIM"," HIGH","6",0.8548,-1.9754,-2.0601,0.0848,0.5838,3
"2419",2419,"JOLT"," STIM"," LOW","6",0.8621,1.4979,0.8539,0.644,1.2009,3
"2420",2420,"MUG"," STIM"," HIGH","6",0.5298,-2.3897,-2.5354,0.1457,0.7005,3
"2421",2421,"SAD"," STIM"," LOW","6",3.339,1.526,1.7325,-0.2066,0.8006,3
"2422",2422,"VICE"," STIM"," LOW","6",0.779,2.1403,2.2536,-0.1133,1.1342,3
"2424",2424,"LOSS"," STIM"," LOW","6",0.8291,1.9784,2.0507,-0.0723,0.5838,3
"2429",2429,"RAID"," STIM"," LOW","6",0.6065,-2.5918,-0.3786,-2.2132,0.3503,3
"2432",2432,"HE"," STIM"," LOW","1",0.505,2.3521,2.3377,0.0144,0.6171,3
"2433",2433,"ANKLE"," STIM"," HIGH","6",0.7057,1.9229,2.1717,-0.2488,1.2176,3
"2434",2434,"TAPE"," STIM"," HIGH","6",0.6235,-0.7308,-0.7599,0.0292,0.5504,3
"2435",2435,"LAND"," STIM"," HIGH","6",1.4377,-0.1881,-0.6292,0.4411,0.4503,3
"2437",2437,"ENTREE"," STIM"," LOW","6",0.5906,-2.689,-2.6435,-0.0456,0.467,3
"2439",2439,"EXCISE"," STIM"," LOW","6",0.6143,-2.8133,-2.6012,-0.2121,1.0008,3
"2442",2442,"ERRAND"," STIM"," LOW","1",0.8914,3.1248,-3.0971,-0.0613,1.0174,3
"2446",2446,"BANDIT"," STIM"," HIGH","6",0.687,-1.8321,-1.0453,-0.7868,0.3669,3
"2447",2447,"SMOOTH"," STIM"," LOW","6",0.547,-2.0354,-1.9974,-0.038,1.351,3
"2449",2449,"TOPIC"," STIM"," LOW","6",0.8389,-0.629,-1.0632,0.4342,1.1342,3
"2450",2450,"SMELL"," STIM"," LOW","6",0.9316,1.3421,1.1231,0.219,0.7005,3
"2452",2452,"HOSE"," STIM"," HIGH","6",0.6076,-2.596,-2.979,0.3831,0.7339,3
"2455",2455,"RUG"," STIM"," HIGH","6",0.6941,1.8659,-0.9758,2.8417,0.6005,3
"2456",2456,"ROPE"," STIM"," HIGH","6",0.6206,3.0415,-0.1991,-3.0426,0.5004,3
"2457",2457,"SATIRE"," STIM"," LOW","6",0.6408,-0.9399,-1.2332,0.2933,0.5671,3
"2458",2458,"BUTTER"," STIM"," HIGH","6",0.4955,-0.6828,-0.7287,0.0459,0.4503,3
"2461",2461,"CAMP"," STIM"," HIGH","6",2.0363,-1.9417,-1.7434,-0.1983,0.417,3
"2462",2462,"MAIDEN"," STIM"," HIGH","2",1.3099,1.8661,1.3666,0.4995,0.5671,3
"2464",2464,"CAUGHT"," STIM"," LOW","6",1.0943,-1.514,-2.4501,0.9361,0.1501,3
"2465",2465,"FLUTE"," STIM"," HIGH","5",1.4643,-2.0674,-2.4837,0.4163,3.9864,3
"2470",2470,"LIQUID"," STIM"," HIGH","6",1.0133,0.7932,-2.3417,3.1349,0.3836,3
"2471",2471,"GYM"," STIM"," HIGH","6",0.5654,-2.6511,3.0191,0.613,0.4003,3
"2473",2473,"AYE"," STIM"," LOW","6",1.0503,0.3802,-0.1147,0.4949,0.834,3
"2476",2476,"ASTUTE"," STIM"," LOW","6",0.8272,-1.3701,-2.2133,0.8432,0.7172,3
"2477",2477,"UMPIRE"," STIM"," HIGH","6",0.6419,-1.2682,-0.4127,-0.8555,0.5171,3
"2480",2480,"MALE"," STIM"," HIGH","6",0.721,0.1941,0.4335,-0.2394,0.3669,3
"2481",2481,"GREEDY"," STIM"," LOW","1",2.5864,0.0591,-2.7334,2.7926,0.3669,3
"2485",2485,"MANUS"," STIM"," LOW","6",0.6751,-3.0148,-0.0957,-2.9192,0.3836,3
"2486",2486,"DENIAL"," STIM"," LOW","6",0.5339,1.2323,0.8627,0.3696,0.3503,3
"2487",2487,"SMUT"," STIM"," LOW","6",0.5393,0.0391,-2.4237,2.4628,1.1842,3
"2488",2488,"PRUNE"," STIM"," HIGH","6",0.7248,-0.4702,-0.8802,0.41,0.3169,3
"2489",2489,"JEEP"," STIM"," HIGH","6",0.736,-2.2306,-2.2511,0.0206,0.4837,3
"2493",2493,"POLITE"," STIM"," LOW","6",0.5504,1.5991,-0.6454,2.2446,0.5504,3
"2494",2494,"GARDEN"," STIM"," HIGH","6",0.6613,0.6411,0.9045,-0.2635,1.768,3
"2498",2498,"VOTE"," STIM"," LOW","2",0.9111,1.3449,2.4409,-1.096,0.4503,3
"2499",2499,"FORE"," STIM"," LOW","1",0.8097,0.7044,2.3919,-1.6875,0.5838,3
"2501",2501,"BATTLE"," STIM"," HIGH","6",2.1362,1.1557,-1.5248,2.6805,0.3836,3
"2502",2502,"OX"," STIM"," HIGH","6",1.164,1.1389,0.9828,0.1561,0.417,3
"2503",2503,"SISTER"," STIM"," HIGH","6",0.5349,0.7619,0.1249,0.6369,0.3169,3
"2505",2505,"BOTTLE"," STIM"," HIGH","6",0.572,1.0884,1.1788,-0.0904,0.5004,3
"2506",2506,"POLIO"," STIM"," HIGH","6",0.7085,-2.4511,-2.4878,0.0367,0.3336,3
"2508",2508,"DROP"," STIM"," LOW","6",0.6112,-0.3532,-0.312,-0.0411,0.3336,3
"2511",2511,"SHOP"," STIM"," HIGH","6",0.8086,2.8425,-1.6415,-1.7992,0.3669,3
"2512",2512,"FARE"," STIM"," LOW","6",0.7361,0.6265,0.4317,0.1948,0.4003,3
"2515",2515,"SCENE"," STIM"," LOW","1",1.0345,2.0416,2.327,-0.2854,0.5171,3
"2519",2519,"GIST"," STIM"," LOW","6",0.7465,1.9751,2.153,-0.1779,0.467,3
