"","X","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"122",122,"RIBBON"," STIM"," HIGH","6",1.1629,0.4264,-0.7599,1.1864,0.884,1
"123",123,"EARN"," STIM"," LOW","1",1.7097,1.5775,-2.1112,-2.5945,0.6171,1
"124",124,"BRIDGE"," STIM"," HIGH","6",4.6558,-0.7849,-0.0194,-0.7655,0.5004,1
"129",129,"ITS"," STIM"," LOW","6",1.1625,-1.7115,-1.8847,0.1731,0.4337,1
"131",131,"EQUITY"," STIM"," LOW","6",1.1067,-1.6393,0.0102,-1.6494,0.3336,1
"133",133,"VARY"," STIM"," LOW","1",0.9729,-0.4673,3.108,2.7079,0.4337,1
"136",136,"CHISEL"," STIM"," HIGH","1",0.7221,1.9857,1.1647,0.8211,0.4837,1
"137",137,"MELEE"," STIM"," LOW","6",1.0558,-2.0928,1.0232,-3.116,0.417,1
"138",138,"SKATE"," STIM"," HIGH","1",0.9314,-0.4634,-0.6064,0.143,0.2502,1
"143",143,"MOCKER"," STIM"," LOW","1",0.7583,-0.8408,2.1051,-2.9459,1.0675,1
"147",147,"RIDDLE"," STIM"," LOW","6",1.5028,2.0618,0,2.0618,0.3503,1
"149",149,"FROST"," STIM"," HIGH","6",0.7115,0.6018,-0.8912,1.493,0.6171,1
"152",152,"CART"," STIM"," HIGH","4",2.7181,2.0346,2.05,-0.0154,0.7005,1
"153",153,"CLAMMY"," STIM"," LOW","4",1.32,2.3591,1.8045,0.5546,0.3336,1
"155",155,"HOOD"," STIM"," HIGH","6",2.6389,-0.0203,-1.0895,1.0692,0.4337,1
"156",156,"KNOWN"," STIM"," LOW","6",4.7567,-0.185,2.9473,-3.1322,0.467,1
"157",157,"SILVER"," STIM"," HIGH","6",0.9849,2.6596,-1.9974,-1.6262,0.7172,1
"159",159,"CREAM"," STIM"," HIGH","6",1.8405,-2.0798,0.7203,-2.8001,0.2835,1
"160",160,"HAY"," STIM"," HIGH","1",1.7936,-0.496,0.5722,-1.0682,0.5337,1
"166",166,"WIRE"," STIM"," HIGH","1",0.5675,0.5883,-1.6882,2.2765,0.6005,1
"167",167,"WEAPON"," STIM"," HIGH","6",1.0524,-2.371,-1.5757,-0.7953,0.8673,1
"168",168,"MONTH"," STIM"," LOW","1",0.7843,-1.2207,-2.576,1.3553,1.1175,1
"169",169,"ALKALI"," STIM"," LOW","6",0.872,-2.6448,-2.5606,-0.0842,0.4503,1
"171",171,"LUNG"," STIM"," HIGH","6",0.9607,-3.1413,1.6648,1.4772,0.5337,1
"173",173,"STAR"," STIM"," HIGH","6",1.5447,-2.2529,0.3218,-2.5747,0.4503,1
"174",174,"LISP"," STIM"," LOW","6",0.8459,2.52,2.4725,0.0476,0.6171,1
"175",175,"CALL"," STIM"," LOW","6",0.9549,0.1123,-0.7996,0.9119,0.3169,1
"177",177,"REBUS"," STIM"," LOW","1",0.5553,2.6042,-1.7581,-1.9209,0.2168,1
"178",178,"GLORY"," STIM"," LOW","6",1.1939,-2.4533,-0.6646,-1.7888,0.3169,1
"181",181,"ELSE"," STIM"," LOW","1",0.6744,2.6156,2.2974,0.3182,0.4003,1
"183",183,"JOB"," STIM"," LOW","1",0.6238,2.4323,-0.6465,3.0788,0.5171,1
"186",186,"BOMB"," STIM"," HIGH","1",1.4984,-2.4994,-0.7928,-1.7066,0.5337,1
"187",187,"HAUL"," STIM"," LOW","6",1.0853,-2.5429,0.1701,-2.7131,0.5171,1
"189",189,"HORN"," STIM"," HIGH","1",0.729,1.7774,-2.3527,-2.1531,0.467,1
"191",191,"MOHUR"," STIM"," LOW","4",0.6484,1.3048,-0.2684,1.5732,2.3017,1
"193",193,"CEMENT"," STIM"," HIGH","4",1.4453,-0.8888,3.1008,2.2936,0.5337,1
"194",194,"BRANCH"," STIM"," HIGH","6",1.1074,-0.54,0.4431,-0.9831,0.8006,1
"197",197,"RARITY"," STIM"," LOW","6",1.2198,-1.3962,-2.3854,0.9892,0.6672,1
"199",199,"TOE"," STIM"," HIGH","1",0.5197,-2.6138,0.0293,-2.6431,0.5671,1
"201",201,"PIQUE"," STIM"," LOW","1",0.7345,-1.2631,-0.2863,-0.9768,0.4337,1
"202",202,"ROE"," STIM"," LOW","6",1.4482,1.0457,-1.454,2.4997,0.3669,1
"204",204,"IVY"," STIM"," HIGH","6",2.5301,2.9277,2.3924,0.5353,0.5004,1
"206",206,"RAPID"," STIM"," LOW","1",4.9049,2.0957,-0.0466,2.1423,0.5004,1
"209",209,"BIT"," STIM"," LOW","1",0.507,-0.7078,-0.588,-0.1198,0.3336,1
"210",210,"MOTH"," STIM"," HIGH","1",0.6156,-0.1196,0.0052,-0.1248,0.834,1
"212",212,"RICH"," STIM"," LOW","1",0.8133,-2.9973,-2.3274,-0.6699,0.4837,1
"214",214,"HAWK"," STIM"," HIGH","1",2.696,1.3648,3.1228,-1.758,0.6005,1
"217",217,"BONE"," STIM"," HIGH","6",1.0338,-0.7458,-1.4142,0.6683,0.4837,1
"218",218,"NEST"," STIM"," HIGH","1",0.6373,-1.3281,0.552,-1.8801,0.3836,1
"222",222,"TIGER"," STIM"," HIGH","6",1.3181,1.7639,-0.6794,2.4433,0.5337,1
"224",224,"BEAT"," STIM"," LOW","1",0.8808,-1.9088,0.5527,-2.4615,1.1842,1
"225",225,"STINGY"," STIM"," LOW","1",0.6612,2.6456,2.428,0.2176,0.5004,1
"227",227,"RING"," STIM"," HIGH","6",0.8079,-1.5214,3.0886,1.6732,1.5512,1
"228",228,"WHO"," STIM"," LOW","1",0.6018,-0.8874,-0.0898,-0.7976,5.4208,1
"229",229,"BATH"," STIM"," HIGH","6",1.1603,-2.9868,-2.3124,-0.6744,1.2843,1
"232",232,"BOX"," STIM"," HIGH","1",0.5597,-0.1513,0.1059,-0.2572,1.2509,1
"235",235,"GOWN"," STIM"," HIGH","6",0.8767,1.5831,-0.3698,1.9529,2.8688,1
"236",236,"SMOOTH"," STIM"," LOW","6",0.8831,0.9273,-1.0207,1.948,2.235,1
"240",240,"ALIAS"," STIM"," LOW","1",1.355,-1.707,2.7986,1.7776,1.2009,1
"242",242,"CANDY"," STIM"," HIGH","2",0.9798,1.3722,2.2085,-0.8363,0.6672,1
"245",245,"THUD"," STIM"," LOW","6",1.0551,0.5637,0.0099,0.5538,0.2168,1
"246",246,"STOVE"," STIM"," HIGH","1",1.1116,-2.5932,-2.5167,-0.0765,0.6338,1
"247",247,"ASSENT"," STIM"," LOW","1",1.3349,2.0192,2.3595,-0.3402,2.4185,1
"251",251,"TIE"," STIM"," HIGH","1",0.5359,1.4561,-0.1863,1.6424,0.2502,1
