word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
LEVITY, STIM, LOW, 6, 0.6999, -0.5204, -0.0669, -0.4535, 0.8340
EXTRA, STIM, LOW, 6, 0.7504, 3.0396, 2.9799, 0.0597, 0.7005
FINITE, STIM, LOW, 6, 0.6647, 1.8430, 1.7105, 0.1325, 0.8340
TREE, FOIL, HIGH, 1, 1.3593, NA, NA, NA, NA
KNIFE, FOIL, HIGH, 1, 0.6515, NA, NA, NA, NA
TOWN, FOIL, HIGH, 1, 0.6775, NA, NA, NA, NA
DEER, STIM, HIGH, 6, 1.1468, -2.6788, -2.7408, 0.0620, 0.6839
LOUD, STIM, LOW, 6, 1.0475, 1.5964, 1.5240, 0.0724, 0.7339
PIT, FOIL, HIGH, 1, 1.2953, NA, NA, NA, NA
SNUB, STIM, LOW, 4, 1.4970, 2.2241, 2.0390, 0.1851, 0.4670
TRIM, STIM, LOW, 6, 0.8995, -1.7928, -1.7732, -0.0195, 0.9507
SHOP, STIM, HIGH, 6, 0.9515, 0.1229, 0.0940, 0.0289, 1.3343
SAVE, FOIL, LOW, 2, 1.2013, NA, NA, NA, NA
FAIR, STIM, LOW, 6, 0.8663, -1.5296, -1.5916, 0.0620, 0.7005
SKULL, STIM, HIGH, 6, 0.9057, -2.9583, -2.7889, -0.1695, 0.6672
JEEP, FOIL, HIGH, 1, 1.2350, NA, NA, NA, NA
SUE, FOIL, LOW, 4, 0.8996, NA, NA, NA, NA
SCARCE, STIM, LOW, 6, 0.9670, 2.9740, 2.0529, 0.9211, 0.6672
IDEAL, FOIL, LOW, 4, 1.6065, NA, NA, NA, NA
YEAR, STIM, LOW, 3, 0.9526, -0.4268, -2.6757, 2.2488, 1.5011
BIRD, FOIL, HIGH, 3, 1.1802, NA, NA, NA, NA
FEAR, STIM, LOW, 5, 2.4198, 2.1317, -2.6525, -1.4989, 3.7028
SUDS, FOIL, HIGH, 4, 1.5636, NA, NA, NA, NA
JEWEL, STIM, HIGH, 6, 1.3053, 1.8142, 1.6843, 0.1299, 0.6505
CHEEK, STIM, HIGH, 6, 1.1891, 0.3486, 0.5217, -0.1731, 1.0008
CRAB, STIM, HIGH, 6, 0.9299, 0.8473, 0.7927, 0.0546, 1.3177
MONAD, FOIL, LOW, 1, 1.4296, NA, NA, NA, NA
ACHE, FOIL, LOW, 3, 1.2298, NA, NA, NA, NA
TO, FOIL, LOW, 2, 1.0417, NA, NA, NA, NA
CAREER, FOIL, LOW, 1, 1.4674, NA, NA, NA, NA
HAMMER, STIM, HIGH, 6, 1.9987, -1.4851, -1.5760, 0.0908, 0.8340
FILM, STIM, HIGH, 6, 1.4940, 0.3113, 0.5026, -0.1913, 0.8006
EGO, STIM, LOW, 6, 1.0773, -2.8757, -2.7649, -0.1108, 0.7339
PROOF, STIM, LOW, 6, 0.9270, -2.7774, -2.6965, -0.0809, 0.8506
SCAB, FOIL, HIGH, 1, 1.0471, NA, NA, NA, NA
SPIRIT, FOIL, LOW, 4, 1.5422, NA, NA, NA, NA
WRACK, FOIL, LOW, 2, 1.0913, NA, NA, NA, NA
LUNG, FOIL, HIGH, 3, 0.9891, NA, NA, NA, NA
DUST, FOIL, HIGH, 2, 1.0465, NA, NA, NA, NA
PACT, STIM, LOW, 6, 0.9572, 0.2559, 0.4453, -0.1894, 1.4678
THANE, FOIL, LOW, 1, 1.0225, NA, NA, NA, NA
HEN, STIM, HIGH, 6, 0.9748, 1.8682, 1.7215, 0.1467, 1.5178
JAIL, STIM, HIGH, 6, 0.9412, 1.5011, 1.5193, -0.0182, 0.7839
TOILET, FOIL, HIGH, 1, 1.4063, NA, NA, NA, NA
GATE, FOIL, HIGH, 2, 1.0546, NA, NA, NA, NA
BIRCH, STIM, HIGH, 6, 1.0461, -3.1100, 3.0580, 0.1152, 0.6171
CRISIS, FOIL, LOW, 2, 1.3124, NA, NA, NA, NA
MOOSE, STIM, HIGH, 6, 0.9416, -0.0019, 0.0471, -0.0490, 0.6005
LEFT, STIM, LOW, 6, 0.9857, -2.6903, -2.7154, 0.0251, 0.7005
ROPE, STIM, HIGH, 6, 0.9046, 0.8249, 0.9148, -0.0899, 0.5671
SICK, STIM, LOW, 6, 0.9558, -1.4399, -1.5553, 0.1155, 0.7672
TAPIS, STIM, LOW, 6, 1.0211, 3.1111, 2.9731, 0.1380, 0.4503
GLUT, STIM, LOW, 6, 0.9731, 2.8932, 3.0893, -0.1961, 0.4670
OH, FOIL, LOW, 2, 1.9595, NA, NA, NA, NA
THICK, STIM, LOW, 6, 1.5248, -2.8101, -3.1364, 0.3264, 0.4670
SCHEME, STIM, LOW, 6, 1.1382, -0.0802, 0.0827, -0.1629, 0.6338
MONKEY, FOIL, HIGH, 1, 1.1863, NA, NA, NA, NA
KETTLE, FOIL, HIGH, 1, 1.8183, NA, NA, NA, NA
GOOF, STIM, LOW, 6, 1.0199, 0.4295, 0.5386, -0.1092, 0.6672
KEG, FOIL, HIGH, 1, 1.2602, NA, NA, NA, NA
