0.23914,0.62212,0.64706,0.54192,0.90562,1.3042,0.95176,0.1168,0.10372
6.1654,8.1751,5.6739,5.6675,-0.83251,0.29186,2.6593,-4.3325,1.2926
3.4468,3.49,2.8098,3.0393,0.94438,0.05158,3.1234,-0.3499,0.25377
3.9302,3.9307,3.1777,3.3758,0.87545,0.053721,4.3752,-0.30463,2.7376e-06
3.6667,3.9823,10.832,10.668,1.1853,0.01083,1.6667,1.9193,0.14328
3.7279,4.1482,9.885,7.6667,5.2099,0.33267,1.6667,1.5338,-2.6333
3.5606,3.6237,1.2136,1.5236,1.0853,1.2551,2.611,-0.24647,0.16506
4.9548,4.9186,6.549,3.4053,1.9304,0.13395,2.1064,0.045313,0.65499
5.6593,7.2987,7.2036,7.2826,0.70359,0.72848,1.2042,-0.86095,-3.0964
5.8074,3.5954,7.6881,11.471,1.0954,0.036858,1.7023,-1.1395,-0.0070624
6.5593,6.9712,3.681,3.681,0.26579,-2.3548,-0.13039,-0.49002,-6.619
3.7996,4.2498,9.3,7.8311,1.211,-0.0078529,1.6667,-0.0894,-0.057497
2.7554,7.9367,7.304,11.42,0.25536,-0.44129,2.1223,0.24937,-2.4542
7.1288,3.6667,9.8982,7.6667,5.8168,-0.58717,1.6667,1.2966,-0.30492
2.7187,2.8851,3.8393,3.9796,1.2489,0.02006,2.4956,0.030091,0.024834
2.6185,2.7595,0.49984,0.87331,0.63473,0.083527,3.4765,-0.34999,0.034994
6.4252,4.125,8.7795,8.1592,1.169,0.1633,1.6667,-0.088898,-0.027779
3.7514,3.7234,1.7862,2.1338,0.97761,0.048546,2.5341,-0.28027,0.015739
1.3516,2.6259,0.2376,0.73968,1.2637,0.44981,0.86961,0.1501,0.11323
