,condition,recog_rating,recog_RT,target_angle,response_angle,response_error,response_RT,participant
212,1,1,0.8133,-2.9973,-2.3274,-0.6699,0.4837,1
214,2,1,2.696,1.3648,3.1228,-1.758,0.6005,1
217,2,6,1.0338,-0.7458,-1.4142,0.6683,0.4837,1
218,2,1,0.6373,-1.3281,0.552,-1.8801,0.3836,1
222,2,6,1.3181,1.7639,-0.6794,2.4433,0.5337,1
225,1,1,0.6612,2.6456,2.428,0.2176,0.5004,1
242,2,2,0.9798,1.3722,2.2085,-0.8363,0.6672,1
245,1,6,1.0551,0.5637,0.0099,0.5538,0.2168,1
246,2,1,1.1116,-2.5932,-2.5167,-0.0765,0.6338,1
251,2,1,0.5359,1.4561,-0.1863,1.6424,0.2502,1
255,2,1,0.8677,-0.3495,1.114,-1.4635,0.7506,1
257,2,1,1.0528,0.8378,-0.4275,1.2653,1.0675,1
258,2,6,0.7635,-3.0593,1.0269,2.197,0.4503,1
259,2,1,0.7946,2.3546,-1.5355,-2.3931,0.5337,1
260,2,6,0.9606,-0.507,-2.2363,1.7293,0.3336,1
261,1,1,1.0763,0.8175,-0.1733,0.9908,0.9674,1
263,2,6,1.6165,0.5665,0.8433,-0.2768,0.3002,1
265,1,6,0.9407,2.6233,-0.5198,-3.1401,0.3002,1
267,2,1,0.7579,-0.4757,-2.6569,2.1812,0.5171,1
269,1,1,0.9689,-0.8141,2.5033,2.9658,0.5671,1
271,2,1,0.7032,-1.9048,-1.7359,-0.1688,0.3169,1
272,2,1,2.2829,1.9512,2.6086,-0.6574,0.3836,1
274,2,1,0.7883,-2.0821,0.1769,-2.2589,0.2335,1
277,2,1,0.5674,0.924,-2.5207,-2.8384,0.467,1
278,1,6,1.0794,-1.6899,-0.0607,-1.6292,0.3336,1
281,1,6,1.4135,2.3602,-3.0198,-0.9032,0.4837,1
810,1,6,0.7621,-0.9284,2.244,3.1108,0.3503,1
9,1,6,0.7639,0.8638,-0.712,1.5758,0.3336,1
1110,2,1,1.0118,2.5102,-1.2254,-2.5476,0.467,1
1210,1,6,0.9018,3.127,-2.1904,-0.9657,0.3669,1
14,1,1,0.6596,1.2147,2.2675,-1.0529,0.2669,1
15,2,1,2.4473,-1.0353,1.9707,-3.006,0.3503,1
16,1,1,0.5957,-1.4813,-2.4772,0.9959,0.3669,1
18,2,6,0.8451,0.7954,-1.5446,2.34,0.5004,1
19,2,6,0.5715,1.2036,1.0854,0.1182,0.4003,1
2210,2,1,0.6395,-0.4922,-0.4636,-0.0286,0.417,1
2410,1,1,0.7614,0.66,-2.1335,2.7934,0.4003,1
2510,2,1,0.8349,-0.9527,2.0992,-3.0519,0.3336,1
2710,2,1,0.6621,1.5729,1.0229,0.55,0.4503,1
28,1,1,0.5954,-0.9788,1.1506,-2.1294,0.4337,1
29,2,6,1.18,-2.3025,2.3526,1.628,0.4337,1
351,2,6,0.6661,-2.0236,-0.408,-1.6156,0.5671,1
361,1,1,0.8211,3.0139,-0.5116,-2.7577,0.3836,1
39,2,6,0.8414,0.7986,3.0557,-2.257,0.4003,1
421,2,1,0.8293,-1.8894,-0.3564,-1.533,0.2502,1
461,2,6,0.6461,1.8902,3.0568,-1.1665,0.417,1
47,2,6,1.4194,-3.0492,-1.8563,-1.193,0.2168,1
481,2,1,0.5063,0.3601,-2.24,2.6001,0.1835,1
501,2,6,0.7982,1.9563,2.4562,-0.4999,0.9841,1
54,1,6,0.5895,1.9735,0.7378,1.2357,0.3169,1
56,1,1,0.7422,-2.1245,0.6039,-2.7284,0.417,1
59,1,6,1.0987,-2.199,-0.1463,-2.0527,0.3002,1
601,2,6,0.817,1.4351,3.0167,-1.5816,0.467,1
61,1,1,1.8536,-2.9631,-0.3992,-2.5638,0.3669,1
621,2,1,1.4909,-1.804,2.9432,1.536,0.3169,1
63,2,6,1.3701,1.7957,1.0772,0.7185,0.4503,1
65,1,6,1.1024,0.9822,2.9207,-1.9385,1.0008,1
661,2,6,0.9038,-1.7393,-0.7789,-0.9603,0.3503,1
681,1,6,0.8733,0.7407,-2.1025,2.8432,0.1501,1
75,2,2,0.7065,0.2703,2.4324,-2.1621,0.2502,1
761,1,6,0.9575,0.2893,1.1025,-0.8132,0.6505,1
77,1,6,1.0107,1.0692,-2.1574,-3.0566,0.2168,1
791,2,6,1.0839,-1.1235,-2.1845,1.061,0.4003,1
83,1,1,0.8543,1.3022,-0.852,2.1542,0.3336,1
841,1,6,0.8688,2.7654,1.2292,1.5362,0.4337,1
851,2,1,0.5702,-0.1034,-0.8858,0.7824,0.3503,1
87,1,6,2.3174,0.755,-2.0541,2.8091,0.3503,1
90,2,1,2.1499,-2.5579,0,-2.5579,0.1501,1
911,2,1,0.582,1.7476,1.0458,0.7018,0.3669,1
92,2,1,1.3581,2.8066,0.5191,2.2874,0.5171,1
93,1,1,1.2189,-0.3486,-2.1713,1.8227,0.2502,1
95,2,6,0.5262,-1.8716,-3.0518,1.1802,0.2836,1
961,1,6,1.0168,1.4691,2.4684,-0.9993,0.3002,1
