,condition,recog_rating,recog_RT,target_angle,response_angle,response_error,response_RT,participant
1049,2,1,0.7147,0.7266,1.7009,-0.9744,0.6005,6
1076,1,6,0.9323,1.2666,2.7524,-1.4858,0.7839,6
11114,1,6,0.7306,-0.1696,-1.7895,1.6199,0.5504,6
11210,1,6,1.7231,0.3173,-0.6882,1.0055,0.5171,6
1137,2,2,1.3929,-3.0168,1.0198,2.2466,1.6012,6
1177,1,6,1.3142,1.049,0.4172,0.6318,0.5838,6
1197,1,6,0.9105,0.3439,1.8762,-1.5323,0.8506,6
12116,2,3,2.2466,-3.0647,-0.9116,-2.1531,0.5671,6
1229,2,6,1.1375,1.4836,-1.4872,2.9708,0.7506,6
1237,1,6,1.1101,-1.2742,-0.7237,-0.5506,0.5504,6
1258,1,4,1.7558,-0.1875,2.8803,-3.0678,0.9507,6
1298,2,6,1.5515,1.0198,-2.2092,-3.0542,0.8173,6
1305,2,6,0.8987,1.4979,0.0406,1.4573,0.4337,6
13115,1,6,0.856,-2.2348,1.576,2.4724,0.5004,6
1337,2,2,0.7342,0.4549,2.023,-1.5681,0.7839,6
1378,1,6,0.9444,1.774,1.3521,0.4218,0.7672,6
1456,2,6,1.2226,-3.1101,1.5603,1.6127,0.6005,6
1467,2,6,0.9452,-0.1658,1.7016,-1.8674,1.1676,6
1477,1,6,1.3064,0.3983,0.1676,0.2307,0.7839,6
1486,1,3,1.1817,0.4937,1.5185,-1.0248,0.8506,6
1498,2,6,1.2939,-1.5998,-1.4746,-0.1252,0.4337,6
15111,2,6,1.0789,-1.3147,1.2047,-2.5195,0.6672,6
1546,2,6,1.4968,2.8175,-3.0764,-0.3893,0.467,6
1557,1,6,1.0198,1.9198,2.2327,-0.3129,1.5512,6
1578,2,2,1.0183,-2.2173,-0.5217,-1.6956,0.6005,6
1599,1,6,1.0473,1.2576,2.1299,-0.8724,0.6338,6
1625,2,6,1.017,-2.0912,1.4659,2.7261,0.6839,6
1634,2,6,0.9252,0.625,-0.9148,1.5397,0.8006,6
1667,1,6,1.0105,1.3369,-2.4296,-2.5167,0.8173,6
1687,2,6,0.8642,-3.0979,2.6918,0.4934,0.6171,6
1698,1,6,0.7235,0.7863,1.1048,-0.3185,0.6839,6
17116,2,6,0.7528,0.9446,0.1822,0.7624,1.1342,6
1727,2,6,0.7489,-0.7823,-2.5364,1.754,0.467,6
1737,1,6,0.6982,0.1886,-1.8892,2.0779,0.9174,6
1767,2,6,0.7477,1.3271,-0.9741,2.3012,0.6171,6
1788,1,6,0.7447,1.622,1.7794,-0.1574,0.6505,6
18112,2,3,2.9698,-2.8835,2.3452,1.0545,0.5504,6
1827,1,2,1.0654,1.9907,0.4429,1.5478,0.8673,6
1845,1,3,1.4996,2.5564,-2.979,-0.7478,0.4337,6
1855,2,6,2.5741,0.8468,-0.9857,1.8325,0.6171,6
1878,1,6,0.8932,2.4834,-1.2918,-2.508,0.6171,6
1898,2,6,1.0799,0.9855,-2.0854,3.0709,0.4837,6
1907,1,3,1.7663,-2.3933,1.2719,2.618,0.5838,6
1927,2,6,1.0291,0.346,-0.3168,0.6628,0.4837,6
1957,1,6,1.4623,2.0357,-0.0836,2.1193,0.9507,6
1966,2,3,1.7032,-2.2721,1.4091,2.6021,0.6005,6
20114,2,2,1.8392,0.9236,2.4709,-1.5473,1.6679,6
2027,2,6,1.4744,-0.0455,-2.6894,2.644,0.4337,6
2047,2,4,1.2786,-0.3741,1.1391,-1.5132,0.6171,6
2057,1,3,1.8347,-3.1204,1.442,1.7208,0.3836,6
2077,2,6,1.4259,-0.8954,-0.9481,0.0527,0.8506,6
2087,1,6,0.8815,2.2716,-0.0416,2.3133,0.6505,6
2098,1,6,1.1788,1.5259,-0.8627,2.3886,0.5171,6
2127,1,6,0.7817,3.1054,1.7274,1.378,0.7005,6
2137,2,6,0.6524,1.0891,-2.2133,-2.9808,0.4837,6
2145,1,6,0.5662,-1.7007,0.8588,-2.5595,1.0341,6
22112,1,3,2.1752,-2.8807,1.5604,1.842,0.4503,6
2228,1,6,1.2353,-2.4493,-0.8968,-1.5525,0.3669,6
2238,2,6,0.7821,3.0391,0.6723,2.3668,0.5004,6
2256,2,4,0.9668,-2.3619,-1.7461,-0.6158,0.4837,6
2267,2,6,0.7587,-1.682,1.046,-2.728,0.4837,6
2285,1,6,0.6397,0.1855,1.4065,-1.2209,0.8673,6
2328,1,6,0.8483,-0.8883,-0.7709,-0.1174,0.3836,6
2376,2,6,0.8449,-2.5077,-3.1215,0.6138,0.467,6
2397,1,4,0.9781,-1.2408,2.2935,2.7488,1.5845,6
2408,1,6,0.7864,-2.0861,0.4136,-2.4996,0.6005,6
24110,1,4,1.888,0.2819,1.3208,-1.0389,0.8173,6
2426,1,2,1.4878,0.2854,-1.2918,1.5771,0.8006,6
2457,1,4,1.8099,-2.7476,0.7227,2.8129,1.4845,6
2467,2,6,1.5869,-0.2723,1.3119,-1.5842,0.8006,6
2487,2,6,1.1005,0.3723,-2.4069,2.7792,0.7005,6
2504,2,4,1.3008,3.1086,2.3451,0.7634,1.1509,6
2545,1,6,1.1766,2.8047,1.5603,1.2444,0.8173,6
2558,1,4,1.1392,0.7659,-0.5735,1.3395,0.7672,6
2576,2,6,0.7753,-1.039,-3.1209,2.0819,0.7839,6
2606,2,4,1.4856,-3.0071,2.5406,0.7354,0.6171,6
2627,2,5,1.2657,0.3833,2.4856,-2.1023,0.5504,6
2638,2,6,0.8359,-2.8451,0.8977,2.5404,0.5171,6
2679,1,6,0.7652,0.4679,0.2203,0.2476,0.5337,6
27114,2,4,0.9178,2.4041,3.0505,-0.6464,0.467,6
2728,2,6,0.6743,-0.2729,-0.0502,-0.2227,0.5337,6
2736,1,6,0.7296,-2.4208,-2.4897,0.0689,0.5504,6
2757,2,4,1.3612,2.9112,-0.6579,-2.7141,0.6005,6
2786,1,6,0.9042,-3.002,2.0714,1.2098,0.6005,6
2798,2,2,0.6011,-2.7348,1.2066,2.3418,0.5671,6
2809,2,6,0.8095,2.0532,1.4783,0.5749,0.5004,6
11004,2,3,4.4251,-2.8098,-0.363,-2.4468,0.7005,6
3103,2,6,0.962,-2.5774,1.0536,2.6522,0.6839,6
4103,1,6,0.7808,-1.7686,-0.7527,-1.0159,0.6672,6
719,1,6,1.0453,-1.6663,-2.294,0.6277,0.6338,6
8105,2,6,0.78,-0.1504,0.1964,-0.3468,0.6839,6
9103,2,6,0.9172,-2.1468,2.208,1.9284,0.417,6
1230,1,6,0.7802,0.5308,0.4124,0.1184,0.834,6
15103,1,2,1.1043,-2.9674,-0.9814,-1.986,0.6171,6
1828,2,1,0.912,0.6557,-2.1617,2.8174,0.6171,6
2028,1,4,1.1435,0.428,1.3835,-0.9555,0.4837,6
2120,2,6,1.5804,-0.208,-1.4039,1.196,0.7339,6
22104,2,6,0.7651,2.1971,1.6843,0.5128,0.8006,6
2520,2,3,1.8633,1.2929,0.6854,0.6076,1.351,6
2729,2,6,0.8661,2.1767,0.6227,1.554,0.3002,6
2814,2,6,0.9294,1.5839,-0.2424,1.8263,0.6672,6
3514,2,5,1.1102,-2.0519,1.3233,2.908,0.9174,6
3614,1,6,0.9216,-1.2941,-1.5968,0.3027,0.7005,6
384,2,2,1.1336,-1.5127,-1.1257,-0.387,0.5838,6
395,1,6,1.0543,-1.9358,0.8701,-2.8059,0.5004,6
4115,1,3,2.4699,1.2448,-0.6854,1.9302,0.8673,6
4615,1,6,0.8766,0.8816,2.2878,-1.4062,0.934,6
4713,1,6,0.7873,2.9191,-1.2738,-2.0903,1.1008,6
496,2,6,0.9863,2.5957,0.0836,2.5121,1.0508,6
5012,1,6,0.6378,-2.9283,-0.125,-2.8033,1.6012,6
528,2,6,0.6882,-2.0049,-1.4252,-0.5797,0.5504,6
538,2,6,1.4798,1.6168,1.5237,0.0931,0.834,6
545,2,6,0.5942,2.4436,1.2623,1.1813,0.4503,6
5713,1,1,1.3103,-0.99,-1.0001,0.0101,0.8506,6
588,1,6,0.6383,0.0693,1.3937,-1.3245,0.6839,6
637,1,3,1.1228,0.3264,1.3979,-1.0715,0.5671,6
6415,1,6,0.8308,-0.2605,-0.6257,0.3653,0.8173,6
658,2,6,1.0605,-0.2882,-0.851,0.5628,0.8673,6
733,1,6,0.8328,-0.2832,-1.2194,0.9361,0.934,6
7416,1,6,0.9683,1.9255,1.8448,0.0807,0.8006,6
7616,2,6,0.7726,0.8719,0.269,0.6029,1.1676,6
778,2,6,0.6288,0.408,1.4561,-1.0481,0.8173,6
8015,2,6,0.6958,-1.0564,-1.9107,0.8542,0.5504,6
8312,1,6,0.7424,1.7769,1.9656,-0.1887,0.6171,6
878,2,5,1.3825,0.0771,-0.459,0.5361,0.5838,6
888,1,6,0.9044,-0.2024,-0.6124,0.41,0.6005,6
897,1,3,1.7561,3.0349,-1.1874,-2.0608,0.7005,6
9016,2,6,1.0493,1.5558,1.4872,0.0686,0.8673,6
9113,2,6,0.6269,-2.7032,-2.8313,0.1281,0.467,6
947,2,4,1.7816,-2.7498,1.0295,2.5039,1.2343,6
9613,2,6,1.3131,-2.5231,-0.852,-1.6711,0.6505,6
997,2,2,0.9393,-2.8605,-1.6751,-1.1854,0.6338,6
10212,1,4,1.6245,-1.3634,-0.4636,-0.8998,0.5337,6
10711,1,2,0.8919,-1.959,-2.7951,0.8361,1.2343,6
11014,1,3,1.3123,1.2973,2.0718,-0.7745,0.7005,6
11115,2,5,1.4759,-2.172,0.7818,-2.9537,0.7339,6
11215,1,6,0.7683,-1.9719,-2.2268,0.2549,0.7005,6
11315,1,6,0.8727,-3.0961,-3.043,-0.0532,0.6005,6
1156,1,6,0.8815,-2.7781,1.1913,2.3138,0.5504,6
1165,1,6,0.7956,-2.9028,0.3747,3.0057,1.5011,6
11713,2,6,0.7453,-0.8706,-0.1803,-0.6903,0.6505,6
12315,2,6,0.9357,2.4103,0.3332,2.077,0.8006,6
12516,1,4,1.083,-0.8526,1.17,-2.0226,0.5838,6
1277,2,6,0.6628,0.9925,1.4193,-0.4268,1.0341,6
13012,2,6,0.8212,1.346,-0.811,2.1571,0.6505,6
13116,1,6,0.663,-2.0672,2.2309,1.9851,0.5838,6
1347,2,2,0.8087,1.5101,1.3132,0.1969,0.7172,6
13716,1,6,0.8171,-1.2166,-1.3271,0.1105,0.5671,6
1384,1,6,0.6216,-0.5158,-2.8541,2.3383,0.6005,6
1397,1,6,0.9719,0.0743,-0.6519,0.7261,0.5504,6
1406,2,6,0.8385,1.5914,-0.336,1.9273,0.467,6
14114,2,6,1.6942,-1.4602,2.0344,2.7885,0.4503,6
1428,2,3,1.5945,-0.7434,0.7562,-1.4996,0.4337,6
1447,2,1,0.933,-3.1362,-0.4614,-2.6748,0.4837,6
14712,1,6,0.9629,1.0148,-1.1922,2.207,0.5171,6
14814,1,6,0.6993,0.9788,2.4837,-1.5049,0.3836,6
15112,1,6,0.8379,-0.0149,0.1218,-0.1368,0.2669,6
1527,1,2,1.0623,0.6847,-0.2826,0.9673,0.4837,6
1588,1,3,0.8293,-2.6953,1.4834,2.1045,0.4503,6
15916,1,6,0.8756,2.6865,0.1882,2.4983,0.467,6
1607,2,6,1.0485,-2.9916,-2.1399,-0.8517,0.5838,6
16115,2,3,1.7215,0.9108,1.4768,-0.5661,0.9507,6
1656,2,2,1.0613,-0.553,2.5985,3.1317,0.9507,6
16613,1,6,0.9558,-1.318,1.5093,-2.8274,0.6505,6
16815,2,6,1.5032,-3.0323,0.761,2.4899,0.8506,6
16915,2,6,1.2116,2.7019,-2.4709,-1.1104,0.7172,6
1708,2,6,0.7318,-0.7488,1.723,-2.4719,0.5004,6
17314,1,4,1.3548,-0.0915,-1.1903,1.0987,0.5004,6
1747,2,1,0.7372,0.4515,-0.5751,1.0266,0.6171,6
1757,1,2,0.555,2.857,-0.1566,3.0136,0.6005,6
17815,2,2,0.6534,-2.4696,3.126,0.6877,0.5838,6
18113,2,6,1.4866,2.4018,-0.6693,3.0711,0.3169,6
18216,1,4,1.9941,-0.8828,-0.8224,-0.0604,0.9007,6
1839,1,6,0.9615,-3.0786,-2.8069,-0.2717,0.4337,6
18411,2,2,1.0356,0.5013,-1.2126,1.714,0.5671,6
19110,1,6,0.7478,-3.0776,1.6689,1.5366,0.6839,6
19213,2,6,0.5412,-0.4281,-2.3526,1.9246,0.4503,6
1937,1,3,1.1215,1.539,0.4338,1.1051,0.6005,6
19614,1,3,1.0066,-1.1229,-1.0909,-0.032,0.4503,6
1979,1,6,1.052,3.0856,1.4768,1.6088,0.5504,6
1998,1,6,0.7778,1.032,1.2639,-0.2319,0.8506,6
20215,2,2,0.8668,-2.3456,-1.7753,-0.5702,0.4503,6
20414,1,3,1.1526,0.7261,0.6132,0.1128,0.5671,6
20515,2,6,0.9599,-0.6619,1.482,-2.1439,0.6171,6
2068,1,6,0.7461,-2.8699,0.8401,2.5731,0.467,6
20812,1,6,0.9458,-1.8155,1.498,2.9696,0.5671,6
2106,2,6,0.9002,-1.7873,1.9948,2.501,0.8173,6
21213,2,6,0.9234,0.6091,-0.7262,1.3353,0.7506,6
2157,2,1,1.2187,2.1711,-2.4701,-1.6419,0.6005,6
2167,2,6,1.0268,2.6503,-1.2996,-2.3333,0.7172,6
22214,2,2,0.8091,1.1979,-0.2374,1.4352,0.5171,6
22313,2,6,0.7448,1.685,1.4433,0.2417,0.5504,6
2246,1,6,0.6966,2.3175,2.1741,0.1433,0.3836,6
22614,1,6,0.7427,-2.7564,-2.7707,0.0143,0.7339,6
2277,1,6,0.6588,0.5233,0.9524,-0.4291,0.6338,6
23115,1,6,0.6581,0.8408,-1.5708,2.4116,0.5171,6
23215,1,4,1.2482,0.0737,-0.8357,0.9094,0.467,6
2356,1,6,0.7351,-2.9729,-1.8731,-1.0998,0.417,6
23713,2,2,1.6599,-2.778,-2.7955,0.0175,0.467,6
23914,2,6,0.6252,-0.4961,-0.7053,0.2092,0.5671,6
24215,2,6,0.7058,0.6169,0.7193,-0.1024,0.417,6
2448,1,6,0.7416,1.2687,-2.1387,-2.8758,0.5671,6
24614,2,2,0.6725,-0.9108,-1.172,0.2612,0.7339,6
2496,2,6,0.6698,-0.5181,-2.4175,1.8994,0.6338,6
2528,2,4,1.0782,3.128,2.5177,0.6103,0.8506,6
2538,2,3,1.4288,1.0218,-0.3968,1.4186,0.7506,6
25411,1,6,0.7363,1.6853,-0.7522,2.4375,0.6171,6
2567,2,6,0.7262,1.4033,1.7702,-0.367,0.8673,6
2587,1,3,1.487,1.6281,-0.1635,1.7916,0.6005,6
2598,1,6,1.0751,-2.498,1.8942,1.891,0.6005,6
26114,2,6,2.0251,1.5448,1.76,-0.2152,0.6338,6
26216,2,6,1.242,0.2912,0.9828,-0.6916,0.6171,6
26312,1,6,0.6527,-2.0699,-1.9008,-0.1691,0.5838,6
2658,1,6,0.8021,-0.9387,-1.1025,0.1638,0.6505,6
2687,2,1,0.743,2.6395,2.4107,0.2288,0.5171,6
2707,1,6,0.7046,-0.4753,-0.7745,0.2992,0.6839,6
27316,2,6,0.743,-1.2281,-1.1515,-0.0766,0.6171,6
2778,1,4,2.8099,2.5456,-0.2287,2.7743,0.5171,6
27914,1,6,0.8452,1.7732,2.0899,-0.3167,0.6672,6
28013,2,6,1.069,-0.0843,-0.3661,0.2817,0.6839,6
11015,2,4,6.2238,-1.8621,1.0744,-2.9365,0.5838,6
298,2,6,2.0782,-0.6302,-1.8208,1.1906,0.7172,6
4116,2,5,1.5672,-1.4144,-1.1437,-0.2706,0.5171,6
518,1,6,0.9488,-0.3667,-1.1557,0.789,0.5838,6
1020,1,3,1.1684,3.0123,-2.5593,-0.7116,0.6171,6
12105,2,6,1.0538,-1.7113,-0.5431,-1.1682,0.9007,6
15121,1,2,1.3047,-2.6188,-1.9668,-0.652,0.5671,6
1626,2,2,1.7535,2.3354,1.0225,1.3129,0.6338,6
19105,2,2,0.8462,2.2239,1.4193,0.8046,0.5671,6
20103,2,6,1.0167,0.6915,-0.3056,0.9972,0.4503,6
21105,1,6,1.2744,1.1057,-1.1563,2.262,0.467,6
23105,2,6,0.7145,0.8806,0.1702,0.7103,0.3503,6
2628,1,5,1.4396,2.6689,1.9552,0.7138,0.4837,6
27105,2,6,0.6353,2.8769,1.5604,1.3165,0.5171,6
307,1,6,0.7494,0.9974,-2.1559,-3.1298,0.3836,6
3121,2,6,0.5707,-1.2774,0.9232,-2.2007,0.4837,6
3715,1,6,0.7658,1.8778,1.1999,0.6779,0.5171,6
3812,1,6,0.6159,-2.2037,-2.4003,0.1966,0.5337,6
3912,1,6,0.9095,-2.4543,-2.0207,-0.4336,0.6505,6
4015,2,2,0.8973,3.1133,-1.2047,-1.9651,0.6338,6
4123,2,6,2.0587,2.9458,-0.1943,3.1402,0.5171,6
4212,1,6,1.3906,1.8603,1.4516,0.4087,0.6005,6
4312,1,6,1.4413,-2.1239,0.7927,-2.9166,0.3836,6
4721,1,2,1.7526,-0.4913,-1.0723,0.581,1.251,6
488,2,3,1.5865,-2.7958,-1.1768,-1.619,0.5004,6
519,1,6,0.6348,-0.0153,0.0547,-0.0699,0.6171,6
5316,1,6,0.6485,-2.5876,-2.5507,-0.0369,0.3503,6
5515,2,6,0.5278,0.7021,0.6788,0.0233,0.5671,6
5721,1,6,0.7239,-0.2038,2.1717,-2.3755,0.6171,6
608,1,6,0.8075,2.6951,2.5437,0.1514,0.467,6
6422,2,6,0.7766,0.3973,0.685,-0.2877,0.5838,6
687,1,5,1.5053,-1.5955,0.3728,-1.9682,0.4003,6
7110,2,6,0.8471,-0.0597,-0.3776,0.3179,0.6505,6
7213,2,6,0.7755,1.3862,1.3622,0.024,0.7172,6
7422,1,6,0.9895,1.5797,-0.4823,2.062,0.5171,6
756,1,6,0.7674,0.3836,-1.0029,1.3865,0.5671,6
7622,1,6,1.0655,-2.7867,2.2755,1.221,0.5004,6
7716,2,6,0.8363,2.7735,-2.0435,-1.4661,0.7839,6
7813,2,6,0.7729,-2.8526,-2.6295,-0.2232,0.5838,6
8022,2,6,0.8705,-2.1783,-2.6289,0.4506,0.5004,6
8322,2,6,0.6797,1.941,1.8777,0.0632,0.8506,6
8514,1,6,0.6072,-0.5714,-0.3679,-0.2035,0.5337,6
8615,1,6,0.5745,2.134,1.198,0.936,0.6839,6
8813,1,6,0.6011,0.215,-0.5141,0.7291,0.5504,6
9024,2,6,0.7038,2.0661,0.7675,1.2986,1.1008,6
9122,1,6,0.7511,-2.8236,0.1218,-2.9455,0.6005,6
9215,2,6,0.5113,-0.8892,-1.0793,0.1901,0.8006,6
9714,1,6,0.6637,-1.07,-2.4629,1.3929,0.5337,6
9913,2,6,0.6811,2.2498,2.1935,0.0563,0.6171,6
1037,2,6,0.7705,1.1997,1.6544,-0.4547,0.6338,6
10413,2,6,0.706,0.5972,-2.9269,-2.7591,0.5004,6
1056,2,2,0.7667,-3.1399,-1.0723,-2.0676,0.7172,6
1069,1,6,0.4873,-0.1508,-0.3396,0.1888,0.6005,6
11023,1,3,1.9361,2.7509,2.1777,0.5733,0.2835,6
11122,1,4,1.1119,2.8754,1.4619,1.4136,0.5504,6
11512,1,3,0.9097,-0.4564,0.4475,-0.9039,0.6005,6
11613,1,3,1.5378,2.5779,2.5147,0.0632,0.7005,6
11722,1,4,1.0284,-1.5738,0.7279,-2.3017,0.5504,6
11912,1,6,1.3129,-3.0211,-0.4385,-2.5826,0.4003,6
12117,1,5,1.5835,-2.9021,0.5307,2.8504,0.417,6
12523,1,6,1.3269,-1.2801,-2.4614,1.1814,0.5838,6
12716,2,5,1.1824,2.8194,-0.4317,-3.032,0.5337,6
1283,2,6,0.6303,2.1957,0.125,2.0707,0.4503,6
12916,1,6,0.6664,1.0171,1.2903,-0.2733,0.7339,6
13314,1,6,0.7112,-1.773,-0.9409,-0.8321,0.5504,6
13414,1,6,0.6325,-0.4081,-1.4613,1.0532,0.7506,6
1356,2,6,0.5461,-1.0132,-0.7115,-0.3017,0.5504,6
13725,1,6,0.6418,-0.7666,1.9996,-2.7662,0.8673,6
13812,2,1,0.8061,0.0058,0.9397,-0.9339,0.7172,6
14214,2,3,1.2433,0.2631,0.3606,-0.0975,0.7172,6
14513,1,2,1.6946,1.1117,-0.2352,1.3468,0.4003,6
14722,1,6,0.6993,-2.5622,-2.6528,0.0906,0.4003,6
14823,1,6,0.6342,-1.2523,1.1468,-2.399,0.7839,6
1507,2,6,0.694,0.5333,0.3283,0.2049,0.9674,6
1536,1,6,0.6542,0.1513,0.0627,0.0886,0.3836,6
15515,2,5,1.1229,-2.9758,-1.0084,-1.9674,0.417,6
1568,2,2,0.6054,-1.4408,-0.5386,-0.9022,0.4003,6
15716,2,6,1.6698,0.5719,-1.8195,2.3914,0.8173,6
15815,1,2,1.8039,1.7901,1.7068,0.0833,0.6672,6
16116,1,3,1.5454,-0.1872,1.8247,-2.0119,0.5004,6
16312,1,3,0.5311,2.5652,-1.7428,-1.9752,0.6171,6
1647,2,6,1.0739,-2.3225,-2.3416,0.0191,0.5838,6
16514,2,6,0.6,-0.161,0.7854,-0.9464,0.9007,6
17117,1,6,0.8569,2.0751,-1.8563,-2.3518,0.5337,6
17211,2,6,0.7015,0.0378,-0.6557,0.6934,0.6839,6
17414,2,6,0.7438,1.175,2.734,-1.559,0.6338,6
17514,1,6,0.8395,2.8889,-1.2623,-2.132,1.4845,6
17613,1,6,0.5327,2.6986,2.1588,0.5398,0.6338,6
17822,2,6,0.5839,0.817,1.0232,-0.2063,0.8006,6
18421,2,6,0.7804,0.3207,-2.4919,2.8126,0.6005,6
1886,1,3,0.5662,2.8102,-1.7309,-1.7421,0.3336,6
19012,2,6,0.6334,2.4564,2.77,-0.3136,0.417,6
19116,2,3,0.9888,-2.028,-2.1631,0.1352,0.5838,6
1948,1,6,0.8625,1.2659,1.704,-0.4381,0.6005,6
19512,1,2,1.332,-1.2958,1.8942,3.0932,0.5838,6
19621,1,6,0.6174,0.344,-2.6295,2.9735,0.5004,6
19712,1,6,0.7112,2.2125,-1.1816,-2.8891,0.3503,6
1987,1,4,1.8528,1.686,1.1884,0.4977,0.8673,6
2007,2,6,0.6049,-1.5438,-1.5811,0.0373,0.4337,6
20115,2,3,1.7611,-0.5233,1.9901,-2.5133,0.6672,6
20522,1,6,0.5774,1.0922,1.4048,-0.3126,0.6839,6
20915,2,6,0.6319,-0.6185,-0.9189,0.3004,0.7506,6
21012,1,6,0.7155,-2.7466,-2.5189,-0.2277,0.4503,6
21314,2,4,0.8318,0.3469,1.3354,-0.9885,0.417,6
21412,2,2,1.1711,0.7312,-1.9455,2.6767,0.7506,6
21513,1,3,0.5162,3.0942,2.9053,0.1889,0.5004,6
21615,2,5,1.0879,-2.5791,0.3381,-2.9173,0.5504,6
2177,2,6,0.8493,1.9169,0.3416,1.5753,0.7005,6
2198,2,2,0.62,-1.3038,2.5347,2.4447,0.6672,6
22121,1,4,1.533,2.609,2.1916,0.4174,0.4337,6
22224,1,3,1.024,-2.3747,1.8519,2.0565,0.4337,6
22321,2,6,0.761,-2.6352,-2.2901,-0.3451,0.6338,6
22712,1,5,1.0063,-2.3626,-2.4436,0.081,0.6171,6
2295,2,6,0.7324,-3.0113,-2.7504,-0.2609,0.6005,6
2306,2,6,0.5829,-2.0641,1.3979,2.8211,1.7513,6
23116,2,6,0.5685,-1.7423,2.0849,2.4561,0.4337,6
2337,2,3,0.5237,1.9314,-0.7524,2.6838,0.6171,6
23515,1,2,0.456,-1.4711,0.4028,-1.874,0.7673,6
2365,2,6,0.7879,1.3854,1.451,-0.0655,0.6005,6
24114,2,5,1.5496,0.1656,1.6319,-1.4664,0.6171,6
24221,1,6,0.6238,-2.2904,-2.7649,0.4744,0.6005,6
24414,1,6,0.7993,-1.6489,-1.7105,0.0616,0.6005,6
24913,1,6,0.7508,-1.2115,-1.0612,-0.1503,1.2843,6
25316,2,6,0.7345,-3.0921,-3.1106,0.0185,0.3669,6
25421,1,6,0.6158,2.8511,2.3417,0.5094,0.5838,6
25713,2,6,1.3486,0.9187,0.1593,0.7595,0.467,6
25815,2,6,0.6438,-2.9713,0.6407,2.6713,0.417,6
25914,2,6,0.8805,-0.733,-0.5738,-0.1592,0.5171,6
26013,1,6,0.7918,1.5143,0.0717,1.4426,0.417,6
26115,1,5,1.651,-2.7504,-1.4675,-1.2828,0.4837,6
26222,2,6,0.533,-0.5579,-0.6526,0.0947,0.467,6
2667,2,6,0.9137,2.1014,-2.8835,-1.2983,0.417,6
26714,1,6,0.6675,-0.3448,-0.6637,0.3189,1.2176,6
26813,2,6,0.875,-0.4685,2.1015,-2.5699,0.4837,6
2698,1,2,0.5321,1.6026,-2.1574,-2.5233,0.417,6
27115,1,4,1.0487,-3.1279,-0.5288,-2.5991,0.3669,6
27513,2,6,0.7109,-0.8221,0.3594,-1.1814,0.5671,6
2765,2,6,0.6636,1.0274,1.1807,-0.1534,0.5171,6
27815,2,5,1.6414,-3.1137,-2.2789,-0.8348,0.4337,6
11031,2,6,1.2757,2.326,-2.1777,-1.7795,0.4503,6
3115,2,6,0.7502,-2.6759,0.9356,2.6717,0.6005,6
5103,1,3,1.606,1.2063,2.3343,-1.128,1.3343,6
8116,2,6,0.9461,2.8079,0.5308,2.2771,0.8173,6
1130,1,5,1.2006,-2.9556,-1.4007,-1.5549,0.6005,6
16105,1,6,0.8448,2.3545,-1.249,-2.6797,0.467,6
18104,2,2,0.6796,-1.1023,-2.1631,1.0608,0.4503,6
19122,1,6,1.0839,-1.6863,-2.7004,1.0142,0.5171,6
20122,1,6,0.5981,-0.1241,-0.2241,0.1,0.4837,6
21116,2,6,1.4151,1.1108,-1.5244,2.6352,1.4511,6
22113,2,4,1.7479,0.3242,-0.9189,1.2431,0.467,6
23122,2,5,1.1159,0.9206,-1.8208,2.7414,0.5337,6
24101,1,6,0.6826,-1.2792,0.789,-2.0682,0.7172,6
25105,1,2,0.9748,-1.5063,2.8264,1.9505,0.9841,6
27122,1,5,1.2001,-2.9824,1.0891,2.2116,0.8006,6
299,1,4,1.1823,-2.23,-2.6897,0.4596,1.0508,6
328,2,6,0.7285,2.8971,2.7178,0.1793,0.3669,6
3315,1,3,1.3295,-1.7358,2.0647,2.4827,1.1509,6
344,1,6,0.7859,-2.8734,-0.0468,-2.8265,0.5004,6
4141,1,4,1.6867,0.9373,2.6224,-1.6851,0.6171,6
4321,2,5,1.3964,-0.6507,-0.3863,-0.2644,0.467,6
4622,2,6,0.7839,0.3228,0.6538,-0.331,0.5671,6
4731,2,6,0.8514,-2.6849,1.3604,2.2379,0.4837,6
4912,2,3,0.5373,-0.7148,-0.7854,0.0706,0.6672,6
5324,2,3,2.0809,1.4768,2.2463,-0.7695,0.6672,6
5913,1,6,0.9486,-0.521,-0.2014,-0.3195,0.7339,6
6014,2,6,0.7174,-0.5559,-1.9513,1.3954,0.7172,6
629,2,4,1.1155,-0.9737,2.648,2.6615,0.4837,6
6431,2,6,0.6786,-1.504,-2.2572,0.7533,0.5004,6
6614,2,6,0.7208,-1.3081,1.4362,-2.7443,0.9507,6
707,2,6,0.6571,-2.0825,1.1395,3.0612,0.4337,6
7222,1,6,0.6195,-0.614,-0.6526,0.0386,0.4837,6
7311,1,6,0.779,-2.5079,-2.3013,-0.2066,1.0174,6
7512,1,3,1.5262,0.1137,0.5735,-0.4598,1.0842,6
7631,2,6,0.6277,2.2999,2.4242,-0.1243,0.5671,6
7821,1,3,0.8829,-1.877,-2.8576,0.9806,0.834,6
7913,1,4,1.6251,1.0918,-0.2136,1.3055,0.467,6
8414,1,5,1.038,-0.1469,2.3051,-2.452,0.5004,6
8524,2,4,1.2315,2.8546,-1.114,-2.3146,0.4503,6
8821,1,5,1.365,-1.4458,-2.9229,1.4771,0.467,6
8915,2,6,0.8006,-0.3679,1.4355,-1.8034,1.4511,6
