word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
JOLT, FOIL, LOW, 1, 1.7479, NA, NA, NA, NA
WERE, STIM, LOW, 6, 0.7531, 0.1524, 0.0406, 0.1118, 1.2510
IVY, FOIL, HIGH, 1, 0.8100, NA, NA, NA, NA
SHOULD, FOIL, LOW, 1, 1.0024, NA, NA, NA, NA
WON, STIM, LOW, 6, 1.0739, 2.9887, -2.9823, -0.3121, 2.9689
AXLE, FOIL, HIGH, 1, 0.6226, NA, NA, NA, NA
BOMB, STIM, HIGH, 6, 0.6733, 0.8396, 0.4436, 0.3960, 0.7172
DEITY, STIM, LOW, 6, 0.5794, 1.9388, 0.2289, 1.7099, 0.3002
THUD, STIM, LOW, 6, 1.0764, -3.1004, 0.1011, 3.0817, 0.6672
CANDY, FOIL, HIGH, 1, 0.7495, NA, NA, NA, NA
SUPPER, STIM, HIGH, 6, 0.7009, 1.7917, 0.5817, 1.2100, 0.4503
GENTLE, FOIL, LOW, 1, 0.5926, NA, NA, NA, NA
SWEAT, STIM, HIGH, 6, 0.6292, 3.0430, 0.9066, 2.1364, 0.9174
UNIQUE, FOIL, LOW, 1, 1.0804, NA, NA, NA, NA
PROUD, STIM, LOW, 6, 0.8620, 0.3345, 2.4595, -2.1251, 1.4011
ORANGE, FOIL, HIGH, 1, 0.6186, NA, NA, NA, NA
KETTLE, FOIL, HIGH, 1, 0.7377, NA, NA, NA, NA
BRUSH, STIM, HIGH, 6, 0.7341, -0.0352, 0.5503, -0.5855, 0.3169
DIVING, STIM, HIGH, 6, 0.7651, 2.6685, 2.5347, 0.1338, 0.5171
EARN, FOIL, LOW, 1, 0.7425, NA, NA, NA, NA
WORSE, FOIL, LOW, 2, 2.4684, NA, NA, NA, NA
TIGER, STIM, HIGH, 6, 1.6346, 0.6470, 0.1706, 0.4765, 0.1001
RUSH, FOIL, LOW, 1, 1.4468, NA, NA, NA, NA
BASKET, FOIL, HIGH, 1, 0.6770, NA, NA, NA, NA
BOX, FOIL, HIGH, 1, 1.2596, NA, NA, NA, NA
VICE, FOIL, LOW, 1, 0.6384, NA, NA, NA, NA
PEEK, STIM, LOW, 6, 0.8993, -0.3857, -0.5608, 0.1751, 0.4337
FAIL, FOIL, LOW, 1, 0.7703, NA, NA, NA, NA
SATIN, STIM, HIGH, 6, 0.7278, 3.0040, 2.7388, 0.2652, 0.5671
JUNIOR, STIM, LOW, 6, 0.6791, -0.1353, 2.1348, -2.2701, 1.5178
WHERRY, STIM, LOW, 6, 0.7914, 2.3794, -0.2810, 2.6604, 0.2502
HARP, FOIL, HIGH, 1, 0.7867, NA, NA, NA, NA
RIBBON, FOIL, HIGH, 1, 0.5918, NA, NA, NA, NA
HALF, STIM, LOW, 6, 0.5918, 2.7509, 2.7755, -0.0246, 0.6338
PERSE, STIM, LOW, 6, 0.7238, -0.3126, -0.2636, -0.0491, 0.5671
LODE, STIM, LOW, 6, 0.8342, -0.7442, -0.1580, -0.5862, 0.3836
THROW, FOIL, LOW, 3, 2.3459, NA, NA, NA, NA
HASTY, STIM, LOW, 6, 1.1583, -1.1503, -0.3657, -0.7845, 0.7506
BANDIT, FOIL, HIGH, 1, 1.3010, NA, NA, NA, NA
BELLY, STIM, HIGH, 6, 1.0499, 1.6610, 1.9895, -0.3285, 0.7172
TOLD, FOIL, LOW, 1, 3.0061, NA, NA, NA, NA
SOFA, STIM, HIGH, 6, 0.7727, -0.2363, -0.7527, 0.5164, 1.6346
VISE, FOIL, LOW, 1, 0.7894, NA, NA, NA, NA
SELL, STIM, LOW, 6, 0.7071, -1.9914, -2.2447, 0.2534, 0.3669
COLLAR, FOIL, HIGH, 1, 0.7695, NA, NA, NA, NA
HOPE, STIM, LOW, 6, 1.6988, 0.2892, -2.1643, 2.4535, 0.7005
IMPACT, FOIL, LOW, 1, 0.8342, NA, NA, NA, NA
SISTER, FOIL, HIGH, 1, 0.7690, NA, NA, NA, NA
LEVITY, STIM, LOW, 6, 0.7570, 2.8963, -2.8906, -0.4963, 0.3503
FACE, FOIL, HIGH, 1, 0.7270, NA, NA, NA, NA
IRIS, STIM, HIGH, 6, 0.5601, -2.2767, -2.3456, 0.0689, 0.5671
SHELL, STIM, HIGH, 6, 0.9463, 2.9785, -2.9912, -0.3135, 0.6839
BEECH, FOIL, LOW, 1, 0.6463, NA, NA, NA, NA
LEVEL, STIM, LOW, 6, 0.7211, 0.8916, 0.6123, 0.2793, 0.4670
WALLET, STIM, HIGH, 6, 0.7639, 0.4712, -1.8560, 2.3272, 0.5838
KING, FOIL, HIGH, 1, 1.4247, NA, NA, NA, NA
BABY, FOIL, HIGH, 1, 0.6729, NA, NA, NA, NA
LEFT, STIM, LOW, 6, 0.5159, -1.6762, -1.9934, 0.3172, 0.4503
BARN, FOIL, HIGH, 1, 0.5827, NA, NA, NA, NA
ORCHID, STIM, HIGH, 6, 0.8668, 2.4914, 2.0856, 0.4058, 0.7673
GROCER, FOIL, HIGH, 1, 1.1779, NA, NA, NA, NA
WANDER, FOIL, LOW, 1, 0.6353, NA, NA, NA, NA
CLAIM, FOIL, LOW, 1, 0.6009, NA, NA, NA, NA
SEE, STIM, LOW, 6, 0.6265, 2.4646, 2.5292, -0.0645, 0.8006
MARKET, STIM, HIGH, 6, 0.5286, -1.4329, -2.0029, 0.5701, 0.4503
SAME, FOIL, LOW, 6, 0.5958, NA, NA, NA, NA
HIS, FOIL, LOW, 1, 0.7811, NA, NA, NA, NA
SEAT, STIM, HIGH, 6, 0.7735, 0.3903, 0.0827, 0.3076, 2.4685
CANOE, STIM, HIGH, 6, 0.8152, 0.3179, 0.5995, -0.2816, 0.9174
CRANE, STIM, HIGH, 5, 1.6032, 2.4702, -0.2230, 2.6932, 0.3169
CLAY, FOIL, HIGH, 3, 1.5656, NA, NA, NA, NA
MONAD, FOIL, LOW, 1, 0.9543, NA, NA, NA, NA
AURAL, STIM, LOW, 6, 0.6594, -0.8619, 0.7818, -1.6437, 0.1501
MAGIC, FOIL, LOW, 1, 0.8065, NA, NA, NA, NA
UP, FOIL, LOW, 1, 0.9268, NA, NA, NA, NA
BIRD, STIM, HIGH, 5, 3.5610, 0.7805, 0.6365, 0.1440, 1.2343
HELMET, STIM, HIGH, 6, 0.7266, -0.8642, -1.0772, 0.2130, 0.4170
SALEP, STIM, LOW, 6, 1.0453, 0.2047, -0.1127, 0.3175, 0.1334
LAWN, FOIL, HIGH, 1, 1.2091, NA, NA, NA, NA
AWL, STIM, LOW, 6, 1.5117, -2.2708, -0.1909, -2.0800, 0.2502
SLOE, STIM, LOW, 6, 2.0326, -0.2305, -0.5437, 0.3132, 0.3503
MOSS, FOIL, HIGH, 1, 1.0629, NA, NA, NA, NA
COPPER, FOIL, HIGH, 1, 0.7310, NA, NA, NA, NA
YOUR, STIM, LOW, 6, 0.6324, -0.6136, -0.2176, -0.3959, 0.2335
