"","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"55","TRAIN"," FOIL"," HIGH",1,2.9594," NA"," NA"," NA"," NA","p1"
"56","GLOOM"," FOIL"," LOW",1,1.1519," NA"," NA"," NA"," NA","p1"
"57","NO"," STIM"," LOW",1,0.6975," 0.0569"," -2.3850"," 2.4419"," 0.4670","p1"
"58","CABIN"," STIM"," HIGH",1,0.9878," -3.0455"," -1.9738"," -1.0717"," 0.4003","p1"
"59","PROOF"," FOIL"," LOW",1,0.6698," NA"," NA"," NA"," NA","p1"
"60","POLE"," STIM"," HIGH",6,0.9685," 1.2895"," 2.3950"," -1.1056"," 0.5671","p1"
"61","GAIT"," FOIL"," LOW",1,1.9394," NA"," NA"," NA"," NA","p1"
"62","UNREST"," STIM"," LOW",1,0.6498," 1.2404"," 2.2102"," -0.9698"," 0.7839","p1"
"63","KNOB"," FOIL"," HIGH",1,0.6324," NA"," NA"," NA"," NA","p1"
"64","PLOT"," FOIL"," LOW",3,2.0672," NA"," NA"," NA"," NA","p1"
"65","BUILD"," STIM"," LOW",6,1.3779," 1.3654"," -2.5249"," -2.3929"," 2.1850","p1"
"66","SELL"," STIM"," LOW",6,0.8436," 1.4394"," 2.0117"," -0.5723"," 0.6005","p1"
"67","ABOUT"," FOIL"," LOW",1,1.7115," NA"," NA"," NA"," NA","p1"
"68","SALAD"," STIM"," HIGH",1,0.698," -0.1035"," 1.2264"," -1.3299"," 0.8006","p1"
"69","SO"," FOIL"," LOW",1,0.5923," NA"," NA"," NA"," NA","p1"
"70","FOOT"," FOIL"," HIGH",1,1.2564," NA"," NA"," NA"," NA","p1"
"71","REGRET"," STIM"," LOW",6,3.5262," 1.8537"," 1.3145"," 0.5391"," 0.5838","p1"
"72","VOLUME"," FOIL"," LOW",1,4.5518," NA"," NA"," NA"," NA","p1"
"73","SAVORY"," STIM"," LOW",6,1.215," 0.2284"," -0.0375"," 0.2659"," 3.4860","p1"
"74","GROUP"," STIM"," LOW",2,1.5566," 0.0369"," -0.6980"," 0.7350"," 0.6338","p1"
"75","SMUT"," FOIL"," LOW",1,1.0308," NA"," NA"," NA"," NA","p1"
"76","WOOD"," STIM"," HIGH",1,0.7367," 0.1950"," 1.2853"," -1.0903"," 0.8506","p1"
"77","THROAT"," FOIL"," HIGH",1,1.1721," NA"," NA"," NA"," NA","p1"
"78","GARDEN"," FOIL"," HIGH",1,1.4927," NA"," NA"," NA"," NA","p1"
"79","CORN"," STIM"," HIGH",1,0.9978," 1.6521"," 1.2181"," 0.4340"," 0.9007","p1"
"80","LION"," STIM"," HIGH",6,1.2775," 0.8232"," 1.0393"," -0.2162"," 1.0508","p1"
"81","PEPPER"," STIM"," HIGH",1,1.0593," 2.1516"," 2.1059"," 0.0457"," 0.6505","p1"
"82","VISION"," STIM"," LOW",6,1.4111," -1.4982"," 0.9643"," -2.4625"," 0.6338","p1"
"83","MAD"," FOIL"," LOW",1,0.8454," NA"," NA"," NA"," NA","p1"
"84","CLEAR"," STIM"," LOW",1,1.5201," 2.5250"," -2.1534"," -1.6048"," 0.4003","p1"
"85","SHEET"," STIM"," HIGH",6,2.6427," 0.6070"," 2.1869"," -1.5799"," 0.4170","p1"
"86","WARE"," FOIL"," LOW",1,3.5437," NA"," NA"," NA"," NA","p1"
"87","YONDER"," FOIL"," LOW",1,0.5854," NA"," NA"," NA"," NA","p1"
"88","RAT"," STIM"," HIGH",4,3.6691," 0.3009"," -3.1113"," -2.8710"," 0.5171","p1"
"89","FRIGID"," FOIL"," LOW",1,0.9916," NA"," NA"," NA"," NA","p1"
"90","BANANA"," FOIL"," HIGH",1,8.9764," NA"," NA"," NA"," NA","p1"
"91","TEEM"," STIM"," LOW",6,1.0822," 1.5154"," -1.6332"," -3.1345"," 0.6839","p1"
"92","LEVEL"," FOIL"," LOW",1,1.2125," NA"," NA"," NA"," NA","p1"
"93","FAWN"," FOIL"," HIGH",1,0.7233," NA"," NA"," NA"," NA","p1"
"94","SANDAL"," FOIL"," HIGH",1,1.9677," NA"," NA"," NA"," NA","p1"
"95","OVEN"," FOIL"," HIGH",1,1.7875," NA"," NA"," NA"," NA","p1"
"96","PLAIT"," STIM"," LOW",1,0.8579," 2.7484"," 0.1061"," 2.6423"," 0.8673","p1"
"97","HORSE"," FOIL"," HIGH",1,0.6121," NA"," NA"," NA"," NA","p1"
"98","MUCH"," STIM"," LOW",1,1.616," -2.4158"," 1.1740"," 2.6934"," 0.4670","p1"
"99","CAUSE"," STIM"," LOW",1,0.6732," 1.4194"," -0.8407"," 2.2601"," 0.5671","p1"
"100","FEE"," STIM"," LOW",1,1.7897," -1.7294"," 0.0636"," -1.7931"," 0.5004","p1"
"101","NAVE"," STIM"," LOW",1,5.1066," 2.9222"," -0.4453"," -2.9157"," 2.4519","p1"
"102","SKI"," STIM"," HIGH",6,1.3235," -2.1968"," -1.5504"," -0.6464"," 0.5671","p1"
"103","HAND"," FOIL"," HIGH",1,1.7081," NA"," NA"," NA"," NA","p1"
"104","JUICE"," FOIL"," HIGH",1,1.3179," NA"," NA"," NA"," NA","p1"
"105","FIRE"," FOIL"," HIGH",1,7.8807," NA"," NA"," NA"," NA","p1"
"106","LIZARD"," FOIL"," HIGH",1,0.65," NA"," NA"," NA"," NA","p1"
"107","THREAD"," STIM"," HIGH",6,1.1918," -2.0775"," -2.5132"," 0.4357"," 1.8014","p1"
"108","CHERRY"," STIM"," HIGH",1,3.5185," -0.7292"," 3.0955"," 2.4586"," 0.8840","p1"
"109","SQUIB"," STIM"," LOW",6,1.2012," 3.1410"," 0.9741"," 2.1669"," 0.8340","p1"
"110","SHIP"," STIM"," HIGH",6,8.2416," -2.3795"," -2.4580"," 0.0785"," 1.1342","p1"
"111","SOLD"," STIM"," LOW",1,1.3009," -0.9057"," 0.7448"," -1.6506"," 0.7005","p1"
"112","ROPE"," FOIL"," HIGH",1,0.6146," NA"," NA"," NA"," NA","p1"
"113","BODY"," STIM"," HIGH",1,0.5886," -2.5682"," 2.2350"," 1.4800"," 2.3184","p1"
"114","ROBIN"," FOIL"," HIGH",1,0.6785," NA"," NA"," NA"," NA","p1"
"115","PEACH"," FOIL"," HIGH",1,0.6148," NA"," NA"," NA"," NA","p1"
"116","IN"," FOIL"," LOW",1,0.5335," NA"," NA"," NA"," NA","p1"
"117","COCK"," STIM"," HIGH",6,1.1268," -1.6603"," -0.7125"," -0.9478"," 1.1509","p1"
"118","THESE"," STIM"," LOW",1,2.3058," 0.4570"," 0.0772"," 0.3798"," 1.5011","p1"
"119","BOTTLE"," FOIL"," HIGH",1,3.7087," NA"," NA"," NA"," NA","p1"
"120","OFF"," FOIL"," LOW",1,0.6146," NA"," NA"," NA"," NA","p1"
"121","SHAWL"," STIM"," HIGH",1,1.6826," -1.7515"," 2.0144"," 2.5174"," 0.6672","p1"
"122","RIBBON"," STIM"," HIGH",6,1.1629," 0.4264"," -0.7599"," 1.1864"," 0.8840","p1"
"123","EARN"," STIM"," LOW",1,1.7097," 1.5775"," -2.1112"," -2.5945"," 0.6171","p1"
"124","BRIDGE"," STIM"," HIGH",6,4.6558," -0.7849"," -0.0194"," -0.7655"," 0.5004","p1"
"125","CANOE"," FOIL"," HIGH",1,1.5193," NA"," NA"," NA"," NA","p1"
"126","GOOD"," FOIL"," LOW",1,0.5845," NA"," NA"," NA"," NA","p1"
"127","OWL"," FOIL"," HIGH",1,0.6659," NA"," NA"," NA"," NA","p1"
"128","LATE"," FOIL"," LOW",1,0.8793," NA"," NA"," NA"," NA","p1"
"129","ITS"," STIM"," LOW",6,1.1625," -1.7115"," -1.8847"," 0.1731"," 0.4337","p1"
"130","HEDGE"," FOIL"," HIGH",1,1.4525," NA"," NA"," NA"," NA","p1"
"131","EQUITY"," STIM"," LOW",6,1.1067," -1.6393"," 0.0102"," -1.6494"," 0.3336","p1"
"132","DESK"," FOIL"," HIGH",1,1.2925," NA"," NA"," NA"," NA","p1"
"133","VARY"," STIM"," LOW",1,0.9729," -0.4673"," 3.1080"," 2.7079"," 0.4337","p1"
"134","DRAB"," FOIL"," LOW",1,4.5628," NA"," NA"," NA"," NA","p1"
"135","NEAR"," FOIL"," LOW",1,2.7889," NA"," NA"," NA"," NA","p1"
"136","CHISEL"," STIM"," HIGH",1,0.7221," 1.9857"," 1.1647"," 0.8211"," 0.4837","p1"
"137","MELEE"," STIM"," LOW",6,1.0558," -2.0928"," 1.0232"," -3.1160"," 0.4170","p1"
"138","SKATE"," STIM"," HIGH",1,0.9314," -0.4634"," -0.6064"," 0.1430"," 0.2502","p1"
"139","GILT"," FOIL"," LOW",1,1.3884," NA"," NA"," NA"," NA","p1"
"140","POLYP"," FOIL"," LOW",1,0.8636," NA"," NA"," NA"," NA","p1"
"141","SCOUT"," FOIL"," HIGH",1,1.2774," NA"," NA"," NA"," NA","p1"
"142","NONE"," FOIL"," LOW",1,0.6935," NA"," NA"," NA"," NA","p1"
"143","MOCKER"," STIM"," LOW",1,0.7583," -0.8408"," 2.1051"," -2.9459"," 1.0675","p1"
"144","LORRY"," FOIL"," LOW",1,1.2247," NA"," NA"," NA"," NA","p1"
"145","CAMERA"," FOIL"," HIGH",1,0.6344," NA"," NA"," NA"," NA","p1"
"146","POWER"," FOIL"," LOW",1,0.6511," NA"," NA"," NA"," NA","p1"
"147","RIDDLE"," STIM"," LOW",6,1.5028," 2.0618"," 0.0000"," 2.0618"," 0.3503","p1"
"148","DONE"," FOIL"," LOW",6,0.9485," NA"," NA"," NA"," NA","p1"
"149","FROST"," STIM"," HIGH",6,0.7115," 0.6018"," -0.8912"," 1.4930"," 0.6171","p1"
"150","CRIME"," FOIL"," LOW",3,1.0432," NA"," NA"," NA"," NA","p1"
"151","QUIET"," FOIL"," LOW",6,1.5659," NA"," NA"," NA"," NA","p1"
"152","CART"," STIM"," HIGH",4,2.7181," 2.0346"," 2.0500"," -0.0154"," 0.7005","p1"
"153","CLAMMY"," STIM"," LOW",4,1.32," 2.3591"," 1.8045"," 0.5546"," 0.3336","p1"
"154","FRUGAL"," FOIL"," LOW",6,1.751," NA"," NA"," NA"," NA","p1"
"155","HOOD"," STIM"," HIGH",6,2.6389," -0.0203"," -1.0895"," 1.0692"," 0.4337","p1"
"156","KNOWN"," STIM"," LOW",6,4.7567," -0.1850"," 2.9473"," -3.1322"," 0.4670","p1"
"157","SILVER"," STIM"," HIGH",6,0.9849," 2.6596"," -1.9974"," -1.6262"," 0.7172","p1"
"158","BIRD"," FOIL"," HIGH",2,1.628," NA"," NA"," NA"," NA","p1"
"159","CREAM"," STIM"," HIGH",6,1.8405," -2.0798"," 0.7203"," -2.8001"," 0.2835","p1"
"160","HAY"," STIM"," HIGH",1,1.7936," -0.4960"," 0.5722"," -1.0682"," 0.5337","p1"
"161","MALADY"," FOIL"," LOW",1,0.6814," NA"," NA"," NA"," NA","p1"
"162","MINNOW"," FOIL"," HIGH",1,0.4987," NA"," NA"," NA"," NA","p1"
"163","BORNE"," FOIL"," LOW",1,0.5941," NA"," NA"," NA"," NA","p1"
"164","TROUT"," FOIL"," HIGH",1,0.5533," NA"," NA"," NA"," NA","p1"
"165","SKIN"," FOIL"," HIGH",1,0.6492," NA"," NA"," NA"," NA","p1"
"166","WIRE"," STIM"," HIGH",1,0.5675," 0.5883"," -1.6882"," 2.2765"," 0.6005","p1"
"167","WEAPON"," STIM"," HIGH",6,1.0524," -2.3710"," -1.5757"," -0.7953"," 0.8673","p1"
"168","MONTH"," STIM"," LOW",1,0.7843," -1.2207"," -2.5760"," 1.3553"," 1.1175","p1"
"169","ALKALI"," STIM"," LOW",6,0.872," -2.6448"," -2.5606"," -0.0842"," 0.4503","p1"
"170","PORCH"," FOIL"," HIGH",1,0.7254," NA"," NA"," NA"," NA","p1"
"171","LUNG"," STIM"," HIGH",6,0.9607," -3.1413"," 1.6648"," 1.4772"," 0.5337","p1"
"172","PRAY"," FOIL"," LOW",1,0.8357," NA"," NA"," NA"," NA","p1"
"173","STAR"," STIM"," HIGH",6,1.5447," -2.2529"," 0.3218"," -2.5747"," 0.4503","p1"
"174","LISP"," STIM"," LOW",6,0.8459," 2.5200"," 2.4725"," 0.0476"," 0.6171","p1"
"175","CALL"," STIM"," LOW",6,0.9549," 0.1123"," -0.7996"," 0.9119"," 0.3169","p1"
"176","TOAD"," FOIL"," HIGH",1,0.6751," NA"," NA"," NA"," NA","p1"
"177","REBUS"," STIM"," LOW",1,0.5553," 2.6042"," -1.7581"," -1.9209"," 0.2168","p1"
"178","GLORY"," STIM"," LOW",6,1.1939," -2.4533"," -0.6646"," -1.7888"," 0.3169","p1"
"179","EASE"," FOIL"," LOW",1,0.7636," NA"," NA"," NA"," NA","p1"
"180","RADIO"," FOIL"," HIGH",1,1.0427," NA"," NA"," NA"," NA","p1"
"181","ELSE"," STIM"," LOW",1,0.6744," 2.6156"," 2.2974"," 0.3182"," 0.4003","p1"
"182","WAMPUM"," FOIL"," LOW",1,0.5646," NA"," NA"," NA"," NA","p1"
"183","JOB"," STIM"," LOW",1,0.6238," 2.4323"," -0.6465"," 3.0788"," 0.5171","p1"
"184","FISH"," FOIL"," HIGH",1,0.6922," NA"," NA"," NA"," NA","p1"
"185","APT"," FOIL"," LOW",1,0.7601," NA"," NA"," NA"," NA","p1"
"186","BOMB"," STIM"," HIGH",1,1.4984," -2.4994"," -0.7928"," -1.7066"," 0.5337","p1"
"187","HAUL"," STIM"," LOW",6,1.0853," -2.5429"," 0.1701"," -2.7131"," 0.5171","p1"
"188","WATER"," FOIL"," HIGH",1,0.6671," NA"," NA"," NA"," NA","p1"
"189","HORN"," STIM"," HIGH",1,0.729," 1.7774"," -2.3527"," -2.1531"," 0.4670","p1"
"190","BUTYL"," FOIL"," LOW",6,0.8582," NA"," NA"," NA"," NA","p1"
"191","MOHUR"," STIM"," LOW",4,0.6484," 1.3048"," -0.2684"," 1.5732"," 2.3017","p1"
"192","KENNEL"," FOIL"," HIGH",1,1.1059," NA"," NA"," NA"," NA","p1"
"193","CEMENT"," STIM"," HIGH",4,1.4453," -0.8888"," 3.1008"," 2.2936"," 0.5337","p1"
"194","BRANCH"," STIM"," HIGH",6,1.1074," -0.5400"," 0.4431"," -0.9831"," 0.8006","p1"
"195","KNEE"," FOIL"," HIGH",3,1.0412," NA"," NA"," NA"," NA","p1"
"196","ABRUPT"," FOIL"," LOW",1,1.5588," NA"," NA"," NA"," NA","p1"
"197","RARITY"," STIM"," LOW",6,1.2198," -1.3962"," -2.3854"," 0.9892"," 0.6672","p1"
"198","MOMENT"," FOIL"," LOW",1,0.7261," NA"," NA"," NA"," NA","p1"
"199","TOE"," STIM"," HIGH",1,0.5197," -2.6138"," 0.0293"," -2.6431"," 0.5671","p1"
"200","SOFT"," FOIL"," LOW",1,0.7952," NA"," NA"," NA"," NA","p1"
"201","PIQUE"," STIM"," LOW",1,0.7345," -1.2631"," -0.2863"," -0.9768"," 0.4337","p1"
"202","ROE"," STIM"," LOW",6,1.4482," 1.0457"," -1.4540"," 2.4997"," 0.3669","p1"
"203","FRANK"," FOIL"," LOW",1,0.7602," NA"," NA"," NA"," NA","p1"
"204","IVY"," STIM"," HIGH",6,2.5301," 2.9277"," 2.3924"," 0.5353"," 0.5004","p1"
"205","CROCK"," FOIL"," LOW",1,1.0024," NA"," NA"," NA"," NA","p1"
"206","RAPID"," STIM"," LOW",1,4.9049," 2.0957"," -0.0466"," 2.1423"," 0.5004","p1"
"207","STRAW"," FOIL"," HIGH",6,1.0025," NA"," NA"," NA"," NA","p1"
"208","MAR"," FOIL"," LOW",1,0.6189," NA"," NA"," NA"," NA","p1"
"209","BIT"," STIM"," LOW",1,0.507," -0.7078"," -0.5880"," -0.1198"," 0.3336","p1"
"210","MOTH"," STIM"," HIGH",1,0.6156," -0.1196"," 0.0052"," -0.1248"," 0.8340","p1"
"211","DIRGE"," FOIL"," LOW",1,0.8707," NA"," NA"," NA"," NA","p1"
"212","RICH"," STIM"," LOW",1,0.8133," -2.9973"," -2.3274"," -0.6699"," 0.4837","p1"
"213","SWORD"," FOIL"," HIGH",1,0.6339," NA"," NA"," NA"," NA","p1"
"214","HAWK"," STIM"," HIGH",1,2.696," 1.3648"," 3.1228"," -1.7580"," 0.6005","p1"
"215","TICKET"," FOIL"," HIGH",1,0.5017," NA"," NA"," NA"," NA","p1"
"216","TRUCE"," FOIL"," LOW",1,4.1927," NA"," NA"," NA"," NA","p1"
"217","BONE"," STIM"," HIGH",6,1.0338," -0.7458"," -1.4142"," 0.6683"," 0.4837","p1"
"218","NEST"," STIM"," HIGH",1,0.6373," -1.3281"," 0.5520"," -1.8801"," 0.3836","p1"
"219","ARM"," FOIL"," HIGH",1,0.5272," NA"," NA"," NA"," NA","p1"
"220","BROKEN"," FOIL"," LOW",1,0.624," NA"," NA"," NA"," NA","p1"
"221","CAKE"," FOIL"," HIGH",1,1.0921," NA"," NA"," NA"," NA","p1"
"222","TIGER"," STIM"," HIGH",6,1.3181," 1.7639"," -0.6794"," 2.4433"," 0.5337","p1"
"223","RIVER"," FOIL"," HIGH",1,0.8408," NA"," NA"," NA"," NA","p1"
"224","BEAT"," STIM"," LOW",1,0.8808," -1.9088"," 0.5527"," -2.4615"," 1.1842","p1"
"225","STINGY"," STIM"," LOW",1,0.6612," 2.6456"," 2.4280"," 0.2176"," 0.5004","p1"
"226","THEN"," FOIL"," LOW",1,1.4592," NA"," NA"," NA"," NA","p1"
"227","RING"," STIM"," HIGH",6,0.8079," -1.5214"," 3.0886"," 1.6732"," 1.5512","p1"
"228","WHO"," STIM"," LOW",1,0.6018," -0.8874"," -0.0898"," -0.7976"," 5.4208","p1"
"229","BATH"," STIM"," HIGH",6,1.1603," -2.9868"," -2.3124"," -0.6744"," 1.2843","p1"
"230","HAZARD"," FOIL"," LOW",1,1.1047," NA"," NA"," NA"," NA","p1"
"231","SKUNK"," FOIL"," HIGH",1,0.5791," NA"," NA"," NA"," NA","p1"
"232","BOX"," STIM"," HIGH",1,0.5597," -0.1513"," 0.1059"," -0.2572"," 1.2509","p1"
"233","KNIFE"," FOIL"," HIGH",1,1.3602," NA"," NA"," NA"," NA","p1"
"234","MOVIE"," FOIL"," HIGH",1,0.6505," NA"," NA"," NA"," NA","p1"
"235","GOWN"," STIM"," HIGH",6,0.8767," 1.5831"," -0.3698"," 1.9529"," 2.8688","p1"
"236","SMOOTH"," STIM"," LOW",6,0.8831," 0.9273"," -1.0207"," 1.9480"," 2.2350","p1"
"237","PIANO"," FOIL"," HIGH",1,0.7826," NA"," NA"," NA"," NA","p1"
"238","ARTIST"," FOIL"," HIGH",1,0.5481," NA"," NA"," NA"," NA","p1"
"239","WINDOW"," FOIL"," HIGH",1,0.6256," NA"," NA"," NA"," NA","p1"
"240","ALIAS"," STIM"," LOW",1,1.355," -1.7070"," 2.7986"," 1.7776"," 1.2009","p1"
"241","CRYPT"," FOIL"," HIGH",1,1.2253," NA"," NA"," NA"," NA","p1"
"242","CANDY"," STIM"," HIGH",2,0.9798," 1.3722"," 2.2085"," -0.8363"," 0.6672","p1"
"243","FLAME"," FOIL"," HIGH",1,0.8655," NA"," NA"," NA"," NA","p1"
"244","FACE"," FOIL"," HIGH",1,0.6418," NA"," NA"," NA"," NA","p1"
"245","THUD"," STIM"," LOW",6,1.0551," 0.5637"," 0.0099"," 0.5538"," 0.2168","p1"
"246","STOVE"," STIM"," HIGH",1,1.1116," -2.5932"," -2.5167"," -0.0765"," 0.6338","p1"
"247","ASSENT"," STIM"," LOW",1,1.3349," 2.0192"," 2.3595"," -0.3402"," 2.4185","p1"
"248","CHEST"," FOIL"," HIGH",1,0.8063," NA"," NA"," NA"," NA","p1"
"249","CLAW"," FOIL"," HIGH",6,1.7552," NA"," NA"," NA"," NA","p1"
"250","SINE"," FOIL"," LOW",1,0.6195," NA"," NA"," NA"," NA","p1"
"251","TIE"," STIM"," HIGH",1,0.5359," 1.4561"," -0.1863"," 1.6424"," 0.2502","p1"
"252","IDIOM"," FOIL"," LOW",1,0.6447," NA"," NA"," NA"," NA","p1"
"253","UPON"," FOIL"," LOW",1,0.6866," NA"," NA"," NA"," NA","p1"
"254","SUN"," FOIL"," HIGH",1,0.6177," NA"," NA"," NA"," NA","p1"
"255","MARKET"," STIM"," HIGH",1,0.8677," -0.3495"," 1.1140"," -1.4635"," 0.7506","p1"
"256","SHOP"," FOIL"," HIGH",1,1.119," NA"," NA"," NA"," NA","p1"
"257","SALOON"," STIM"," HIGH",1,1.0528," 0.8378"," -0.4275"," 1.2653"," 1.0675","p1"
"258","WOMAN"," STIM"," HIGH",6,0.7635," -3.0593"," 1.0269"," 2.1970"," 0.4503","p1"
"259","DOG"," STIM"," HIGH",1,0.7946," 2.3546"," -1.5355"," -2.3931"," 0.5337","p1"
"260","BRICK"," STIM"," HIGH",6,0.9606," -0.5070"," -2.2363"," 1.7293"," 0.3336","p1"
"261","TOLL"," STIM"," LOW",1,1.0763," 0.8175"," -0.1733"," 0.9908"," 0.9674","p1"
"262","SLOUGH"," FOIL"," LOW",1,0.6352," NA"," NA"," NA"," NA","p1"
"263","BIN"," STIM"," HIGH",6,1.6165," 0.5665"," 0.8433"," -0.2768"," 0.3002","p1"
"264","LIE"," FOIL"," LOW",1,0.7265," NA"," NA"," NA"," NA","p1"
"265","LIKEN"," STIM"," LOW",6,0.9407," 2.6233"," -0.5198"," -3.1401"," 0.3002","p1"
"266","SWELL"," FOIL"," LOW",1,0.599," NA"," NA"," NA"," NA","p1"
"267","BALL"," STIM"," HIGH",1,0.7579," -0.4757"," -2.6569"," 2.1812"," 0.5171","p1"
"268","DRUG"," FOIL"," HIGH",1,1.768," NA"," NA"," NA"," NA","p1"
"269","GRACE"," STIM"," LOW",1,0.9689," -0.8141"," 2.5033"," 2.9658"," 0.5671","p1"
"270","LEES"," FOIL"," LOW",1,0.8269," NA"," NA"," NA"," NA","p1"
"271","PLANT"," STIM"," HIGH",1,0.7032," -1.9048"," -1.7359"," -0.1688"," 0.3169","p1"
"272","BRAIN"," STIM"," HIGH",1,2.2829," 1.9512"," 2.6086"," -0.6574"," 0.3836","p1"
