"","participant","statistic","p.value"
"1","p1",0.0551037149887954,0.462434418919841
"2","p2",0.24093945921463,0.378398699091949
"3","p3",0.174964374599457,0.164287159401847
"4","p4",0.106928635724608,0.481062095359427
"5","p5",0.0412719932029646,0.96073973093058
"6","p6",0.128161644870394,0.301479057348058
"7","p7",0.0820826547769701,0.745587484205447
"8","p8",0.33193139652375,0.172764443476877
"9","p9",0.114037272173075,0.795846399891282
"10","p10",0.380292120252392,0.0723461281896309
"11","p11",0.396777453551106,0.0067137947587022
"12","p12",0.182373540182304,0.397614954927897
"13","p13",0.104439332371125,0.621401921125941
"14","p15",0.331480849940223,0.0202561876689466
"15","p16",0.204376340660793,0.0634946614008613
"16","p17",0.0458732401943424,0.75587511815866
"17","p18",0.369846753207573,0.023397539571455
"18","p19",0.209542383142018,0.165635723816481
"19","p20",0.194755158904013,0.439010768500754
