word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
RABBI, STIM, HIGH, 6, 4.4509, -1.6403, 2.8662, 1.7767, 2.5853
ANKLE, FOIL, HIGH, 1, 2.1981, NA, NA, NA, NA
PIN, FOIL, HIGH, 2, 3.7619, NA, NA, NA, NA
GRAVY, FOIL, HIGH, 5, 2.3865, NA, NA, NA, NA
HABIT, STIM, LOW, 6, 2.7563, 1.7855, -1.7334, -2.7643, 1.0008
WIFE, STIM, HIGH, 6, 1.8172, -1.1695, -2.5637, 1.3942, 0.7506
BAIL, STIM, LOW, 3, 2.2066, 1.7226, -0.1231, 1.8457, 0.6839
TRICK, STIM, LOW, 6, 1.8123, -1.4215, 2.8442, 2.0175, 1.4511
COW, FOIL, HIGH, 1, 1.4283, NA, NA, NA, NA
YACHT, FOIL, HIGH, 1, 1.1949, NA, NA, NA, NA
MASH, FOIL, LOW, 2, 4.8458, NA, NA, NA, NA
HAS, FOIL, LOW, 1, 1.0574, NA, NA, NA, NA
POOL, FOIL, HIGH, 3, 1.8466, NA, NA, NA, NA
SHIP, FOIL, HIGH, 2, 2.4901, NA, NA, NA, NA
GOSPEL, FOIL, LOW, 3, 1.5352, NA, NA, NA, NA
MEANT, STIM, LOW, 6, 1.3587, 2.5388, 2.0919, 0.4470, 2.7354
ASSENT, STIM, LOW, 6, 1.0638, -0.5138, 2.2431, -2.7569, 0.6171
CLOVER, STIM, HIGH, 6, 0.9036, 2.6979, -1.5967, -1.9885, 1.0508
DEED, STIM, LOW, 6, 0.8915, -3.0632, -2.0951, -0.9680, 1.0008
BOOT, STIM, HIGH, 6, 1.1092, -2.2571, -1.8120, -0.4451, 0.9507
PUPPY, STIM, HIGH, 6, 2.1577, 1.5891, -1.6220, -3.0720, 1.3010
SEVER, STIM, LOW, 6, 0.6861, 1.2645, -2.3029, -2.7158, 0.5337
TO, STIM, LOW, 6, 1.0024, -0.6149, -0.9089, 0.2941, 0.3836
SEEN, STIM, LOW, 4, 2.2745, -1.1315, 1.8484, -2.9799, 1.2343
PEON, STIM, LOW, 2, 1.6485, -1.7264, -2.5048, 0.7784, 0.4670
CHOP, FOIL, HIGH, 3, 1.6822, NA, NA, NA, NA
VAIN, FOIL, LOW, 2, 1.0348, NA, NA, NA, NA
BOSS, FOIL, HIGH, 1, 2.1806, NA, NA, NA, NA
CRISIS, STIM, LOW, 6, 1.0803, -2.9868, -0.5457, -2.4412, 0.4337
ELM, STIM, HIGH, 6, 1.0215, -0.7698, -0.4071, -0.3627, 0.3503
SKULL, FOIL, HIGH, 1, 1.4377, NA, NA, NA, NA
HAWK, FOIL, HIGH, 2, 1.2948, NA, NA, NA, NA
MIEN, FOIL, LOW, 3, 1.0951, NA, NA, NA, NA
SUN, STIM, HIGH, 6, 1.6577, 0.2512, -1.7437, 1.9948, 1.3343
YARD, STIM, HIGH, 5, 2.0721, -1.1225, 2.6609, 2.4998, 0.3503
HAZARD, FOIL, LOW, 4, 1.1019, NA, NA, NA, NA
ELBOW, FOIL, HIGH, 2, 1.3360, NA, NA, NA, NA
LISP, STIM, LOW, 6, 1.3279, 0.7194, 2.2728, -1.5534, 0.5504
PEAR, FOIL, HIGH, 4, 1.6096, NA, NA, NA, NA
CLOTH, FOIL, HIGH, 3, 1.3139, NA, NA, NA, NA
WAIVE, FOIL, LOW, 3, 4.8437, NA, NA, NA, NA
SCROLL, STIM, HIGH, 6, 1.8546, 0.7956, -1.7600, 2.5556, 0.2002
GROUP, STIM, LOW, 2, 1.2116, -0.0822, -1.6085, 1.5263, 0.5004
CORAL, STIM, HIGH, 6, 0.7894, -2.8965, -1.0742, -1.8223, 0.3336
DESK, FOIL, HIGH, 1, 1.2829, NA, NA, NA, NA
NECK, FOIL, HIGH, 1, 0.7637, NA, NA, NA, NA
VAGUE, FOIL, LOW, 1, 0.9711, NA, NA, NA, NA
FORK, STIM, HIGH, 6, 0.9414, 0.6240, -1.5284, 2.1524, 0.4503
HAVE, STIM, LOW, 6, 0.7493, 0.9760, -1.6705, 2.6464, 0.3169
BOTHER, STIM, LOW, 6, 0.8137, -1.4047, -1.6815, 0.2768, 0.3169
OUR, FOIL, LOW, 2, 1.3243, NA, NA, NA, NA
DOLLAR, STIM, HIGH, 6, 1.0086, 2.5737, -1.7061, -2.0034, 0.4003
MUTINY, FOIL, LOW, 1, 0.9659, NA, NA, NA, NA
SPIDER, STIM, HIGH, 6, 0.8165, -2.5947, -1.5560, -1.0387, 0.3002
MEET, FOIL, LOW, 3, 1.6912, NA, NA, NA, NA
LOAFER, FOIL, LOW, 1, 0.8507, NA, NA, NA, NA
RUBY, FOIL, HIGH, 2, 1.3700, NA, NA, NA, NA
BOSOM, FOIL, HIGH, 1, 0.9245, NA, NA, NA, NA
SAIL, STIM, HIGH, 6, 0.8791, 3.1360, -2.2045, -0.9427, 0.3336
PILL, STIM, HIGH, 6, 1.0644, 1.7359, -1.5605, -2.9868, 0.9174
BORDER, FOIL, LOW, 2, 4.7966, NA, NA, NA, NA
LUNG, FOIL, HIGH, 1, 1.0980, NA, NA, NA, NA
FOX, STIM, HIGH, 6, 0.7790, 1.4836, -1.6859, -3.1137, 0.3836
THROW, STIM, LOW, 6, 1.2756, 1.8420, 2.4981, -0.6561, 0.7672
FENCE, FOIL, HIGH, 1, 1.0291, NA, NA, NA, NA
RAKE, FOIL, HIGH, 1, 0.7503, NA, NA, NA, NA
VINE, FOIL, HIGH, 3, 1.6932, NA, NA, NA, NA
SWEAT, FOIL, HIGH, 1, 0.7945, NA, NA, NA, NA
QUIRE, STIM, LOW, 6, 0.9389, 0.8223, 0.1683, 0.6540, 0.3836
CROWD, STIM, HIGH, 6, 0.6676, -2.4542, 2.3598, 1.4693, 0.4837
OX, STIM, HIGH, 6, 0.7171, -1.1902, -0.6802, -0.5100, 0.3669
FLESH, FOIL, HIGH, 1, 0.8326, NA, NA, NA, NA
DOTAGE, STIM, LOW, 6, 0.8517, -3.0979, -1.0832, -2.0147, 0.3169
AXE, FOIL, HIGH, 1, 1.0325, NA, NA, NA, NA
DOG, STIM, HIGH, 6, 0.6562, -0.5186, 1.0765, -1.5951, 0.5004
ROUTE, STIM, LOW, 6, 0.6702, 1.2637, 0.0104, 1.2533, 0.4670
TRAWL, FOIL, LOW, 1, 2.1741, NA, NA, NA, NA
