"","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"16178","LION"," STIM"," HIGH",6,0.7699," -1.1535"," -2.0705"," 0.9171"," 0.6839","16"
"16179","BATTLE"," FOIL"," HIGH",1,0.6998," NA"," NA"," NA"," NA","16"
"16180","WHIP"," FOIL"," HIGH",1,0.751," NA"," NA"," NA"," NA","16"
"16181","RECALL"," STIM"," LOW",6,1.1582," -0.2199"," -0.2368"," 0.0169"," 0.6005","16"
"16182","LUNG"," FOIL"," HIGH",1,0.578," NA"," NA"," NA"," NA","16"
"16183","SCOUT"," FOIL"," HIGH",1,0.6171," NA"," NA"," NA"," NA","16"
"16184","TEA"," FOIL"," HIGH",1,0.6413," NA"," NA"," NA"," NA","16"
"16185","CHERRY"," STIM"," HIGH",6,0.5585," 2.6330"," 0.8034"," 1.8296"," 1.9515","16"
"16186","DAMAGE"," FOIL"," LOW",1,0.6018," NA"," NA"," NA"," NA","16"
"16187","EASE"," STIM"," LOW",6,0.6633," -2.3315"," -2.3494"," 0.0179"," 0.5171","16"
"16188","DOCILE"," FOIL"," LOW",1,0.5899," NA"," NA"," NA"," NA","16"
"16189","CLOVER"," STIM"," HIGH",1,2.8319," -2.9142"," -2.4868"," -0.4274"," 0.7673","16"
"16190","ANCHOR"," FOIL"," HIGH",1,1.1984," NA"," NA"," NA"," NA","16"
"16191","TICKET"," STIM"," HIGH",6,0.5414," 0.8294"," 0.3664"," 0.4630"," 0.6005","16"
"16192","DREARY"," FOIL"," LOW",1,0.7084," NA"," NA"," NA"," NA","16"
"16193","SPICE"," STIM"," HIGH",6,0.6669," 1.4419"," 1.3201"," 0.1218"," 0.9007","16"
"16194","WHIFF"," STIM"," LOW",6,0.5829," 1.8333"," 1.8218"," 0.0115"," 0.6005","16"
"16195","NABOB"," STIM"," LOW",6,0.6791," -2.1083"," -2.1201"," 0.0118"," 0.6505","16"
"16196","LEFT"," FOIL"," LOW",3,2.3293," NA"," NA"," NA"," NA","16"
"16197","TIMBER"," STIM"," HIGH",6,1.1443," 0.8072"," 0.3853"," 0.4219"," 0.8006","16"
"16198","PINE"," FOIL"," HIGH",6,1.5537," NA"," NA"," NA"," NA","16"
"16199","MOTHER"," FOIL"," HIGH",1,1.2691," NA"," NA"," NA"," NA","16"
"16200","KNIFE"," STIM"," HIGH",6,1.0933," 2.1073"," 2.6864"," -0.5791"," 0.5838","16"
"16201","FILM"," FOIL"," HIGH",1,2.5217," NA"," NA"," NA"," NA","16"
"16202","OUTSET"," STIM"," LOW",6,0.5421," 1.4130"," 1.5292"," -0.1161"," 0.8840","16"
"16203","FIND"," FOIL"," LOW",1,0.668," NA"," NA"," NA"," NA","16"
"16204","VEST"," FOIL"," HIGH",1,1.6828," NA"," NA"," NA"," NA","16"
"16205","REIGN"," FOIL"," LOW",1,0.9592," NA"," NA"," NA"," NA","16"
"16206","FRAUD"," STIM"," LOW",6,1.3231," 1.9083"," 1.5708"," 0.3375"," 2.4852","16"
"16207","ROGUE"," STIM"," LOW",6,0.5641," 2.1892"," 1.9859"," 0.2033"," 4.6369","16"
"16208","SKULL"," FOIL"," HIGH",1,1.7426," NA"," NA"," NA"," NA","16"
"16209","PONY"," STIM"," HIGH",6,0.6744," -0.0584"," 0.0259"," -0.0843"," 0.6505","16"
"16210","LAND"," FOIL"," HIGH",3,1.9273," NA"," NA"," NA"," NA","16"
"16211","TEETH"," STIM"," HIGH",6,0.7865," -1.7562"," -0.6557"," -1.1005"," 0.3836","16"
"16212","SURE"," FOIL"," LOW",3,1.0427," NA"," NA"," NA"," NA","16"
"16213","JELLY"," FOIL"," HIGH",1,2.7255," NA"," NA"," NA"," NA","16"
"16214","PENCIL"," STIM"," HIGH",6,0.7408," 1.0692"," 0.1837"," 0.8854"," 1.4511","16"
"16215","SHOCK"," STIM"," LOW",6,5.8181," 3.0570"," -2.1103"," -1.1159"," 0.4503","16"
"16216","GROCER"," FOIL"," HIGH",1,0.8474," NA"," NA"," NA"," NA","16"
"16217","PRIEST"," FOIL"," HIGH",1,0.7166," NA"," NA"," NA"," NA","16"
"16218","BAR"," STIM"," HIGH",1,0.6356," 1.8467"," -0.3449"," 2.1915"," 0.8340","16"
"16219","RETAIN"," STIM"," LOW",6,1.1481," 2.4570"," 2.2662"," 0.1908"," 1.1676","16"
"16220","LEES"," STIM"," LOW",6,0.8498," -1.0044"," -1.1845"," 0.1801"," 0.8340","16"
"16221","VETO"," FOIL"," LOW",1,1.9782," NA"," NA"," NA"," NA","16"
"16222","EAGLE"," STIM"," HIGH",6,1.1889," 2.3148"," -0.3292"," 2.6439"," 0.3669","16"
"16223","SPOOL"," STIM"," HIGH",1,0.9313," 1.6151"," -1.2254"," 2.8405"," 0.5504","16"
"16224","BAWL"," STIM"," LOW",6,0.5439," -1.4349"," -2.1575"," 0.7226"," 2.0349","16"
"16225","ENVY"," STIM"," LOW",6,0.4877," -1.1405"," -1.0220"," -0.1185"," 0.4003","16"
"16226","BUTYL"," STIM"," LOW",6,0.5519," 0.8257"," 0.3136"," 0.5121"," 0.7172","16"
"16227","BOW"," FOIL"," HIGH",6,0.5386," NA"," NA"," NA"," NA","16"
"16228","OUT"," FOIL"," LOW",1,0.5791," NA"," NA"," NA"," NA","16"
"16229","MONK"," FOIL"," HIGH",1,0.4482," NA"," NA"," NA"," NA","16"
"16230","BOSS"," STIM"," HIGH",6,0.6119," 0.5475"," 0.7354"," -0.1880"," 1.7680","16"
"16231","SUN"," FOIL"," HIGH",1,0.6524," NA"," NA"," NA"," NA","16"
"16232","WRATH"," FOIL"," LOW",1,0.699," NA"," NA"," NA"," NA","16"
"16233","SEARCH"," STIM"," LOW",6,0.6704," -2.2285"," -2.5081"," 0.2796"," 0.5171","16"
"16234","SOCK"," FOIL"," HIGH",1,0.6985," NA"," NA"," NA"," NA","16"
"16235","BLOUSE"," STIM"," HIGH",6,0.6162," 1.6354"," 0.9914"," 0.6440"," 0.8840","16"
"16236","GROWN"," FOIL"," LOW",1,0.6162," NA"," NA"," NA"," NA","16"
"16237","LAGAN"," FOIL"," LOW",1,0.7282," NA"," NA"," NA"," NA","16"
"16238","FISH"," STIM"," HIGH",6,0.6994," -2.9671"," 1.8860"," 1.4300"," 0.6171","16"
"16239","JAIL"," STIM"," HIGH",6,0.8645," 0.4399"," -1.7729"," 2.2127"," 0.3002","16"
"16240","MELT"," FOIL"," LOW",1,0.5892," NA"," NA"," NA"," NA","16"
"16241","FROG"," FOIL"," HIGH",1,2.69," NA"," NA"," NA"," NA","16"
"16242","TACK"," FOIL"," HIGH",1,0.5406," NA"," NA"," NA"," NA","16"
"16243","FLUTE"," STIM"," HIGH",6,0.6068," 1.0104"," 0.3461"," 0.6643"," 1.1842","16"
"16244","DRIVER"," FOIL"," HIGH",1,0.8238," NA"," NA"," NA"," NA","16"
"16245","KNOB"," FOIL"," HIGH",1,0.5253," NA"," NA"," NA"," NA","16"
"16246","VICE"," FOIL"," LOW",1,0.5771," NA"," NA"," NA"," NA","16"
"16247","COUNT"," STIM"," LOW",6,0.668," 1.2684"," 2.6571"," -1.3887"," 1.4678","16"
"16248","MONEY"," STIM"," HIGH",6,0.628," 2.9243"," 0.8552"," 2.0691"," 0.7839","16"
"16249","BLEW"," FOIL"," LOW",1,1.0381," NA"," NA"," NA"," NA","16"
"16250","MISERY"," FOIL"," LOW",1,0.6159," NA"," NA"," NA"," NA","16"
"16251","BEAU"," FOIL"," LOW",1,0.5115," NA"," NA"," NA"," NA","16"
"16252","GRIEF"," STIM"," LOW",6,0.605," -0.0123"," -1.3532"," 1.3409"," 2.5853","16"
"16253","APATHY"," STIM"," LOW",6,1.1533," -1.4484"," -1.4260"," -0.0224"," 1.4845","16"
"16254","DOUGH"," STIM"," HIGH",6,0.7415," -1.5510"," -1.3714"," -0.1796"," 2.2684","16"
"16255","TRASH"," FOIL"," HIGH",1,0.7941," NA"," NA"," NA"," NA","16"
"16256","MAP"," STIM"," HIGH",6,0.6693," 0.6559"," 0.1029"," 0.5530"," 1.0842","16"
"16257","STERN"," STIM"," LOW",6,2.709," 3.0091"," -0.4851"," -2.7889"," 0.6171","16"
"16258","BEARD"," STIM"," HIGH",6,0.6216," -2.3121"," -2.3086"," -0.0035"," 0.8006","16"
"16259","HOTEL"," STIM"," HIGH",6,1.2375," 0.3148"," 2.7556"," -2.4408"," 0.7839","16"
"16260","CAMERA"," FOIL"," HIGH",1,1.8312," NA"," NA"," NA"," NA","16"
"16261","CHERRY"," FOIL"," HIGH",1,1.7236," NA"," NA"," NA"," NA","16"
"16262","SWAMP"," STIM"," HIGH",6,0.5595," 2.0437"," 0.0215"," 2.0222"," 0.9507","16"
"16263","EGO"," FOIL"," LOW",1,0.5679," NA"," NA"," NA"," NA","16"
"16264","CAMP"," FOIL"," HIGH",1,0.6021," NA"," NA"," NA"," NA","16"
"16265","BOTH"," STIM"," LOW",6,0.7187," 0.8265"," 0.3362"," 0.4903"," 0.8006","16"
"16266","PIT"," FOIL"," HIGH",1,0.5644," NA"," NA"," NA"," NA","16"
"16267","BEAST"," STIM"," HIGH",1,1.747," 2.6613"," -1.2918"," -2.3301"," 0.9174","16"
"16268","AMPERE"," STIM"," LOW",6,0.5252," -1.0741"," -1.1094"," 0.0353"," 1.0675","16"
"16269","PRUNE"," FOIL"," HIGH",1,0.5913," NA"," NA"," NA"," NA","16"
"16270","TWIG"," STIM"," HIGH",6,0.6002," -1.3707"," -1.3886"," 0.0179"," 1.0174","16"
"16271","SUPPER"," FOIL"," HIGH",1,0.6906," NA"," NA"," NA"," NA","16"
"16272","ONION"," FOIL"," HIGH",1,0.6209," NA"," NA"," NA"," NA","16"
"16273","RESCUE"," FOIL"," LOW",1,0.5182," NA"," NA"," NA"," NA","16"
"16274","PAIR"," STIM"," LOW",6,1.0103," -0.2069"," -0.3081"," 0.1011"," 1.3677","16"
"16275","FRANK"," STIM"," LOW",6,0.7465," -2.2949"," -2.6824"," 0.3876"," 0.7672","16"
"16276","ANT"," STIM"," HIGH",6,1.2363," -1.9104"," -2.1574"," 0.2470"," 0.9841","16"
"16277","SWAYED"," STIM"," LOW",6,0.6154," 0.0127"," 2.7611"," -2.7484"," 0.5004","16"
"16278","MOSS"," STIM"," HIGH",6,0.542," -1.5125"," -1.4406"," -0.0719"," 1.2509","16"
"16279","FANE"," FOIL"," LOW",1,0.6983," NA"," NA"," NA"," NA","16"
"16280","MUTINY"," FOIL"," LOW",1,0.5882," NA"," NA"," NA"," NA","16"
"16281","JUICE"," FOIL"," HIGH",1,1.2531," NA"," NA"," NA"," NA","16"
