WORD                     CNC FAM IMG NLET
FEEL                     324 588 363  4   
FEET                     642 611 597  4   
FELL                     407 546 431  4   
FELT                     437 504 483  4   
FILE                     480 504 442  4   
FILL                     372 521 415  4   
FILM                     604 578 562  4   
FIND                     351 580 370  4   
FINE                     328 560 392  4   
FIRE                     595 580 634  4   
FIRM                     400 567 404  4   
FISH                     597 548 615  4   
FIVE                     365 553 529  4   
FLAG                     606 545 607  4   
FLAX                     495 341 389  4   
FLEA                     625 515 606  4   
FLEE                     400 486 431  4   
FLOW                     311 518 417  4   
FLUE                     500 301 400  4   
FOAL                     420 338 448  4   
FOAM                     577 462 600  4   
FOIL                     509 516 495  4   
FONT                     568 338 497  4   
FOOD                     597 579 539  4   
FOOL                     354 551 436  4   
FOOT                     558 583 597  4   
FORE                     300 414 340  4   
FORK                     592 584 598  4   
FORM                     438 553 452  4   
FORT                     580 418 559  4   
FOUL                     351 483 467  4   
FOUR                     365 553 491  4   
FOWL                     532 452 528  4   
FREE                     328 607 397  4   
FROG                     619 507 617  4   
FROM                     197 612 239  4   
FUEL                     559 534 521  4   
FULL                     378 594 437  4   
FURY                     305 443 462  4   
FUSE                     500 449 479  4   
GAIN                     346 543 307  4   
GAIT                     381 369 377  4   
GAME                     477 574 521  4   
GANG                     492 515 535  4   
GASP                     409 457 491  4   
GATE                     573 540 545  4   
GERM                     464 523 442  4   
GIFT                     533 566 553  4   
GILT                     413 316 390  4   
GIRL                     607 645 634  4   
GIST                     273 322 262  4   
GIVE                     326 595 383  4   
GLAD                     318 564 445  4   
GLUT                     394 353 334  4   
GNAT                     529 440 550  4   
GOAL                     482 554 556  4   
GOAT                     636 469 585  4   
GOLD                     576 550 594  4   
GOLF                     540 503 616  4   
GONE                     321 546 313  4   
GOOD                     297 621 374  4   
GOOF                     348 513 360  4   
GORE                     448 322 429  4   
GOWN                     586 515 578  4   
GRAY                     471 531 541  4   
GRIP                     490 523 540  4   
GROW                     409 562 371  4   
GULF                     449 406 491  4   
GUSH                     396 383 483  4   
GYBE                     242 136 190  4   
HAIL                     502 440 477  4   
HAIR                     583 575 580  4   
HALE                     331 370 376  4   
HALF                     389 610 458  4   
HALL                     565 592 559  4   
HALT                     345 465 417  4   
HAND                     604 601 598  4   
HANG                     397 514 537  4   
HANK                     472 290 313  4   
HARD                     425 595 460  4   
HARE                     615 460 577  4   
HARM                     244 536 362  4   
HARP                     591 430 621  4   
HATE                     335 552 462  4   
HAUL                     369 454 406  4   
HAVE                     251 597 271  4   
HAWK                     623 504 591  4   
HAZE                     509 484 521  4   
HEAD                     603 611 593  4   
HEAL                     417 536 438  4   
HEAP                     485 519 494  4   
HEAR                     394 602 425  4   
HEAT                     472 580 507  4   
HEEL                     579 524 597  4   
HEIR                     384 453 394  4   
HELL                     355 564 519  4   
HELP                     320 594 464  4   
HERB                     558 514 502  4   
HERD                     565 436 548  4   
HERE                     285 599 278  4   
HERO                     428 510 483  4   
HIDE                     451 515 430  4   
HIGH                     371 612 463  4   
HILL                     588 585 607  4   
HIND                     474 416 424  4   
HINT                     312 555 343  4   
HIVE                     583 386 554  4   
HOLD                     416 596 416  4   
HOLE                     485 545 527  4   
HOME                     539 626 599  4   
HOOD                     547 510 558  4   
HOOF                     596 401 598  4   
HOOK                     525 497 541  4   
HOPE                     261 561 421  4   
HORN                     618 498 566  4   
HOSE                     596 449 572  4   
HOUR                     375 608 408  4   
HOWL                     434 447 536  4   
HUMP                     507 439 515  4   
HUNT                     416 523 527  4   
HURT                     368 579 465  4   
HUSH                     396 415 467  4   
HYMN                     502 434 431  4   
IDEA                     259 585 319  4   
IDLE                     318 497 444  4   
INCH                     451 583 497  4   
INTO                     306 584 259  4   
IOTA                     275 339 322  4   
IRIS                     589 493 606  4   
IRON                     584 555 561  4   
ISLE                     530 471 520  4   
ITCH                     488 526 486  4   
ITEM                     436 545 369  4   
JACK                     552 472 460  4   
JADE                     570 359 459  4   
JAIL                     590 539 608  4   
JAMB                     326 243 276  4   
JEEP                     622 564 659  4   
JEER                     338 378 430  4   
JERK                     441 452 479  4   
JIBE                     337 215 314  4   
JOIN                     292 544 340  4   
JOKE                     388 580 483  4   
JOLT                     424 424 426  4   
JUMP                     449 551 506  4   
JURY                     540 498 580  4   
JUST                     257 540 221  4   
KALE                     558 256 391  4   
KEEL                     515 337 451  4   
KEEN                     336 449 335  4   
KEEP                     339 584 284  4   
KEPT                     264 531 300  4   
KICK                     485 563 551  4   
KILL                     386 549 481  4   
KILT                     609 485 622  4   
KIND                     323 575 383  4   
KING                     559 522 585  4   
KINK                     421 356 480  4   
KISS                     564 592 633  4   
KITE                     592 481 624  4   
KNEE                     593 599 597  4   
KNEW                     291 557 267  4   
KNOB                     586 534 554  4   
KNOW                     274 605 278  4   
LACE                     545 468 506  4   
LACK                     311 532 302  4   
LADY                     564 573 571  4   
LAID                     350 507 493  4   
LAIN                     331 342 328  4   
LAIR                     475 365 454  4   
LAKE                     585 583 616  4   
LAMB                     633 519 614  4   
LAMP                     615 578 575  4   
LAND                     604 574 566  4   
LANE                     537 525 543  4   
LARD                     517 458 491  4   
LARK                     578 436 573  4   
LAST                     299 587 367  4   
LATE                     262 584 387  4   
LAUD                     294 287 288  4   
LAWN                     588 534 608  4   
LAZY                     354 559 464  4   
LEAD                     543 526 488  4   
LEAF                     593 556 608  4   
LEAK                     472 514 545  4   
LEAL                     266 129 280  4   
LEAN                     395 549 472  4   
LEAP                     389 539 494  4   
LEEK                     621 431 540  4   
