model_name, v1, v2, eta, a, pi1, pi2, Ter, st, sa
Cont, 0.89776, 0, 0.69803, 1.475, 0, 0, -0.023798, 0.17593, 0
Thresh, 1.7935, 0, 0, 1.5051, 0.62418, 0.23882, -0.045336, 0.16375, 0
Hybrid, 1.6526, 0, 0.11098, 1.5208, 0.58415, 0.32829, -0.044637, 0.15082, 0
