model_name, v1, v2, eta, a, pi1, pi2, Ter, st, sa
Cont, 1.0011, 0, 0.4281, 0.54993, 0, 0, 1.0404, 1.4488, 0
Thresh, 1.8367, 0, 0, 1.3253, 1.4822, 0.61106, 0.38947, -0.0015754, 0
Hybrid, 1.8647, 0, 1.9021, 0.045834, 1.5026, 0.59556, 0.24396, -0.0035634, 0
