model_name, v1a, v2a, v1b, v2b, eta, a, pi1, pi2, Ter, st, sa
Thresh, 1.8367, 0, 1.3253, 0, 0, 1.4822, 0.61106, 0.38947, -0.0015754, 0.12782, 0
Hybrid, 1.8647, 0, 1.9021, 0, 0.045834, 1.5026, 0.59556, 0.24396, -0.0035634, 0.10874, 0
